time,open,high,low,close,volume,amounts
2010-01-04,3.71,3.97,3.69,3.97,2765900,10980623.0
2010-01-05,4.06,4.14,3.94,3.97,1929200,7658924.0
2010-01-06,3.96,4.01,3.86,3.86,1303300,5030738.0
2010-01-07,3.95,3.97,3.84,3.86,1342000,5180120.0
2010-01-08,3.87,4.01,3.8,3.83,1461300,5596779.0
2010-01-11,3.87,3.87,3.79,3.81,786800,2997708.0
2010-01-12,3.81,3.81,3.69,3.71,1111200,4122552.0
2010-01-13,3.71,3.87,3.64,3.77,1390700,5242939.0
2010-01-14,3.82,3.83,3.71,3.77,679500,2561715.0
2010-01-15,3.76,3.78,3.69,3.71,383800,1423898.0
2010-01-18,3.76,3.76,3.57,3.6,872900,3142440.0
2010-01-19,3.61,3.66,3.58,3.63,570500,2070915.0
2010-01-20,3.66,3.66,3.56,3.58,386300,1382954.0
2010-01-21,3.56,3.63,3.49,3.5,1456200,5096700.0
2010-01-22,3.5,3.54,3.48,3.54,738100,2612874.0
2010-01-25,3.52,3.52,3.48,3.52,1375400,4841408.0
2010-01-26,3.53,3.66,3.53,3.66,908700,3325842.0
2010-01-27,3.7,3.7,3.54,3.55,409900,1455145.0
2010-01-28,3.51,3.58,3.5,3.52,812000,2858240.0
2010-01-29,3.46,3.54,3.46,3.52,1264800,4452096.0
2010-02-01,3.49,3.54,3.48,3.53,644100,2273673.0
2010-02-02,3.55,3.55,3.5,3.52,750200,2640704.0
2010-02-03,3.52,3.54,3.51,3.53,662000,2336860.0
2010-02-04,3.52,3.57,3.52,3.57,711400,2539698.0
2010-02-05,3.52,3.54,3.5,3.51,548700,1925936.9999999998
2010-02-08,3.51,3.59,3.48,3.57,686500,2450805.0
2010-02-09,3.55,3.56,3.5,3.51,393300,1380483.0
2010-02-10,3.53,3.53,3.51,3.52,359100,1264032.0
2010-02-11,3.54,3.64,3.51,3.6,658300,2369880.0
2010-02-12,3.61,3.63,3.58,3.6,430500,1549800.0
2010-02-22,3.66,3.69,3.61,3.66,392200,1435452.0
2010-02-23,3.62,3.63,3.56,3.58,218700,782946.0
2010-02-24,3.41,3.59,3.41,3.58,447900,1603482.0
2010-02-25,3.59,3.6,3.53,3.55,453700,1610635.0
2010-02-26,3.55,3.66,3.55,3.66,1240500,4540230.0
2010-03-01,3.71,3.74,3.66,3.73,872400,3254052.0
