time,open,high,low,close,volume,amounts
2010-01-04,1.75,1.79,1.73,1.79,300100,537179.0
2010-01-05,1.87,1.87,1.82,1.87,416320,778518.4
2010-01-06,1.84,1.93,1.84,1.86,425280,791020.8
2010-01-07,1.91,1.95,1.91,1.95,380410,741799.5
2010-01-08,2.04,2.04,1.92,1.92,921090,1768492.8
2010-01-11,1.95,1.96,1.85,1.88,688650,1294662.0
2010-01-12,1.85,1.9,1.8,1.8,485980,874764.0
2010-01-13,1.77,1.88,1.73,1.83,561120,1026849.6000000001
2010-01-14,1.85,1.89,1.83,1.85,241610,446978.5
2010-01-15,1.83,1.85,1.79,1.84,225520,414956.80000000005
2010-01-18,1.78,1.79,1.76,1.76,490660,863561.6
2010-01-19,1.76,1.82,1.72,1.75,207750,363562.5
2010-01-20,1.75,1.75,1.67,1.67,307370,513307.89999999997
2010-01-21,1.6,1.62,1.59,1.59,756020,1202071.8
2010-01-22,1.55,1.62,1.55,1.57,376690,591403.3
2010-01-25,1.57,1.61,1.51,1.57,292180,458722.60000000003
2010-01-26,1.62,1.65,1.62,1.65,189180,312147.0
2010-01-27,1.57,1.57,1.57,1.57,63450,99616.5
2010-01-28,1.49,1.49,1.49,1.49,317380,472896.2
2010-01-29,1.42,1.56,1.42,1.55,1343300,2082115.0
2010-02-01,1.51,1.6,1.51,1.57,224280,352119.60000000003
2010-02-02,1.57,1.57,1.51,1.55,184860,286533.0
2010-02-03,1.51,1.56,1.51,1.52,209440,318348.8
2010-02-04,1.46,1.55,1.46,1.52,424090,644616.8
2010-02-05,1.5,1.51,1.46,1.47,400560,588823.2
2010-02-08,1.42,1.47,1.41,1.45,265080,384366.0
2010-02-09,1.42,1.45,1.42,1.42,295110,419056.19999999995
2010-02-10,1.47,1.47,1.43,1.47,177810,261380.69999999998
2010-02-11,1.47,1.49,1.47,1.49,99430,148150.7
2010-02-12,1.51,1.54,1.49,1.51,148740,224597.4
2010-02-22,1.51,1.54,1.45,1.5,212270,318405.0
2010-02-23,1.47,1.47,1.45,1.46,232990,340165.39999999997
2010-02-24,1.44,1.46,1.44,1.44,95760,137894.4
2010-02-25,1.44,1.47,1.44,1.45,195530,283518.5
2010-02-26,1.45,1.52,1.44,1.51,253740,383147.4
2010-03-01,1.51,1.58,1.51,1.58,914010,1444135.8
2010-03-02,1.65,1.66,1.57,1.64,404680,663675.2
2010-03-03,1.65,1.65,1.57,1.6,135420,216672.0
2010-03-04,1.62,1.63,1.57,1.61,294960,474885.60000000003
