time,open,high,low,close,volume,amounts
2018-02-21,27.07,27.07,22.86,22.86,81200,1856232.0
2018-02-22,23.78,23.78,22.86,22.86,28900,660654.0
2018-02-23,23.05,23.05,20.49,21.03,37800,794934.0
2018-02-26,20.12,22.22,18.29,20.94,21100,441834.0
2018-02-27,22.68,22.68,18.29,21.95,34700,761665.0
2018-02-28,18.66,20.12,18.66,20.12,2300,46276.0
2018-03-01,20.12,20.3,19.2,20.3,21100,428330.0
2018-03-02,20.03,20.03,18.75,19.75,24900,491775.0
2018-03-05,19.39,19.66,19.2,19.48,35500,691540.0
2018-03-06,20.58,20.58,18.75,19.84,4200,83328.0
2018-03-07,18.75,18.75,18.29,18.47,3000,55410.0
2018-03-08,19.2,19.2,19.2,19.2,2100,40320.0
2018-03-09,19.2,19.2,16.46,19.11,36700,701337.0
2018-03-12,18.29,19.11,17.83,18.75,7000,131250.0
2018-03-13,18.29,18.29,17.56,18.11,15100,273461.0
2018-03-14,17.47,18.02,17.19,17.19,11700,201123.00000000003
2018-03-15,16.74,17.83,16.46,17.65,29700,524204.99999999994
2018-03-16,19.11,19.66,17.83,18.29,33500,612715.0
2018-03-19,18.47,19.39,18.47,19.39,14000,271460.0
2018-03-20,18.29,19.11,17.47,18.29,101100,1849119.0
2018-03-21,18.75,18.75,17.47,18.11,63600,1151796.0
2018-03-22,18.29,20.49,18.11,20.49,135400,2774346.0
2018-03-23,20.39,21.77,20.12,21.49,97700,2099573.0
2018-03-26,22.22,22.31,20.76,21.95,198500,4357075.0
2018-03-27,21.95,24.51,19.02,21.95,362200,7950290.0
2018-03-28,21.58,23.96,20.58,21.86,433200,9469752.0
2018-03-29,21.77,23.14,21.49,21.77,272700,5936679.0
2018-03-30,22.04,22.86,22.04,22.77,46000,1047420.0
2018-04-02,22.86,23.5,22.86,23.5,47800,1123300.0
2018-04-03,23.69,24.69,23.32,24.05,49300,1185665.0
2018-04-04,24.05,24.05,23.41,23.78,60400,1436312.0
2018-04-05,23.78,24.05,23.41,23.96,206800,4954928.0
2018-04-06,23.78,23.96,23.32,23.59,70500,1663095.0
2018-04-09,23.23,24.51,23.14,24.23,71600,1734868.0
2018-04-10,23.14,23.96,23.14,23.78,63800,1517164.0
2018-04-11,23.78,23.78,22.86,23.59,77400,1825866.0
2018-04-12,23.5,23.59,22.86,23.5,100200,2354700.0
2018-04-13,23.59,23.78,23.05,23.59,36600,863394.0
2018-04-16,23.41,23.5,23.41,23.5,55000,1292500.0
2018-04-17,23.5,23.5,22.86,23.5,58000,1363000.0
2018-04-18,23.41,23.5,23.41,23.5,10500,246750.0
2018-04-19,22.86,23.41,22.68,23.41,30000,702300.0
2018-04-20,23.32,23.5,23.32,23.5,20200,474700.0
2018-04-23,23.32,23.41,22.86,22.86,31600,722376.0
2018-04-24,23.32,23.32,22.86,22.86,21100,482346.0
2018-04-26,22.86,22.86,22.77,22.77,28200,642114.0
2018-04-27,22.86,22.86,22.86,22.86,33200,758952.0
2018-05-02,22.86,23.41,22.86,23.41,13900,325399.0
2018-05-03,23.5,23.5,23.23,23.32,1300,30316.0
2018-05-04,23.5,23.5,23.5,23.5,4700,110450.0
