time,open,high,low,close,volume,amounts
2014-01-24,8.14,8.35,7.93,8.05,8417060,67757333.0
2014-01-27,8.01,8.05,7.75,7.88,3240910,25538370.8
2014-02-06,7.8,7.84,7.54,7.54,959590,7235308.6
2014-02-07,7.45,7.5,7.07,7.11,2987600,21241836.0
2014-02-10,7.07,7.37,6.94,7.28,4052090,29499215.2
2014-02-11,7.37,7.37,7.24,7.24,1938480,14034595.200000001
2014-02-12,7.2,7.24,7.15,7.2,1176180,8468496.0
2014-02-13,7.2,7.24,7.11,7.11,2156140,15330155.4
2014-02-14,7.2,7.28,7.11,7.2,1489380,10723536.0
2014-02-17,7.24,7.24,7.11,7.15,1173560,8390954.0
2014-02-18,7.15,7.15,7.11,7.11,1861540,13235549.4
2014-02-19,7.15,7.2,7.07,7.11,2988120,21245533.2
2014-02-20,7.15,7.37,7.11,7.24,3243650,23484026.0
2014-02-21,7.2,7.2,7.15,7.15,903040,6456736.0
2014-02-24,7.2,7.2,7.11,7.15,833430,5959024.5
2014-02-25,7.11,7.15,7.07,7.15,1249150,8931422.5
2014-02-26,7.15,7.24,7.11,7.15,1399670,10007640.5
2014-02-27,7.15,7.45,7.15,7.24,3731900,27018956.0
2014-02-28,7.2,7.28,7.2,7.28,1154560,8405196.8
2014-03-03,7.24,7.28,7.15,7.15,954830,6827034.5
2014-03-04,7.11,7.15,7.07,7.11,1551740,11032871.4
2014-03-05,7.15,7.2,7.11,7.11,737090,5240709.9
2014-03-06,7.11,7.15,7.07,7.11,768340,5462897.4
2014-03-07,7.11,7.15,7.11,7.11,773450,5499229.5
2014-03-10,7.11,7.2,7.11,7.15,957770,6848055.5
2014-03-11,7.11,7.15,7.11,7.11,752790,5352336.9
2014-03-12,7.11,7.15,7.07,7.07,979430,6924570.100000001
2014-03-13,7.11,7.11,7.03,7.07,806950,5705136.5
2014-03-14,7.11,7.15,7.03,7.11,924510,6573266.100000001
2014-03-17,7.11,7.15,7.07,7.11,989350,7034278.5
2014-03-18,7.11,7.24,7.07,7.2,2171570,15635304.0
2014-03-19,7.24,7.45,7.24,7.45,5624790,41904685.5
2014-03-20,7.5,7.71,7.5,7.58,3325420,25206683.6
2014-03-21,7.5,7.63,7.5,7.5,1236010,9270075.0
2014-03-24,7.58,7.71,7.54,7.54,2498010,18834995.4
2014-03-25,7.58,7.58,7.37,7.37,2051430,15119039.1
2014-03-26,7.41,7.41,7.15,7.2,2030920,14622624.0
2014-03-27,7.24,7.24,7.15,7.2,1026180,7388496.0
2014-03-28,7.2,7.28,7.2,7.28,713160,5191804.8
2014-03-31,7.33,7.33,7.2,7.2,831760,5988672.0
2014-04-01,7.24,7.24,7.11,7.15,1701600,12166440.0
2014-04-02,7.15,7.2,7.07,7.15,1217110,8702336.5
2014-04-03,7.15,7.24,7.11,7.2,519700,3741840.0
2014-04-04,7.24,7.24,7.15,7.24,608360,4404526.4
2014-04-07,7.2,7.24,7.15,7.2,441790,3180888.0
2014-04-08,7.2,7.24,7.15,7.15,515610,3686611.5
2014-04-10,7.15,7.2,7.15,7.15,485550,3471682.5
2014-04-11,7.11,7.15,7.07,7.11,670380,4766401.8
2014-04-14,7.15,7.2,7.11,7.15,414100,2960815.0
2014-04-15,7.11,7.15,7.07,7.07,480360,3396145.2
2014-04-16,7.07,7.07,6.77,6.85,1065090,7295866.5
2014-04-17,6.85,7.03,6.85,6.9,681040,4699176.0
2014-04-18,6.9,6.94,6.81,6.81,763370,5198549.699999999
2014-04-21,6.81,6.81,6.6,6.64,565920,3757708.8
2014-04-22,6.6,6.77,6.56,6.77,529160,3582413.1999999997
2014-04-23,6.81,6.81,6.68,6.77,217960,1475589.2
