time,open,high,low,close,volume,amounts
2010-01-04,9.62,9.83,9.47,9.83,77010,757008.3
2010-01-05,10.26,10.26,10.05,10.19,124940,1273138.5999999999
2010-01-06,10.19,10.48,10.19,10.26,174350,1788831.0
2010-01-07,10.05,10.19,9.9,9.9,106290,1052271.0
2010-01-08,9.9,10.05,9.47,9.47,191480,1813315.6
2010-01-11,9.47,9.55,9.33,9.33,87920,820293.6
2010-01-12,9.33,9.33,9.04,9.04,98890,893965.5999999999
2010-01-13,8.76,9.04,8.76,8.97,111200,997464.0000000001
2010-01-14,9.4,9.4,9.26,9.4,48100,452140.0
2010-01-15,9.62,9.62,9.33,9.4,37050,348270.0
2010-01-18,9.55,9.55,9.04,9.04,22120,199964.8
2010-01-19,9.04,9.33,9.04,9.33,48720,454557.6
2010-01-20,9.47,9.55,9.04,9.04,28130,254295.19999999998
2010-01-21,9.04,9.19,8.68,9.19,80370,738600.2999999999
2010-01-22,9.19,9.33,8.9,8.9,80040,712356.0
2010-01-25,8.83,8.9,8.83,8.9,24790,220631.0
2010-01-26,8.9,9.33,8.9,9.33,101390,945968.7
2010-01-27,9.47,9.47,8.97,8.97,29120,261206.40000000002
2010-01-28,8.97,9.04,8.68,8.68,26210,227502.8
2010-01-29,8.68,8.83,8.68,8.68,30490,264653.2
2010-02-01,8.68,9.11,8.61,9.11,26270,239319.69999999998
2010-02-02,9.26,9.55,9.19,9.4,148960,1400224.0
2010-02-03,9.62,9.62,9.4,9.55,43420,414661.00000000006
2010-02-04,9.55,9.62,9.55,9.62,46430,446656.6
2010-02-05,9.26,9.47,9.19,9.33,66230,617925.9
2010-02-08,9.47,9.47,9.04,9.04,24430,220847.19999999998
2010-02-09,8.97,9.04,8.9,8.9,32270,287203.0
2010-02-10,8.9,9.33,8.9,9.26,48230,446609.8
2010-02-11,9.26,9.47,9.26,9.33,19350,180535.5
2010-02-12,9.55,9.62,9.4,9.55,16780,160249.0
2010-02-22,9.69,9.69,9.55,9.55,14350,137042.5
2010-02-23,9.47,9.47,9.19,9.19,8280,76093.2
2010-02-24,9.04,9.19,9.04,9.19,8250,75817.5
2010-02-25,9.11,9.26,9.11,9.19,74340,683184.6
2010-02-26,9.19,9.19,8.9,9.04,62940,568977.6
2010-03-01,8.9,9.04,8.9,8.97,64710,580448.7000000001
2010-03-02,8.97,9.04,8.83,8.9,59580,530262.0
2010-03-03,8.97,9.04,8.9,8.97,56400,505908.00000000006
2010-03-04,9.04,9.19,8.97,8.97,85550,767383.5
2010-03-05,9.04,9.04,8.97,9.04,76970,695808.7999999999
2010-03-08,9.11,9.33,9.04,9.33,191410,1785855.3
2010-03-09,9.33,9.47,9.26,9.47,112370,1064143.9000000001
2010-03-10,9.47,9.47,9.33,9.33,64750,604117.5
2010-03-11,9.26,9.4,9.19,9.26,83110,769598.6
2010-03-12,9.26,9.69,9.26,9.69,343390,3327449.0999999996
2010-03-15,9.9,9.9,9.55,9.69,202230,1959608.7
2010-03-16,9.47,9.62,9.26,9.26,96870,897016.2
2010-03-17,9.33,9.33,9.11,9.11,68840,627132.3999999999
2010-03-18,9.19,9.26,9.04,9.26,44740,414292.39999999997
2010-03-19,9.19,9.19,9.11,9.11,88530,806508.2999999999
2010-03-22,9.11,9.19,8.83,8.9,62980,560522.0
2010-03-23,8.83,8.97,8.76,8.83,122270,1079644.1
2010-03-24,8.97,8.97,8.83,8.9,94470,840783.0
2010-03-25,8.83,8.83,8.61,8.61,119860,1031994.6
2010-03-26,8.61,8.68,8.54,8.61,70030,602958.2999999999
2010-03-29,8.76,8.76,8.47,8.61,27680,238324.8
2010-03-30,8.47,8.61,8.47,8.47,60580,513112.60000000003
2010-03-31,8.47,8.61,8.47,8.47,52450,444251.50000000006
2010-04-01,8.47,8.61,8.4,8.61,51410,442640.1
2010-04-02,8.54,8.68,8.47,8.54,24900,212645.99999999997
2010-04-05,8.61,8.61,8.4,8.4,85480,718032.0
2010-04-06,8.4,8.61,8.4,8.54,83410,712321.3999999999
2010-04-07,8.61,8.61,8.47,8.47,79030,669384.1000000001
2010-04-08,8.47,8.68,8.47,8.54,59580,508813.19999999995
2010-04-09,8.61,8.68,8.54,8.68,59930,520192.39999999997
2010-04-12,8.76,8.83,8.61,8.68,99840,866611.2
2010-04-13,8.68,8.68,8.61,8.61,64720,557239.2
2010-04-14,8.61,8.68,8.61,8.61,119100,1025450.9999999999
2010-04-15,8.68,8.68,8.47,8.61,140500,1209705.0
2010-04-16,8.68,8.68,8.4,8.4,142890,1200276.0
2010-04-19,8.33,8.47,8.33,8.33,70540,587598.2
2010-04-20,8.33,8.33,8.04,8.18,190010,1554281.8
2010-04-21,8.25,8.25,8.04,8.04,86640,696585.6
2010-04-22,8.04,8.4,8.04,8.4,98790,829836.0
2010-04-26,8.4,8.4,8.18,8.25,140200,1156650.0
2010-04-27,8.18,8.33,8.18,8.33,49030,408419.9
2010-04-28,8.33,8.33,8.18,8.18,141580,1158124.4
2010-04-29,8.18,8.25,8.18,8.25,91920,758340.0
2010-05-04,8.33,8.33,8.18,8.33,88700,738871.0
2010-05-05,8.25,8.4,8.25,8.33,135580,1129381.4
2010-05-06,8.18,8.33,8.18,8.25,85570,705952.5
2010-05-07,8.11,8.18,7.97,8.04,60800,488831.99999999994
2010-05-10,8.04,8.04,7.82,7.97,74730,595598.1
2010-05-11,8.18,8.18,7.97,8.11,108720,881719.2
2010-05-12,7.97,8.04,7.89,7.89,31540,248850.59999999998
2010-05-13,7.89,7.97,7.82,7.82,43510,340248.2
2010-05-14,7.82,7.82,7.68,7.75,90470,701142.5
2010-05-17,7.89,7.89,7.46,7.54,68680,517847.2
2010-05-18,7.39,7.54,7.32,7.39,131270,970085.2999999999
2010-05-19,7.25,7.25,7.18,7.18,155780,1118500.4
2010-05-20,7.15,7.54,7.15,7.54,138660,1045496.4
2010-05-21,7.18,7.61,7.18,7.32,141610,1036585.2000000001
2010-05-24,7.32,7.54,7.32,7.39,37580,277716.2
2010-05-25,7.46,7.46,7.39,7.39,68800,508432.0
2010-05-26,7.39,7.46,7.39,7.46,95080,709296.8
2010-05-27,7.46,7.68,7.39,7.68,70000,537600.0
2010-05-28,8.04,8.04,7.89,8.04,70060,563282.3999999999
2010-05-31,7.89,7.97,7.82,7.89,32020,252637.8
2010-06-01,7.75,7.82,7.68,7.75,46560,360840.0
2010-06-02,7.82,7.82,7.75,7.82,39690,310375.8
2010-06-03,8.04,8.04,7.89,7.89,40880,322543.2
2010-06-04,7.75,7.97,7.75,7.89,91560,722408.4
2010-06-07,7.54,7.61,7.54,7.54,164170,1237841.8
2010-06-08,7.39,7.46,7.39,7.46,21010,156734.6
2010-06-09,7.54,7.54,7.39,7.39,17980,132872.19999999998
2010-06-10,7.32,7.39,7.25,7.32,50200,367464.0
2010-06-11,7.46,7.46,7.39,7.39,33030,244091.69999999998
2010-06-14,7.39,7.46,7.39,7.39,23430,173147.69999999998
2010-06-15,7.32,7.39,7.32,7.39,21400,158146.0
2010-06-16,7.46,7.46,7.39,7.39,44030,325381.7
2010-06-17,7.46,7.54,7.39,7.46,37300,278258.0
2010-06-18,7.46,7.54,7.46,7.54,43400,327236.0
2010-06-21,7.46,7.54,7.46,7.46,32370,241480.2
2010-06-22,7.46,7.61,7.46,7.54,65620,494774.8
2010-06-23,7.46,7.54,7.46,7.54,28440,214437.6
2010-06-24,7.54,7.61,7.54,7.61,28050,213460.5
2010-06-25,7.46,7.54,7.46,7.46,14240,106230.4
2010-06-28,7.39,7.54,7.39,7.46,34360,256325.6
2010-06-29,7.46,7.61,7.46,7.54,70920,534736.8
2010-06-30,7.25,7.54,7.25,7.46,91210,680426.6
2010-07-01,7.46,7.54,7.46,7.46,41410,308918.6
2010-07-02,7.46,7.54,7.46,7.46,196430,1465367.8
2010-07-05,7.46,7.46,7.18,7.18,177820,1276747.5999999999
2010-07-06,7.39,7.46,7.25,7.39,23570,174182.3
2010-07-07,7.32,7.46,7.32,7.32,18530,135639.6
2010-07-08,7.32,7.46,7.25,7.39,15440,114101.59999999999
2010-07-09,7.32,7.39,7.32,7.39,35720,263970.8
2010-07-12,7.32,7.39,7.32,7.32,3420,25034.4
2010-07-13,7.39,7.46,7.25,7.46,71350,532271.0
2010-07-14,7.54,7.54,7.39,7.39,40320,297964.8
2010-07-15,7.32,7.46,7.32,7.32,19820,145082.4
2010-07-16,7.32,7.39,7.25,7.32,27870,204008.4
2010-07-19,7.32,7.39,7.25,7.32,14240,104236.8
2010-07-20,7.32,7.39,7.32,7.32,11230,82203.6
2010-07-21,7.32,7.32,7.32,7.32,20140,147424.80000000002
2010-07-22,7.32,7.32,7.25,7.25,20580,149205.0
2010-07-23,7.32,7.39,7.25,7.32,34340,251368.80000000002
2010-07-26,7.39,7.54,7.32,7.39,19500,144105.0
2010-07-27,7.32,7.46,7.32,7.39,36370,268774.3
2010-07-28,7.46,7.46,7.32,7.32,51690,378370.8
2010-07-29,7.32,7.54,7.32,7.39,38150,281928.5
2010-07-30,7.39,7.54,7.39,7.54,36800,277472.0
2010-08-02,7.32,7.39,7.32,7.32,8550,62586.0
2010-08-03,7.39,7.39,7.32,7.32,18600,136152.0
2010-08-04,7.25,7.32,7.18,7.32,54150,396378.0
2010-08-05,7.25,7.32,7.18,7.25,7540,54665.0
2010-08-06,7.18,7.18,7.11,7.15,25950,185542.5
2010-08-09,7.25,7.25,7.03,7.12,22530,160413.6
2010-08-10,7.11,7.15,7.09,7.15,85730,612969.5
2010-08-11,7.18,7.18,7.15,7.16,21970,157305.2
2010-08-12,7.12,7.39,7.03,7.06,165220,1166453.2
2010-08-13,7.03,7.11,7.03,7.11,17460,124140.6
2010-08-16,7.32,7.32,7.18,7.32,44050,322446.0
2010-08-17,7.18,7.32,7.18,7.32,31670,231824.40000000002
2010-08-18,7.18,7.46,7.18,7.18,84170,604340.6
2010-08-19,7.06,7.39,7.06,7.18,22170,159180.6
2010-08-20,7.18,7.18,7.03,7.18,67170,482280.6
2010-08-23,7.18,7.18,7.16,7.16,15780,112984.8
2010-08-24,7.06,7.15,7.03,7.15,38970,278635.5
2010-08-25,7.15,7.15,6.92,6.96,80760,562089.6
2010-08-26,6.75,6.89,6.69,6.89,86490,595916.1
2010-08-27,6.96,7.15,6.96,7.15,12120,86658.0
2010-08-30,7.39,7.46,7.18,7.39,33390,246752.09999999998
2010-08-31,7.39,7.39,7.18,7.39,27550,203594.5
