time,open,high,low,close,volume,amounts
2010-01-04,19.45,20.69,19.45,20.62,142420,2936700.4000000004
2010-01-05,21.4,21.4,20.56,20.75,200100,4152075.0
2010-01-06,20.1,20.69,19.97,20.69,203390,4208139.100000001
2010-01-07,20.43,20.62,20.1,20.36,101420,2064911.2
2010-01-08,20.36,20.94,20.36,20.43,257750,5265832.5
2010-01-11,20.69,20.69,19.91,20.43,99820,2039322.5999999999
2010-01-12,20.43,20.49,20.04,20.04,152270,3051490.8
2010-01-13,20.69,21.01,20.43,21.01,603080,12670710.8
2010-01-14,21.98,22.05,21.72,22.05,303360,6689088.0
2010-01-15,22.05,22.7,22.05,22.7,278200,6315140.0
2010-01-18,22.7,22.7,21.59,21.59,112160,2421534.4
2010-01-19,22.05,22.5,21.72,22.5,282220,6349950.0
2010-01-20,23.02,23.02,22.5,22.7,305620,6937574.0
2010-01-21,22.05,22.7,22.05,22.24,211050,4693752.0
2010-01-22,22.24,22.5,21.53,22.37,207660,4645354.2
2010-01-25,22.57,22.63,22.37,22.63,171620,3883760.5999999996
2010-01-26,23.02,23.02,22.76,23.02,142040,3269760.8
2010-01-27,23.02,23.02,22.37,22.37,150780,3372948.6
2010-01-28,22.37,22.83,22.37,22.83,190950,4359388.5
2010-01-29,22.83,23.02,22.76,23.02,149100,3432282.0
2010-02-01,23.34,23.34,23.15,23.34,155650,3632871.0
2010-02-02,23.34,23.6,23.15,23.6,102760,2425136.0
2010-02-03,23.8,24.64,23.8,24.64,264120,6507916.8
2010-02-04,24.64,24.9,24.64,24.77,175140,4338217.8
2010-02-05,24.77,24.77,24.25,24.77,204660,5069428.2
2010-02-08,24.64,24.77,24.58,24.77,108030,2675903.1
2010-02-09,24.38,24.71,24.38,24.64,216700,5339488.0
2010-02-10,24.97,25.61,24.9,25.61,178290,4566006.899999999
2010-02-11,25.94,26.85,25.61,26.85,325360,8735916.0
2010-02-12,27.88,28.14,27.43,28.14,388970,10945615.8
2010-02-22,29.5,29.5,29.18,29.31,368570,10802786.7
2010-02-23,28.86,28.86,27.88,27.88,395140,11016503.2
2010-02-24,27.56,27.56,26.52,26.52,495890,13151002.799999999
2010-02-25,26.59,27.82,26.59,27.82,328580,9141095.6
2010-02-26,27.82,29.18,27.36,29.18,326410,9524643.8
2010-03-01,29.18,29.57,29.18,29.5,302320,8918440.0
2010-03-02,28.53,28.86,28.08,28.08,169020,4746081.6
2010-03-03,28.08,28.53,27.49,27.82,217660,6055301.2
2010-03-04,27.82,28.21,27.69,27.82,135390,3766549.8
2010-03-05,27.82,27.95,27.23,27.82,99880,2778661.6
2010-03-08,27.88,28.21,27.82,28.21,169640,4785544.4
2010-03-09,28.4,29.5,28.21,29.5,363710,10729445.0
2010-03-10,29.5,29.5,28.53,28.53,184070,5251517.100000001
2010-03-11,27.82,28.53,27.23,27.23,107650,2931309.5
2010-03-12,28.21,28.4,27.62,28.4,184140,5229576.0
2010-03-15,28.92,29.05,28.73,28.86,168690,4868393.399999999
2010-03-16,27.62,28.79,27.62,27.62,290120,8013114.4
2010-03-17,27.88,28.14,27.62,27.88,683190,19047337.2
2010-03-18,27.88,28.08,27.88,27.88,626930,17478808.4
2010-03-19,27.62,28.14,26.91,26.91,531800,14310738.0
2010-03-22,27.23,27.88,27.23,27.88,125480,3498382.4
2010-03-23,28.14,28.14,27.88,27.88,149440,4166387.1999999997
2010-03-24,28.21,28.21,27.95,28.14,157640,4435989.6
2010-03-25,27.62,27.88,27.3,27.62,82870,2288869.4
2010-03-26,27.95,28.53,27.88,28.53,315190,8992370.700000001
2010-03-29,28.66,28.66,27.69,27.69,53920,1493044.8
2010-03-30,27.88,28.14,27.23,27.88,236420,6591389.6
2010-03-31,27.88,28.08,27.56,27.62,145520,4019262.4000000004
2010-04-01,27.62,27.88,27.62,27.88,53240,1484331.2
2010-04-02,27.3,27.88,27.3,27.88,82900,2311252.0
2010-04-05,27.56,28.08,27.56,27.95,55070,1539206.5
2010-04-06,28.21,28.21,28.14,28.14,116950,3290973.0
2010-04-07,28.14,28.14,27.69,28.08,94020,2640081.5999999996
2010-04-08,27.43,28.08,27.43,28.08,71980,2021198.4
2010-04-09,28.08,28.08,27.88,28.08,104430,2932394.4
2010-04-12,28.21,28.53,28.08,28.53,174380,4975061.4
2010-04-13,28.53,28.53,28.21,28.4,38520,1093968.0
2010-04-14,28.53,28.53,28.27,28.27,49880,1410107.6
2010-04-15,28.27,28.4,28.27,28.4,64540,1832936.0
2010-04-16,28.4,29.12,28.27,29.12,248730,7243017.600000001
2010-04-19,28.6,28.66,28.27,28.53,244310,6970164.3
2010-04-20,28.53,28.53,28.21,28.21,56740,1600635.4000000001
2010-04-21,28.27,28.73,28.27,28.73,194610,5591145.3
2010-04-22,28.53,29.31,28.53,29.18,163850,4781143.0
2010-04-26,29.18,29.37,29.05,29.31,137290,4023969.9
2010-04-27,29.83,30.48,29.37,30.48,338450,10315956.0
2010-04-28,30.74,31.97,30.74,31.97,341920,10931182.4
2010-04-29,31.97,32.29,31.51,31.77,180160,5723683.2
2010-05-04,32.42,32.42,31.77,31.77,232660,7391608.2
2010-05-05,31.77,31.77,31.58,31.71,153600,4870656.0
2010-05-06,31.45,31.64,31.13,31.45,209870,6600411.5
2010-05-07,31.45,31.45,30.8,31.45,310500,9765225.0
2010-05-10,31.77,31.77,31.13,31.45,354270,11141791.5
2010-05-11,31.77,31.77,31.51,31.58,110500,3489590.0
2010-05-12,31.58,31.58,31.38,31.38,330380,10367324.4
2010-05-13,31.38,32.75,31.32,32.75,264070,8648292.5
2010-05-14,33.48,33.48,33.14,33.14,210090,6962382.600000001
2010-05-17,33.14,33.14,31.62,33.14,108900,3608946.0
2010-05-18,33.14,33.14,31.55,32.15,95400,3067110.0
2010-05-19,32.15,32.22,32.15,32.15,212470,6830910.5
2010-05-20,30.56,32.15,30.56,32.15,36980,1188907.0
2010-05-21,30.56,31.42,30.56,30.56,87360,2669721.6
2010-05-24,29.17,30.56,29.03,29.03,61110,1774023.3
2010-05-25,29.03,29.43,28.17,29.37,15110,443780.7
2010-05-26,29.5,29.5,28.5,29.17,32900,959693.0
2010-05-27,27.71,30.16,27.71,30.03,50430,1514412.9000000001
2010-05-28,30.43,31.49,30.03,31.49,109370,3444061.3
2010-05-31,30.63,31.82,30.63,31.02,16120,500042.39999999997
2010-06-01,31.16,31.16,29.76,31.02,6900,214038.0
2010-06-02,31.02,31.02,30.49,31.02,20210,626914.2
2010-06-03,31.02,31.02,29.96,30.49,15680,478083.19999999995
2010-06-04,30.49,30.69,30.49,30.49,23720,723222.7999999999
2010-06-07,29.17,30.49,29.17,29.83,21900,653277.0
2010-06-08,29.83,30.69,29.83,30.69,103760,3184394.4
2010-06-09,29.83,30.69,29.83,30.49,15890,484486.1
