time,open,high,low,close,volume,amounts
2017-07-20,12.1,12.1,12.1,12.1,2000,24200.0
2017-07-21,12.94,12.94,12.94,12.94,10010,129529.4
2017-07-24,13.83,13.83,13.83,13.83,10,138.3
2017-07-25,14.78,14.78,14.78,14.78,10,147.79999999999998
2017-07-26,15.8,15.8,15.8,15.8,6020,95116.0
2017-07-27,16.89,16.89,16.01,16.89,1078970,18223803.3
2017-07-28,18.06,18.06,17.85,18.06,360000,6501600.0
2017-07-31,19.29,19.29,19.29,19.29,220000,4243800.0
2017-08-01,20.63,20.63,20.63,20.63,551530,11378063.9
2017-08-02,22.04,22.04,19.75,20.46,703050,14384403.0
2017-08-03,20.46,20.46,19.05,19.05,353980,6743319.0
2017-08-04,19.75,20.35,19.05,20.31,194320,3946639.1999999997
2017-08-07,21.09,21.09,19.89,20.31,124720,2533063.1999999997
2017-08-08,19.75,19.89,19.12,19.12,245060,4685547.2
2017-08-09,19.05,19.54,17.81,19.54,675340,13196143.6
2017-08-10,19.54,19.54,18.27,18.41,86550,1593385.5
2017-08-11,17.63,19.05,17.63,19.05,152900,2912745.0
2017-08-14,19.05,19.22,18.06,18.66,161420,3012097.2
2017-08-15,18.41,18.41,17.35,17.78,391180,6955180.4
2017-08-16,18.2,18.2,17.7,17.99,106700,1919532.9999999998
2017-08-17,17.99,18.13,17.85,17.85,80110,1429963.5
2017-08-18,17.85,17.85,17.49,17.63,67000,1181210.0
2017-08-21,17.6,18.16,17.56,18.13,135980,2465317.4
2017-08-22,18.13,18.13,17.74,17.92,16960,303923.2
2017-08-23,17.63,17.92,17.63,17.78,38920,691997.6000000001
2017-08-24,17.78,17.78,17.56,17.63,22810,402140.3
2017-08-25,17.63,18.06,17.63,17.92,158370,2837990.4000000004
2017-08-28,17.7,18.23,17.56,18.2,161300,2935660.0
2017-08-29,18.34,18.34,17.85,18.2,62230,1132586.0
2017-08-30,18.13,18.13,17.63,17.85,114910,2051143.5000000002
2017-08-31,17.74,18.02,17.42,17.63,225550,3976446.5
2017-09-01,17.63,18.02,17.56,17.99,161080,2897829.1999999997
2017-09-05,18.3,18.3,17.78,17.99,126890,2282751.0999999996
2017-09-06,17.67,17.85,17.63,17.7,521380,9228426.0
2017-09-07,17.78,17.85,17.63,17.85,172410,3077518.5000000005
2017-09-08,17.92,18.62,17.88,18.27,253780,4636560.6
2017-09-11,18.69,18.97,17.99,18.34,320470,5877419.8
2017-09-12,17.88,18.55,17.88,18.34,482780,8854185.2
2017-09-13,18.87,19.05,18.13,18.69,585880,10950097.200000001
2017-09-14,19.19,19.75,18.9,19.12,607710,11619415.200000001
2017-09-15,19.4,19.57,18.94,18.94,696120,13184512.8
2017-09-18,18.94,19.08,18.55,18.69,475760,8891954.4
2017-09-19,18.55,18.69,18.27,18.34,1038800,19051592.0
2017-09-20,18.34,18.34,17.78,17.78,1205870,21440368.6
2017-09-21,17.78,18.06,17.78,17.99,1105750,19892442.5
2017-09-22,18.48,19.22,18.48,19.22,969900,18641478.0
2017-09-25,19.75,20.03,19.19,19.33,268030,5181019.899999999
2017-09-26,19.33,19.33,18.8,19.05,347490,6619684.5
2017-09-27,19.05,19.22,18.9,19.12,212930,4071221.6
2017-09-28,19.26,19.26,19.01,19.05,399530,7611046.5
2017-09-29,19.19,19.22,18.62,18.97,146050,2770568.5
2017-10-02,19.12,19.12,18.55,18.69,176220,3293551.8000000003
2017-10-03,18.69,18.69,18.23,18.34,227080,4164647.2
2017-10-04,18.55,18.62,18.34,18.45,56960,1050912.0
2017-10-05,18.97,18.97,18.41,18.41,136710,2516831.1
2017-10-06,18.27,18.52,18.2,18.3,134870,2468121.0
2017-10-09,18.69,18.69,18.13,18.3,102920,1883436.0
2017-10-10,18.34,18.34,18.13,18.3,141910,2596953.0
2017-10-11,18.13,18.3,18.13,18.3,107260,1962858.0
2017-10-12,18.3,19.05,18.2,19.05,245820,4682871.0
2017-10-13,19.05,19.4,18.76,19.22,347950,6687599.0
2017-10-16,19.05,19.26,19.05,19.15,318450,6098317.5
2017-10-17,19.15,19.15,18.8,18.8,218340,4104792.0
2017-10-18,18.8,19.05,18.69,18.69,81190,1517441.1
2017-10-19,18.41,18.9,18.37,18.76,125880,2361508.8000000003
2017-10-20,18.8,18.94,18.55,18.55,184910,3430080.5
2017-10-23,18.34,18.34,17.92,17.92,816130,14625049.600000001
2017-10-24,17.78,18.06,17.28,17.7,634590,11232243.0
2017-10-25,17.99,18.83,17.99,18.41,909870,16750706.7
2017-10-26,18.55,18.59,18.34,18.34,496990,9114796.6
2017-10-27,18.34,18.41,18.06,18.06,305970,5525818.199999999
2017-10-30,18.06,18.06,17.85,18.06,218990,3954959.4
2017-10-31,17.92,18.06,17.78,17.85,143460,2560761.0
2017-11-01,17.99,18.13,17.88,18.02,142450,2566949.0
2017-11-02,18.06,18.06,16.79,17.63,308420,5437444.6
2017-11-03,17.63,17.78,17.42,17.63,278550,4910836.5
2017-11-06,17.63,17.78,17.63,17.63,62350,1099230.5
2017-11-07,17.63,18.06,17.63,17.99,122000,2194780.0
2017-11-08,17.92,17.92,17.63,17.67,248710,4394705.7
2017-11-09,17.7,17.88,17.63,17.85,90240,1610784.0000000002
2017-11-10,17.88,17.88,17.63,17.67,270440,4778674.800000001
2017-11-13,17.6,17.67,17.28,17.28,163100,2818368.0
2017-11-14,17.28,17.85,17.0,17.32,562720,9746310.4
2017-11-15,17.39,17.63,17.39,17.49,400170,6998973.3
2017-11-16,17.42,18.06,17.42,17.95,254430,4567018.5
2017-11-17,17.95,18.02,17.67,17.67,266190,4703577.300000001
2017-11-20,17.67,17.95,17.56,17.56,158930,2790810.8
2017-11-21,17.78,17.81,17.42,17.46,98690,1723127.4000000001
2017-11-22,17.46,17.81,17.46,17.67,208710,3687905.7
2017-11-23,18.03,18.03,17.53,17.81,216190,3850343.9
2017-11-24,17.81,17.81,17.53,17.6,133290,2345904.0
2017-11-27,17.6,17.67,17.38,17.46,89850,1568781.0
2017-11-28,17.53,17.74,17.03,17.46,324720,5669611.2
2017-11-29,17.46,17.46,16.24,16.28,587020,9556685.600000001
2017-11-30,16.64,16.64,16.14,16.42,159140,2613078.8000000003
2017-12-01,16.42,16.99,16.32,16.96,239280,4058188.8000000003
2017-12-04,16.96,17.21,16.53,16.96,340630,5777084.800000001
2017-12-05,16.96,16.96,16.67,16.89,121990,2060411.1
2017-12-06,16.96,16.96,16.57,16.67,144070,2401646.9000000004
2017-12-07,16.74,16.85,16.42,16.67,93600,1560312.0000000002
2017-12-08,16.67,16.67,16.28,16.39,464320,7610204.8
2017-12-11,16.39,16.39,16.24,16.24,191290,3106549.5999999996
2017-12-12,16.24,16.24,15.43,15.67,140320,2198814.4
2017-12-13,15.39,15.67,15.32,15.67,266020,4168533.4
2017-12-14,15.67,15.75,14.96,14.96,363340,5435566.4
2017-12-15,14.96,16.0,14.96,16.0,494780,7916480.0
2017-12-18,16.39,16.39,16.03,16.39,188120,3083286.8000000003
2017-12-19,16.32,16.32,16.03,16.03,124010,1987880.3
2017-12-20,16.21,16.28,15.96,16.21,114030,1848426.3
2017-12-21,16.21,16.32,15.92,16.32,97660,1593811.2
2017-12-22,16.03,16.24,16.03,16.24,156870,2547568.8
2017-12-25,16.24,16.49,16.1,16.21,182590,2959783.9000000004
2017-12-26,16.03,16.21,15.96,16.17,153420,2480801.4000000004
2017-12-27,16.03,16.17,15.82,16.1,113030,1819783.0000000002
2017-12-28,16.28,16.28,16.0,16.17,175190,2832822.3000000003
2017-12-29,15.82,16.17,15.82,16.17,117160,1894477.2000000002
2018-01-02,16.96,16.96,16.1,16.53,433820,7171044.600000001
2018-01-03,16.67,17.63,16.17,17.63,306380,5401479.399999999
2018-01-04,17.74,18.24,17.74,18.17,446070,8105091.9
2018-01-05,18.17,18.24,17.74,17.95,140980,2530591.0
2018-01-08,17.95,17.95,17.49,17.88,172230,3079472.4
2018-01-09,17.74,19.02,17.74,19.02,893460,16993609.2
