time,open,high,low,close,volume,amounts
2010-01-04,12.95,12.95,12.95,12.95,247810,3209139.5
2010-01-05,13.59,13.59,13.59,13.59,288720,3923704.8
2010-01-06,14.22,14.22,13.9,14.22,1306580,18579567.6
2010-01-07,14.43,14.85,14.11,14.43,2804340,40466626.199999996
2010-01-08,14.53,14.64,13.9,13.9,1504570,20913523.0
2010-01-11,14.22,14.22,13.59,13.59,629400,8553546.0
2010-01-12,13.59,13.69,12.95,12.95,762290,9871655.5
2010-01-13,12.95,13.17,12.43,13.06,1180890,15422423.4
2010-01-14,13.71,13.71,13.71,13.71,41960,575271.6000000001
2010-01-15,14.39,14.39,14.29,14.39,2314920,33311698.8
2010-01-18,14.13,14.13,13.68,13.68,977220,13368369.6
2010-01-19,13.68,13.91,13.49,13.49,720030,9713204.7
2010-01-20,13.75,13.75,13.39,13.42,403860,5419801.2
2010-01-21,13.01,13.39,12.78,12.78,794460,10153198.799999999
2010-01-22,12.24,12.81,12.17,12.36,1003320,12401035.2
2010-01-25,12.52,12.65,12.2,12.46,305720,3809271.2
2010-01-26,12.78,13.07,12.78,13.07,886390,11585117.3
2010-01-27,13.17,13.33,12.52,12.69,592510,7518951.899999999
2010-01-28,12.69,12.75,12.46,12.52,285240,3571204.8
2010-01-29,12.52,12.78,12.27,12.52,246990,3092314.8
2010-02-01,12.43,12.69,12.2,12.69,689050,8744044.5
2010-02-02,12.81,12.81,12.52,12.72,796580,10132497.6
2010-02-03,12.72,13.17,12.69,12.94,664140,8593971.6
2010-02-04,12.78,13.01,12.52,12.94,727840,9418249.6
2010-02-05,12.69,12.97,12.69,12.69,660950,8387455.5
2010-02-08,12.69,12.69,12.56,12.56,347150,4360204.0
2010-02-09,12.43,12.46,12.14,12.14,375130,4554078.2
2010-02-10,12.52,12.52,12.14,12.3,460110,5659353.0
2010-02-11,12.3,12.52,12.2,12.52,300610,3763637.1999999997
2010-02-12,12.52,12.75,12.52,12.59,605950,7628910.5
2010-02-22,12.75,12.75,12.59,12.59,243840,3069945.6
2010-02-23,12.52,12.52,12.04,12.2,419690,5120218.0
2010-02-24,12.04,12.2,12.01,12.2,627060,7650132.0
2010-02-25,12.27,12.3,12.14,12.2,607670,7413574.0
2010-02-26,12.2,12.3,12.08,12.2,387300,4725060.0
2010-03-01,12.24,12.33,12.2,12.24,559380,6846811.2
2010-03-02,12.24,12.27,12.17,12.17,468940,5706999.8
2010-03-03,12.27,12.52,12.2,12.52,703610,8809197.2
2010-03-04,12.75,13.14,12.72,12.72,880760,11203267.200000001
2010-03-05,12.69,12.85,12.65,12.75,610470,7783492.5
2010-03-08,13.14,13.36,12.94,13.26,1180840,15657938.4
2010-03-09,13.26,13.84,13.2,13.75,1757190,24161362.5
2010-03-10,13.65,13.81,13.39,13.52,1019250,13780260.0
2010-03-11,13.46,13.62,13.36,13.46,836210,11255386.600000001
2010-03-12,13.52,14.1,13.52,14.1,2285010,32218641.0
2010-03-15,14.42,14.42,13.81,13.81,1261720,17424353.2
2010-03-16,13.65,13.81,13.17,13.17,1125940,14828629.8
2010-03-17,13.33,13.49,13.1,13.1,962640,12610584.0
2010-03-18,13.17,13.33,12.88,13.2,945490,12480468.0
2010-03-19,13.3,13.33,13.1,13.1,642800,8420680.0
2010-03-22,13.14,13.49,13.1,13.17,1251700,16484889.0
2010-03-23,13.01,13.17,12.88,12.91,703900,9087349.0
2010-03-24,13.17,13.17,12.88,13.04,675800,8812432.0
2010-03-25,12.91,12.97,12.59,12.59,1355260,17062723.4
2010-03-26,12.65,12.65,12.43,12.49,575780,7191492.2
2010-03-29,12.49,12.69,12.46,12.65,667780,8447417.0
2010-03-30,12.56,12.62,12.46,12.49,622490,7774900.100000001
2010-03-31,12.49,12.69,12.4,12.4,481350,5968740.0
2010-04-01,12.49,12.85,12.36,12.85,1001710,12871973.5
2010-04-02,12.75,12.85,12.62,12.69,576150,7311343.5
2010-04-05,12.85,12.91,12.75,12.85,717170,9215634.5
2010-04-06,12.88,13.01,12.78,12.78,1029410,13155859.799999999
2010-04-07,12.78,12.85,12.69,12.69,442200,5611518.0
2010-04-08,12.72,12.91,12.69,12.69,1020470,12949764.299999999
2010-04-09,12.81,13.01,12.72,12.97,1304150,16914825.5
2010-04-12,13.17,13.62,13.1,13.55,3193370,43270163.5
2010-04-13,13.49,13.49,13.23,13.23,1087210,14383788.3
2010-04-14,13.17,13.23,12.97,13.04,725630,9462215.2
2010-04-15,13.17,13.17,13.04,13.17,1022060,13460530.2
2010-04-16,13.2,13.23,13.07,13.07,1259040,16455652.8
2010-04-19,13.1,13.23,12.97,13.07,930480,12161373.6
2010-04-20,13.17,13.17,13.01,13.07,717450,9377071.5
2010-04-21,13.07,13.17,13.04,13.07,1136910,14859413.700000001
2010-04-22,13.17,13.71,13.14,13.33,1649280,21984902.4
2010-04-26,13.36,13.55,13.23,13.23,639510,8460717.3
2010-04-27,13.23,13.23,13.1,13.23,465210,6154728.3
2010-04-28,13.17,13.39,13.17,13.3,749510,9968483.0
2010-04-29,13.49,13.68,13.49,13.62,2252190,30674827.799999997
2010-05-04,13.94,14.26,13.81,13.97,3922200,54793134.0
2010-05-05,13.81,14.16,13.68,13.81,1265170,17471997.7
2010-05-06,13.97,14.03,13.71,13.81,1002900,13850049.0
2010-05-07,13.68,13.75,13.3,13.49,1747480,23573505.2
2010-05-10,13.33,13.39,13.07,13.17,1296120,17069900.4
2010-05-11,13.17,13.46,13.14,13.2,803760,10609632.0
2010-05-12,13.07,13.14,12.75,12.78,1486350,18995553.0
2010-05-13,13.07,13.1,12.72,12.85,567840,7296744.0
2010-05-14,12.88,13.04,12.85,12.85,523120,6722092.0
2010-05-17,12.85,12.85,12.43,12.43,1131260,14061561.799999999
2010-05-18,12.4,12.65,12.36,12.65,1111680,14062752.0
2010-05-19,12.52,12.52,12.27,12.4,759870,9422388.0
2010-05-20,12.2,13.01,12.17,13.01,1024460,13328224.6
2010-05-21,12.36,12.65,12.36,12.36,1825410,22562067.599999998
2010-05-24,12.4,12.59,12.27,12.49,863860,10789611.4
2010-05-25,12.49,12.56,12.4,12.46,520470,6485056.2
2010-05-26,12.52,12.56,12.46,12.52,820310,10270281.2
2010-05-27,12.43,12.52,12.4,12.52,511460,6403479.2
2010-05-28,12.78,12.81,12.62,12.78,1239510,15840937.799999999
2010-05-31,12.49,12.72,12.49,12.56,381530,4792016.8
2010-06-01,12.49,12.59,12.46,12.56,443860,5574881.600000001
2010-06-02,12.49,12.72,12.49,12.69,649570,8243043.3
2010-06-03,12.81,12.81,12.65,12.65,415390,5254683.5
2010-06-04,12.65,12.69,12.49,12.52,472460,5915199.2
2010-06-07,12.2,12.36,12.14,12.17,778460,9473858.2
2010-06-08,12.08,12.24,12.08,12.17,578180,7036450.6
2010-06-09,12.2,12.36,12.2,12.27,534370,6556719.899999999
2010-06-10,12.27,12.52,12.27,12.33,219710,2709024.3
2010-06-11,12.33,12.56,12.33,12.4,619600,7683040.0
2010-06-14,12.43,12.49,12.43,12.49,339170,4236233.3
2010-06-15,12.49,12.52,12.46,12.52,458800,5744176.0
2010-06-16,12.78,12.97,12.72,12.94,857600,11097344.0
2010-06-17,12.94,12.94,12.72,12.72,241710,3074551.2
2010-06-18,12.72,12.78,12.65,12.65,250110,3163891.5
2010-06-21,12.69,12.72,12.65,12.65,300860,3805879.0
2010-06-22,12.69,12.69,12.56,12.56,336710,4229077.600000001
2010-06-23,12.52,12.59,12.49,12.59,425750,5360192.5
2010-06-24,12.59,12.85,12.59,12.75,681570,8690017.5
2010-06-25,12.52,12.69,12.52,12.59,604360,7608892.4
2010-06-28,12.56,12.59,12.49,12.52,375540,4701760.8
2010-06-29,12.52,12.65,12.52,12.52,304830,3816471.6
2010-06-30,12.33,12.52,12.27,12.52,733890,9188302.799999999
2010-07-01,12.65,12.65,12.49,12.49,656260,8196687.4
2010-07-02,12.69,12.69,12.46,12.52,319450,3999514.0
2010-07-05,12.52,12.59,12.52,12.52,208100,2605412.0
2010-07-06,12.52,12.52,12.43,12.43,186540,2318692.1999999997
2010-07-07,12.49,12.56,12.4,12.46,498230,6207945.800000001
2010-07-08,12.52,12.56,12.46,12.46,370680,4618672.800000001
2010-07-09,12.49,12.52,12.43,12.43,319760,3974616.8
2010-07-12,12.36,12.43,12.3,12.43,309160,3842858.8
2010-07-13,12.52,12.78,12.46,12.69,491380,6235612.2
2010-07-14,13.26,13.26,12.85,12.85,1285010,16512378.5
2010-07-15,12.85,12.85,12.69,12.69,296970,3768549.3
2010-07-16,12.69,12.81,12.62,12.65,329890,4173108.5
2010-07-19,12.65,12.69,12.56,12.56,249250,3130580.0
2010-07-20,12.56,12.69,12.52,12.52,375470,4700884.399999999
2010-07-21,12.56,12.56,12.46,12.52,259820,3252946.4
2010-07-22,12.33,12.43,12.24,12.24,661410,8095658.4
2010-07-23,12.36,12.36,12.27,12.27,355040,4356340.8
2010-07-26,12.27,12.4,12.27,12.33,393230,4848525.9
2010-07-27,12.36,12.49,12.3,12.3,316830,3897009.0
2010-07-28,12.36,12.36,12.2,12.2,429650,5241730.0
2010-07-29,12.24,12.33,12.17,12.24,355360,4349606.4
2010-07-30,12.24,12.46,12.24,12.33,387880,4782560.4
2010-08-02,12.3,12.33,12.27,12.27,261570,3209463.9
2010-08-03,12.3,12.33,12.2,12.2,402580,4911476.0
2010-08-04,12.2,12.2,12.11,12.14,410790,4986990.600000001
2010-08-05,12.2,12.2,12.11,12.11,109120,1321443.2
2010-08-06,12.08,12.08,11.88,11.88,329510,3914578.8000000003
2010-08-09,11.88,11.88,11.3,11.3,509300,5755090.0
2010-08-10,11.11,11.24,10.85,11.05,463420,5120791.0
2010-08-11,11.05,11.18,10.98,11.08,197910,2192842.8
2010-08-12,10.92,10.92,10.57,10.57,498480,5268933.600000001
2010-08-13,10.57,11.05,10.57,11.05,705780,7798869.000000001
2010-08-16,11.4,11.56,11.21,11.56,506270,5852481.2
2010-08-17,11.3,11.43,11.24,11.37,475420,5405525.399999999
2010-08-18,11.37,11.37,11.05,11.08,320440,3550475.2
2010-08-19,10.98,11.24,10.95,11.02,419850,4626747.0
2010-08-20,11.02,11.18,10.85,11.02,366210,4035634.1999999997
2010-08-23,10.82,11.02,10.82,10.89,273180,2974930.2
2010-08-24,10.66,10.73,10.57,10.6,766770,8127762.0
2010-08-25,10.31,10.5,10.21,10.41,1207550,12570595.5
2010-08-26,10.41,10.5,10.31,10.41,815660,8491020.6
2010-08-27,10.37,10.5,10.31,10.44,652510,6812204.399999999
2010-08-30,10.89,10.95,10.89,10.95,394800,4323060.0
2010-08-31,10.98,11.5,10.95,11.43,587800,6718554.0
2010-09-01,11.53,11.53,11.24,11.47,303450,3480571.5
2010-09-06,11.56,12.01,11.56,11.88,686540,8156095.2
2010-09-07,11.59,11.91,11.59,11.72,469820,5506290.4
2010-09-08,11.56,11.75,11.5,11.56,429690,4967216.4
2010-09-09,11.88,11.88,11.63,11.75,252290,2964407.5
2010-09-10,11.75,11.75,11.43,11.43,229960,2628442.8
2010-09-13,11.08,11.56,11.08,11.47,471060,5403058.2
2010-09-14,11.69,11.69,11.3,11.66,233190,2718995.4
2010-09-15,11.79,11.79,11.43,11.63,486150,5653924.5
2010-09-16,11.43,11.59,11.43,11.59,354230,4105525.6999999997
2010-09-17,11.69,11.82,11.66,11.79,319490,3766787.0999999996
2010-09-20,11.79,11.91,11.72,11.72,223700,2621764.0
2010-09-21,11.47,11.82,11.47,11.72,320920,3761182.4000000004
