time,open,high,low,close,volume,amounts
2010-01-22,10.55,10.55,8.59,10.55,117370,1238253.5
2010-01-25,10.04,10.04,10.04,10.04,5280,53011.2
2010-01-26,9.56,9.56,9.56,9.56,32860,314141.60000000003
2010-01-27,9.11,9.11,9.11,9.11,7740,70511.4
2010-01-28,8.65,8.65,8.65,8.65,2490,21538.5
2010-01-29,8.23,8.23,8.23,8.23,30530,251261.90000000002
2010-02-01,8.14,8.44,8.14,8.23,112910,929249.3
2010-02-02,8.14,8.2,7.9,7.9,46370,366323.0
2010-02-03,7.93,8.29,7.9,8.29,40270,333838.3
2010-02-04,8.59,8.59,8.32,8.32,24700,205504.0
2010-02-05,8.02,8.14,7.96,7.96,26520,211099.2
2010-02-08,7.96,7.99,7.84,7.84,30380,238179.19999999998
2010-02-09,7.57,7.84,7.57,7.57,24180,183042.6
2010-02-10,7.63,7.84,7.6,7.84,19310,151390.4
2010-02-11,7.84,7.96,7.78,7.96,7710,61371.6
2010-02-12,8.11,8.11,7.84,7.84,5570,43668.799999999996
2010-02-22,8.14,8.14,7.9,8.11,950,7704.499999999999
2010-02-23,7.83,8.33,7.8,8.14,7420,60398.8
2010-02-24,8.14,8.33,7.86,8.33,21160,176262.8
2010-02-25,8.02,8.33,7.99,7.99,5840,46661.6
2010-02-26,7.67,8.14,7.61,7.67,24740,189755.8
2010-03-01,7.7,7.89,7.67,7.7,11060,85162.0
2010-03-02,7.83,7.83,7.58,7.83,25780,201857.4
2010-03-03,7.83,7.83,7.67,7.83,18140,142036.2
2010-03-04,7.96,7.96,7.52,7.83,13450,105313.5
2010-03-05,7.8,7.8,7.61,7.7,36370,280049.0
2010-03-08,7.7,7.77,7.67,7.74,66150,512001.0
2010-03-09,7.77,7.96,7.67,7.77,49710,386246.69999999995
2010-03-10,7.77,7.77,7.45,7.7,43890,337953.0
2010-03-11,7.61,7.7,7.55,7.55,32100,242355.0
2010-03-12,7.74,7.74,7.52,7.58,25050,189879.0
2010-03-15,7.58,7.8,7.58,7.58,30480,231038.4
2010-03-16,7.55,7.58,7.36,7.49,39430,295330.7
2010-03-17,7.49,7.49,7.3,7.3,45610,332953.0
2010-03-18,7.3,7.64,7.3,7.64,93120,711436.7999999999
2010-03-19,7.64,7.67,7.58,7.58,94770,718356.6
2010-03-22,7.52,7.58,7.36,7.36,28960,213145.6
2010-03-23,7.11,7.36,7.08,7.08,45050,318954.0
2010-03-24,7.08,7.2,6.89,6.89,80470,554438.2999999999
2010-03-25,6.89,6.95,6.86,6.89,67070,462112.3
2010-03-26,6.89,6.92,6.83,6.89,41230,284074.7
2010-03-29,6.89,6.98,6.89,6.89,56500,389285.0
2010-03-30,6.76,6.89,6.58,6.58,48430,318669.4
2010-03-31,6.58,6.89,6.58,6.89,88480,609627.2
2010-04-01,7.05,7.23,7.02,7.23,157200,1136556.0
2010-04-02,7.58,7.58,7.58,7.58,74940,568045.2
2010-04-05,7.96,7.96,7.96,7.96,191930,1527762.8
2010-04-06,8.33,8.33,8.14,8.14,343680,2797555.2
2010-04-07,8.14,8.49,8.02,8.3,152330,1264339.0
2010-04-08,8.24,8.39,8.21,8.39,144790,1214788.1
2010-04-09,8.49,8.77,8.36,8.77,254550,2232403.5
2010-04-12,8.77,9.08,8.71,9.08,182780,1659642.4
2010-04-13,9.08,9.52,9.08,9.52,220630,2100397.6
2010-04-14,9.87,9.99,9.71,9.99,251400,2511486.0
2010-04-15,10.34,10.46,10.18,10.46,307030,3211533.8000000003
2010-04-16,10.81,10.81,9.96,9.96,191940,1911722.4000000001
2010-04-19,9.9,10.18,9.49,9.55,177990,1699804.5000000002
2010-04-20,9.55,10.02,9.55,10.02,269350,2698887.0
2010-04-21,10.34,10.34,9.71,10.02,75680,758313.6
2010-04-22,9.87,9.99,9.58,9.71,179680,1744692.8
2010-04-26,9.71,9.87,9.65,9.65,138830,1339709.5
2010-04-27,9.55,9.71,9.4,9.4,83610,785934.0
2010-04-28,9.4,9.83,8.96,9.08,128180,1163874.4
2010-04-29,9.08,9.4,9.05,9.08,144790,1314693.2
2010-05-04,9.08,9.36,9.02,9.05,84680,766354.0000000001
2010-05-05,8.77,9.05,8.77,8.77,101450,889716.5
2010-05-06,8.68,9.21,8.68,9.21,301310,2775065.1
2010-05-07,9.65,9.65,8.83,8.83,335050,2958491.5
2010-05-10,8.77,9.27,8.64,9.21,58130,535377.3
2010-05-11,9.4,9.4,8.96,8.96,38580,345676.80000000005
2010-05-12,8.77,8.77,8.52,8.52,167440,1426588.7999999998
