time,open,high,low,close,volume,amounts
2010-01-20,24.6,24.6,24.6,24.6,137060,3371676.0
2010-01-21,25.03,25.03,24.39,24.6,212560,5228976.0
2010-01-22,24.17,24.6,24.17,24.6,19190,472074.0
2010-01-25,23.74,24.39,23.52,23.52,33450,786744.0
2010-01-26,24.17,24.6,24.17,24.6,67000,1648200.0
2010-01-27,24.6,24.6,23.52,23.52,28850,678552.0
2010-01-28,23.52,23.52,22.44,22.44,30680,688459.2000000001
2010-01-29,22.23,23.52,22.23,23.52,105920,2491238.4
2010-02-01,24.39,24.6,24.17,24.6,110270,2712642.0
2010-02-02,24.6,25.25,24.6,25.25,77170,1948542.5
2010-02-03,25.25,25.25,24.82,25.25,26300,664075.0
2010-02-04,25.25,25.25,25.03,25.25,58630,1480407.5
2010-02-05,25.03,25.25,24.6,24.6,82160,2021136.0000000002
2010-02-08,24.39,24.82,24.39,24.39,39450,962185.5
2010-02-09,24.39,24.6,23.95,24.39,51680,1260475.2
2010-02-10,24.6,25.03,23.31,25.03,69350,1735830.5
2010-02-11,25.03,25.03,24.82,25.03,27900,698337.0
2010-02-12,24.82,25.25,24.82,25.25,22770,574942.5
2010-02-22,25.68,25.68,25.03,25.25,92840,2344210.0
2010-02-23,24.82,24.82,24.6,24.6,32960,810816.0
2010-02-24,24.6,25.68,24.6,25.46,206860,5266655.600000001
2010-02-25,26.11,26.54,25.68,26.54,272450,7230823.0
2010-02-26,26.98,27.84,26.98,27.84,308040,8575833.6
2010-03-01,28.27,28.49,27.84,27.84,112400,3129216.0
2010-03-02,27.84,28.05,27.62,27.62,88550,2445751.0
2010-03-03,27.84,28.27,27.62,28.05,141170,3959818.5
2010-03-04,28.27,28.27,27.62,28.05,116590,3270349.5
2010-03-05,28.05,28.49,28.05,28.49,109850,3129626.5
2010-03-08,28.27,28.49,27.84,27.84,91250,2540400.0
2010-03-09,28.05,28.27,28.05,28.05,25410,712750.5
2010-03-10,28.27,28.27,28.05,28.05,36990,1037569.5
2010-03-11,28.05,28.27,28.05,28.05,32350,907417.5
2010-03-12,28.05,28.92,28.05,28.7,98600,2829820.0
2010-03-15,28.92,29.13,28.7,28.7,73330,2104571.0
2010-03-16,28.49,28.49,27.84,28.27,27360,773467.2
2010-03-17,28.49,28.49,27.84,27.84,49390,1375017.6
2010-03-18,27.19,28.27,27.19,28.27,23950,677066.5
2010-03-19,28.27,28.27,27.84,27.84,24750,689040.0
2010-03-22,27.84,28.27,27.84,28.05,40470,1135183.5
2010-03-23,27.84,28.05,27.84,27.84,62820,1748908.8
2010-03-24,28.05,28.27,27.84,28.27,33630,950720.1
2010-03-25,27.84,28.05,27.62,27.84,88700,2469408.0
2010-03-26,28.05,28.27,28.05,28.27,56070,1585098.9
2010-03-29,28.05,28.05,28.05,28.05,57010,1599130.5
2010-03-30,27.62,27.84,27.62,27.84,17990,500841.6
2010-03-31,27.84,28.92,27.84,28.27,64210,1815216.7
2010-04-01,28.49,28.49,28.05,28.49,36590,1042449.1
2010-04-02,28.7,28.7,28.49,28.49,13970,398005.3
2010-04-05,28.49,28.49,28.27,28.27,43160,1220133.2
2010-04-06,28.27,28.49,28.27,28.27,40360,1140977.2
2010-04-07,28.27,28.49,28.27,28.27,30820,871281.4
2010-04-08,28.49,29.35,28.49,28.92,74500,2154540.0
2010-04-09,29.13,30.21,29.13,30.21,154550,4668955.5
2010-04-12,31.72,31.72,30.86,31.08,95000,2952600.0
2010-04-13,31.08,31.51,30.64,30.86,84300,2601498.0
