time,open,high,low,close,volume,amounts
2010-01-04,7.79,8.02,7.66,8.02,273690,2194993.8
2010-01-05,8.31,8.31,8.1,8.18,412620,3375231.6
2010-01-06,7.79,7.97,7.79,7.81,395370,3087839.6999999997
2010-01-07,7.71,7.76,7.68,7.68,175450,1347456.0
2010-01-08,7.79,7.79,7.6,7.6,258380,1963688.0
2010-01-11,7.66,7.68,7.58,7.68,237870,1826841.5999999999
2010-01-12,7.73,7.73,7.55,7.55,247870,1871418.5
2010-01-13,7.55,7.66,7.4,7.55,190590,1438954.5
2010-01-14,7.66,7.66,7.55,7.55,77050,581727.5
2010-01-15,7.53,7.6,7.53,7.53,199230,1500201.9000000001
2010-01-18,7.53,7.53,7.42,7.42,143420,1064176.4
2010-01-19,7.53,7.53,7.47,7.5,101580,761850.0
2010-01-20,7.53,7.53,7.27,7.27,96630,702500.1
2010-01-21,7.42,7.42,7.27,7.27,191590,1392859.2999999998
2010-01-22,7.27,7.29,7.22,7.27,135450,984721.5
2010-01-25,7.27,7.37,7.27,7.37,130190,959500.3
2010-01-26,7.5,7.53,7.4,7.53,120710,908946.3
2010-01-27,7.32,7.4,7.29,7.29,47270,344598.3
2010-01-28,7.29,7.42,7.27,7.4,154950,1146630.0
2010-01-29,7.4,7.4,7.27,7.27,101600,738632.0
2010-02-01,7.27,7.4,7.24,7.24,38590,279391.60000000003
2010-02-02,7.19,7.27,7.19,7.24,52450,379738.0
2010-02-03,7.24,7.27,7.22,7.22,93970,678463.4
2010-02-04,7.27,7.27,7.22,7.27,88290,641868.2999999999
2010-02-05,7.22,7.27,7.19,7.19,99030,712025.7000000001
2010-02-08,7.14,7.14,7.06,7.14,116890,834594.6
2010-02-09,7.14,7.14,7.09,7.09,51270,363504.3
2010-02-10,7.22,7.22,7.19,7.22,46160,333275.2
2010-02-11,7.32,7.53,7.22,7.53,148930,1121442.9000000001
2010-02-12,7.58,7.58,7.47,7.53,103980,782969.4
2010-02-22,7.76,7.76,7.53,7.76,265740,2062142.4
2010-02-23,7.76,7.79,7.66,7.79,523330,4076740.7
2010-02-24,7.81,8.05,7.73,8.05,717780,5778129.000000001
2010-02-25,8.05,8.12,7.86,8.12,729340,5922240.8
2010-02-26,8.05,8.41,7.99,8.41,1249980,10512331.8
2010-03-01,8.51,8.82,8.51,8.8,1230530,10828664.0
2010-03-02,8.64,8.69,8.41,8.41,553510,4655019.1
2010-03-03,8.41,8.41,8.05,8.25,407930,3365422.5
2010-03-04,8.25,8.54,8.25,8.41,336880,2833160.8000000003
2010-03-05,8.31,8.41,8.18,8.18,291420,2383815.6
2010-03-08,8.18,8.18,8.05,8.15,627100,5110865.0
2010-03-09,8.05,8.31,8.05,8.31,304670,2531807.7
2010-03-10,8.36,8.38,8.28,8.31,306080,2543524.8000000003
2010-03-11,8.18,8.31,8.1,8.12,116510,946061.2
2010-03-12,8.12,8.18,8.1,8.15,166190,1354448.5
2010-03-15,8.18,8.23,8.05,8.05,248500,2000425.0000000002
2010-03-16,7.79,8.02,7.73,7.73,364920,2820831.6
2010-03-17,7.63,7.73,7.37,7.37,883980,6514932.600000001
2010-03-18,7.4,7.5,7.4,7.5,1031040,7732800.0
2010-03-19,7.55,7.55,7.16,7.16,2030350,14537306.0
2010-03-22,7.5,7.5,7.5,7.5,194560,1459200.0
2010-03-23,7.66,7.73,7.55,7.58,297510,2255125.8
2010-03-24,7.58,7.6,7.47,7.53,292750,2204407.5
2010-03-25,7.37,7.37,7.24,7.32,386700,2830644.0
2010-03-26,7.32,7.5,7.29,7.5,372210,2791575.0
2010-03-29,7.4,7.5,7.37,7.5,161680,1212600.0
2010-03-30,7.47,7.47,7.35,7.35,69320,509502.0
2010-03-31,7.29,7.4,7.27,7.27,138370,1005949.8999999999
2010-04-01,7.29,7.35,7.27,7.35,87970,646579.5
2010-04-02,7.45,7.45,7.32,7.32,146450,1072014.0
2010-04-05,7.47,7.47,7.32,7.32,222300,1627236.0
2010-04-06,7.32,7.42,7.32,7.4,241450,1786730.0
2010-04-07,7.42,7.42,7.37,7.37,80420,592695.4
2010-04-08,7.37,7.37,7.29,7.32,120420,881474.4
2010-04-09,7.32,7.35,7.32,7.32,146760,1074283.2
2010-04-12,7.35,7.53,7.32,7.53,341420,2570892.6
2010-04-13,7.5,7.5,7.4,7.4,245110,1813814.0
2010-04-14,7.35,7.4,7.32,7.35,90650,666277.5
2010-04-15,7.37,7.4,7.37,7.37,114260,842096.2000000001
2010-04-16,7.4,7.4,7.32,7.32,75220,550610.4
2010-04-19,7.32,7.32,7.24,7.27,138640,1007912.7999999999
2010-04-20,7.22,7.32,7.22,7.24,154100,1115684.0
2010-04-21,7.24,7.27,7.24,7.27,138730,1008567.1
2010-04-22,7.29,7.47,7.29,7.37,194350,1432359.5
2010-04-26,7.4,7.45,7.35,7.35,158330,1163725.5
2010-04-27,7.37,7.4,7.32,7.35,156700,1151745.0
2010-04-28,7.37,7.37,7.32,7.35,79400,583590.0
2010-04-29,7.27,7.35,7.27,7.35,207600,1525860.0
2010-05-04,7.42,7.6,7.35,7.58,579990,4396324.2
2010-05-05,7.53,7.53,7.42,7.45,151250,1126812.5
2010-05-06,7.4,7.45,7.37,7.4,98780,730972.0
2010-05-07,7.27,7.32,7.24,7.29,226080,1648123.2
2010-05-10,7.24,7.24,7.16,7.19,314450,2260895.5
2010-05-11,7.32,7.32,7.19,7.22,124700,900334.0
2010-05-12,7.22,7.22,7.14,7.14,219260,1565516.4
2010-05-13,7.14,7.22,7.14,7.22,169180,1221479.5999999999
2010-05-14,7.14,7.24,7.14,7.14,115190,822456.6
2010-05-17,7.14,7.14,7.01,7.01,246590,1728595.9
2010-05-18,7.01,7.01,6.93,6.98,186380,1300932.4000000001
2010-05-19,6.96,6.96,6.75,6.77,196010,1326987.7
2010-05-20,6.75,6.96,6.75,6.96,195960,1363881.6
2010-05-21,6.75,6.88,6.72,6.72,336410,2260675.1999999997
2010-05-24,6.75,6.88,6.75,6.83,112220,766462.6
2010-05-25,6.83,6.88,6.8,6.83,96940,662100.2
2010-05-26,6.83,6.88,6.83,6.83,231810,1583262.3
2010-05-27,6.83,6.98,6.83,6.98,152920,1067381.6
2010-05-28,7.01,7.09,7.01,7.01,76160,533881.6
