time,open,high,low,close,volume,amounts
2010-01-04,5.06,5.34,4.96,5.34,521700,2785878.0
2010-01-05,5.66,5.66,5.5,5.66,818500,4632710.0
2010-01-06,5.71,5.97,5.4,5.63,953800,5369894.0
2010-01-07,5.68,5.79,5.45,5.47,501900,2745393.0
2010-01-08,5.66,5.84,5.4,5.5,443600,2439800.0
2010-01-11,5.6,5.6,5.27,5.29,259600,1373284.0
2010-01-12,5.32,5.32,5.01,5.01,462800,2318628.0
2010-01-13,4.93,5.32,4.77,5.16,501500,2587740.0
2010-01-14,5.21,5.37,5.16,5.32,317800,1690696.0
2010-01-15,5.34,5.34,5.08,5.14,198600,1020803.9999999999
2010-01-18,5.01,5.01,4.83,4.83,253600,1224888.0
2010-01-19,4.93,5.01,4.75,4.9,175600,860440.0000000001
2010-01-20,4.98,4.98,4.72,4.72,164000,774080.0
2010-01-21,4.64,4.77,4.51,4.57,233300,1066181.0
2010-01-22,4.41,4.72,4.36,4.64,183700,852367.9999999999
2010-01-25,4.62,4.72,4.54,4.7,98400,462480.0
2010-01-26,4.67,4.93,4.67,4.93,233100,1149183.0
2010-01-27,4.98,4.98,4.59,4.64,199200,924287.9999999999
2010-01-28,4.57,4.67,4.54,4.67,141000,658470.0
2010-01-29,4.64,4.67,4.54,4.62,81400,376068.0
2010-02-01,4.67,4.7,4.62,4.67,71000,331570.0
2010-02-02,4.75,4.75,4.57,4.62,58000,267960.0
2010-02-03,4.64,4.67,4.57,4.64,84900,393936.0
2010-02-04,4.64,4.75,4.54,4.67,112400,524908.0
2010-02-05,4.62,4.62,4.54,4.57,108300,494931.00000000006
2010-02-08,4.57,4.57,4.51,4.54,52700,239258.0
2010-02-09,4.54,4.54,4.41,4.46,118700,529402.0
2010-02-10,4.57,4.57,4.46,4.51,45000,202950.0
2010-02-11,4.57,4.64,4.51,4.59,75500,346545.0
2010-02-12,4.67,4.67,4.57,4.64,42800,198592.0
2010-02-22,4.8,4.8,4.67,4.72,81600,385152.0
2010-02-23,4.72,4.72,4.54,4.59,67700,310743.0
2010-02-24,4.49,4.64,4.49,4.62,111900,516978.0
2010-02-25,4.62,4.67,4.57,4.62,61100,282282.0
2010-02-26,4.62,4.62,4.57,4.59,126100,578799.0
2010-03-01,4.62,4.7,4.62,4.67,126300,589821.0
2010-03-02,4.8,4.8,4.62,4.64,81600,378624.0
2010-03-03,4.67,4.9,4.67,4.88,387700,1891976.0
2010-03-04,4.93,5.01,4.8,4.83,141600,683928.0
2010-03-05,4.83,5.01,4.75,4.88,269900,1317112.0
2010-03-08,5.03,5.16,5.03,5.16,605600,3124896.0
2010-03-09,5.45,5.47,5.08,5.21,442300,2304383.0
2010-03-10,5.21,5.21,4.93,4.98,252000,1254960.0
2010-03-11,5.08,5.19,4.93,4.96,162200,804512.0
2010-03-12,5.01,5.06,4.96,5.01,242100,1212921.0
2010-03-15,5.03,5.11,4.93,4.93,277600,1368568.0
2010-03-16,4.96,4.96,4.67,4.77,243000,1159110.0
2010-03-17,4.83,4.93,4.67,4.75,173100,822225.0
2010-03-18,4.85,4.9,4.72,4.88,165500,807640.0
2010-03-19,4.93,4.93,4.75,4.77,409300,1952360.9999999998
2010-03-22,4.75,4.83,4.72,4.8,138300,663840.0
2010-03-23,4.72,4.77,4.62,4.67,262900,1227743.0
2010-03-24,4.77,4.77,4.7,4.75,106100,503975.0
2010-03-25,4.72,4.75,4.57,4.64,160800,746112.0
2010-03-26,4.62,4.7,4.51,4.62,181400,838068.0
