time,open,high,low,close,volume,amounts
2010-01-04,3.23,3.37,3.23,3.37,435200,1466624.0
2010-01-05,3.58,3.58,3.39,3.42,168000,574560.0
2010-01-06,3.55,3.55,3.31,3.32,54300,180276.0
2010-01-07,3.38,3.38,3.25,3.27,109200,357084.0
2010-01-08,3.38,3.42,3.19,3.28,212500,697000.0
2010-01-11,3.24,3.38,3.18,3.19,133900,427141.0
2010-01-12,3.22,3.22,2.99,3.01,116200,349762.0
2010-01-13,2.97,3.27,2.91,3.18,91200,290016.0
2010-01-14,3.19,3.23,3.14,3.19,122700,391413.0
2010-01-15,3.04,3.1,3.04,3.07,7700,23639.0
2010-01-18,2.92,3.07,2.87,2.99,162700,486473.00000000006
2010-01-19,3.03,3.12,3.03,3.1,116100,359910.0
2010-01-20,3.22,3.22,2.98,2.98,101800,303364.0
2010-01-21,2.9,2.93,2.86,2.92,124300,362956.0
2010-01-22,2.78,3.0,2.78,2.94,78200,229908.0
2010-01-25,2.93,2.94,2.92,2.93,6600,19338.0
2010-01-26,2.96,3.06,2.96,3.06,155600,476136.0
2010-01-27,3.06,3.06,2.87,2.9,39100,113390.0
2010-01-28,2.92,2.92,2.85,2.87,72000,206640.0
2010-01-29,2.92,2.92,2.86,2.87,25600,73472.0
2010-02-01,2.97,2.97,2.89,2.92,31400,91688.0
2010-02-02,2.98,3.12,2.98,3.12,319900,998088.0
2010-02-03,3.33,3.33,3.11,3.14,145100,455614.0
2010-02-04,3.13,3.19,3.1,3.16,63200,199712.0
2010-02-05,3.1,3.13,3.04,3.09,65800,203322.0
2010-02-08,3.09,3.09,2.97,2.97,68900,204633.0
2010-02-09,2.92,2.94,2.83,2.87,75100,215537.0
2010-02-10,2.93,3.01,2.9,2.98,88100,262538.0
2010-02-11,2.99,3.11,2.98,3.1,32900,101990.0
2010-02-12,3.09,3.1,3.02,3.07,6500,19955.0
2010-02-22,3.1,3.1,3.07,3.07,61200,187884.0
2010-02-23,2.87,2.97,2.87,2.92,31200,91104.0
2010-02-24,2.92,3.01,2.89,3.01,20900,62908.99999999999
2010-02-25,3.07,3.07,2.94,2.96,20900,61864.0
2010-02-26,3.05,3.05,2.92,3.01,45700,137557.0
2010-03-01,3.0,3.08,2.94,3.04,59100,179664.0
2010-03-02,3.01,3.04,2.98,2.99,34300,102557.00000000001
2010-03-03,3.1,3.13,3.02,3.13,48900,153057.0
2010-03-04,3.1,3.24,3.1,3.14,81300,255282.0
2010-03-05,3.18,3.18,3.1,3.18,36500,116070.0
2010-03-08,3.17,3.21,3.12,3.19,77600,247544.0
2010-03-09,3.19,3.28,3.18,3.27,265500,868185.0
2010-03-10,3.23,3.28,3.18,3.27,118100,386187.0
2010-03-11,3.28,3.3,3.23,3.26,128000,417280.0
2010-03-12,3.27,3.49,3.27,3.49,630300,2199747.0
2010-03-15,3.64,3.65,3.62,3.65,847300,3092645.0
2010-03-16,3.65,3.87,3.61,3.67,762400,2798008.0
2010-03-17,3.67,3.74,3.51,3.58,283300,1014214.0
2010-03-18,3.56,3.82,3.56,3.74,591200,2211088.0
2010-03-19,3.7,3.92,3.67,3.85,582400,2242240.0
2010-03-22,3.88,4.08,3.83,4.08,897900,3663432.0
2010-03-23,4.08,4.29,4.08,4.12,491300,2024156.0
2010-03-24,4.17,4.24,4.01,4.06,565100,2294306.0
2010-03-25,4.18,4.2,3.81,3.81,627600,2391156.0
2010-03-26,3.83,4.15,3.83,4.01,750200,3008302.0
2010-03-29,4.14,4.3,4.06,4.3,829100,3565130.0
2010-03-30,4.38,4.38,4.12,4.21,304100,1280261.0
2010-03-31,4.2,4.2,3.97,4.06,378600,1537115.9999999998
2010-04-01,4.01,4.11,3.91,4.01,217000,870170.0
2010-04-02,3.98,4.03,3.88,3.92,486200,1905904.0
2010-04-05,3.97,4.15,3.92,4.1,428600,1757259.9999999998
2010-04-06,4.11,4.33,4.11,4.29,945200,4054908.0
2010-04-07,4.31,4.41,4.28,4.34,473200,2053688.0
2010-04-08,4.33,4.37,4.15,4.18,347800,1453804.0
2010-04-09,4.22,4.25,4.08,4.15,464000,1925600.0000000002
2010-04-12,4.2,4.24,4.07,4.12,228700,942244.0
2010-04-13,4.19,4.19,3.97,4.09,193200,790188.0
2010-04-14,4.01,4.11,3.99,4.11,451900,1857309.0000000002
2010-04-15,4.05,4.24,3.76,4.17,487500,2032875.0
2010-04-16,4.11,4.12,4.01,4.03,170700,687921.0
2010-04-19,4.04,4.04,3.91,3.96,462300,1830708.0
2010-04-20,3.95,3.95,3.81,3.88,593300,2302004.0
2010-04-21,3.81,4.05,3.79,4.01,320900,1286809.0
2010-04-22,4.01,4.01,3.78,3.83,183000,700890.0
2010-04-26,3.92,3.92,3.75,3.82,179800,686836.0
2010-04-27,3.8,3.92,3.75,3.88,422600,1639688.0
2010-04-28,3.87,3.95,3.84,3.85,285400,1098790.0
2010-04-29,3.9,3.91,3.8,3.82,269100,1027962.0
2010-05-04,3.84,4.1,3.83,3.93,459700,1806621.0
2010-05-05,3.89,3.95,3.74,3.83,278000,1064740.0
2010-05-06,3.91,3.92,3.8,3.86,253500,978510.0
2010-05-07,3.83,3.86,3.59,3.72,432700,1609644.0
2010-05-10,3.75,3.84,3.57,3.62,235800,853596.0
2010-05-11,3.78,3.79,3.6,3.63,298900,1085007.0
2010-05-12,3.62,3.62,3.43,3.46,311800,1078828.0
2010-05-13,3.3,3.58,3.3,3.42,195700,669294.0
2010-05-14,3.53,3.7,3.45,3.7,307300,1137010.0
2010-05-17,3.85,3.85,3.85,3.85,102900,396165.0
2010-05-18,4.12,4.12,3.94,4.01,1280000,5132800.0
2010-05-19,3.92,3.93,3.78,3.78,280600,1060668.0
2010-05-20,3.56,3.91,3.55,3.74,338000,1264120.0
2010-05-21,3.47,3.65,3.46,3.65,479000,1748350.0
2010-05-24,3.7,3.7,3.38,3.59,331200,1189008.0
2010-05-25,3.47,3.61,3.46,3.49,295300,1030597.0000000001
2010-05-26,3.51,3.73,3.51,3.65,284700,1039155.0
2010-05-27,3.56,3.8,3.51,3.76,267000,1003920.0
2010-05-28,3.92,3.98,3.88,3.97,486000,1929420.0
2010-05-31,3.97,3.97,3.74,3.8,257000,976600.0
2010-06-01,3.79,3.85,3.74,3.81,194800,742188.0
2010-06-02,3.66,4.06,3.66,3.94,647300,2550362.0
2010-06-03,4.2,4.23,4.01,4.05,365600,1480680.0
2010-06-04,4.06,4.11,3.99,4.04,328900,1328756.0
2010-06-07,3.83,3.87,3.76,3.79,451800,1712322.0
2010-06-08,3.78,3.86,3.7,3.83,189000,723870.0
2010-06-09,3.91,3.96,3.78,3.79,218300,827357.0
2010-06-10,3.77,3.87,3.77,3.85,215600,830060.0
2010-06-11,3.95,4.03,3.92,3.92,457000,1791440.0
2010-06-14,4.01,4.06,3.94,4.0,298100,1192400.0
2010-06-15,4.01,4.11,4.0,4.1,500400,2051639.9999999998
2010-06-16,4.2,4.29,4.15,4.23,471700,1995291.0000000002
2010-06-17,4.29,4.38,4.11,4.11,526700,2164737.0
2010-06-18,4.19,4.48,4.19,4.48,921500,4128320.0000000005
2010-06-21,4.66,4.66,4.52,4.66,1431100,6668926.0
2010-06-22,4.79,4.79,4.43,4.47,509700,2278359.0
2010-06-23,4.46,4.83,4.38,4.72,666000,3143520.0
2010-06-24,4.79,4.93,4.67,4.83,749900,3622017.0
2010-06-25,4.79,4.79,4.52,4.68,1062500,4972500.0
2010-06-28,4.7,4.71,4.56,4.66,515400,2401764.0
2010-06-29,4.73,4.73,4.53,4.56,379700,1731431.9999999998
2010-06-30,4.43,4.56,4.28,4.53,479300,2171229.0
2010-07-01,4.4,4.7,4.38,4.65,569100,2646315.0
2010-07-02,4.7,4.81,4.64,4.65,478000,2222700.0
2010-07-05,4.73,4.73,4.62,4.63,155800,721354.0
2010-07-06,4.53,4.61,4.45,4.51,237600,1071576.0
2010-07-07,4.55,4.55,4.35,4.43,454400,2012991.9999999998
2010-07-08,4.5,4.52,4.38,4.41,247100,1089711.0
2010-07-09,4.41,4.53,4.4,4.51,242400,1093224.0
2010-07-12,4.55,4.55,4.46,4.52,131100,592572.0
2010-07-13,4.56,4.65,4.51,4.59,280900,1289331.0
2010-07-14,4.65,4.71,4.56,4.59,332000,1523880.0
2010-07-15,4.56,4.6,4.49,4.52,153900,695627.9999999999
2010-07-16,4.65,4.84,4.58,4.6,667600,3070959.9999999995
2010-07-19,4.65,4.65,4.48,4.52,197800,894055.9999999999
2010-07-20,4.62,4.62,4.43,4.46,324100,1445486.0
2010-07-21,4.52,4.52,4.4,4.41,250500,1104705.0
2010-07-22,4.43,4.43,4.33,4.38,379700,1663086.0
2010-07-23,4.46,4.47,4.36,4.41,294400,1298304.0
2010-07-26,4.43,4.46,4.34,4.35,136900,595515.0
2010-07-27,4.42,4.43,4.34,4.39,147900,649281.0
2010-07-28,4.43,4.46,4.33,4.36,210100,916036.0000000001
2010-07-29,4.37,4.38,4.32,4.37,94300,412091.0
2010-07-30,4.43,4.43,4.36,4.4,161300,709720.0
2010-08-02,4.39,4.39,4.32,4.34,118400,513856.0
2010-08-03,4.34,4.38,4.31,4.32,174400,753408.0
2010-08-04,4.34,4.34,4.21,4.25,281200,1195100.0
2010-08-05,4.25,4.29,4.17,4.2,134900,566580.0
2010-08-06,4.22,4.22,4.16,4.17,156000,650520.0
2010-08-09,4.38,4.38,3.93,3.99,222900,889371.0
2010-08-10,4.15,4.15,3.83,3.95,166400,657280.0
2010-08-11,3.92,4.01,3.92,3.96,179200,709632.0
2010-08-12,3.97,3.98,3.68,3.68,326100,1200048.0
2010-08-13,3.7,3.82,3.65,3.8,337500,1282500.0
2010-08-16,3.81,3.9,3.74,3.84,332100,1275264.0
2010-08-17,3.83,3.84,3.7,3.72,269900,1004028.0
2010-08-18,3.67,3.67,3.53,3.54,166600,589764.0
2010-08-19,3.74,3.79,3.5,3.5,143000,500500.0
2010-08-20,3.51,3.56,3.39,3.47,216600,751602.0
2010-08-23,3.49,3.55,3.38,3.38,81200,274456.0
2010-08-24,3.47,3.47,3.2,3.2,136800,437760.0
2010-08-25,3.11,3.18,3.02,3.02,176600,533332.0
2010-08-26,2.87,3.18,2.83,2.97,259900,771903.0
2010-08-27,2.85,2.96,2.76,2.83,296600,839378.0
2010-08-30,2.97,3.03,2.92,3.03,55500,168165.0
2010-08-31,3.18,3.23,3.02,3.23,440700,1423461.0
2010-09-01,3.28,3.4,3.28,3.4,360100,1224340.0
2010-09-06,3.55,3.61,3.55,3.61,121800,439698.0
2010-09-07,3.83,3.86,3.61,3.7,640500,2369850.0
2010-09-08,3.58,3.64,3.5,3.56,436700,1554652.0
2010-09-09,3.56,3.79,3.56,3.72,416000,1547520.0
2010-09-10,3.79,3.79,3.45,3.47,446500,1549355.0
2010-09-13,3.51,3.51,3.29,3.33,344200,1146186.0
2010-09-14,3.38,3.47,3.33,3.47,250800,870276.0
2010-09-15,3.35,3.39,3.25,3.34,114100,381094.0
2010-09-16,3.28,3.34,3.28,3.34,136600,456244.0
2010-09-17,3.37,3.54,3.37,3.54,315400,1116516.0
2010-09-20,3.65,3.72,3.6,3.65,490700,1791055.0
2010-09-21,3.74,3.74,3.59,3.6,346000,1245600.0
2010-09-22,3.6,3.67,3.59,3.59,185800,667022.0
2010-09-23,3.57,3.61,3.47,3.56,199000,708440.0
2010-09-24,3.51,3.6,3.51,3.54,254200,899868.0
2010-09-27,3.54,3.61,3.54,3.59,161500,579785.0
2010-09-28,3.57,3.7,3.56,3.59,103500,371565.0
2010-09-29,3.59,3.59,3.4,3.46,185700,642522.0
2010-09-30,3.43,3.47,3.39,3.46,74400,257424.0
2010-10-01,3.55,3.55,3.39,3.4,103500,351900.0
2010-10-04,3.41,3.41,3.22,3.25,306400,995800.0
2010-10-05,3.33,3.34,3.22,3.32,266600,885112.0
2010-10-06,3.44,3.47,3.3,3.39,250800,850212.0
2010-10-07,3.38,3.45,3.34,3.37,190000,640300.0
2010-10-08,3.33,3.39,3.3,3.3,143100,472230.0
2010-10-11,3.28,3.33,3.28,3.3,54900,181170.0
2010-10-12,3.38,3.43,3.32,3.43,294200,1009106.0
2010-10-13,3.39,3.5,3.38,3.49,302300,1055027.0
2010-10-14,3.7,3.7,3.36,3.38,377800,1276964.0
2010-10-15,3.38,3.41,3.32,3.33,180300,600399.0
2010-10-18,3.38,3.38,3.33,3.35,134200,449570.0
2010-10-19,3.38,3.39,3.3,3.31,244900,810619.0
2010-10-20,3.28,3.28,3.11,3.11,442000,1374620.0
2010-10-21,3.04,3.24,3.04,3.16,190500,601980.0
2010-10-22,3.22,3.28,3.1,3.11,140100,435711.0
2010-10-25,3.13,3.21,3.09,3.18,241800,768924.0
2010-10-26,3.26,3.36,3.19,3.3,182800,603240.0
2010-10-27,3.42,3.42,3.2,3.2,81300,260160.0
2010-10-28,3.32,3.32,3.15,3.16,197300,623468.0
2010-10-29,3.19,3.26,3.16,3.21,110100,353421.0
2010-11-01,3.28,3.33,3.12,3.12,117100,365352.0
2010-11-02,3.19,3.21,3.05,3.07,158200,485674.0
2010-11-03,3.1,3.1,2.98,3.0,173200,519600.0
2010-11-04,3.03,3.1,3.03,3.05,142700,435235.0
2010-11-05,3.11,3.2,3.11,3.14,108300,340062.0
2010-11-08,3.18,3.19,3.05,3.06,67300,205938.0
2010-11-09,3.02,3.02,2.91,2.91,304900,887259.0
2010-11-10,2.96,2.97,2.81,2.86,120700,345202.0
2010-11-11,2.89,2.89,2.69,2.69,128700,346203.0
2010-11-12,2.91,2.91,2.55,2.55,452000,1152600.0
2010-11-15,2.57,2.57,2.43,2.43,170600,414558.0
2010-11-16,2.47,2.51,2.33,2.36,180500,425980.0
2010-11-17,2.28,2.49,2.28,2.4,308300,739920.0
2010-11-18,2.29,2.55,2.29,2.53,270800,685124.0
2010-11-19,2.55,2.57,2.37,2.37,180100,426837.0
2010-11-22,2.39,2.39,2.31,2.34,198500,464490.0
2010-11-23,2.33,2.42,2.33,2.4,161400,387360.0
2010-11-24,2.39,2.45,2.34,2.4,165800,397920.0
2010-11-25,2.43,2.56,2.43,2.56,277300,709888.0
2010-11-26,2.62,2.69,2.56,2.66,330100,878066.0
2010-11-29,2.55,2.82,2.55,2.82,311600,878712.0
2010-11-30,2.83,2.91,2.83,2.91,370100,1076991.0
2010-12-01,2.97,2.97,2.7,2.7,560800,1514160.0
2010-12-02,2.66,2.82,2.58,2.71,648700,1757977.0
2010-12-03,2.74,2.86,2.74,2.86,516500,1477190.0
2010-12-06,2.92,3.0,2.79,2.83,357200,1010876.0
2010-12-07,2.83,2.87,2.68,2.68,361400,968552.0
2010-12-08,2.59,2.68,2.55,2.55,458500,1169175.0
2010-12-09,2.46,2.64,2.46,2.59,275400,713286.0
2010-12-10,2.63,2.74,2.57,2.74,716100,1962114.0000000002
2010-12-13,3.24,3.38,2.92,3.21,758600,2435106.0
2010-12-14,3.16,3.23,2.96,2.96,330400,977984.0
2010-12-15,2.97,3.07,2.91,2.96,127200,376512.0
2010-12-16,2.91,2.91,2.81,2.85,275800,786030.0
2010-12-17,2.97,3.0,2.83,2.97,267900,795663.0
2010-12-20,2.97,3.02,2.91,2.92,155900,455228.0
2010-12-21,2.96,2.96,2.8,2.89,75100,217039.0
2010-12-22,2.96,2.96,2.83,2.87,85800,246246.0
2010-12-23,2.78,2.88,2.78,2.79,65400,182466.0
2010-12-24,2.86,2.86,2.78,2.81,59100,166071.0
2010-12-27,2.94,2.94,2.78,2.8,47300,132440.0
2010-12-28,2.85,2.94,2.81,2.93,139500,408735.0
2010-12-29,2.89,2.89,2.78,2.78,87000,241859.99999999997
2010-12-30,2.83,2.83,2.69,2.69,124300,334367.0
2010-12-31,2.65,2.78,2.65,2.68,104400,279792.0
2011-01-04,2.83,2.85,2.79,2.83,115900,327997.0
2011-01-05,2.71,2.86,2.71,2.78,112100,311638.0
2011-01-06,2.7,2.76,2.68,2.76,349200,963791.9999999999
2011-01-07,2.64,2.75,2.64,2.7,146300,395010.0
2011-01-10,2.71,2.71,2.6,2.6,213400,554840.0
2011-01-11,2.59,2.61,2.53,2.58,195100,503358.0
2011-01-12,2.64,2.71,2.6,2.66,137400,365484.0
2011-01-13,2.64,2.72,2.63,2.65,68700,182055.0
2011-01-14,2.67,2.72,2.65,2.72,124500,338640.0
2011-01-17,2.72,2.81,2.7,2.72,116600,317152.0
2011-01-18,2.74,2.84,2.64,2.68,268100,718508.0
2011-01-19,2.72,2.8,2.64,2.68,116800,313024.0
2011-01-20,2.67,2.72,2.66,2.67,104800,279816.0
2011-01-21,2.68,2.74,2.61,2.63,207400,545462.0
2011-01-24,2.65,2.65,2.55,2.58,163000,420540.0
2011-01-25,2.59,2.59,2.54,2.55,252300,643365.0
2011-01-26,2.57,2.7,2.57,2.68,82700,221636.0
2011-01-27,2.68,2.82,2.68,2.82,378100,1066242.0
2011-01-28,2.87,2.88,2.75,2.77,247400,685298.0
2011-02-08,2.84,2.84,2.7,2.72,56900,154768.0
2011-02-09,2.75,2.78,2.67,2.68,68300,183044.0
2011-02-10,2.67,2.7,2.64,2.67,68400,182628.0
2011-02-11,2.68,2.68,2.63,2.67,107600,287292.0
2011-02-14,2.65,2.7,2.65,2.66,127900,340214.0
2011-02-15,2.65,2.66,2.63,2.63,106400,279832.0
2011-02-16,2.67,2.67,2.52,2.52,170600,429912.0
2011-02-17,2.61,2.64,2.48,2.55,159500,406725.0
2011-02-18,2.48,2.53,2.34,2.43,153300,372519.0
2011-02-21,2.48,2.48,2.27,2.27,166900,378863.0
2011-02-22,2.23,2.23,2.13,2.17,494900,1073933.0
2011-02-23,2.23,2.25,2.16,2.25,256300,576675.0
2011-02-24,2.05,2.24,2.05,2.17,182300,395591.0
2011-02-25,2.11,2.26,2.11,2.25,168300,378675.0
2011-02-28,2.23,2.3,2.18,2.19,119900,262581.0
2011-03-01,2.23,2.23,2.16,2.18,70000,152600.0
2011-03-02,2.18,2.18,2.03,2.05,175900,360594.99999999994
2011-03-03,2.05,2.11,2.0,2.0,148700,297400.0
2011-03-04,1.91,2.09,1.91,2.07,95000,196649.99999999997
2011-03-07,1.91,2.09,1.91,2.09,108400,226555.99999999997
2011-03-08,2.07,2.11,2.04,2.05,103000,211149.99999999997
2011-03-09,2.03,2.03,1.95,1.96,127600,250096.0
2011-03-10,1.91,2.11,1.91,2.11,182500,385075.0
2011-03-11,2.17,2.24,2.17,2.24,206600,462784.00000000006
2011-03-14,2.29,2.34,2.09,2.1,236600,496860.0
2011-03-15,2.05,2.14,2.05,2.1,112600,236460.0
2011-03-16,2.11,2.14,2.05,2.11,82200,173442.0
2011-03-17,2.16,2.16,2.1,2.13,95800,204054.0
2011-03-18,2.14,2.19,2.11,2.19,163600,358284.0
2011-03-21,2.24,2.29,2.14,2.17,93200,202244.0
2011-03-22,2.17,2.18,2.09,2.1,118200,248220.0
2011-03-23,2.21,2.23,2.1,2.14,89300,191102.0
2011-03-24,2.2,2.21,2.1,2.12,108700,230444.0
2011-03-25,2.12,2.12,2.07,2.07,105500,218384.99999999997
2011-03-28,2.12,2.12,2.09,2.1,40100,84210.0
2011-03-29,2.1,2.1,2.05,2.05,108300,222014.99999999997
2011-03-30,2.05,2.05,2.0,2.04,96900,197676.0
2011-03-31,2.05,2.05,2.02,2.04,52400,106896.0
2011-04-01,2.03,2.05,2.03,2.03,73100,148393.0
2011-04-04,2.04,2.05,2.02,2.04,56300,114852.0
2011-04-05,2.04,2.06,2.03,2.05,49400,101269.99999999999
2011-04-06,2.05,2.14,2.05,2.13,138900,295857.0
2011-04-07,2.11,2.11,2.07,2.07,71900,148833.0
2011-04-08,2.07,2.11,2.07,2.1,73100,153510.0
2011-04-13,2.1,2.1,2.07,2.07,52300,108260.99999999999
2011-04-14,2.06,2.09,2.05,2.07,87800,181746.0
2011-04-15,2.07,2.07,2.02,2.03,59000,119769.99999999999
2011-04-18,2.03,2.03,1.98,1.98,100700,199386.0
2011-04-19,1.89,1.99,1.89,1.95,149700,291915.0
2011-04-20,1.95,1.96,1.88,1.88,185300,348364.0
2011-04-21,1.88,1.9,1.82,1.82,176700,321594.0
2011-04-22,1.78,1.85,1.78,1.83,205900,376797.0
2011-04-25,1.88,1.92,1.86,1.92,96800,185856.0
2011-04-26,1.88,1.91,1.83,1.84,67600,124384.0
2011-04-27,1.85,1.86,1.82,1.85,53900,99715.0
2011-04-28,1.85,1.85,1.77,1.79,53700,96123.0
2011-04-29,1.84,1.84,1.79,1.79,77500,138725.0
2011-05-04,1.83,1.83,1.77,1.79,53700,96123.0
2011-05-05,1.82,1.82,1.76,1.76,62300,109648.0
2011-05-06,1.77,1.78,1.75,1.77,57400,101598.0
2011-05-09,1.78,1.79,1.75,1.79,59800,107042.0
2011-05-10,1.8,1.8,1.76,1.76,53800,94688.0
2011-05-11,1.75,1.77,1.75,1.76,109600,192896.0
2011-05-12,1.76,1.78,1.76,1.76,60100,105776.0
2011-05-13,1.78,1.78,1.73,1.75,34800,60900.0
2011-05-16,1.75,1.75,1.65,1.65,152300,251295.0
2011-05-17,1.65,1.65,1.56,1.57,296300,465191.0
2011-05-18,1.64,1.65,1.56,1.57,127700,200489.0
2011-05-19,1.49,1.58,1.49,1.52,107500,163400.0
2011-05-20,1.54,1.62,1.52,1.59,160800,255672.0
2011-05-23,1.58,1.58,1.49,1.49,169400,252406.0
2011-05-24,1.43,1.49,1.41,1.41,245900,346719.0
2011-05-25,1.37,1.39,1.32,1.34,384800,515632.00000000006
2011-05-26,1.27,1.42,1.25,1.42,211600,300472.0
2011-05-27,1.42,1.45,1.39,1.45,23900,34655.0
2011-05-30,1.55,1.55,1.48,1.5,470400,705600.0
2011-05-31,1.51,1.58,1.45,1.58,222100,350918.0
2011-06-01,1.55,1.64,1.55,1.64,86100,141204.0
2011-06-02,1.73,1.75,1.73,1.75,135500,237125.0
2011-06-03,1.86,1.86,1.7,1.77,583500,1032795.0
2011-06-06,1.8,1.8,1.69,1.76,205000,360800.0
2011-06-07,1.79,1.85,1.79,1.85,290600,537610.0
2011-06-08,1.88,1.97,1.83,1.85,381400,705590.0
2011-06-09,1.82,1.93,1.82,1.92,355800,683136.0
2011-06-10,1.93,2.0,1.93,1.97,326500,643205.0
2011-06-13,2.05,2.11,1.98,2.06,445900,918554.0
2011-06-14,2.04,2.06,1.92,1.96,488200,956872.0
2011-06-15,1.93,1.93,1.86,1.86,338200,629052.0
2011-06-16,1.89,1.93,1.83,1.89,207500,392175.0
2011-06-17,1.93,1.93,1.77,1.77,145400,257358.0
2011-06-20,1.73,1.82,1.72,1.76,153600,270336.0
2011-06-21,1.76,1.88,1.76,1.86,211600,393576.0
2011-06-22,1.8,1.9,1.8,1.82,117200,213304.0
2011-06-23,1.89,1.89,1.8,1.83,116800,213744.0
2011-06-24,1.85,1.85,1.8,1.83,72600,132858.0
2011-06-27,1.79,1.83,1.79,1.82,54400,99008.0
2011-06-28,1.8,1.82,1.75,1.77,147100,260367.0
2011-06-29,1.77,1.82,1.76,1.79,215400,385566.0
2011-06-30,1.79,1.83,1.78,1.79,119000,213010.0
2011-07-01,1.79,1.8,1.71,1.72,189700,326284.0
2011-07-04,1.71,1.73,1.68,1.73,59000,102070.0
2011-07-05,1.75,1.83,1.72,1.8,376200,677160.0
2011-07-06,1.85,1.85,1.73,1.76,35700,62832.0
2011-07-07,1.72,1.76,1.72,1.72,100700,173204.0
2011-07-08,1.73,1.78,1.72,1.78,65500,116590.0
2011-07-11,1.75,1.76,1.7,1.71,143600,245556.0
2011-07-12,1.71,1.75,1.69,1.75,54800,95900.0
2011-07-13,1.76,1.77,1.72,1.75,29700,51975.0
2011-07-14,1.73,1.76,1.72,1.72,37500,64500.0
2011-07-15,1.73,1.76,1.73,1.73,44000,76120.0
2011-07-18,1.72,1.75,1.71,1.73,101800,176114.0
2011-07-19,1.73,1.73,1.7,1.7,75800,128860.0
2011-07-20,1.71,1.76,1.71,1.76,55000,96800.0
2011-07-21,1.77,1.77,1.73,1.73,101600,175768.0
2011-07-22,1.73,1.75,1.71,1.71,67200,114912.0
2011-07-25,1.73,1.73,1.64,1.64,113500,186140.0
2011-07-26,1.66,1.66,1.58,1.59,128300,203997.0
2011-07-27,1.58,1.61,1.56,1.58,123500,195130.0
2011-07-28,1.57,1.61,1.56,1.59,37600,59784.0
2011-07-29,1.59,1.59,1.57,1.58,70500,111390.0
2011-08-01,1.56,1.58,1.56,1.57,23500,36895.0
2011-08-02,1.56,1.56,1.49,1.5,84900,127350.0
2011-08-03,1.51,1.54,1.46,1.54,58200,89628.0
2011-08-04,1.55,1.59,1.55,1.59,92000,146280.0
2011-08-05,1.61,1.63,1.58,1.59,84700,134673.0
2011-08-08,1.58,1.58,1.52,1.55,58600,90830.0
2011-08-09,1.5,1.5,1.44,1.48,105900,156732.0
2011-08-10,1.51,1.56,1.51,1.56,122900,191724.0
2011-08-11,1.55,1.65,1.49,1.64,215900,354076.0
2011-08-12,1.66,1.68,1.62,1.62,95800,155196.0
2011-08-15,1.62,1.63,1.61,1.62,97600,158112.0
2011-08-16,1.62,1.66,1.58,1.63,61000,99430.0
2011-08-17,1.64,1.73,1.64,1.73,245100,424023.0
2011-08-18,1.76,1.8,1.71,1.73,186700,322991.0
2011-08-19,1.68,1.71,1.65,1.69,193300,326677.0
2011-08-22,1.7,1.8,1.7,1.8,253200,455760.0
2011-08-23,1.78,1.8,1.76,1.77,194200,343734.0
2011-08-24,1.78,1.86,1.76,1.76,156500,275440.0
