time,open,high,low,close,volume,amounts
2015-03-31,6.86,7.06,6.55,6.86,3855500,26448730.0
2015-04-01,6.66,6.81,6.4,6.4,2209490,14140736.0
2015-04-02,6.4,6.66,6.4,6.66,935310,6229164.600000001
2015-04-03,6.66,6.76,6.6,6.76,569350,3848806.0
2015-04-06,6.71,7.01,6.66,6.96,2636480,18349900.8
2015-04-07,7.01,7.06,6.91,6.96,1453580,10116916.8
2015-04-08,7.01,7.06,6.91,6.96,1311780,9129988.8
2015-04-09,6.96,7.01,6.86,7.01,1637810,11481048.1
2015-04-10,7.01,7.06,6.96,6.96,1644610,11446485.6
2015-04-13,6.96,7.01,6.91,6.91,682090,4713241.9
2015-04-14,6.91,6.91,6.81,6.81,865310,5892761.1
2015-04-15,6.81,6.91,6.76,6.86,641430,4400209.8
2015-04-16,6.91,6.91,6.81,6.81,910930,6203433.3
2015-04-17,6.86,6.86,6.81,6.86,539770,3702822.2
2015-04-20,6.86,6.91,6.81,6.86,683100,4686066.0
2015-04-21,6.76,6.91,6.76,6.81,659760,4492965.6
2015-04-22,6.76,6.86,6.76,6.81,681400,4640334.0
2015-04-23,6.81,6.86,6.76,6.81,238820,1626364.2
2015-04-24,6.76,6.81,6.71,6.76,265140,1792346.4
2015-04-27,6.81,6.81,6.66,6.76,215330,1455630.8
2015-05-04,6.71,6.71,6.5,6.5,678920,4412980.0
2015-05-05,6.45,6.6,6.35,6.5,244100,1586650.0
2015-05-06,6.5,6.55,6.45,6.5,356100,2314650.0
2015-05-07,6.5,6.55,6.45,6.5,463020,3009630.0
2015-05-08,6.45,6.55,6.45,6.55,273760,1793128.0
2015-05-11,6.55,6.55,6.5,6.5,162530,1056445.0
2015-05-12,6.5,6.55,6.45,6.5,870250,5656625.0
2015-05-13,6.55,6.6,6.45,6.55,531500,3481325.0
2015-05-14,6.55,6.55,6.5,6.5,287330,1867645.0
2015-05-15,6.55,6.55,6.5,6.5,435650,2831725.0
2015-05-18,6.45,6.5,6.4,6.5,733610,4768465.0
2015-05-19,6.5,6.5,6.45,6.5,782140,5083910.0
2015-05-20,6.5,6.6,6.5,6.6,759920,5015472.0
2015-05-21,6.6,6.6,6.5,6.55,696260,4560503.0
2015-05-22,6.55,6.6,6.5,6.55,1130330,7403661.5
2015-05-25,6.55,6.55,6.5,6.55,456140,2987717.0
2015-05-26,6.55,6.55,6.5,6.5,519830,3378895.0
2015-05-27,6.5,6.55,6.45,6.5,677060,4400890.0
2015-05-28,6.5,6.55,6.5,6.5,678810,4412265.0
2015-05-29,6.45,6.6,6.45,6.5,753100,4895150.0
2015-06-01,6.45,6.55,6.45,6.5,296930,1930045.0
2015-06-02,6.5,6.55,6.45,6.5,467000,3035500.0
2015-06-03,6.5,6.55,6.45,6.5,519090,3374085.0
2015-06-04,6.5,6.55,6.45,6.5,415990,2703935.0
2015-06-05,6.5,6.55,6.45,6.5,443250,2881125.0
2015-06-08,6.55,6.96,6.55,6.76,1700970,11498557.2
2015-06-09,6.71,6.76,6.6,6.66,239150,1592739.0
2015-06-10,6.66,6.76,6.6,6.66,156810,1044354.6
2015-06-11,6.66,6.71,6.6,6.66,971140,6467792.4
2015-06-12,6.66,6.66,6.55,6.6,410880,2711808.0
2015-06-15,6.55,6.66,6.55,6.66,830820,5533261.2
2015-06-16,6.66,6.71,6.6,6.6,588200,3882120.0
2015-06-17,6.6,6.66,6.6,6.6,390230,2575518.0
2015-06-18,6.6,6.76,6.6,6.66,554880,3695500.8000000003
2015-06-19,6.66,6.71,6.6,6.66,489170,3257872.2
2015-06-22,6.66,6.66,6.6,6.66,128860,858207.6
2015-06-23,6.6,6.6,6.55,6.55,194720,1275416.0
2015-06-24,6.55,6.6,6.5,6.55,385320,2523846.0
2015-06-25,6.55,6.55,6.5,6.5,728450,4734925.0
2015-06-26,6.5,6.55,6.45,6.45,464600,2996670.0
2015-06-29,6.45,6.55,6.45,6.55,211790,1387224.5
2015-06-30,6.45,6.6,6.45,6.55,810310,5307530.5
2015-07-01,6.55,6.55,6.5,6.55,267310,1750880.5
2015-07-02,6.55,6.66,6.55,6.66,490180,3264598.8000000003
2015-07-03,6.6,6.66,6.6,6.66,415530,2767429.8000000003
2015-07-06,6.6,6.66,6.6,6.6,415090,2739594.0
2015-07-07,6.6,6.86,6.55,6.66,1354390,9020237.4
2015-07-08,6.71,6.71,6.6,6.66,476340,3172424.4
2015-07-09,6.71,6.71,6.6,6.66,406640,2708222.4
2015-07-10,6.6,6.66,6.55,6.55,259290,1698349.5
2015-07-13,6.55,6.76,6.55,6.66,608440,4052210.4
2015-07-14,6.66,6.71,6.6,6.66,382180,2545318.8000000003
2015-07-15,6.66,6.86,6.6,6.76,3658260,24729837.599999998
2015-07-16,6.76,6.76,6.66,6.71,352250,2363597.5
2015-07-17,6.66,6.76,6.66,6.76,341070,2305633.1999999997
2015-07-20,6.66,6.66,6.55,6.55,1386220,9079741.0
2015-07-21,6.6,6.6,6.55,6.55,794360,5203058.0
2015-07-22,6.5,6.55,6.5,6.5,1037430,6743295.0
2015-07-23,6.55,6.6,6.55,6.55,333700,2185735.0
