time,open,high,low,close,volume,amounts
2014-08-26,4.91,5.47,4.91,5.47,22700,124169.0
2014-08-27,6.02,6.02,6.02,6.02,22100,133042.0
2014-08-28,6.61,6.61,6.61,6.61,34603,228725.83000000002
2014-08-29,7.27,7.27,5.95,6.62,27929,184889.98
2014-09-03,6.34,7.02,6.19,6.26,7700,48202.0
2014-09-04,6.26,6.26,5.64,5.64,4251,23975.64
2014-09-05,5.14,5.64,5.08,5.12,16729,85652.48
2014-09-08,5.15,5.47,5.15,5.47,400,2188.0
2014-09-09,5.19,5.43,5.15,5.43,7900,42897.0
2014-09-10,4.98,4.98,4.91,4.95,4500,22275.0
2014-09-11,4.91,4.91,4.84,4.91,2500,12275.0
2014-09-12,4.84,4.84,4.7,4.7,900,4230.0
2014-09-15,4.81,5.16,4.66,5.14,6000,30839.999999999996
2014-09-16,4.77,4.77,4.77,4.77,1200,5723.999999999999
2014-09-17,4.78,5.05,4.78,4.91,1000,4910.0
2014-09-18,5.05,5.12,4.91,5.12,2200,11264.0
2014-09-19,5.12,5.26,5.12,5.26,12400,65224.0
2014-09-22,5.19,5.54,5.19,5.4,13200,71280.0
2014-09-23,5.32,5.36,5.21,5.33,7600,40508.0
2014-09-24,5.33,5.4,5.33,5.4,2500,13500.0
2014-09-25,5.44,5.44,5.29,5.3,3500,18550.0
2014-09-26,5.33,5.36,5.21,5.29,6300,33327.0
2014-09-29,5.32,5.33,5.29,5.33,6400,34112.0
2014-09-30,5.32,5.32,5.26,5.26,900,4734.0
2014-10-01,5.32,5.32,5.32,5.32,6800,36176.0
2014-10-02,5.32,5.32,5.19,5.26,7000,36820.0
2014-10-03,5.26,5.32,5.25,5.26,8100,42606.0
2014-10-06,5.23,5.23,5.21,5.21,3800,19798.0
2014-10-07,5.16,5.16,5.14,5.14,600,3084.0
2014-10-08,5.12,5.12,5.12,5.12,300,1536.0
2014-10-09,5.12,5.12,5.12,5.12,2400,12288.0
2014-10-10,5.05,5.07,5.05,5.05,2700,13635.0
2014-10-13,5.05,5.05,5.05,5.05,600,3030.0
2014-10-14,5.56,5.56,4.98,5.05,2700,13635.0
2014-10-15,5.05,5.05,4.91,4.92,5100,25092.0
2014-10-16,5.05,5.09,5.05,5.09,6800,34612.0
2014-10-17,5.05,5.08,5.05,5.08,1000,5080.0
2014-10-20,5.05,5.07,4.8,5.07,18000,91260.0
2014-10-21,4.91,5.05,4.91,4.98,1380,6872.400000000001
2014-10-22,4.92,4.92,4.85,4.91,11600,56956.0
2014-10-23,5.05,5.05,4.91,5.04,1600,8064.0
2014-10-24,4.95,5.05,4.94,5.04,6400,32256.0
2014-10-27,4.64,5.04,4.64,5.02,4100,20582.0
2014-10-28,5.02,5.02,5.02,5.02,1400,7027.999999999999
2014-10-29,4.7,5.04,4.7,5.04,3100,15624.0
2014-10-30,4.91,4.99,4.91,4.98,2600,12948.000000000002
2014-10-31,4.7,5.02,4.7,5.02,1100,5521.999999999999
2014-11-03,4.91,5.12,4.91,5.02,12400,62247.99999999999
2014-11-04,5.05,5.05,5.05,5.05,4500,22725.0
2014-11-05,5.02,5.02,4.99,4.99,2100,10479.0
2014-11-06,4.98,4.98,4.98,4.98,500,2490.0
2014-11-07,5.02,5.09,4.97,4.97,4700,23359.0
2014-11-10,4.91,4.91,4.91,4.91,100,491.0
2014-11-11,4.92,4.92,4.92,4.92,500,2460.0
2014-11-12,4.92,4.97,4.92,4.95,1300,6435.0
2014-11-13,4.95,4.98,4.92,4.98,3500,17430.0
2014-11-14,4.91,4.95,4.91,4.91,1300,6383.0
2014-11-17,4.98,4.98,4.98,4.98,1100,5478.000000000001
2014-11-18,4.98,4.98,4.97,4.97,1500,7455.0
2014-11-19,4.98,4.99,4.97,4.98,4900,24402.000000000004
2014-11-20,4.98,4.98,4.98,4.98,2000,9960.0
2014-11-21,4.98,5.05,4.98,4.99,2100,10479.0
2014-11-24,4.99,4.99,4.99,4.99,0,0.0
2014-11-25,4.91,4.91,4.91,4.91,1100,5401.0
2014-11-26,4.91,4.91,4.91,4.91,0,0.0
2014-11-27,4.63,4.98,4.63,4.98,1600,7968.000000000001
2014-11-28,5.05,5.05,5.05,5.05,2200,11110.0
2014-12-01,5.05,5.05,5.05,5.05,0,0.0
2014-12-02,4.88,4.88,4.88,4.88,500,2440.0
2014-12-03,4.98,4.98,4.91,4.95,4100,20295.0
2014-12-04,4.91,4.91,4.91,4.91,300,1473.0
2014-12-05,4.88,4.88,4.88,4.88,100,488.0
2014-12-08,4.88,4.88,4.88,4.88,200,976.0
2014-12-09,4.8,4.99,4.8,4.84,5800,28072.0
2014-12-10,4.84,4.84,4.84,4.84,0,0.0
2014-12-11,4.84,4.84,4.84,4.84,0,0.0
2014-12-12,4.8,4.8,4.8,4.8,100,480.0
2014-12-15,4.49,4.83,4.49,4.83,700,3381.0
2014-12-16,4.83,4.83,4.8,4.8,700,3360.0
2014-12-17,4.8,4.8,4.7,4.7,400,1880.0
2014-12-18,4.98,5.01,4.98,5.01,400,2004.0
2014-12-19,5.05,5.12,5.05,5.12,2300,11776.0
2014-12-22,4.92,4.92,4.88,4.91,2300,11293.0
2014-12-23,4.91,4.91,4.91,4.91,100,491.0
2014-12-24,4.85,4.85,4.84,4.84,300,1452.0
2014-12-25,4.49,4.91,4.49,4.91,200,982.0
2014-12-26,4.49,4.49,4.49,4.49,100,449.0
2014-12-29,4.77,4.77,4.71,4.71,300,1413.0
2014-12-30,4.71,4.71,4.71,4.71,0,0.0
2014-12-31,4.95,4.95,4.77,4.9,3700,18130.0
2015-01-05,4.84,4.95,4.84,4.95,5400,26730.0
2015-01-06,4.97,4.97,4.97,4.97,100,497.0
2015-01-07,4.88,4.88,4.77,4.77,1700,8108.999999999999
2015-01-08,4.8,4.91,4.8,4.91,10700,52537.0
2015-01-09,4.92,4.94,4.92,4.94,5600,27664.000000000004
2015-01-12,4.92,4.94,4.92,4.94,5300,26182.000000000004
2015-01-13,4.92,4.94,4.92,4.94,2900,14326.000000000002
2015-01-14,4.94,4.94,4.94,4.94,0,0.0
2015-01-15,4.94,4.94,4.94,4.94,6900,34086.0
2015-01-16,4.94,4.94,4.94,4.94,8000,39520.0
2015-01-19,4.94,4.94,4.94,4.94,0,0.0
2015-01-20,4.92,4.94,4.92,4.94,4400,21736.0
2015-01-21,4.94,4.94,4.92,4.94,4300,21242.0
2015-01-22,4.94,4.94,4.92,4.92,1600,7872.0
2015-01-23,4.92,4.92,4.92,4.92,0,0.0
2015-01-26,4.92,4.92,4.92,4.92,200,984.0
2015-01-27,4.44,4.44,4.44,4.44,100,444.00000000000006
2015-01-28,4.88,4.88,4.88,4.88,100,488.0
2015-01-29,5.01,5.01,5.01,5.01,100,501.0
2015-01-30,5.01,5.01,5.01,5.01,0,0.0
2015-02-02,5.01,5.01,5.01,5.01,800,4008.0
2015-02-03,5.01,5.01,5.01,5.01,0,0.0
2015-02-04,5.01,5.01,5.01,5.01,0,0.0
2015-02-05,5.01,5.01,5.01,5.01,200,1002.0
2015-02-06,5.51,5.51,5.01,5.01,400,2004.0
2015-02-09,5.25,5.25,5.25,5.25,100,525.0
2015-02-10,5.01,5.01,5.01,5.01,300,1503.0
2015-02-11,5.15,5.15,5.15,5.15,100,515.0
2015-02-12,5.15,5.15,5.15,5.15,0,0.0
