time,open,high,low,close,volume,amounts
2015-08-03,6.14,6.14,5.65,5.7,313220,1785354.0
2015-08-04,5.7,5.74,5.3,5.3,9220,48866.0
2015-08-05,5.3,5.45,5.25,5.45,19420,105839.0
2015-08-06,5.3,5.3,5.1,5.1,23650,120614.99999999999
2015-08-07,4.74,5.1,4.74,4.74,23890,113238.6
2015-08-10,4.74,5.05,4.74,5.05,11530,58226.5
2015-08-11,5.1,5.3,4.8,4.8,22830,109584.0
2015-08-12,4.81,4.9,4.66,4.75,25000,118750.0
2015-08-13,4.75,4.85,4.55,4.84,14720,71244.8
2015-08-14,4.7,4.84,4.69,4.83,3570,17243.1
2015-08-17,4.62,4.81,4.62,4.79,49820,238637.8
2015-08-18,4.74,4.77,4.71,4.75,47070,223582.5
2015-08-19,4.75,4.84,4.74,4.79,25460,121953.4
2015-08-20,4.81,4.85,4.68,4.85,102480,497027.99999999994
2015-08-21,4.85,4.94,4.77,4.92,104370,513500.39999999997
2015-08-24,4.82,4.82,4.73,4.82,48760,235023.2
2015-08-25,4.87,4.87,4.56,4.71,75340,354851.4
2015-08-26,4.78,4.78,4.56,4.72,105380,497393.6
2015-08-27,4.72,4.74,4.64,4.64,20510,95166.4
2015-08-28,4.74,4.74,4.59,4.6,49470,227561.99999999997
2015-08-31,4.67,4.67,4.56,4.61,63050,290660.5
2015-09-01,4.66,4.68,4.58,4.61,64670,298128.7
2015-09-03,4.63,4.63,4.52,4.59,105250,483097.5
2015-09-04,4.62,4.62,4.52,4.52,16340,73856.79999999999
2015-09-07,4.53,4.53,4.46,4.52,82270,371860.39999999997
2015-09-08,4.49,4.51,4.46,4.49,57180,256738.2
2015-09-09,4.51,4.51,4.45,4.45,59660,265487.0
2015-09-10,4.46,4.46,4.44,4.45,60240,268068.0
2015-09-11,4.45,4.46,4.44,4.45,17410,77474.5
2015-09-14,4.45,4.55,4.44,4.45,69820,310699.0
2015-09-15,4.45,4.45,4.26,4.44,12800,56832.00000000001
2015-09-16,4.4,4.45,4.39,4.41,71540,315491.4
2015-09-17,4.41,4.59,4.41,4.55,43750,199062.5
2015-09-18,4.55,4.66,4.55,4.59,44790,205586.1
2015-09-21,4.56,4.63,4.53,4.58,41170,188558.6
2015-09-22,4.58,4.64,4.56,4.64,78730,365307.19999999995
2015-09-23,4.64,4.64,4.6,4.61,6260,28858.600000000002
2015-09-24,4.64,4.64,4.45,4.59,47390,217520.1
2015-09-25,4.59,4.59,4.56,4.58,30020,137491.6
2015-09-28,4.57,4.57,4.55,4.56,50280,229276.8
2015-09-29,4.56,4.56,4.48,4.56,47480,216508.8
2015-09-30,4.64,4.64,4.56,4.63,25130,116351.9
2015-10-01,4.64,4.7,4.62,4.67,34670,161908.9
2015-10-02,4.7,4.95,4.7,4.91,153920,755747.2000000001
2015-10-05,4.91,5.1,4.9,5.0,77660,388300.0
2015-10-06,5.0,5.2,4.95,5.0,102720,513600.0
2015-10-07,4.95,5.1,4.87,4.89,49580,242446.19999999998
2015-10-08,4.94,5.0,4.92,4.95,92140,456093.0
2015-10-09,5.06,5.26,4.99,5.1,80930,412743.0
2015-10-12,5.24,5.24,4.84,4.84,89850,434874.0
2015-10-13,4.82,5.06,4.77,5.06,100500,508529.99999999994
2015-10-14,5.11,5.11,4.99,5.03,84390,424481.7
2015-10-15,4.84,5.06,4.73,4.85,61910,300263.5
2015-10-16,4.63,4.93,4.63,4.85,94770,459634.49999999994
2015-10-19,4.85,4.85,4.6,4.72,75400,355888.0
2015-10-20,4.6,4.78,4.6,4.76,78030,371422.8
2015-10-21,4.69,4.69,4.47,4.65,41820,194463.00000000003
2015-10-22,4.65,4.65,4.47,4.51,80090,361205.89999999997
2015-10-23,4.51,4.51,4.22,4.51,112570,507690.69999999995
2015-10-26,4.51,4.77,4.51,4.72,107010,505087.19999999995
2015-10-27,4.73,4.76,4.64,4.76,86810,413215.6
2015-10-28,4.73,4.76,4.53,4.76,75340,358618.39999999997
2015-10-29,4.78,4.89,4.76,4.89,43620,213301.8
2015-10-30,4.98,5.22,4.94,5.05,103510,522725.5
2015-11-02,5.12,5.12,4.93,4.93,31060,153125.8
2015-11-03,4.95,5.05,4.86,5.03,102100,513563.0
2015-11-04,4.99,4.99,4.89,4.93,57600,283968.0
2015-11-05,4.9,4.91,4.8,4.9,24620,120638.00000000001
2015-11-06,4.8,4.9,4.8,4.9,4510,22099.0
2015-11-09,4.93,4.93,4.78,4.9,12130,59437.00000000001
2015-11-10,4.91,4.91,4.78,4.89,8620,42151.799999999996
2015-11-11,4.8,4.8,4.6,4.6,24670,113481.99999999999
2015-11-12,4.73,4.78,4.6,4.72,39100,184552.0
2015-11-13,4.66,4.7,4.6,4.7,55140,259158.0
2015-11-16,4.72,4.72,4.69,4.7,20400,95880.0
2015-11-17,4.6,4.68,4.53,4.6,62420,287132.0
2015-11-18,4.69,4.69,4.6,4.66,83390,388597.4
2015-11-19,4.6,4.6,4.53,4.53,60970,276194.10000000003
2015-11-20,4.53,4.53,4.34,4.34,59710,259141.4
2015-11-23,4.45,4.45,4.34,4.39,53810,236225.9
2015-11-24,4.59,4.59,4.28,4.38,16280,71306.4
2015-11-25,4.38,4.4,4.22,4.27,8900,38002.99999999999
2015-11-26,4.36,4.36,4.07,4.31,7030,30299.299999999996
2015-11-27,4.28,4.34,4.14,4.28,29260,125232.8
2015-11-30,4.23,4.47,4.23,4.45,71600,318620.0
2015-12-01,4.4,4.4,4.36,4.36,4980,21712.800000000003
2015-12-02,4.34,4.35,4.31,4.32,32520,140486.40000000002
2015-12-03,4.28,4.28,4.27,4.27,40900,174642.99999999997
2015-12-04,4.24,4.26,4.24,4.26,5300,22578.0
2015-12-07,4.45,4.51,4.38,4.38,5890,25798.2
2015-12-08,4.38,4.38,4.34,4.36,170,741.2
2015-12-09,4.36,4.4,4.31,4.34,60510,262613.39999999997
2015-12-10,4.47,4.47,4.28,4.3,95800,411940.0
2015-12-11,4.28,4.34,4.2,4.3,79560,342108.0
2015-12-14,4.27,4.27,4.07,4.2,20020,84084.0
2015-12-15,4.2,4.27,4.2,4.26,5590,23813.399999999998
2015-12-16,4.26,4.34,4.1,4.34,33930,147256.19999999998
2015-12-17,4.34,4.45,4.34,4.34,39010,169303.4
2015-12-18,4.18,4.34,4.18,4.34,20,86.8
2015-12-21,4.26,4.27,4.26,4.27,8330,35569.1
2015-12-22,4.15,4.27,4.15,4.27,930,3971.0999999999995
2015-12-23,4.23,4.23,4.15,4.15,5000,20750.0
2015-12-24,4.19,4.32,4.18,4.27,35230,150432.09999999998
2015-12-25,4.27,4.56,4.2,4.27,47810,204148.69999999998
2015-12-28,4.2,4.2,4.17,4.17,270,1125.9
2015-12-29,4.19,4.19,4.18,4.19,19930,83506.70000000001
2015-12-30,4.2,4.48,4.19,4.48,110410,494636.80000000005
2015-12-31,4.57,4.57,4.36,4.36,34990,152556.40000000002
2016-01-04,4.4,4.4,4.22,4.4,1520,6688.000000000001
2016-01-05,4.4,4.4,4.4,4.4,0,0.0
2016-01-06,4.31,4.32,4.28,4.3,12610,54223.0
2016-01-07,4.2,4.28,4.01,4.27,7930,33861.1
2016-01-08,4.26,4.26,4.07,4.18,5210,21777.8
2016-01-11,3.89,4.4,3.89,4.2,18240,76608.0
2016-01-12,4.07,4.27,4.07,4.27,11280,48165.6
2016-01-13,4.1,4.27,4.07,4.27,950,4056.4999999999995
2016-01-14,4.27,4.27,4.14,4.14,2630,10888.199999999999
2016-01-15,3.98,4.2,3.98,4.18,600,2508.0
2016-01-18,3.96,4.18,3.94,4.18,4630,19353.399999999998
2016-01-19,3.98,4.14,3.94,4.14,3310,13703.4
2016-01-20,3.86,4.14,3.86,4.14,820,3394.7999999999997
2016-01-21,3.94,4.11,3.94,4.11,11740,48251.4
2016-01-22,4.07,4.07,4.06,4.06,2820,11449.199999999999
2016-01-25,3.94,4.34,3.94,4.34,21430,93006.2
2016-01-26,4.34,4.34,4.2,4.31,19590,84432.9
2016-01-27,4.3,4.3,4.2,4.28,15600,66768.0
2016-01-28,4.28,4.3,4.1,4.1,27110,111150.99999999999
2016-01-29,4.07,4.2,4.07,4.14,15040,62265.6
2016-02-01,4.15,4.2,4.14,4.2,2740,11508.0
2016-02-02,4.07,4.2,4.07,4.2,1050,4410.0
2016-02-03,4.2,4.2,4.2,4.2,10,42.0
2016-02-04,4.07,4.26,4.07,4.26,1320,5623.2
2016-02-05,4.2,4.26,4.07,4.26,3320,14143.199999999999
2016-02-15,4.38,4.38,4.38,4.38,10,43.8
2016-02-16,4.14,4.26,4.14,4.2,1180,4956.0
2016-02-17,4.2,4.2,4.18,4.18,6440,26919.199999999997
2016-02-18,4.18,4.24,4.09,4.24,9140,38753.6
