time,open,high,low,close,volume,amounts
2024-04-02,99.22,99.22,98.12,98.88,5757,569252.1599999999
2024-04-03,99.14,99.14,98.12,98.46,17145,1688096.7
2024-04-04,98.46,98.8,98.03,98.12,6819,669080.28
2024-04-05,97.26,98.63,97.26,98.37,4646,457027.02
2024-04-08,98.37,98.37,97.18,98.03,9960,976378.8
2024-04-09,96.33,98.03,96.33,97.6,9097,887867.2
2024-04-10,97.35,97.94,97.35,97.94,6611,647481.34
2024-04-11,98.54,98.54,97.52,97.6,13247,1292907.2
2024-04-12,97.69,101.87,97.01,98.88,8014,792424.32
2024-04-15,97.77,98.37,97.6,97.6,12823,1251524.7999999998
2024-04-16,92.92,97.69,92.92,97.69,14995,1464861.55
2024-04-17,95.64,97.69,95.47,97.52,3689,359751.27999999997
2024-04-19,97.18,97.18,94.71,94.88,33639,3191668.32
2024-04-22,94.79,95.39,94.62,94.79,30200,2862658.0
2024-04-23,95.05,95.3,94.62,95.3,13229,1260723.7
2024-04-24,95.47,98.03,95.47,96.33,7603,732396.99
2024-04-25,96.33,97.18,96.33,96.92,13035,1263352.2
2024-04-26,96.92,97.43,96.92,97.26,11625,1130647.5
2024-05-02,97.18,97.26,96.33,97.01,8986,871731.8600000001
2024-05-03,97.01,97.01,96.67,96.75,8607,832727.25
2024-05-06,96.75,98.03,92.92,92.92,28253,2625268.7600000002
2024-05-07,96.33,96.58,95.47,96.33,15583,1501110.39
2024-05-08,96.33,97.52,95.73,95.98,7417,711883.66
2024-05-09,96.33,97.18,96.33,96.84,7547,730851.48
2024-05-10,97.09,97.35,96.75,97.35,10219,994819.6499999999
2024-05-13,98.03,99.65,97.94,99.48,31748,3158291.04
2024-05-14,98.54,99.56,98.54,99.39,11774,1170217.86
2024-05-15,99.39,99.39,98.88,99.22,8708,864007.76
2024-05-16,98.88,99.31,98.46,98.54,19723,1943504.4200000002
2024-05-17,98.2,99.73,98.2,98.54,6849,674900.4600000001
2024-05-20,98.46,98.97,98.03,98.63,15305,1509532.15
2024-05-21,98.88,98.88,98.54,98.8,8465,836342.0
2024-05-22,98.8,99.31,97.94,98.71,16053,1584591.63
2024-05-23,98.71,98.97,98.46,98.97,13722,1358066.34
2024-05-24,100.5,100.5,99.05,100.08,89936,9000794.879999999
2024-05-27,99.91,100.25,99.73,100.08,14198,1420935.84
2024-05-28,100.08,100.5,99.56,100.25,29783,2985745.75
2024-05-29,100.5,102.21,100.5,102.12,40932,4179975.8400000003
2024-05-30,104.85,106.3,103.14,105.28,83850,8827728.0
2024-05-31,105.7,105.96,104.0,105.19,54539,5736957.41
2024-06-03,105.02,105.19,102.29,103.4,47799,4942416.600000001
2024-06-04,105.53,105.62,102.72,104.0,13166,1369264.0
2024-06-05,104.85,104.85,103.23,103.32,60013,6200543.159999999
2024-06-06,103.83,103.91,103.14,103.49,48816,5051967.84
2024-06-07,104.0,104.0,103.23,103.57,55536,5751863.52
