time,open,high,low,close,volume,amounts
2010-01-04,14.62,15.0,14.52,15.0,405020,6075300.0
2010-01-05,15.66,15.66,15.38,15.66,1129250,17684055.0
2010-01-06,15.66,15.95,15.28,15.66,930340,14569124.4
2010-01-07,15.57,15.76,15.19,15.28,631690,9652223.2
2010-01-08,15.66,15.76,14.9,14.9,850510,12672599.0
2010-01-11,14.81,15.0,14.43,14.52,260140,3777232.8
2010-01-12,14.43,14.62,13.95,13.95,576290,8039245.5
2010-01-13,13.95,14.52,13.48,14.43,612760,8842126.8
2010-01-14,14.62,14.81,14.43,14.62,261710,3826200.1999999997
2010-01-15,14.52,14.71,14.24,14.43,268010,3867384.3
2010-01-18,13.95,14.05,13.76,13.76,504790,6945910.399999999
2010-01-19,13.86,13.95,13.67,13.76,319620,4397971.2
2010-01-20,14.05,14.05,13.29,13.38,319560,4275712.8
2010-01-21,13.38,13.48,12.91,13.1,438440,5743564.0
2010-01-22,13.0,13.19,12.91,13.0,292340,3800420.0
2010-01-25,12.91,13.19,12.91,13.1,122370,1603047.0
2010-01-26,13.48,13.67,13.48,13.67,255400,3491318.0
2010-01-27,13.86,14.05,13.57,13.57,309610,4201407.7
2010-01-28,13.48,13.76,13.19,13.19,136810,1804523.9
2010-01-29,13.1,13.19,12.81,12.91,261910,3381258.1
2010-02-01,12.91,13.1,12.81,12.91,138650,1789971.5
2010-02-02,13.1,13.1,12.81,12.91,130920,1690177.2
2010-02-03,13.1,13.19,12.81,13.19,199250,2628107.5
2010-02-04,13.38,13.67,13.29,13.67,457760,6257579.2
2010-02-05,13.48,13.57,13.19,13.29,240080,3190663.1999999997
2010-02-08,13.19,13.19,13.0,13.0,142140,1847820.0
2010-02-09,13.0,13.1,12.91,13.0,183810,2389530.0
2010-02-10,13.0,13.29,13.0,13.29,177610,2360436.9
2010-02-11,13.29,13.38,13.29,13.38,91210,1220389.8
2010-02-12,13.57,13.57,13.38,13.57,122200,1658254.0
2010-02-22,13.76,13.76,13.38,13.38,138210,1849249.8
2010-02-23,13.29,13.29,13.1,13.1,221780,2905318.0
2010-02-24,13.0,13.1,12.81,12.91,167400,2161134.0
2010-02-25,13.1,13.1,12.91,12.91,341620,4410314.2
2010-02-26,12.91,13.1,12.91,13.0,106860,1389180.0
2010-03-01,13.1,13.1,13.0,13.0,239360,3111680.0
2010-03-02,13.0,13.1,12.91,13.0,165280,2148640.0
2010-03-03,13.1,13.19,12.91,13.19,204990,2703818.1
2010-03-04,13.76,13.76,13.57,13.67,614710,8403085.7
2010-03-05,13.48,13.67,13.38,13.57,310120,4208328.4
2010-03-08,13.67,14.05,13.57,14.05,591490,8310434.5
2010-03-09,14.05,14.71,13.95,14.62,1537330,22475764.599999998
2010-03-10,14.62,14.9,14.52,14.62,700680,10243941.6
2010-03-11,14.81,14.81,14.52,14.62,459620,6719644.399999999
2010-03-12,14.71,14.9,14.52,14.9,616020,9178698.0
2010-03-15,15.0,15.0,14.52,14.71,828870,12192677.700000001
2010-03-16,14.62,14.62,14.05,14.05,942230,13238331.5
2010-03-17,14.24,14.24,13.76,13.76,440120,6056051.2
2010-03-18,13.95,14.24,13.76,14.24,610370,8691668.8
2010-03-19,14.14,14.24,13.95,13.95,227520,3173904.0
2010-03-22,13.95,14.05,13.76,13.76,320590,4411318.4
2010-03-23,13.76,13.86,13.48,13.48,499220,6729485.600000001
2010-03-24,13.67,13.76,13.38,13.67,464010,6343016.7
2010-03-25,13.38,13.57,13.19,13.29,475960,6325508.399999999
2010-03-26,13.48,13.48,13.19,13.48,398600,5373128.0
2010-03-29,13.48,13.57,13.29,13.38,259830,3476525.4000000004
