time,open,high,low,close,volume,amounts
2010-01-04,4.56,4.66,4.56,4.66,484340,2257024.4
2010-01-05,4.88,4.88,4.81,4.86,1153070,5603920.2
2010-01-06,4.7,4.87,4.7,4.73,340200,1609146.0000000002
2010-01-07,4.77,4.77,4.69,4.71,661900,3117549.0
2010-01-08,4.77,4.81,4.66,4.66,688810,3209854.6
2010-01-11,4.74,4.74,4.55,4.57,527360,2410035.2
2010-01-12,4.62,4.62,4.45,4.47,648350,2898124.5
2010-01-13,4.47,4.55,4.3,4.48,524300,2348864.0
2010-01-14,4.69,4.69,4.48,4.51,318190,1435036.9
2010-01-15,4.4,4.57,4.4,4.45,124940,555983.0
2010-01-18,4.44,4.44,4.24,4.27,367180,1567858.5999999999
2010-01-19,4.27,4.38,4.27,4.32,328230,1417953.6
2010-01-20,4.32,4.38,4.31,4.32,268590,1160308.8
2010-01-21,4.26,4.34,4.18,4.18,367210,1534937.7999999998
2010-01-22,4.18,4.23,4.14,4.18,281540,1176837.2
2010-01-25,4.18,4.19,4.17,4.17,249360,1039831.2
2010-01-26,4.24,4.31,4.24,4.27,466620,1992467.4
2010-01-27,4.32,4.32,4.08,4.08,312540,1275163.2
2010-01-28,4.08,4.21,4.06,4.08,322340,1315147.2
2010-01-29,4.06,4.09,4.05,4.08,234690,957535.2000000001
2010-02-01,4.08,4.09,4.06,4.08,181550,740724.0
2010-02-02,4.09,4.13,4.08,4.09,243310,995137.9
2010-02-03,4.11,4.17,4.1,4.13,376650,1555564.5
2010-02-04,4.27,4.32,4.24,4.32,824210,3560587.2
2010-02-05,4.38,4.48,4.32,4.38,774940,3394237.1999999997
2010-02-08,4.36,4.36,4.32,4.32,457670,1977134.4000000001
2010-02-09,4.32,4.36,4.26,4.31,299640,1291448.4
2010-02-10,4.34,4.39,4.32,4.38,583670,2556474.6
2010-02-11,4.4,4.44,4.34,4.44,705600,3132864.0000000005
2010-02-12,4.51,4.55,4.48,4.49,793590,3563219.1
2010-02-22,4.57,4.57,4.52,4.55,509010,2315995.5
2010-02-23,4.53,4.53,4.34,4.34,448360,1945882.4
2010-02-24,4.31,4.34,4.22,4.27,869260,3711740.1999999997
2010-02-25,4.26,4.31,4.24,4.24,752730,3191575.2
2010-02-26,4.19,4.24,4.17,4.19,1388700,5818653.000000001
2010-03-01,4.26,4.34,4.24,4.26,819100,3489366.0
2010-03-02,4.26,4.31,4.22,4.24,571350,2422524.0
2010-03-03,4.27,4.3,4.23,4.27,485090,2071334.2999999998
2010-03-04,4.34,4.36,4.28,4.31,902800,3891067.9999999995
2010-03-05,4.32,4.34,4.31,4.34,612720,2659204.8
