time,open,high,low,close,volume,amounts
2024-07-01,29.37,29.37,23.5,28.0,1250400,35011200.0
2024-07-02,28.0,28.24,27.95,28.1,719857,20227981.7
2024-07-03,28.1,28.39,26.92,27.41,656735,18001106.35
2024-07-04,27.31,27.41,26.14,26.34,556235,14651229.9
2024-07-05,26.29,26.34,25.31,25.31,509995,12907973.45
2024-07-08,25.26,26.43,25.26,26.43,195344,5162941.92
2024-07-09,26.53,26.63,26.38,26.48,299293,7925278.64
2024-07-10,26.48,26.63,26.24,26.24,258228,6775902.72
2024-07-11,26.24,26.58,26.24,26.53,233721,6200618.13
2024-07-12,26.53,26.63,26.34,26.43,208515,5511051.45
2024-07-15,26.43,26.63,26.14,26.29,238385,6267141.649999999
2024-07-16,26.29,26.43,26.19,26.24,177823,4666075.52
2024-07-17,26.24,26.53,25.7,25.85,315790,8163171.5
2024-07-18,25.85,25.99,24.67,25.11,355001,8914075.11
2024-07-19,25.11,25.21,24.62,24.77,293627,7273140.79
2024-07-22,25.01,25.01,24.18,24.38,324294,7906287.72
2024-07-23,24.38,24.52,24.18,24.23,206874,5012557.0200000005
2024-07-24,24.23,24.87,24.08,24.48,277149,6784607.5200000005
2024-07-25,24.48,24.62,24.23,24.62,273330,6729384.600000001
2024-07-26,24.62,25.11,24.62,25.11,342522,8600727.42
2024-07-29,25.11,25.31,25.11,25.26,323556,8173024.5600000005
2024-07-30,25.26,25.26,24.92,25.11,225501,5662330.11
2024-07-31,25.11,25.21,24.92,25.06,185454,4647477.24
2024-08-01,25.06,25.06,24.38,24.38,239905,5848883.899999999
2024-08-02,24.38,24.72,24.28,24.72,300815,7436146.8
2024-08-05,24.72,24.72,23.3,23.3,327038,7619985.4
2024-08-06,23.3,24.18,23.3,24.08,474901,11435616.08
2024-08-07,24.08,24.33,24.03,24.23,218940,5304916.2
2024-08-08,24.23,24.48,24.18,24.18,167042,4039075.56
2024-08-09,24.18,24.87,24.13,24.82,382557,9495064.74
2024-08-12,24.82,25.45,24.82,25.45,405862,10329187.9
2024-08-13,25.45,25.65,25.31,25.45,265539,6757967.55
2024-08-14,25.45,25.55,25.26,25.26,200600,5067156.0
2024-08-15,25.26,25.26,24.77,24.77,189124,4684601.4799999995
2024-08-16,24.77,25.11,24.33,25.11,415545,10434334.95
2024-08-19,25.11,25.16,24.57,24.57,183027,4496973.39
2024-08-20,24.57,25.01,24.57,25.01,211238,5283062.38
2024-08-21,25.01,25.26,24.87,25.16,226112,5688977.92
2024-08-22,25.16,25.16,24.72,25.06,275932,6914855.92
2024-08-23,25.06,25.11,24.87,25.01,140867,3523083.6700000004
2024-08-26,25.01,25.11,24.87,25.01,109439,2737069.39
2024-08-27,25.01,25.01,24.67,24.77,117415,2908369.55
2024-08-28,24.77,24.87,24.62,24.77,118421,2933288.17
2024-08-29,24.67,24.77,24.38,24.48,155051,3795648.48
2024-08-30,24.48,24.48,24.03,24.28,147045,3570252.6
2024-09-04,24.28,24.28,23.94,24.08,107800,2595824.0
2024-09-05,24.08,24.38,23.99,24.23,247837,6005090.51
2024-09-06,24.23,25.89,24.18,25.89,1027990,26614661.1
2024-09-09,25.85,26.19,25.45,26.19,434141,11370152.790000001
2024-09-10,26.04,26.14,25.21,25.21,206901,5215974.21
2024-09-11,25.21,25.55,24.18,25.55,379794,9703736.700000001
2024-09-12,25.45,25.94,25.45,25.94,245923,6379242.62
2024-09-13,25.85,26.14,25.85,26.09,256524,6692711.16
2024-09-16,26.09,26.14,25.45,25.8,197337,5091294.600000001
2024-09-17,25.8,25.8,25.06,25.55,230875,5898856.25
2024-09-18,25.55,25.55,25.31,25.31,153969,3896955.3899999997
2024-09-19,25.31,25.45,24.82,24.82,225085,5586609.7
2024-09-20,24.82,25.06,24.52,24.96,197537,4930523.5200000005
2024-09-23,24.96,25.11,24.77,24.77,121445,3008192.65
2024-09-24,24.77,24.87,23.06,24.38,232300,5663474.0
2024-09-25,24.38,24.67,24.28,24.67,134800,3325516.0
2024-09-26,24.67,24.87,24.57,24.72,140954,3484382.88
2024-09-27,24.72,24.87,24.52,24.62,149102,3670891.24
2024-09-30,24.62,24.67,24.43,24.57,161865,3977023.05
2024-10-01,24.57,25.11,24.57,25.11,349820,8783980.2
2024-10-02,25.11,25.36,24.62,25.36,412512,10461304.32
2024-10-03,25.36,25.55,25.31,25.45,193997,4937223.649999999
2024-10-04,25.45,25.5,25.26,25.41,177307,4505370.87
2024-10-07,25.36,25.7,25.26,25.26,207860,5250543.600000001
2024-10-08,25.26,25.41,25.16,25.26,215827,5451790.0200000005
2024-10-09,25.26,25.45,25.21,25.41,224812,5712472.92
2024-10-10,25.41,25.5,25.31,25.41,219609,5580264.69
2024-10-11,25.36,25.41,25.26,25.41,149705,3804004.05
2024-10-14,25.41,25.41,24.96,25.26,141223,3567292.9800000004
2024-10-15,25.26,25.26,24.43,24.48,269944,6608229.12
2024-10-16,24.48,24.52,24.33,24.33,156607,3810248.3099999996
2024-10-17,24.33,24.43,24.18,24.43,167150,4083474.5
2024-10-18,24.48,24.57,24.33,24.43,123508,3017300.44
2024-10-21,24.43,24.48,24.18,24.18,160003,3868872.54
2024-10-22,24.18,24.18,23.99,24.13,150552,3632819.76
2024-10-23,24.13,24.23,24.03,24.18,157417,3806343.06
2024-10-24,24.28,24.28,24.08,24.18,157976,3819859.68
2024-10-25,24.18,24.28,24.08,24.18,156452,3783009.36
2024-10-28,24.18,24.23,24.08,24.13,163359,3941852.67
2024-10-29,24.13,24.28,24.13,24.18,175878,4252730.04
2024-10-30,24.18,24.28,23.99,24.03,163045,3917971.35
2024-10-31,24.03,24.13,23.84,24.13,176015,4247241.95
2024-11-01,24.13,24.13,23.5,23.99,172686,4142737.1399999997
2024-11-04,23.99,23.99,23.54,23.94,176461,4224476.34
2024-11-05,23.94,23.94,23.74,23.89,146147,3491451.83
2024-11-06,23.89,23.94,23.59,23.89,186031,4444280.59
2024-11-07,23.89,23.94,23.74,23.79,169166,4024459.1399999997
2024-11-08,23.79,23.89,23.59,23.59,175681,4144314.79
2024-11-11,23.59,23.69,23.15,23.3,211731,4933332.3
2024-11-12,23.3,23.35,23.1,23.15,140915,3262182.25
2024-11-13,23.15,23.2,22.86,23.06,174530,4024661.8
2024-11-14,23.06,23.06,22.71,22.71,156904,3563289.8400000003
2024-11-15,22.71,22.71,22.17,22.32,161703,3609210.96
2024-11-18,22.32,22.32,21.73,21.88,238951,5228247.88
2024-11-19,21.88,21.98,21.39,21.39,202823,4338383.97
2024-11-20,21.39,22.81,21.34,22.76,759160,17278481.6
2024-11-21,22.76,23.01,22.61,22.81,410616,9366150.959999999
2024-11-22,22.81,23.06,22.76,22.91,422986,9690609.26
2024-11-25,22.91,23.1,22.52,23.1,551618,12742375.8
2024-11-26,23.1,23.35,23.1,23.3,467915,10902419.5
2024-11-27,23.3,23.5,23.15,23.35,368378,8601626.3
2024-11-28,23.35,23.6,23.35,23.5,218508,5134938.0
2024-11-29,23.5,23.55,23.3,23.55,278158,6550620.9
2024-12-02,23.35,24.15,23.1,24.15,417605,10085160.75
2024-12-03,24.15,24.2,23.85,24.2,234267,5669261.399999999
2024-12-04,24.2,24.2,23.7,24.1,284354,6852931.4
2024-12-05,24.1,24.9,23.95,24.9,555342,13828015.799999999
2024-12-06,24.9,24.9,24.7,24.7,219804,5429158.8
2024-12-09,24.7,24.7,24.45,24.6,243602,5992609.2
2024-12-10,24.6,24.7,24.0,24.7,462600,11426220.0
2024-12-11,24.65,25.05,24.2,25.05,613800,15375690.0
2024-12-12,24.9,25.5,24.8,25.45,677700,17247465.0
2024-12-13,25.35,25.55,25.25,25.35,686700,17407845.0
2024-12-16,25.25,26.0,24.5,26.0,662400,17222400.0
2024-12-17,25.85,26.25,25.8,26.25,493100,12943875.0
2024-12-18,26.1,26.4,26.1,26.4,616500,16275600.0
2024-12-19,26.35,26.35,25.6,26.0,359800,9354800.0
2024-12-20,26.1,26.65,25.8,25.95,283300,7351635.0
2024-12-23,25.9,26.4,25.35,26.4,887100,23419440.0
2024-12-24,26.25,26.75,26.0,26.75,601400,16087450.0
2024-12-25,26.6,26.9,26.4,26.4,722900,19084560.0
2024-12-26,26.3,26.75,25.65,26.75,745100,19931425.0
2024-12-27,26.6,27.0,26.3,26.85,635200,17055120.0
2024-12-30,26.7,26.9,26.45,26.8,680300,18232040.0
2024-12-31,26.7,26.7,26.2,26.5,471800,12502700.0
2025-01-02,26.5,26.8,26.2,26.3,499700,13142110.0
2025-01-03,26.25,26.25,25.3,25.3,400300,10127590.0
2025-01-06,25.25,25.25,24.5,24.6,281700,6929820.0
2025-01-07,24.6,24.6,24.05,24.25,230400,5587200.0
2025-01-08,24.2,25.0,23.75,25.0,485000,12125000.0
2025-01-09,24.9,25.25,24.35,25.25,424600,10721150.0
2025-01-10,25.2,25.2,24.5,25.2,467100,11770920.0
2025-01-13,25.1,26.3,24.55,26.3,567800,14933140.0
2025-01-14,26.25,26.35,25.65,26.15,467800,12232970.0
