time,open,high,low,close,volume,amounts
2010-01-04,5.41,5.41,5.41,5.41,9500,51395.0
2010-01-05,5.64,5.64,5.64,5.64,20500,115620.0
2010-01-06,5.91,5.91,5.68,5.68,94440,536419.2
2010-01-07,5.48,5.88,5.48,5.8,45500,263900.0
2010-01-08,6.03,6.07,5.84,5.84,23530,137415.19999999998
2010-01-11,6.07,6.11,5.91,6.03,14590,87977.7
2010-01-12,6.27,6.27,5.76,5.76,31540,181670.4
2010-01-13,5.48,5.48,5.48,5.48,9910,54306.8
2010-01-14,5.44,5.64,5.37,5.52,53980,297969.6
2010-01-15,5.29,5.56,5.25,5.56,15060,83733.59999999999
2010-01-18,5.64,5.72,5.29,5.29,43440,229797.6
2010-01-19,5.33,5.33,5.33,5.33,1430,7621.900000000001
2010-01-20,5.17,5.41,5.17,5.17,1260,6514.2
2010-01-21,5.01,5.01,4.94,4.94,23690,117028.6
2010-01-22,4.7,5.05,4.7,4.7,25790,121213.0
2010-01-25,4.5,4.78,4.47,4.74,39940,189315.6
2010-01-26,4.9,4.97,4.9,4.97,27290,135631.3
2010-01-27,5.09,5.09,4.78,4.94,10730,53006.200000000004
2010-01-28,4.78,4.94,4.74,4.78,5940,28393.2
2010-01-29,4.86,4.9,4.78,4.86,12380,60166.8
2010-02-01,4.94,4.97,4.82,4.94,3930,19414.2
2010-02-02,4.86,5.05,4.86,4.97,12750,63367.5
2010-02-03,4.97,4.97,4.94,4.97,1010,5019.7
2010-02-04,5.01,5.01,4.82,5.01,6600,33066.0
2010-02-05,4.78,4.97,4.78,4.78,26670,127482.6
2010-02-08,4.62,4.86,4.54,4.62,18040,83344.8
2010-02-09,4.62,4.62,4.43,4.62,12680,58581.6
2010-02-10,4.62,4.7,4.43,4.62,6400,29568.0
2010-02-11,4.7,4.7,4.62,4.7,4530,21291.0
2010-02-12,4.86,4.94,4.54,4.86,12020,58417.200000000004
2010-02-22,4.86,4.9,4.62,4.9,8050,39445.0
2010-02-23,4.66,4.86,4.66,4.86,4960,24105.600000000002
2010-02-24,4.66,4.7,4.66,4.7,3510,16497.0
2010-02-25,4.62,4.74,4.54,4.54,6930,31462.2
2010-02-26,4.66,4.7,4.54,4.54,2800,12712.0
2010-03-01,4.54,4.7,4.54,4.66,8210,38258.6
2010-03-02,4.7,4.7,4.66,4.7,12780,60066.0
2010-03-03,4.82,4.82,4.78,4.78,8110,38765.8
2010-03-04,4.86,4.86,4.7,4.78,12170,58172.600000000006
2010-03-05,4.78,4.78,4.54,4.78,21810,104251.8
2010-03-08,4.86,4.86,4.78,4.86,23050,112023.00000000001
2010-03-09,4.94,4.94,4.78,4.78,3580,17112.4
2010-03-10,5.01,5.01,4.82,5.01,288980,1447789.8
2010-03-11,5.25,5.25,5.25,5.25,221670,1163767.5
2010-03-12,5.48,5.48,5.48,5.48,100110,548602.8
2010-03-15,5.76,5.76,5.72,5.76,86950,500832.0
2010-03-16,5.52,5.91,5.48,5.48,115140,630967.2000000001
2010-03-17,5.6,5.6,5.37,5.37,74320,399098.4
2010-03-18,5.48,5.48,5.17,5.41,57130,309073.3
2010-03-19,5.48,5.48,5.41,5.44,100290,545577.6000000001
2010-03-22,5.41,5.41,5.37,5.41,12480,67516.8
2010-03-23,5.29,5.41,5.29,5.29,17420,92151.8
2010-03-24,5.33,5.37,5.33,5.33,4450,23718.5
2010-03-25,5.33,5.33,5.21,5.29,33050,174834.5
2010-03-26,5.37,5.41,5.29,5.33,69020,367876.6
2010-03-29,5.37,5.37,5.33,5.37,19060,102352.2
2010-03-30,5.33,5.37,5.25,5.25,34860,183015.0
2010-03-31,5.21,5.25,5.17,5.17,23400,120978.0
2010-04-01,5.29,5.29,5.01,5.29,43260,228845.4
2010-04-02,5.21,5.33,5.13,5.21,23680,123372.8
2010-04-05,5.41,5.44,5.33,5.44,54510,296534.4
2010-04-06,5.56,5.56,5.41,5.44,20710,112662.40000000001
2010-04-07,5.48,5.52,5.44,5.44,13810,75126.40000000001
2010-04-08,5.48,5.48,5.41,5.44,24450,133008.0
2010-04-09,5.56,5.68,5.52,5.68,64150,364372.0
2010-04-12,5.95,5.95,5.95,5.95,12590,74910.5
2010-04-13,6.23,6.23,6.03,6.23,115230,717882.9
2010-04-14,6.46,6.5,6.07,6.5,129540,842010.0
2010-04-15,6.7,6.74,6.31,6.42,31180,200175.6
2010-04-16,6.74,6.74,6.54,6.74,52620,354658.8
2010-04-19,7.05,7.05,6.66,6.97,55680,388089.6
2010-04-20,6.93,7.09,6.78,6.97,73120,509646.39999999997
2010-04-21,7.01,7.05,6.74,6.89,122180,841820.2
2010-04-22,6.78,7.09,6.78,6.89,52260,360071.39999999997
2010-04-26,6.58,6.89,6.58,6.58,125360,824868.8
2010-04-27,6.62,6.62,6.54,6.62,25570,169273.4
2010-04-28,6.85,6.85,6.5,6.62,37010,245006.2
2010-04-29,6.78,6.78,6.54,6.74,40590,273576.60000000003
2010-05-04,6.66,6.74,6.58,6.62,33670,222895.4
2010-05-05,6.66,6.66,6.5,6.5,21280,138320.0
2010-05-06,6.46,6.54,6.19,6.46,37050,239343.0
2010-05-07,6.23,6.42,6.15,6.19,92890,574989.1000000001
2010-05-10,5.99,6.11,5.95,5.99,11950,71580.5
2010-05-11,5.99,6.27,5.99,6.27,8430,52856.1
2010-05-12,6.58,6.58,6.27,6.27,40640,254812.8
2010-05-13,6.42,6.58,6.35,6.42,22800,146376.0
2010-05-14,6.23,6.7,6.19,6.7,33760,226192.0
2010-05-17,6.7,6.7,6.38,6.42,48240,309700.8
2010-05-18,6.23,6.27,6.23,6.23,42610,265460.30000000005
2010-05-19,5.95,6.11,5.95,5.95,38310,227944.5
2010-05-20,5.72,6.23,5.72,6.23,29640,184657.2
2010-05-21,5.95,5.95,5.95,5.95,30350,180582.5
2010-05-24,5.72,6.19,5.72,6.19,5950,36830.5
2010-05-25,5.95,6.15,5.91,5.95,10540,62713.0
2010-05-26,6.11,6.11,5.95,6.11,3710,22668.100000000002
2010-05-27,6.11,6.11,6.11,6.11,14790,90366.90000000001
2010-05-28,6.11,6.11,6.07,6.07,23940,145315.80000000002
2010-05-31,6.07,6.07,6.03,6.03,3560,21466.8
2010-06-01,6.07,6.07,5.84,6.07,3220,19545.4
2010-06-02,6.07,6.07,5.88,6.07,3110,18877.7
2010-06-03,6.07,6.07,6.07,6.07,3580,21730.600000000002
2010-06-04,6.07,6.07,5.95,6.07,7170,43521.9
2010-06-07,5.8,5.88,5.8,5.8,38140,221212.0
2010-06-08,5.8,5.8,5.72,5.8,2760,16008.0
2010-06-09,5.8,5.88,5.8,5.8,10720,62176.0
2010-06-10,5.8,5.88,5.8,5.8,17190,99702.0
2010-06-11,5.88,6.07,5.88,6.07,59410,360618.7
2010-06-14,6.07,6.35,5.88,6.27,79300,497210.99999999994
2010-06-15,6.23,6.27,6.15,6.23,41940,261286.2
2010-06-16,6.11,6.46,6.11,6.46,49850,322031.0
2010-06-17,6.38,6.46,6.35,6.38,64010,408383.8
2010-06-18,6.27,6.31,6.15,6.27,56260,352750.19999999995
2010-06-21,6.27,6.27,6.11,6.15,52290,321583.5
2010-06-22,6.15,6.19,6.03,6.07,63400,384838.0
2010-06-23,6.07,6.07,5.88,6.07,51500,312605.0
2010-06-24,5.91,6.03,5.88,5.91,78660,464880.60000000003
2010-06-25,5.88,5.95,5.84,5.95,58160,346052.0
2010-06-28,6.19,6.23,6.19,6.23,68170,424699.10000000003
2010-06-29,6.46,6.46,6.27,6.35,87180,553593.0
2010-06-30,6.11,6.27,6.11,6.11,64190,392200.9
2010-07-01,6.11,6.11,6.07,6.11,52180,318819.8
2010-07-02,5.95,6.11,5.84,6.07,199650,1211875.5
2010-07-05,6.31,6.31,5.81,6.24,12480,77875.2
2010-07-06,5.93,6.22,5.93,6.1,37100,226310.0
2010-07-07,5.8,6.17,5.8,5.8,20160,116928.0
2010-07-08,5.8,5.83,5.67,5.7,6740,38418.0
2010-07-09,5.53,5.81,5.42,5.47,10740,58747.799999999996
2010-07-12,5.73,5.74,5.32,5.74,47120,270468.8
2010-07-13,5.95,6.03,5.9,6.03,26350,158890.5
2010-07-14,6.3,6.32,5.83,5.83,52190,304267.7
2010-07-15,5.95,6.04,5.84,5.95,4460,26537.0
2010-07-16,5.88,5.95,5.83,5.87,17930,105249.1
2010-07-19,5.87,6.1,5.81,6.1,8810,53741.0
2010-07-20,6.1,6.1,5.88,5.88,7980,46922.4
2010-07-21,5.97,5.97,5.88,5.97,1370,8178.9
2010-07-22,5.67,5.95,5.67,5.67,11180,63390.6
2010-07-23,5.67,5.87,5.67,5.67,16430,93158.1
2010-07-26,5.67,5.67,5.59,5.67,10110,57323.7
2010-07-27,5.53,5.81,5.53,5.53,3480,19244.4
2010-07-28,5.67,5.67,5.53,5.67,220,1247.4
2010-07-29,5.42,5.64,5.39,5.42,4450,24119.0
2010-07-30,5.46,5.47,5.42,5.46,2530,13813.8
2010-08-02,5.39,5.46,5.39,5.39,720,3880.7999999999997
2010-08-03,5.53,5.53,5.36,5.53,8090,44737.700000000004
2010-08-04,5.53,5.6,5.27,5.32,10710,56977.200000000004
2010-08-05,5.53,5.53,5.36,5.46,20500,111930.0
2010-08-06,5.6,5.6,5.44,5.52,14870,82082.4
2010-08-09,5.27,5.5,5.26,5.27,38990,205477.3
2010-08-10,5.36,5.37,5.02,5.36,50230,269232.8
2010-08-11,5.36,5.42,5.1,5.36,14220,76219.20000000001
2010-08-12,5.1,5.26,5.1,5.1,18700,95370.0
2010-08-13,5.1,5.13,4.85,5.1,5550,28304.999999999996
2010-08-16,5.18,5.18,5.02,5.18,13150,68117.0
2010-08-17,4.98,4.98,4.95,4.95,3310,16384.5
2010-08-18,4.93,4.96,4.93,4.93,2650,13064.5
2010-08-19,4.93,5.1,4.82,4.82,4010,19328.2
2010-08-20,4.96,5.06,4.59,5.06,9120,46147.2
2010-08-23,5.22,5.22,4.96,5.03,930,4677.900000000001
2010-08-24,5.03,5.03,4.79,4.79,3710,17770.9
2010-08-25,4.57,4.58,4.57,4.57,5030,22987.100000000002
2010-08-26,4.57,4.57,4.34,4.34,15500,67270.0
2010-08-27,4.18,4.18,4.13,4.18,8150,34067.0
2010-08-30,4.38,4.38,4.37,4.38,12710,55669.799999999996
2010-08-31,4.38,4.54,4.25,4.25,13050,55462.5
2010-09-01,4.14,4.45,4.14,4.45,23030,102483.5
2010-09-06,4.66,4.66,4.66,4.66,12940,60300.4
2010-09-07,4.75,4.89,4.65,4.75,27150,128962.5
2010-09-08,4.75,4.75,4.72,4.72,9520,44934.399999999994
