time,open,high,low,close,volume,amounts
2021-07-15,24.96,24.96,16.22,18.1,5223200,94539920.0
2021-07-16,18.1,18.97,17.41,18.72,2685467,50271942.239999995
2021-07-19,18.59,18.84,17.47,17.47,1078833,18847212.509999998
2021-07-20,17.47,18.03,16.66,17.47,1366200,23867514.0
2021-07-21,17.47,18.35,17.47,18.28,1013750,18531350.0
2021-07-22,18.28,19.09,17.85,18.78,1110440,20854063.200000003
2021-07-23,18.72,18.91,17.78,17.78,680700,12102846.0
2021-07-26,17.6,17.85,17.16,17.16,478600,8212776.0
2021-07-27,17.16,18.1,16.79,16.79,619600,10403084.0
2021-07-28,16.85,17.16,15.16,16.22,926156,15022250.319999998
2021-07-29,16.22,16.79,15.97,16.1,819100,13187510.000000002
2021-07-30,16.1,16.79,16.1,16.66,846300,14099358.0
2021-08-02,16.79,16.79,16.04,16.16,1013900,16384624.0
2021-08-03,16.1,16.22,15.29,15.97,1242600,19844322.0
2021-08-04,16.04,16.6,15.91,16.6,968900,16083740.000000002
2021-08-05,16.6,17.03,16.22,16.97,669700,11364809.0
2021-08-06,16.97,17.72,16.6,17.41,1231316,21437211.56
2021-08-09,17.47,18.35,17.16,18.22,1111500,20251530.0
2021-08-10,18.47,18.47,17.72,18.22,515209,9387107.979999999
2021-08-11,18.22,18.22,17.72,17.72,746800,13233296.0
2021-08-12,17.72,17.97,17.47,17.72,321940,5704776.8
2021-08-13,17.72,17.78,17.41,17.6,489600,8616960.0
2021-08-16,17.85,18.47,17.66,18.16,631410,11466405.6
2021-08-17,18.22,18.35,17.72,17.72,472800,8378015.999999999
2021-08-18,17.72,18.22,17.47,17.47,245054,4281093.38
2021-08-19,17.47,17.6,17.28,17.47,416424,7274927.279999999
2021-08-20,17.6,17.72,16.6,16.85,955362,16097849.700000001
2021-08-23,16.66,16.91,15.66,16.04,665806,10679528.24
2021-08-24,16.1,17.16,16.1,16.72,421760,7051827.199999999
2021-08-25,16.85,17.03,16.6,16.97,356631,6052028.069999999
2021-08-26,17.35,17.91,17.16,17.78,1064500,18926810.0
2021-08-27,17.78,17.85,17.16,17.78,769617,13683790.260000002
