time,open,high,low,close,volume,amounts
2010-01-04,7.82,8.21,7.82,8.21,3521350,28910283.500000004
2010-01-05,8.57,8.6,8.44,8.5,4561690,38774365.0
2010-01-06,8.47,8.47,8.28,8.31,2756100,22903191.0
2010-01-07,8.31,8.34,8.15,8.15,2586670,21081360.5
2010-01-08,8.37,8.44,8.08,8.08,3831940,30962075.2
2010-01-11,8.08,8.15,7.98,8.05,1292100,10401405.0
2010-01-12,7.98,8.08,7.69,7.69,1951010,15003266.9
2010-01-13,7.69,7.85,7.62,7.79,2102770,16380578.3
2010-01-14,7.82,7.85,7.72,7.75,1124370,8713867.5
2010-01-15,7.75,7.82,7.69,7.75,1396510,10822952.5
2010-01-18,7.75,7.75,7.59,7.59,1991690,15116927.1
2010-01-19,7.69,7.79,7.59,7.69,1376290,10583670.1
2010-01-20,7.79,7.79,7.62,7.66,1566410,11998700.6
2010-01-21,7.56,7.69,7.56,7.56,1350830,10212274.799999999
2010-01-22,7.43,7.59,7.43,7.49,1177140,8816778.6
2010-01-25,7.49,7.53,7.46,7.49,1593240,11933367.6
2010-01-26,7.59,7.82,7.59,7.82,1772240,13858916.8
2010-01-27,7.59,7.75,7.56,7.72,1513870,11687076.4
2010-01-28,7.72,7.72,7.46,7.53,1362970,10263164.1
2010-01-29,7.49,7.56,7.46,7.49,1339920,10036000.8
2010-02-01,7.49,7.56,7.49,7.49,1085620,8131293.8
2010-02-02,7.53,7.56,7.49,7.53,1423240,10716997.200000001
2010-02-03,7.49,7.59,7.49,7.53,851530,6412020.9
2010-02-04,7.53,7.62,7.53,7.56,614680,4646980.8
2010-02-05,7.49,7.56,7.49,7.49,649670,4866028.3
2010-02-08,7.46,7.66,7.46,7.62,992150,7560183.0
2010-02-09,7.56,7.62,7.53,7.53,490930,3696702.9
2010-02-10,7.49,7.62,7.49,7.53,380180,2862755.4
2010-02-11,7.49,7.66,7.49,7.66,345620,2647449.2
2010-02-12,7.75,7.75,7.66,7.72,481470,3716948.4
2010-02-22,7.75,7.79,7.66,7.72,479220,3699578.4
2010-02-23,7.62,7.66,7.56,7.59,353620,2683975.8
2010-02-24,7.56,7.56,7.49,7.56,557970,4218253.2
2010-02-25,7.56,7.66,7.49,7.53,414870,3123971.1
2010-02-26,7.53,7.56,7.49,7.53,518750,3906187.5
2010-03-01,7.66,7.72,7.62,7.62,1007300,7675626.0
2010-03-02,7.66,7.66,7.53,7.56,455230,3441538.8
2010-03-03,7.56,7.62,7.56,7.62,721890,5500801.8
2010-03-04,7.66,7.66,7.56,7.59,990740,7519716.6
2010-03-05,7.56,7.59,7.53,7.53,1202700,9056331.0
2010-03-08,7.56,7.59,7.53,7.53,1633040,12296791.200000001
2010-03-09,7.53,7.56,7.49,7.53,1539830,11594919.9
2010-03-10,7.56,7.56,7.49,7.49,1149220,8607657.8
2010-03-11,7.49,7.56,7.46,7.46,1318860,9838695.6
2010-03-12,7.49,7.53,7.46,7.49,1235280,9252247.200000001
2010-03-15,7.56,7.59,7.53,7.56,1646830,12450034.799999999
2010-03-16,7.53,7.59,7.49,7.56,2133840,16131830.399999999
2010-03-17,7.53,7.59,7.53,7.56,1758360,13293201.6
2010-03-18,7.53,7.56,7.49,7.49,702920,5264870.8
2010-03-19,7.49,7.53,7.46,7.49,2203370,16503241.3
2010-03-22,7.49,7.53,7.43,7.49,1425770,10679017.3
2010-03-23,7.49,7.53,7.46,7.49,1723230,12906992.700000001
2010-03-24,7.49,7.49,7.46,7.46,1207450,9007577.0
2010-03-25,7.46,7.49,7.43,7.43,2133360,15850864.799999999
2010-03-26,7.4,7.46,7.4,7.43,1859080,13812964.4
2010-03-29,7.33,7.4,7.27,7.33,734320,5382565.6
2010-03-30,7.27,7.59,7.23,7.59,1106600,8399094.0
2010-03-31,7.59,7.62,7.36,7.62,3879910,29564914.2
2010-04-01,7.43,7.59,7.36,7.53,764630,5757663.9
2010-04-02,7.49,7.49,7.36,7.36,319790,2353654.4
2010-04-05,7.36,7.43,7.33,7.36,797780,5871660.8
2010-04-06,7.36,7.43,7.33,7.33,407860,2989613.8
2010-04-07,7.33,7.36,7.27,7.3,962450,7025885.0
2010-04-08,7.27,7.3,7.27,7.27,424420,3085533.4
2010-04-09,7.27,7.3,7.23,7.27,538600,3915622.0
2010-04-12,7.27,7.3,7.23,7.27,678990,4936257.3
2010-04-13,7.27,7.27,7.2,7.2,527060,3794832.0
2010-04-14,7.2,7.23,7.17,7.2,558060,4018032.0
2010-04-15,7.2,7.23,7.17,7.17,634680,4550655.6
2010-04-16,7.23,7.23,7.17,7.23,458970,3318353.1
2010-04-19,7.23,7.23,7.1,7.1,570220,4048562.0
2010-04-20,7.17,7.17,7.04,7.04,600870,4230124.8
2010-04-21,7.04,7.1,7.0,7.0,573820,4016740.0
2010-04-22,7.07,7.33,7.04,7.17,609800,4372266.0
2010-04-26,7.17,7.23,7.1,7.1,509140,3614894.0
2010-04-27,7.07,7.1,7.04,7.04,447830,3152723.2
2010-04-28,7.04,7.07,6.97,7.0,552180,3865260.0
