time,open,high,low,close,volume,amounts
2018-08-07,6.22,6.47,4.97,5.41,465100,2516191.0
2018-08-08,5.41,6.53,5.41,5.91,452721,2675581.11
2018-08-09,6.16,6.28,5.35,6.16,256811,1581955.76
2018-08-10,5.78,6.16,5.41,5.47,213435,1167489.45
2018-08-13,5.91,6.16,5.29,6.16,608321,3747257.36
2018-08-14,5.97,6.03,5.35,5.6,215585,1207276.0
2018-08-15,5.84,5.91,5.35,5.53,310054,1714598.62
2018-08-16,5.6,5.84,5.47,5.6,254405,1424668.0
2018-08-17,5.6,5.84,5.47,5.66,232938,1318429.08
2018-08-20,5.72,5.78,5.53,5.53,312731,1729402.4300000002
2018-08-21,5.72,5.78,5.35,5.53,286640,1585119.2000000002
2018-08-22,5.47,5.66,5.29,5.47,414933,2269683.51
2018-08-23,5.6,5.72,5.41,5.47,170328,931694.1599999999
2018-08-24,5.6,6.47,5.6,5.72,680649,3893312.28
2018-08-27,5.72,6.34,5.6,5.6,403722,2260843.1999999997
2018-08-28,5.84,5.97,5.47,5.6,280578,1571236.7999999998
2018-08-29,5.53,5.6,5.47,5.47,68360,373929.2
2018-08-30,5.47,5.6,5.41,5.6,92124,515894.39999999997
2018-08-31,5.41,5.72,5.41,5.47,181696,993877.12
2018-09-04,5.47,5.47,5.29,5.47,60537,331137.39
2018-09-05,5.47,5.53,5.16,5.35,168869,903449.1499999999
2018-09-06,5.1,5.41,5.1,5.22,185740,969562.7999999999
2018-09-07,5.29,5.29,5.04,5.16,164266,847612.56
2018-09-10,5.16,5.16,4.91,4.97,185593,922397.21
2018-09-11,4.91,5.41,4.66,5.41,370275,2003187.75
2018-09-12,5.04,5.22,4.91,4.97,176225,875838.25
2018-09-13,5.04,5.1,4.97,5.04,198076,998303.04
2018-09-14,5.1,5.35,4.97,5.16,181152,934744.3200000001
2018-09-17,5.29,5.29,5.04,5.1,151610,773211.0
2018-09-18,5.1,5.1,4.97,5.04,134994,680369.76
2018-09-19,4.97,5.04,4.91,4.97,196527,976739.19
2018-09-20,4.97,4.97,4.91,4.97,193494,961665.1799999999
2018-09-21,5.04,5.41,4.97,5.16,360098,1858105.68
2018-09-24,5.29,5.6,5.1,5.16,248609,1282822.44
2018-09-25,5.29,5.97,5.29,5.53,493247,2727655.91
2018-09-26,5.78,5.91,5.41,5.6,435407,2438279.1999999997
2018-09-27,5.84,6.22,5.6,5.84,728675,4255462.0
2018-09-28,5.91,6.22,5.78,5.91,804080,4752112.8
2018-10-01,5.91,5.91,5.47,5.47,40106,219379.81999999998
2018-10-02,5.35,5.47,4.97,5.35,25267,135178.44999999998
2018-10-03,5.35,5.35,5.22,5.22,29002,151390.44
2018-10-04,5.29,5.41,5.29,5.29,43844,231934.76
2018-10-05,5.35,5.47,5.29,5.29,91532,484204.28
2018-10-08,5.35,5.41,5.29,5.35,38167,204193.44999999998
2018-10-09,5.29,5.29,5.16,5.22,50331,262727.82
2018-10-10,5.22,5.22,5.04,5.04,39090,197013.6
2018-10-11,5.04,5.04,4.85,4.85,77606,376389.1
2018-10-12,4.91,4.91,4.73,4.91,45531,223557.21000000002
2018-10-15,4.91,4.97,4.85,4.85,20080,97388.0
2018-10-16,4.85,4.97,4.79,4.97,10972,54530.84
2018-10-17,4.97,4.97,4.79,4.91,19577,96123.07
2018-10-18,4.97,4.97,4.73,4.73,33983,160739.59000000003
2018-10-19,4.66,4.73,4.6,4.6,13602,62569.2
2018-10-22,4.85,4.85,4.66,4.66,14386,67038.76000000001
2018-10-23,4.54,4.73,4.54,4.73,29305,138612.65000000002
2018-10-24,4.6,4.6,4.54,4.54,23053,104660.62
2018-10-25,4.23,4.54,4.23,4.54,8221,37323.340000000004
2018-10-26,4.17,4.41,4.17,4.29,15270,65508.3
2018-10-29,4.29,4.29,4.1,4.17,24790,103374.3
