time,open,high,low,close,volume,amounts
2010-01-04,4.87,4.96,4.75,4.96,235620,1168675.2
2010-01-05,5.14,5.14,4.96,4.96,200040,992198.4
2010-01-06,4.96,5.02,4.78,4.87,94870,462016.9
2010-01-07,4.87,4.9,4.81,4.84,102720,497164.8
2010-01-08,4.93,4.93,4.69,4.69,161560,757716.4
2010-01-11,4.78,4.78,4.6,4.66,126590,589909.4
2010-01-12,4.63,4.69,4.57,4.57,226250,1033962.5000000001
2010-01-13,4.57,4.72,4.51,4.72,146230,690205.6
2010-01-14,4.81,4.81,4.69,4.75,124220,590045.0
2010-01-15,4.75,4.75,4.66,4.66,81780,381094.8
2010-01-18,4.63,4.63,4.57,4.57,142680,652047.6000000001
2010-01-19,4.69,4.72,4.6,4.66,125670,585622.2000000001
2010-01-20,4.78,4.81,4.66,4.75,344660,1637135.0
2010-01-21,4.69,4.75,4.66,4.69,226540,1062472.6
2010-01-22,4.69,4.72,4.6,4.69,132330,620627.7000000001
2010-01-25,4.69,4.72,4.69,4.72,44160,208435.19999999998
2010-01-26,4.81,4.87,4.72,4.87,126830,617662.1
2010-01-27,4.87,4.87,4.69,4.69,125540,588782.6000000001
2010-01-28,4.63,4.72,4.63,4.69,37340,175124.6
2010-01-29,4.66,4.69,4.63,4.63,100130,463601.89999999997
2010-02-01,4.6,4.75,4.6,4.69,122980,576776.2000000001
2010-02-02,4.81,4.87,4.78,4.87,401340,1954525.8
2010-02-03,5.02,5.08,4.93,5.08,688030,3495192.4
2010-02-04,5.05,5.11,5.02,5.08,417620,2121509.6
2010-02-05,5.02,5.05,4.84,4.87,252750,1230892.5
2010-02-08,4.84,4.99,4.84,4.99,165000,823350.0
2010-02-09,4.9,4.99,4.78,4.78,202980,970244.4
2010-02-10,4.9,4.93,4.9,4.93,68750,338937.5
2010-02-11,4.99,5.02,4.93,5.02,142740,716554.7999999999
2010-02-12,5.11,5.11,5.02,5.05,269440,1360672.0
2010-02-22,5.08,5.08,4.99,5.02,156270,784475.3999999999
2010-02-23,4.9,4.93,4.81,4.84,129220,625424.7999999999
2010-02-24,4.81,4.87,4.81,4.84,187720,908564.7999999999
2010-02-25,4.84,4.9,4.78,4.84,268610,1300072.4
2010-02-26,4.81,4.81,4.69,4.69,685260,3213869.4000000004
2010-03-01,4.84,4.84,4.81,4.81,69350,333573.5
2010-03-02,4.81,4.81,4.78,4.81,194250,934342.4999999999
2010-03-03,4.87,4.87,4.84,4.87,208570,1015735.9
2010-03-04,4.93,4.96,4.87,4.96,309130,1533284.8
2010-03-05,4.96,4.99,4.93,4.93,276710,1364180.2999999998
2010-03-08,4.93,4.99,4.93,4.96,291290,1444798.4
2010-03-09,4.99,5.05,4.99,5.05,444180,2243109.0
2010-03-10,5.14,5.29,5.08,5.29,1193070,6311340.3
2010-03-11,5.38,5.41,5.29,5.35,241410,1291543.5
2010-03-12,5.38,5.38,5.29,5.35,337200,1804019.9999999998
2010-03-15,5.35,5.35,5.23,5.29,238400,1261136.0
2010-03-16,5.17,5.2,5.05,5.05,642300,3243615.0
2010-03-17,5.14,5.17,5.05,5.08,342500,1739900.0
2010-03-18,5.08,5.2,5.08,5.2,95600,497120.0
2010-03-19,5.23,5.23,5.14,5.17,194090,1003445.2999999999
2010-03-22,5.14,5.14,5.05,5.05,143010,722200.5
2010-03-23,5.05,5.11,4.96,4.99,128330,640366.7000000001
2010-03-24,5.08,5.14,5.05,5.11,242280,1238050.8
2010-03-25,5.11,5.11,4.99,5.02,246000,1234920.0
2010-03-26,5.02,5.02,4.93,4.99,152570,761324.3
2010-03-29,5.05,5.11,5.02,5.08,89620,455269.60000000003
2010-03-30,5.08,5.08,4.96,5.02,214750,1078045.0
2010-03-31,5.05,5.05,5.02,5.02,179890,903047.7999999999
