time,open,high,low,close,volume,amounts
2012-05-21,15.03,16.7,15.03,16.65,2502080,41659632.0
2012-05-22,17.47,17.47,17.26,17.47,1934550,33796588.5
2012-05-23,17.43,17.47,16.61,16.61,1055780,17536505.8
2012-05-24,15.84,16.25,15.8,15.8,1009380,15948204.0
2012-05-25,15.8,16.17,15.07,15.84,877260,13895798.4
2012-05-28,15.92,15.92,15.23,15.27,457400,6984498.0
2012-05-29,14.75,15.03,14.66,14.91,418300,6236853.0
2012-05-30,15.03,15.4,14.91,15.35,170280,2613798.0
2012-05-31,15.11,15.35,14.91,15.11,269030,4065043.3
2012-06-01,15.03,15.19,15.03,15.11,138370,2090770.7
2012-06-04,14.95,14.95,14.46,14.46,383250,5541795.0
2012-06-05,14.22,14.58,14.22,14.46,330550,4779753.0
2012-06-06,14.46,14.62,14.34,14.54,101300,1472902.0
2012-06-07,14.75,15.23,14.54,15.23,280210,4267598.3
2012-06-08,15.35,15.96,15.19,15.23,300060,4569913.8
2012-06-11,15.03,15.4,14.95,14.95,106110,1586344.5
2012-06-12,14.75,15.23,14.75,14.75,126760,1869710.0
2012-06-13,14.91,14.91,14.66,14.79,33550,496204.5
2012-06-14,14.71,14.95,14.66,14.79,88860,1314239.4
2012-06-15,14.79,15.15,14.79,15.07,80460,1212532.2
2012-06-18,15.15,15.44,15.15,15.4,181580,2796332.0
2012-06-19,15.4,15.52,15.27,15.4,263540,4058516.0
2012-06-20,15.4,15.72,15.4,15.6,224150,3496740.0
2012-06-21,15.76,15.76,15.48,15.64,86970,1360210.8
2012-06-22,15.6,15.76,15.56,15.68,182790,2866147.1999999997
2012-06-25,15.72,15.72,15.27,15.4,216300,3331020.0
2012-06-26,15.11,15.4,15.11,15.4,107410,1654114.0
2012-06-27,15.35,15.6,15.35,15.44,56490,872205.6
2012-06-28,15.64,15.64,15.44,15.64,314740,4922533.600000001
2012-06-29,15.72,15.72,15.6,15.6,591130,9221628.0
2012-07-02,15.72,16.25,15.6,15.64,111900,1750116.0
2012-07-03,15.56,15.76,15.52,15.68,98880,1550438.4
2012-07-04,15.64,15.68,15.52,15.56,181160,2818849.6
2012-07-05,15.56,15.6,15.23,15.56,32450,504922.0
2012-07-06,15.56,15.56,15.23,15.56,27580,429144.8
2012-07-09,15.56,15.56,15.31,15.44,14910,230210.4
2012-07-10,15.31,15.44,15.23,15.23,54900,836127.0
2012-07-11,15.03,15.35,15.03,15.35,32940,505629.0
2012-07-12,15.4,15.4,15.27,15.4,2830,43582.0
2012-07-13,15.44,15.52,15.4,15.48,77460,1199080.8
2012-07-16,15.27,15.56,15.27,15.56,75920,1181315.2
2012-07-17,15.68,15.68,15.44,15.56,182340,2837210.4
2012-07-18,15.68,15.68,15.31,15.6,146560,2286336.0
2012-07-19,15.6,16.29,15.4,16.29,819250,13345582.5
2012-07-20,16.25,16.25,16.0,16.09,287610,4627644.9
2012-07-23,16.09,16.09,15.84,16.0,51430,822880.0
2012-07-24,16.0,16.0,15.48,15.68,33440,524339.2
2012-07-25,15.44,15.84,15.44,15.68,59190,928099.2
2012-07-26,15.8,15.8,15.68,15.8,28250,446350.0
2012-07-27,15.8,15.84,15.72,15.76,42110,663653.6
2012-07-30,15.52,15.92,15.52,15.92,36800,585856.0
2012-07-31,16.0,16.0,15.76,15.8,37450,591710.0
2012-08-01,15.8,15.88,15.8,15.84,126160,1998374.4
2012-08-02,15.84,16.09,15.76,15.96,379390,6055064.4
2012-08-03,15.88,16.0,15.84,15.96,338830,5407726.800000001
2012-08-06,16.13,16.13,15.84,16.0,307250,4916000.0
2012-08-07,16.0,16.05,15.88,16.0,39770,636320.0
2012-08-08,16.05,16.05,15.88,15.88,88470,1404903.6
2012-08-09,15.88,16.0,15.88,15.88,139970,2222723.6
2012-08-10,15.88,16.0,15.88,15.88,82930,1316928.4000000001
2012-08-13,15.64,15.92,15.64,15.88,52670,836399.6000000001
2012-08-14,15.84,15.96,15.84,15.92,65220,1038302.4
2012-08-15,16.0,16.05,15.96,16.0,172630,2762080.0
2012-08-16,16.05,16.37,16.05,16.29,713090,11616236.1
2012-08-17,16.37,16.98,16.37,16.9,2424550,40974895.0
2012-08-20,17.06,17.06,16.9,17.02,285470,4858699.399999999
2012-08-21,16.98,16.98,16.21,16.21,778620,12621430.200000001
2012-08-22,15.64,16.65,15.64,16.45,425250,6995362.5
2012-08-23,16.25,16.25,15.64,15.64,608680,9519755.200000001
2012-08-24,14.95,16.37,14.95,16.05,471190,7562599.5
2012-08-27,16.0,16.0,15.27,15.27,338670,5171490.899999999
2012-08-28,15.11,15.72,15.11,15.56,144670,2251065.2
2012-08-29,16.17,16.33,16.17,16.33,1294020,21131346.599999998
2012-08-30,16.57,16.74,16.45,16.65,1204090,20048098.5
2012-08-31,16.86,17.03,16.78,16.99,1200100,20389698.999999996
2012-09-04,17.24,17.24,16.99,17.11,633240,10834736.4
2012-09-05,17.11,17.2,16.78,16.9,154700,2614430.0
2012-09-06,16.74,16.95,16.24,16.24,174400,2832255.9999999995
2012-09-07,16.53,17.03,16.2,17.03,360690,6142550.7
2012-09-10,16.95,16.95,16.36,16.61,454770,7553729.7
2012-09-11,16.36,17.07,16.28,16.74,157910,2643413.4
2012-09-12,16.74,17.03,16.66,16.99,566030,9616849.7
2012-09-13,17.07,17.24,17.03,17.2,533240,9171728.0
2012-09-14,17.65,17.65,17.28,17.4,824280,14342471.999999998
2012-09-17,17.28,17.49,17.2,17.2,113130,1945836.0
2012-09-18,17.24,17.24,16.45,16.74,143650,2404701.0
2012-09-19,16.61,17.07,16.61,16.95,262800,4454460.0
2012-09-20,16.95,16.95,16.49,16.66,46540,775356.4
2012-09-21,16.99,16.99,16.53,16.66,98550,1641843.0
2012-09-24,16.24,16.66,16.03,16.16,434220,7016995.2
2012-09-25,16.32,16.66,16.32,16.57,303570,5030154.9
2012-09-26,16.53,16.82,16.53,16.66,117740,1961548.4
2012-09-27,16.57,16.61,16.32,16.32,90010,1468963.2
2012-09-28,16.24,16.74,16.24,16.7,199000,3323300.0
2012-10-01,16.66,16.66,16.07,16.11,129660,2088822.5999999999
2012-10-02,16.24,16.24,16.07,16.11,227380,3663091.8
2012-10-03,16.11,16.24,16.07,16.11,236880,3816136.8
2012-10-04,16.2,16.2,16.11,16.16,162210,2621313.6
2012-10-05,16.16,16.57,16.16,16.49,217330,3583771.6999999997
2012-10-08,16.41,16.7,16.41,16.53,242320,4005549.6
2012-10-09,16.61,16.61,16.16,16.53,238310,3939264.3000000003
2012-10-10,16.32,16.53,16.32,16.53,33740,557722.2000000001
2012-10-11,16.53,16.57,16.45,16.53,110180,1821275.4000000001
2012-10-12,16.57,16.57,16.41,16.41,79120,1298359.2
2012-10-15,16.57,16.57,16.07,16.11,45510,733166.1
2012-10-16,16.2,16.45,16.16,16.24,87690,1424085.5999999999
2012-10-17,16.24,16.41,16.16,16.2,35150,569430.0
2012-10-18,16.36,16.36,16.2,16.2,60080,973296.0
2012-10-19,16.32,16.57,16.11,16.57,271750,4502897.5
2012-10-22,16.57,16.57,16.24,16.41,4050,66460.5
2012-10-23,16.57,16.82,16.45,16.66,172530,2874349.8
2012-10-24,16.74,16.74,16.57,16.57,53520,886826.4
2012-10-25,16.36,16.61,16.36,16.36,12940,211698.4
2012-10-26,16.36,16.49,16.28,16.36,26410,432067.6
2012-10-29,16.57,16.57,16.36,16.45,29930,492348.5
2012-10-30,16.49,16.57,16.49,16.49,79390,1309141.0999999999
2012-10-31,16.45,16.61,16.45,16.45,76830,1263853.5
2012-11-01,16.53,16.53,16.41,16.45,223990,3684635.5
2012-11-02,15.82,16.24,15.82,16.07,95260,1530828.2
2012-11-05,16.2,16.28,16.07,16.2,100740,1631988.0
2012-11-06,16.36,16.36,16.16,16.24,11380,184811.19999999998
2012-11-07,16.32,16.32,16.16,16.24,65790,1068429.5999999999
2012-11-08,16.32,16.32,16.2,16.24,104620,1699028.7999999998
2012-11-09,16.24,16.41,16.2,16.24,249060,4044734.3999999994
2012-11-12,16.41,16.41,16.24,16.24,110350,1792083.9999999998
2012-11-13,16.32,16.32,16.24,16.24,99660,1618478.4
2012-11-14,16.24,16.32,16.2,16.24,119660,1943278.4
2012-11-15,16.32,16.32,16.2,16.2,44850,726570.0
2012-11-16,16.16,16.28,16.16,16.24,44410,721218.3999999999
2012-11-19,16.2,16.28,16.16,16.16,60140,971862.4
2012-11-20,16.16,16.24,16.16,16.2,13590,220158.0
2012-11-21,16.2,16.28,16.16,16.16,88770,1434523.2
2012-11-22,16.2,16.28,16.2,16.24,148050,2404332.0
2012-11-23,16.24,16.28,16.16,16.24,82060,1332654.4
2012-11-26,16.2,16.2,16.11,16.16,44460,718473.6
2012-11-27,16.11,16.2,16.11,16.16,29740,480598.4
2012-11-28,16.11,16.24,16.11,16.2,43070,697734.0
2012-11-29,16.2,16.2,16.16,16.16,24140,390102.4
2012-11-30,16.2,16.24,16.16,16.16,40500,654480.0
2012-12-03,16.2,16.24,16.16,16.2,60410,978642.0
2012-12-04,16.41,16.62,16.28,16.62,135030,2244198.6
2012-12-05,16.67,16.67,16.54,16.67,36080,601453.6000000001
2012-12-06,16.62,16.62,16.5,16.5,2760,45540.0
2012-12-07,16.5,16.58,16.33,16.45,18370,302186.5
2012-12-10,16.5,16.58,16.37,16.5,40080,661320.0
2012-12-11,16.67,16.8,16.5,16.62,6570,109193.40000000001
2012-12-12,16.5,16.67,16.45,16.62,68420,1137140.4000000001
2012-12-13,16.62,16.67,16.5,16.5,127330,2100945.0
2012-12-14,16.67,16.67,16.5,16.5,58880,971520.0
2012-12-17,16.5,16.67,16.45,16.58,112540,1865913.1999999997
2012-12-18,16.58,16.62,16.54,16.62,194580,3233919.6
2012-12-19,16.62,16.62,16.5,16.58,35120,582289.6
2012-12-20,16.62,16.62,16.45,16.45,77850,1280632.5
2012-12-21,16.45,16.54,16.28,16.33,23440,382775.19999999995
2012-12-24,16.58,16.58,16.24,16.58,36900,611801.9999999999
2012-12-25,16.58,16.62,16.5,16.58,44300,734493.9999999999
