time,open,high,low,close,volume,amounts
2010-01-04,16.73,17.15,16.73,17.15,595630,10215054.5
2010-01-05,17.99,17.99,17.68,17.89,909350,16268271.5
2010-01-06,17.68,18.31,17.36,17.99,1494670,26889113.299999997
2010-01-07,17.99,18.83,17.89,18.83,2634000,49598219.99999999
2010-01-08,18.94,19.36,17.99,17.99,1175930,21154980.7
2010-01-11,18.1,18.2,17.36,17.57,901170,15833556.9
2010-01-12,17.26,17.68,16.73,16.73,1038270,17370257.1
2010-01-13,16.52,17.47,15.99,17.47,1497710,26164993.7
2010-01-14,17.47,17.89,17.04,17.68,686900,12144392.0
2010-01-15,17.68,17.78,16.83,16.83,653850,11004295.499999998
2010-01-18,16.41,16.52,15.99,15.99,717870,11478741.3
2010-01-19,16.41,16.62,15.99,16.2,827590,13406958.0
2010-01-20,16.41,16.41,15.68,15.78,544480,8591894.4
2010-01-21,15.36,15.78,15.05,15.26,989980,15107094.799999999
2010-01-22,15.36,15.57,15.05,15.47,436140,6747085.8
2010-01-25,15.47,15.68,15.36,15.47,242650,3753795.5
2010-01-26,15.89,16.2,15.89,16.2,548510,8885862.0
2010-01-27,16.1,16.62,15.68,15.89,504980,8024132.2
2010-01-28,15.89,16.1,15.68,15.68,299550,4696944.0
2010-01-29,15.57,15.99,15.36,15.68,517840,8119731.2
2010-02-01,15.99,16.41,15.89,16.41,736940,12093185.4
2010-02-02,16.73,16.73,16.31,16.31,689270,11241993.7
2010-02-03,16.41,16.83,16.31,16.62,794100,13197942.0
2010-02-04,16.73,17.15,16.73,16.83,1156620,19465914.599999998
2010-02-05,16.83,17.04,16.41,16.73,1022200,17101406.0
2010-02-08,16.41,16.62,16.1,16.1,603300,9713130.0
2010-02-09,15.89,16.2,15.78,15.78,422620,6668943.6
2010-02-10,16.1,16.1,15.78,15.89,591350,9396551.5
2010-02-11,15.89,16.1,15.78,15.99,353330,5649746.7
2010-02-12,16.2,16.41,16.1,16.2,311040,5038848.0
2010-02-22,16.41,16.41,15.99,16.31,268650,4381681.5
2010-02-23,15.99,15.99,15.78,15.78,334600,5279988.0
2010-02-24,15.57,15.89,15.57,15.89,441500,7015435.0
2010-02-25,15.99,16.1,15.68,15.68,442580,6939654.399999999
2010-02-26,15.68,15.78,15.68,15.78,353030,5570813.399999999
2010-03-01,15.78,15.99,15.78,15.89,264900,4209261.0
2010-03-02,15.89,15.99,15.78,15.78,357570,5642454.6
2010-03-03,15.89,16.2,15.89,16.2,432400,7004880.0
2010-03-04,16.94,16.94,16.73,16.73,1378410,23060799.3
2010-03-05,16.73,17.04,16.73,16.83,782190,13164257.7
2010-03-08,16.83,17.15,16.73,16.94,1068740,18104455.6
2010-03-09,16.94,17.15,16.62,16.94,2216020,37539378.800000004
2010-03-10,17.04,17.78,17.04,17.78,3413180,60686340.400000006
2010-03-11,17.78,17.99,17.57,17.68,558530,9874810.4
2010-03-12,17.68,17.68,17.47,17.68,623970,11031789.6
2010-03-15,17.89,18.31,17.68,18.1,1146220,20746582.0
2010-03-16,17.89,17.99,17.26,17.26,1738480,30006164.800000004
2010-03-17,17.47,17.47,16.94,16.94,1218990,20649690.6
2010-03-18,17.04,17.47,16.83,17.47,705900,12332073.0
2010-03-19,17.36,17.47,17.15,17.36,599170,10401591.2
2010-03-22,17.15,17.26,16.94,16.94,596280,10100983.200000001
2010-03-23,16.94,17.04,16.62,16.62,646060,10737517.200000001
