time,open,high,low,close,volume,amounts
2010-01-04,36.36,37.04,36.36,37.04,1089130,40341375.199999996
2010-01-05,38.86,38.86,37.95,38.86,2041850,79346291.0
2010-01-06,38.63,39.31,37.5,38.4,1258770,48336768.0
2010-01-07,38.18,38.63,37.5,37.5,1040530,39019875.0
2010-01-08,38.18,38.4,36.36,36.36,920810,33480651.599999998
2010-01-11,36.36,36.81,35.22,35.68,533760,19044556.8
2010-01-12,35.45,36.36,34.77,35.0,798000,27930000.0
2010-01-13,35.0,36.59,34.31,36.59,885630,32405201.700000003
2010-01-14,36.81,37.5,36.36,37.27,526890,19637190.3
2010-01-15,36.81,37.27,36.36,37.04,662150,24526036.0
2010-01-18,37.04,37.04,35.22,35.22,595380,20969283.599999998
2010-01-19,35.45,36.81,35.22,36.59,533330,19514544.700000003
2010-01-20,36.59,36.59,35.68,36.13,308940,11162002.200000001
2010-01-21,35.91,36.13,35.0,35.22,598730,21087270.599999998
2010-01-22,34.77,35.68,34.77,35.68,351580,12544374.4
2010-01-25,35.0,35.91,35.0,35.45,215660,7645147.000000001
2010-01-26,36.36,37.04,36.13,37.04,877020,32484820.8
2010-01-27,36.81,37.27,35.91,35.91,493820,17733076.2
2010-01-28,35.45,35.91,35.22,35.45,264750,9385387.5
2010-01-29,35.45,35.91,35.0,35.91,457350,16423438.499999998
2010-02-01,35.45,36.36,35.45,36.36,330160,12004617.6
2010-02-02,36.81,36.81,36.13,36.36,369110,13420839.6
2010-02-03,36.81,36.81,36.13,36.36,472490,17179736.4
2010-02-04,36.36,36.81,36.36,36.81,591080,21757654.8
2010-02-05,36.36,36.59,35.91,36.36,522520,18998827.2
2010-02-08,36.36,36.36,35.91,36.36,464250,16880130.0
2010-02-09,36.36,36.36,35.91,36.36,399920,14541091.2
2010-02-10,36.36,36.36,36.13,36.36,285060,10364781.6
2010-02-11,36.36,36.36,35.91,36.36,339490,12343856.4
2010-02-12,36.81,36.81,36.36,36.59,338050,12369249.500000002
2010-02-22,37.27,37.27,36.59,37.27,350540,13064625.8
2010-02-23,37.27,37.27,36.13,36.13,302290,10921737.700000001
2010-02-24,35.91,36.13,35.45,35.91,471550,16933360.5
2010-02-25,36.36,36.36,35.68,36.13,525550,18988121.5
2010-02-26,36.13,36.13,35.45,35.91,669550,24043540.499999996
2010-03-01,35.91,36.13,35.68,35.91,210870,7572341.699999999
2010-03-02,35.45,35.91,35.45,35.91,307260,11033706.6
2010-03-03,36.13,36.13,35.91,35.91,379500,13627844.999999998
2010-03-04,37.5,37.5,37.27,37.5,2071210,77670375.0
2010-03-05,38.63,38.63,37.72,38.18,2005500,76569990.0
2010-03-08,38.86,38.86,37.95,38.18,979520,37398073.6
2010-03-09,37.95,38.4,37.72,38.18,816130,31159843.4
2010-03-10,38.18,38.63,37.95,38.18,1562250,59646705.0
2010-03-11,38.4,39.31,38.18,39.09,1732900,67739061.0
2010-03-12,39.54,40.9,39.31,40.68,3580110,145638874.8
2010-03-15,41.13,41.13,40.0,40.22,1053590,42375389.8
2010-03-16,39.77,40.0,38.63,39.09,1187070,46402566.300000004
2010-03-17,39.54,39.54,38.86,38.86,1605600,62393616.0
2010-03-18,39.09,39.54,38.4,39.54,1367740,54080439.6
2010-03-19,39.77,39.77,39.31,39.54,971550,38415087.0
2010-03-22,39.31,39.31,38.63,38.86,545690,21205513.4
2010-03-23,38.63,38.86,37.95,37.95,705060,26757027.000000004
2010-03-24,38.4,38.63,37.95,38.18,978010,37340421.8
2010-03-25,37.72,37.95,36.59,36.81,1035220,38106448.2
2010-03-26,37.27,37.27,36.81,37.27,629350,23455874.500000004
2010-03-29,37.72,37.72,37.27,37.5,481600,18060000.0
2010-03-30,37.27,37.5,36.36,36.36,688660,25039677.599999998
2010-03-31,37.04,37.27,36.36,36.81,855440,31488746.400000002
2010-04-01,37.04,37.72,37.04,37.72,824690,31107306.8
2010-04-02,38.18,38.4,37.72,37.95,763000,28955850.000000004
2010-04-05,38.18,38.4,37.95,38.18,677880,25881458.4
2010-04-06,38.18,38.63,37.95,37.95,693190,26306560.500000004
2010-04-07,37.95,38.18,37.72,38.18,428880,16374638.4
2010-04-08,37.72,38.18,37.72,37.72,479550,18088626.0
2010-04-09,37.72,38.63,37.72,37.95,941370,35724991.5
2010-04-12,38.4,38.63,38.18,38.18,471140,17988125.2
2010-04-13,38.18,38.63,37.95,37.95,402720,15283224.000000002
2010-04-14,38.18,38.18,37.72,37.72,425980,16067965.6
2010-04-15,38.18,38.18,37.72,38.18,631510,24111051.8
2010-04-16,38.4,38.4,37.95,37.95,386510,14668054.500000002
2010-04-19,37.95,37.95,37.72,37.72,339850,12819142.0
2010-04-20,37.72,37.95,37.5,37.72,388840,14667044.799999999
2010-04-21,37.95,38.18,37.5,37.72,297890,11236410.799999999
2010-04-22,37.72,39.31,37.72,38.86,1558310,60555926.6
2010-04-26,39.09,39.09,38.4,38.4,852370,32731008.0
2010-04-27,38.18,38.63,38.18,38.63,765890,29586330.700000003
2010-04-28,38.63,38.86,38.18,38.63,674020,26037392.6
2010-04-29,38.63,38.86,38.4,38.4,515260,19785984.0
2010-05-04,38.63,39.09,38.4,38.63,846330,32693727.900000002
2010-05-05,38.18,38.86,38.18,38.4,489980,18815232.0
2010-05-06,38.18,38.4,37.95,38.18,406040,15502607.2
2010-05-07,37.27,37.5,36.59,36.81,1239800,45637038.0
2010-05-10,36.59,36.81,36.36,36.36,585770,21298597.2
2010-05-11,36.81,36.81,36.36,36.59,525770,19237924.3
2010-05-12,36.59,36.59,35.91,35.91,672230,24139779.299999997
2010-05-13,36.36,36.59,35.91,36.13,380270,13739155.100000001
2010-05-14,36.13,36.59,36.13,36.13,298920,10799979.600000001
2010-05-17,36.13,36.13,35.45,35.45,460460,16323307.000000002
2010-05-18,35.45,35.68,35.0,35.45,519890,18430100.5
2010-05-19,35.22,35.22,34.31,34.54,761130,26289430.2
2010-05-20,33.63,35.45,33.41,35.22,470300,16563966.0
2010-05-21,33.63,34.31,33.63,33.63,626890,21082310.700000003
2010-05-24,34.54,34.54,33.63,34.31,314890,10803875.9
2010-05-25,34.09,34.54,34.09,34.09,295110,10060299.9
2010-05-26,34.09,34.31,33.86,33.86,337380,11423686.799999999
2010-05-27,33.63,34.09,33.41,34.09,555690,18943472.1
