time,open,high,low,close,volume,amounts
2010-01-04,3.64,3.64,3.64,3.64,185690,675911.6
2010-01-05,3.82,3.82,3.82,3.82,99730,380968.6
2010-01-06,3.82,4.0,3.82,3.97,828810,3290375.7
2010-01-07,3.94,3.94,3.79,3.79,641510,2431322.9
2010-01-08,3.91,3.91,3.64,3.64,484890,1764999.6
2010-01-11,3.7,3.82,3.64,3.82,446730,1706508.5999999999
2010-01-12,3.82,3.85,3.64,3.64,285090,1037727.6000000001
2010-01-13,3.64,3.82,3.45,3.82,434820,1661012.4
2010-01-14,3.82,3.88,3.76,3.79,197940,750192.6
2010-01-15,3.7,3.79,3.64,3.67,131850,483889.5
2010-01-18,3.64,3.64,3.48,3.48,274760,956164.8
2010-01-19,3.58,3.61,3.48,3.58,211610,757563.8
2010-01-20,3.64,3.67,3.42,3.45,188560,650532.0
2010-01-21,3.36,3.45,3.3,3.3,281890,930237.0
2010-01-22,3.27,3.36,3.24,3.33,156020,519546.60000000003
2010-01-25,3.33,3.39,3.3,3.33,131480,437828.4
2010-01-26,3.45,3.48,3.45,3.48,209460,728920.8
2010-01-27,3.48,3.55,3.36,3.42,81730,279516.6
2010-01-28,3.42,3.42,3.3,3.3,73910,243903.0
2010-01-29,3.27,3.33,3.18,3.3,147280,486024.0
2010-02-01,3.3,3.3,3.24,3.3,68840,227172.0
2010-02-02,3.3,3.36,3.27,3.27,54220,177299.4
2010-02-03,3.21,3.33,3.21,3.3,69950,230835.0
2010-02-04,3.3,3.45,3.27,3.42,231470,791627.4
2010-02-05,3.33,3.42,3.27,3.3,159400,526020.0
2010-02-08,3.3,3.3,3.24,3.27,72510,237107.7
2010-02-09,3.21,3.24,3.15,3.18,232280,738650.4
2010-02-10,3.24,3.27,3.21,3.24,114350,370494.0
2010-02-11,3.24,3.36,3.24,3.36,161460,542505.6
2010-02-12,3.39,3.42,3.36,3.39,128360,435140.4
2010-02-22,3.42,3.42,3.36,3.39,155850,528331.5
2010-02-23,3.33,3.33,3.24,3.24,230940,748245.6000000001
2010-02-24,3.21,3.3,3.21,3.3,126530,417549.0
2010-02-25,3.36,3.39,3.3,3.33,154080,513086.4
2010-02-26,3.33,3.36,3.27,3.36,222940,749078.4
2010-03-01,3.39,3.39,3.33,3.36,180570,606715.2
2010-03-02,3.33,3.39,3.3,3.33,122050,406426.5
2010-03-03,3.39,3.48,3.39,3.48,911930,3173516.4
2010-03-04,3.61,3.64,3.51,3.51,485170,1702946.7
2010-03-05,3.51,3.67,3.51,3.67,710760,2608489.1999999997
2010-03-08,3.82,3.85,3.76,3.85,610690,2351156.5
2010-03-09,3.85,3.91,3.79,3.91,761810,2978677.1
2010-03-10,3.85,3.94,3.82,3.82,524590,2003933.7999999998
2010-03-11,3.85,3.91,3.76,3.85,1085050,4177442.5
2010-03-12,3.88,3.91,3.82,3.88,509450,1976666.0
2010-03-15,3.94,3.97,3.88,3.94,511980,2017201.2
2010-03-16,3.91,3.94,3.76,3.76,552100,2075895.9999999998
2010-03-17,3.79,3.82,3.61,3.64,594840,2165217.6
2010-03-18,3.73,3.82,3.7,3.82,649670,2481739.4
2010-03-19,3.85,3.94,3.82,3.85,527330,2030220.5
2010-03-22,3.85,3.85,3.79,3.82,260270,994231.3999999999
2010-03-23,3.79,3.82,3.73,3.73,502930,1875928.9
2010-03-24,3.76,3.82,3.73,3.82,429490,1640651.8
2010-03-25,3.76,3.82,3.64,3.67,637290,2338854.3
2010-03-26,3.67,3.7,3.55,3.64,388070,1412574.8
2010-03-29,3.58,3.67,3.58,3.61,239320,863945.2
2010-03-30,3.64,3.64,3.48,3.48,386360,1344532.8
2010-03-31,3.51,3.64,3.48,3.51,492650,1729201.5
2010-04-01,3.58,3.67,3.55,3.67,325910,1196089.7
2010-04-02,3.73,3.76,3.67,3.67,290610,1066538.7
2010-04-05,3.7,3.76,3.67,3.7,155880,576756.0
2010-04-06,3.73,3.76,3.64,3.64,296900,1080716.0
2010-04-07,3.64,3.64,3.55,3.55,331260,1175973.0
2010-04-08,3.55,3.64,3.55,3.55,272850,968617.5
2010-04-09,3.58,3.61,3.55,3.58,198040,708983.2000000001
2010-04-12,3.67,3.67,3.61,3.64,261110,950440.4
2010-04-13,3.64,3.67,3.58,3.61,149360,539189.6
2010-04-14,3.61,3.61,3.55,3.55,183840,652632.0
2010-04-15,3.61,3.7,3.58,3.7,537810,1989897.0
2010-04-16,3.7,3.76,3.7,3.76,653930,2458776.8
2010-04-19,3.64,3.76,3.64,3.64,401310,1460768.4000000001
2010-04-20,3.61,3.64,3.61,3.61,174380,629511.7999999999
2010-04-21,3.64,3.67,3.61,3.61,147540,532619.4
2010-04-22,3.67,3.76,3.64,3.76,432720,1627027.2
2010-04-26,3.67,3.76,3.67,3.67,108920,399736.39999999997
2010-04-27,3.64,3.67,3.64,3.64,136450,496678.0
2010-04-28,3.7,3.7,3.61,3.64,172720,628700.8
2010-04-29,3.7,3.7,3.61,3.61,185090,668174.9
2010-05-04,3.64,3.7,3.61,3.64,144670,526598.8
2010-05-05,3.58,3.61,3.55,3.58,282550,1011529.0
2010-05-06,3.64,3.64,3.58,3.58,163980,587048.4
2010-05-07,3.55,3.55,3.48,3.51,305860,1073568.5999999999
2010-05-10,3.55,3.55,3.45,3.48,169830,591008.4
2010-05-11,3.55,3.55,3.48,3.48,195470,680235.6
2010-05-12,3.45,3.48,3.42,3.42,188140,643438.7999999999
2010-05-13,3.48,3.48,3.42,3.42,144100,492822.0
2010-05-14,3.42,3.45,3.39,3.39,284060,962963.4
2010-05-17,3.36,3.36,3.27,3.3,156780,517374.0
2010-05-18,3.27,3.33,3.27,3.3,90380,298254.0
2010-05-19,3.21,3.3,3.15,3.18,376100,1195998.0
2010-05-20,3.06,3.27,3.03,3.27,267850,875869.5
2010-05-21,3.15,3.21,3.12,3.12,411150,1282788.0
2010-05-24,3.12,3.21,3.09,3.18,232460,739222.8
2010-05-25,3.21,3.24,3.12,3.12,113500,354120.0
2010-05-26,3.15,3.18,3.12,3.15,175850,553927.5
2010-05-27,3.09,3.18,3.09,3.18,91690,291574.2
2010-05-28,3.27,3.3,3.21,3.27,176300,576501.0
2010-05-31,3.33,3.33,3.21,3.21,68460,219756.6
2010-06-01,3.24,3.24,3.21,3.21,104900,336729.0
2010-06-02,3.21,3.24,3.18,3.21,34810,111740.1
2010-06-03,3.27,3.27,3.21,3.21,94720,304051.2
2010-06-04,3.21,3.21,3.18,3.21,60260,193434.6
2010-06-07,3.12,3.15,3.07,3.07,147260,452088.19999999995
2010-06-08,3.0,3.09,2.99,3.04,134570,409092.8
2010-06-09,3.08,3.09,3.03,3.04,152420,463356.8
2010-06-10,3.0,3.04,3.0,3.03,102870,311696.1
2010-06-11,3.09,3.09,3.03,3.04,47180,143427.2
2010-06-14,3.09,3.09,3.06,3.06,114370,349972.2
2010-06-15,3.12,3.12,3.06,3.09,99320,306898.8
2010-06-16,3.21,3.24,3.12,3.18,211690,673174.2000000001
2010-06-17,3.18,3.21,3.15,3.15,83420,262773.0
2010-06-18,3.12,3.18,3.12,3.12,53620,167294.4
2010-06-21,3.12,3.15,3.12,3.12,54310,169447.2
2010-06-22,3.12,3.12,3.06,3.06,73010,223410.6
2010-06-23,3.09,3.09,3.03,3.09,98050,302974.5
2010-06-24,3.07,3.15,3.06,3.07,94750,290882.5
2010-06-25,3.07,3.07,3.03,3.03,70510,213645.3
2010-06-28,3.08,3.08,2.99,3.0,47500,142500.0
2010-06-29,3.0,3.03,2.99,2.99,168780,504652.2
2010-06-30,2.96,2.97,2.96,2.96,65350,193436.0
2010-07-01,2.93,2.96,2.93,2.93,53750,157487.5
2010-07-02,2.93,2.97,2.93,2.93,92290,270409.7
2010-07-05,2.99,2.99,2.93,2.94,124390,365706.6
2010-07-06,2.93,2.93,2.87,2.87,75700,217259.0
2010-07-07,2.9,2.9,2.84,2.87,195700,561659.0
2010-07-08,2.87,2.93,2.87,2.87,40910,117411.7
2010-07-09,2.91,2.91,2.85,2.87,36320,104238.40000000001
2010-07-12,2.9,2.9,2.82,2.84,34330,97497.2
2010-07-13,2.9,2.98,2.87,2.98,203220,605595.6
2010-07-14,3.08,3.09,2.98,2.98,172600,514348.0
2010-07-15,2.96,3.01,2.93,2.96,52390,155074.4
2010-07-16,2.96,2.96,2.9,2.91,38170,111074.70000000001
2010-07-19,2.91,2.93,2.91,2.91,178770,520220.7
2010-07-20,2.93,2.93,2.89,2.89,60790,175683.1
2010-07-21,2.89,2.89,2.85,2.85,61770,176044.5
