time,open,high,low,close,volume,amounts
2018-01-05,9.64,9.78,9.02,9.78,32205910,314973799.79999995
2018-01-08,9.88,9.88,9.78,9.81,3321420,32583130.200000003
2018-01-09,9.81,9.83,9.61,9.82,4537340,44556678.800000004
2018-01-10,9.69,9.96,9.66,9.96,8726070,86911657.2
2018-01-11,9.98,10.5,9.96,10.5,9874500,103682250.0
2018-01-12,10.53,11.23,10.53,11.23,18714750,210166642.5
2018-01-15,11.24,11.29,10.87,11.24,6559820,73732376.8
2018-01-16,11.02,11.17,10.98,11.11,6271100,69671921.0
2018-01-17,11.09,11.11,10.55,10.55,5794700,61134085.00000001
2018-01-18,10.53,10.87,10.3,10.87,5371340,58386465.8
2018-01-19,10.99,11.39,10.99,11.17,6728810,75160807.7
2018-01-22,11.07,11.22,10.95,11.19,4402360,49262408.4
2018-01-23,11.19,11.19,11.19,11.19,0,0.0
2018-01-24,11.19,11.19,11.19,11.19,0,0.0
2018-01-25,11.24,11.93,11.12,11.81,10284390,121458645.9
2018-01-26,11.81,11.88,11.44,11.61,5637470,65451026.699999996
2018-01-29,11.64,11.74,11.44,11.62,6592140,76600666.8
2018-01-30,11.62,11.62,11.29,11.61,6121930,71075607.3
2018-01-31,11.59,11.59,11.37,11.51,5581950,64248244.5
2018-02-01,11.51,11.54,11.32,11.37,3428660,38983864.199999996
2018-02-02,11.37,11.37,11.19,11.37,4567580,51933384.599999994
2018-02-05,11.17,11.27,10.57,10.62,3353170,35610665.4
2018-02-06,9.88,10.2,9.88,10.13,3906020,39567982.6
2018-02-07,10.48,10.83,10.45,10.83,4238270,45900464.1
2018-02-08,10.83,11.33,10.75,11.09,4667920,51767232.8
2018-02-09,10.82,11.04,10.4,11.02,3454800,38071896.0
2018-02-12,11.04,11.61,11.03,11.49,3436010,39479754.9
2018-02-13,11.6,11.6,11.24,11.51,5066980,58320939.8
2018-02-21,11.59,11.64,11.24,11.54,3263200,37657328.0
2018-02-22,11.41,11.41,11.12,11.12,2243860,24951723.2
2018-02-23,11.12,11.49,10.96,11.01,2175420,23951374.2
2018-02-26,11.01,11.37,10.78,10.87,2378080,25849729.599999998
2018-02-27,10.99,11.02,10.57,10.99,1579540,17359144.6
2018-02-28,10.87,10.99,10.62,10.97,2241390,24588048.3
2018-03-01,10.7,10.87,10.67,10.86,2739770,29753902.2
2018-03-02,10.75,10.76,10.67,10.76,1808640,19460966.4
2018-03-05,10.77,10.8,10.6,10.62,2578830,27387174.599999998
2018-03-06,10.62,10.76,10.57,10.67,2479350,26454664.5
2018-03-07,10.67,10.85,10.43,10.5,1357460,14253330.0
2018-03-08,10.62,10.75,10.33,10.5,2182740,22918770.0
2018-03-09,10.4,10.72,10.35,10.5,1018640,10695720.0
2018-03-12,10.5,10.6,10.43,10.5,1427550,14989275.0
2018-03-13,10.5,10.5,10.39,10.45,1687940,17638973.0
2018-03-14,10.5,10.93,10.48,10.87,5974370,64941401.9
2018-03-15,10.87,11.02,10.87,10.99,4347760,47781882.4
2018-03-16,11.04,11.07,10.99,11.07,2863300,31696731.0
2018-03-19,11.07,11.2,10.95,11.17,4333110,48400838.7
2018-03-20,11.08,11.09,10.87,10.87,2666350,28983224.499999996
2018-03-21,10.87,10.92,10.66,10.75,2119630,22786022.5
2018-03-22,10.75,10.87,10.5,10.5,2881270,30253335.0
2018-03-23,10.38,10.43,10.11,10.38,2122680,22033418.400000002
2018-03-26,10.15,10.8,10.15,10.8,3490240,37694592.0
2018-03-27,10.8,11.11,10.8,11.07,4513810,49967876.7
2018-03-28,11.02,11.23,10.98,11.23,3904720,43850005.6
2018-03-29,11.24,11.44,11.23,11.37,3603320,40969748.4
2018-03-30,11.37,11.37,11.12,11.34,2358520,26745616.8
2018-04-02,11.37,11.39,11.24,11.27,2317540,26118675.8
2018-04-03,11.22,11.32,11.16,11.27,2115830,23845404.099999998
2018-04-04,11.34,11.51,11.27,11.49,5350390,61475981.1
2018-04-05,11.49,11.56,11.41,11.48,2804190,32192101.200000003
2018-04-06,11.48,11.49,11.39,11.48,2975100,34154148.0
2018-04-09,11.49,12.03,11.44,12.03,7770500,93479115.0
2018-04-10,12.11,12.5,12.11,12.5,9215650,115195625.0
2018-04-11,12.5,12.55,12.16,12.38,5630290,69702990.2
2018-04-12,12.23,12.33,12.11,12.13,2705590,32818806.700000003
2018-04-13,12.24,12.38,12.13,12.35,3033930,37469035.5
2018-04-16,12.35,12.67,12.16,12.6,2836140,35735364.0
2018-04-17,12.72,12.77,12.5,12.55,1678660,21067183.0
2018-04-18,12.58,12.95,12.5,12.8,4624790,59197312.0
2018-04-19,12.82,12.82,12.11,12.16,3452260,41979481.6
2018-04-20,12.11,12.38,12.03,12.38,1802740,22317921.200000003
2018-04-23,12.23,12.28,11.51,11.51,3902200,44914322.0
2018-04-24,11.37,11.46,10.71,11.12,3013200,33506783.999999996
2018-04-26,11.12,11.24,10.35,10.43,3073110,32052537.3
2018-04-27,10.38,10.64,10.33,10.57,1706640,18039184.8
2018-05-02,10.6,10.6,10.13,10.38,1017430,10560923.4
2018-05-03,10.25,10.75,10.14,10.75,2085150,22415362.5
2018-05-04,10.87,10.87,10.57,10.62,646170,6862325.399999999
2018-05-07,10.75,10.87,10.5,10.75,1601930,17220747.5
2018-05-08,10.75,10.75,10.6,10.67,1157790,12353619.3
2018-05-09,10.62,10.65,10.38,10.6,525060,5565636.0
2018-05-10,10.6,10.6,9.88,9.88,961790,9502485.200000001
2018-05-11,9.88,10.23,9.66,10.23,819170,8380109.100000001
2018-05-14,10.25,10.38,9.96,10.01,550760,5513107.6
2018-05-15,10.11,10.2,9.97,10.11,1347990,13628178.899999999
2018-05-16,10.11,10.11,9.83,9.92,999600,9916032.0
2018-05-17,10.01,10.08,9.93,10.01,701400,7021014.0
2018-05-18,10.11,10.24,9.93,10.02,1552940,15560458.799999999
2018-05-21,10.13,10.2,10.01,10.15,1746750,17729512.5
2018-05-22,9.93,10.03,9.45,9.64,1406120,13554996.8
2018-05-23,9.64,9.71,9.09,9.31,959240,8930524.4
2018-05-24,9.39,9.46,8.67,8.77,2368050,20767798.5
2018-05-25,8.77,8.82,8.47,8.71,2692400,23450804.000000004
2018-05-28,8.65,8.65,8.1,8.1,2696050,21838005.0
2018-05-29,8.4,8.66,8.26,8.66,3943980,34154866.8
2018-05-30,8.89,9.24,8.62,9.07,4462960,40479047.2
2018-05-31,8.94,9.66,8.94,9.64,1875240,18077313.6
2018-06-01,9.76,10.29,9.59,10.18,2692760,27412296.8
2018-06-04,10.15,10.62,10.03,10.62,2343110,24883828.2
2018-06-05,10.62,10.87,10.55,10.67,2204580,23522868.6
2018-06-06,10.67,10.75,10.57,10.67,1099960,11736573.2
2018-06-07,10.65,11.07,10.6,11.02,1512020,16662460.399999999
2018-06-08,10.99,11.03,10.67,10.72,863640,9258220.8
2018-06-11,10.5,10.57,10.35,10.35,1676050,17347117.5
2018-06-12,10.25,10.25,9.64,10.11,2322470,23480171.7
2018-06-13,10.11,10.38,10.11,10.13,377960,3828734.8000000003
2018-06-14,10.25,10.25,9.69,9.69,348610,3378030.9
2018-06-15,9.69,9.78,9.44,9.66,1092080,10549492.8
2018-06-18,9.51,9.76,8.99,9.09,1403380,12756724.2
2018-06-19,8.55,9.24,8.55,9.09,3075220,27953749.8
2018-06-20,8.48,9.45,8.48,9.3,932640,8673552.0
2018-06-21,9.35,9.43,9.22,9.35,406740,3803019.0
2018-06-22,9.35,9.58,9.22,9.58,1144370,10963064.6
2018-06-25,9.66,9.67,9.53,9.55,299190,2857264.5
2018-06-26,9.22,9.44,9.22,9.43,427490,4031230.6999999997
2018-06-27,9.43,9.58,9.27,9.27,336910,3123155.6999999997
2018-06-28,9.19,9.25,8.84,8.86,757470,6711184.199999999
2018-06-29,9.04,9.26,8.91,9.26,1234320,11429803.2
2018-07-02,9.26,9.32,8.94,9.27,862020,7990925.399999999
2018-07-03,9.3,9.35,8.81,8.89,2350580,20896656.200000003
2018-07-04,8.71,8.94,8.61,8.78,1296750,11385465.0
2018-07-05,8.89,8.94,8.32,8.4,1595010,13398084.0
2018-07-06,8.4,8.96,8.09,8.96,3135130,28090764.800000004
2018-07-09,8.99,9.12,8.94,9.02,1255590,11325421.799999999
2018-07-10,8.96,9.23,8.94,8.99,598240,5378177.600000001
2018-07-11,8.84,8.86,8.36,8.4,1553920,13052928.0
2018-07-12,8.4,8.58,8.32,8.45,1495050,12633172.499999998
