time,open,high,low,close,volume,amounts
2010-01-04,3.6,3.78,3.6,3.78,20970,79266.59999999999
2010-01-05,3.96,3.96,3.93,3.96,95020,376279.2
2010-01-06,3.99,4.11,3.96,4.02,103240,415024.79999999993
2010-01-07,3.99,4.17,3.93,3.93,34500,135585.0
2010-01-08,4.11,4.11,3.87,3.87,30360,117493.2
2010-01-11,3.99,3.99,3.72,3.72,27970,104048.40000000001
2010-01-12,3.6,3.72,3.54,3.54,56370,199549.8
2010-01-13,3.48,3.63,3.45,3.57,42800,152796.0
2010-01-14,3.69,3.75,3.66,3.75,30210,113287.5
2010-01-15,3.75,3.75,3.63,3.63,9420,34194.6
2010-01-18,3.45,3.57,3.45,3.45,23980,82731.0
2010-01-19,3.42,3.57,3.42,3.51,8770,30782.699999999997
2010-01-20,3.6,3.6,3.45,3.45,18100,62445.0
2010-01-21,3.33,3.45,3.3,3.33,23590,78554.7
2010-01-22,3.39,3.42,3.33,3.36,12660,42537.6
2010-01-25,3.42,3.42,3.36,3.42,21820,74624.4
2010-01-26,3.45,3.57,3.45,3.57,16980,60618.6
2010-01-27,3.6,3.63,3.51,3.54,38510,136325.4
2010-01-28,3.51,3.54,3.51,3.51,14450,50719.5
2010-01-29,3.51,3.51,3.39,3.51,23760,83397.59999999999
2010-02-01,3.54,3.63,3.54,3.54,220,778.8
2010-02-02,3.51,3.51,3.42,3.42,17800,60876.0
2010-02-03,3.42,3.51,3.42,3.45,7100,24495.0
2010-02-04,3.57,3.6,3.51,3.6,26500,95400.0
2010-02-05,3.57,3.66,3.51,3.57,62510,223160.69999999998
2010-02-08,3.57,3.57,3.57,3.57,29340,104743.79999999999
2010-02-09,3.57,3.57,3.51,3.51,48560,170445.59999999998
2010-02-10,3.63,3.63,3.57,3.57,23370,83430.9
2010-02-11,3.63,3.63,3.57,3.63,30900,112167.0
2010-02-12,3.78,3.78,3.63,3.63,35500,128865.0
2010-02-22,3.63,3.75,3.63,3.72,35100,130572.0
2010-02-23,3.6,3.66,3.57,3.57,48190,172038.3
2010-02-24,3.57,3.6,3.51,3.57,36140,129019.79999999999
2010-02-25,3.57,3.69,3.57,3.57,26920,96104.4
2010-02-26,3.57,3.63,3.57,3.6,36250,130500.0
2010-03-01,3.69,3.78,3.63,3.75,113890,427087.5
2010-03-02,3.75,3.78,3.72,3.72,78860,293359.2
2010-03-03,3.75,3.75,3.66,3.75,53920,202200.0
2010-03-04,3.78,3.93,3.78,3.84,117990,453081.6
2010-03-05,3.84,3.84,3.78,3.84,70820,271948.8
2010-03-08,3.87,3.9,3.81,3.81,148330,565137.3
2010-03-09,3.84,3.93,3.75,3.93,197170,774878.1
2010-03-10,3.93,4.05,3.9,3.96,182300,721908.0
