time,open,high,low,close,volume,amounts
2010-02-02,3.03,3.03,3.03,3.03,5520,16725.6
2010-02-03,3.17,3.17,3.17,3.17,10140,32143.8
2010-02-04,3.32,3.32,3.32,3.32,11690,38810.799999999996
2010-02-05,3.38,3.47,3.38,3.47,269750,936032.5
2010-02-08,3.38,3.44,3.32,3.38,74810,252857.8
2010-02-09,3.38,3.38,3.23,3.23,44920,145091.6
2010-02-10,3.17,3.23,3.15,3.17,162280,514427.6
2010-02-11,3.15,3.26,3.09,3.17,60500,191785.0
2010-02-12,3.23,3.32,3.23,3.32,52600,174632.0
2010-02-22,3.41,3.44,3.32,3.41,12690,43272.9
2010-02-23,3.29,3.38,3.26,3.26,61590,200783.4
2010-02-24,3.29,3.32,3.23,3.29,23840,78433.6
2010-02-25,3.32,3.41,3.26,3.32,28790,95582.79999999999
2010-02-26,3.35,3.35,3.29,3.32,42360,140635.19999999998
2010-03-01,3.38,3.38,3.32,3.35,31430,105290.5
2010-03-02,3.35,3.41,3.35,3.35,64440,215874.0
2010-03-03,3.38,3.44,3.35,3.44,100070,344240.8
2010-03-04,3.53,3.53,3.47,3.47,29400,102018.0
2010-03-05,3.62,3.62,3.47,3.62,125640,454816.8
2010-03-08,3.67,3.79,3.62,3.76,39760,149497.6
2010-03-09,3.76,3.76,3.7,3.7,40470,149739.0
2010-03-10,3.7,3.88,3.7,3.85,153290,590166.5
2010-03-11,3.91,4.03,3.88,4.03,86700,349401.0
2010-03-12,4.17,4.2,4.03,4.2,135890,570738.0
2010-03-15,4.29,4.41,4.29,4.41,100270,442190.7
2010-03-16,4.35,4.5,4.23,4.38,135810,594847.7999999999
2010-03-17,4.5,4.5,4.35,4.35,90920,395501.99999999994
2010-03-18,4.35,4.44,4.26,4.44,70030,310933.2
2010-03-19,4.47,4.47,4.35,4.35,66350,288622.5
2010-03-22,4.29,4.29,4.14,4.17,123570,515286.89999999997
2010-03-23,4.17,4.17,3.97,4.0,191400,765600.0
2010-03-24,4.03,4.17,4.03,4.17,189240,789130.7999999999
2010-03-25,4.09,4.26,4.03,4.17,80310,334892.7
2010-03-26,4.17,4.23,4.14,4.23,56800,240264.00000000003
2010-03-29,4.23,4.35,4.2,4.32,57820,249782.40000000002
2010-03-30,4.2,4.32,4.12,4.12,103050,424566.0
2010-03-31,4.12,4.23,4.09,4.09,51530,210757.69999999998
2010-04-01,4.12,4.2,4.09,4.2,53340,224028.0
2010-04-02,4.29,4.41,4.29,4.41,259190,1143027.9000000001
2010-04-05,4.56,4.56,4.38,4.56,177200,808031.9999999999
2010-04-06,4.56,4.64,4.53,4.53,132400,599772.0
2010-04-07,4.56,4.59,4.44,4.56,160400,731423.9999999999
2010-04-08,4.59,4.62,4.56,4.59,146000,670140.0
2010-04-09,4.62,4.79,4.59,4.79,278650,1334733.5
2010-04-12,5.01,5.01,5.01,5.01,2050,10270.5
2010-04-13,5.19,5.24,5.1,5.1,373110,1902860.9999999998
2010-04-14,5.19,5.19,4.97,4.97,103990,516830.3
2010-04-15,4.97,5.01,4.84,4.92,142690,702034.8
2010-04-16,4.92,5.15,4.92,5.1,149110,760461.0
2010-04-19,5.06,5.1,4.97,4.97,104310,518420.69999999995
2010-04-20,4.97,5.06,4.79,4.79,57970,277676.3
2010-04-21,4.97,4.97,4.79,4.97,36500,181405.0
2010-04-22,5.06,5.06,4.92,4.92,55010,270649.2
2010-04-26,5.01,5.01,4.92,4.92,59100,290772.0
2010-04-27,4.92,5.01,4.88,4.88,65390,319103.2
2010-04-28,4.84,4.97,4.84,4.92,56590,278422.8
2010-04-29,5.01,5.15,5.01,5.1,180150,918764.9999999999
2010-05-04,5.24,5.24,5.1,5.15,136420,702563.0
2010-05-05,5.01,5.19,5.01,5.06,90530,458081.8
2010-05-06,5.1,5.1,5.01,5.01,73810,369788.1
2010-05-07,4.92,4.97,4.84,4.84,153740,744101.6
2010-05-10,4.79,4.84,4.7,4.79,86080,412323.2
2010-05-11,4.84,4.84,4.75,4.75,99270,471532.5
2010-05-12,4.75,4.79,4.66,4.66,185140,862752.4
2010-05-13,4.84,4.84,4.66,4.66,68310,318324.60000000003
2010-05-14,4.66,4.75,4.66,4.66,58940,274660.4
2010-05-17,4.57,4.61,4.53,4.57,75470,344897.9
2010-05-18,4.44,4.53,4.39,4.44,130210,578132.4
2010-05-19,4.37,4.57,4.37,4.37,86030,375951.10000000003
2010-05-20,4.28,4.57,4.28,4.57,104780,478844.60000000003
2010-05-21,4.35,4.41,4.35,4.35,123020,535137.0
2010-05-24,4.37,4.39,4.26,4.37,14260,62316.200000000004
2010-05-25,4.35,4.37,4.3,4.35,46120,200621.99999999997
2010-05-26,4.44,4.44,4.33,4.41,24050,106060.5
2010-05-27,4.48,4.48,4.35,4.39,23800,104481.99999999999
2010-05-28,4.39,4.57,4.37,4.57,127330,581898.1000000001
2010-05-31,4.37,4.48,4.37,4.44,31050,137862.0
2010-06-01,4.48,4.48,4.44,4.44,9160,40670.4
2010-06-02,4.44,4.44,4.35,4.44,10550,46842.00000000001
2010-06-03,4.39,4.44,4.39,4.39,31420,137933.8
2010-06-04,4.35,4.41,4.35,4.35,9530,41455.5
2010-06-07,4.3,4.39,4.28,4.3,24560,105608.0
2010-06-08,4.24,4.35,4.24,4.3,13930,59899.0
2010-06-09,4.3,4.39,4.28,4.35,18710,81388.5
2010-06-10,4.39,4.39,4.39,4.39,20,87.8
2010-06-11,4.37,4.39,4.35,4.37,24260,106016.2
2010-06-14,4.33,4.41,4.33,4.39,23530,103296.7
2010-06-15,4.39,4.39,4.37,4.39,8250,36217.5
2010-06-16,4.39,4.44,4.39,4.41,8520,37573.200000000004
2010-06-17,4.41,4.41,4.37,4.39,31300,137407.0
2010-06-18,4.39,4.41,4.35,4.37,70810,309439.7
2010-06-21,4.37,4.41,4.35,4.41,38240,168638.4
2010-06-22,4.39,4.39,4.33,4.33,25980,112493.40000000001
2010-06-23,4.28,4.48,4.28,4.48,103570,463993.60000000003
2010-06-24,4.53,4.53,4.35,4.35,41870,182134.49999999997
2010-06-25,4.37,4.41,4.37,4.37,64510,281908.7
2010-06-28,4.33,4.39,4.33,4.33,2750,11907.5
2010-06-29,4.37,4.39,4.35,4.37,42340,185025.80000000002
2010-06-30,4.37,4.37,4.3,4.37,26660,116504.2
2010-07-01,4.3,4.37,4.3,4.35,56500,245774.99999999997
2010-07-02,4.37,4.37,4.33,4.35,52680,229157.99999999997
2010-07-05,4.35,4.37,4.35,4.35,23380,101702.99999999999
2010-07-06,4.35,4.35,4.33,4.35,40280,175218.0
2010-07-07,4.3,4.35,4.3,4.3,4960,21328.0
2010-07-08,4.3,4.35,4.3,4.35,43550,189442.49999999997
2010-07-09,4.35,4.37,4.35,4.37,13190,57640.3
2010-07-12,4.35,4.39,4.33,4.39,13720,60230.799999999996
2010-07-13,4.39,4.44,4.37,4.39,27980,122832.2
2010-07-14,4.44,4.44,4.39,4.44,27210,120812.40000000001
2010-07-15,4.39,4.44,4.39,4.39,12000,52679.99999999999
2010-07-16,4.37,4.41,4.35,4.37,4440,19402.8
2010-07-19,4.37,4.39,4.37,4.37,45750,199927.5
2010-07-20,4.39,4.41,4.35,4.39,13160,57772.399999999994
2010-07-21,4.39,4.39,4.37,4.37,18600,81282.0
2010-07-22,4.35,4.35,4.3,4.33,11870,51397.1
2010-07-23,4.35,4.35,4.33,4.35,18100,78735.0
2010-07-26,4.33,4.35,4.33,4.33,6620,28664.600000000002
2010-07-27,4.33,4.35,4.3,4.33,129320,559955.6
2010-07-28,4.35,4.35,4.3,4.33,40840,176837.2
2010-07-29,4.33,4.33,4.33,4.33,6440,27885.2
2010-07-30,4.3,4.3,4.28,4.3,12000,51600.0
2010-08-02,4.3,4.3,4.3,4.3,25900,111370.0
2010-08-03,4.39,4.48,4.35,4.39,52720,231440.8
2010-08-04,4.35,4.35,4.3,4.35,5280,22967.999999999996
2010-08-05,4.35,4.39,4.33,4.35,17750,77212.5
2010-08-06,4.33,4.37,4.3,4.33,6850,29660.5
2010-08-09,4.17,4.28,4.17,4.17,41790,174264.3
2010-08-10,4.17,4.17,3.99,4.04,53420,215816.8
2010-08-11,4.06,4.08,3.9,4.06,7660,31099.6
2010-08-12,3.86,3.9,3.86,3.86,115160,444517.6
2010-08-13,3.95,3.95,3.82,3.86,34090,131587.4
2010-08-16,3.99,3.99,3.9,3.97,28060,111398.20000000001
2010-08-17,4.04,4.04,3.86,3.88,18000,69840.0
2010-08-18,3.79,3.95,3.79,3.79,19820,75117.8
2010-08-19,3.9,3.9,3.82,3.9,2510,9789.0
2010-08-20,3.77,3.79,3.77,3.77,15980,60244.6
2010-08-23,3.9,3.9,3.77,3.9,23020,89778.0
2010-08-24,3.82,3.86,3.73,3.82,76160,290931.2
2010-08-25,3.77,3.82,3.73,3.77,24320,91686.4
2010-08-26,3.77,3.77,3.64,3.68,53450,196696.0
2010-08-27,3.55,3.64,3.5,3.5,70020,245070.0
2010-08-30,3.66,3.66,3.55,3.66,42520,155623.2
2010-08-31,3.75,3.82,3.59,3.82,12200,46604.0
2010-09-01,3.88,3.9,3.68,3.9,12870,50193.0
2010-09-06,3.84,4.04,3.84,3.99,12780,50992.200000000004
2010-09-07,3.86,3.97,3.79,3.86,14590,56317.4
2010-09-08,3.82,3.82,3.73,3.82,4340,16578.8
2010-09-09,3.9,3.9,3.73,3.82,13700,52334.0
2010-09-10,3.82,3.82,3.7,3.7,30470,112739.0
2010-09-13,3.55,3.73,3.53,3.62,12240,44308.8
2010-09-14,3.73,3.73,3.59,3.73,6490,24207.7
2010-09-15,3.62,3.64,3.59,3.62,31720,114826.40000000001
2010-09-16,3.79,3.79,3.66,3.79,27640,104755.6
2010-09-17,3.9,3.9,3.88,3.9,8750,34125.0
2010-09-20,3.82,3.99,3.82,3.82,13500,51570.0
2010-09-21,3.79,3.82,3.73,3.79,18860,71479.4
2010-09-22,3.77,3.77,3.68,3.77,12010,45277.7
2010-09-23,3.73,3.73,3.68,3.73,30450,113578.5
2010-09-24,3.75,3.75,3.7,3.75,7090,26587.5
2010-09-27,3.77,3.79,3.73,3.77,45630,172025.1
2010-09-28,3.73,3.82,3.73,3.79,58920,223306.8
2010-09-29,3.79,3.82,3.79,3.79,43270,163993.3
2010-09-30,3.79,3.82,3.75,3.79,28180,106802.2
2010-10-01,3.82,3.82,3.75,3.82,19210,73382.2
2010-10-04,3.77,3.9,3.73,3.77,32690,123241.3
2010-10-05,3.62,3.79,3.62,3.79,710,2690.9
2010-10-06,3.79,3.79,3.77,3.79,14140,53590.6
2010-10-07,3.77,3.77,3.73,3.77,44820,168971.4
2010-10-08,3.73,3.79,3.73,3.73,39500,147335.0
2010-10-11,3.75,3.77,3.75,3.75,7000,26250.0
2010-10-12,3.66,3.75,3.66,3.66,48910,179010.6
2010-10-13,3.73,3.73,3.7,3.73,3020,11264.6
2010-10-14,3.68,3.73,3.68,3.68,12050,44344.0
2010-10-15,3.7,3.73,3.7,3.7,5200,19240.0
2010-10-18,3.77,3.77,3.77,3.77,10,37.7
2010-10-19,3.68,3.73,3.68,3.68,10730,39486.4
2010-10-20,3.64,3.7,3.64,3.64,6520,23732.8
2010-10-21,3.64,3.73,3.62,3.64,18110,65920.40000000001
2010-10-22,3.68,3.7,3.55,3.68,1120,4121.6
2010-10-25,3.68,3.73,3.68,3.68,5100,18768.0
2010-10-26,3.73,3.73,3.68,3.73,1760,6564.8
2010-10-27,3.64,3.64,3.64,3.64,100,364.0
2010-10-28,3.62,3.73,3.62,3.62,3200,11584.0
2010-10-29,3.68,3.68,3.68,3.68,670,2465.6
2010-11-01,3.68,3.68,3.62,3.68,3990,14683.2
2010-11-02,3.68,3.68,3.64,3.66,1110,4062.6000000000004
2010-11-03,3.48,3.64,3.48,3.48,13530,47084.4
2010-11-04,3.37,3.62,3.37,3.55,7170,25453.5
2010-11-05,3.66,3.66,3.55,3.59,5630,20211.7
2010-11-08,3.59,3.59,3.59,3.59,20,71.8
2010-11-09,3.42,3.53,3.42,3.42,27590,94357.8
2010-11-10,3.53,3.53,3.42,3.5,8540,29890.0
2010-11-11,3.5,3.53,3.42,3.5,80,280.0
2010-11-12,3.48,3.5,3.37,3.48,2510,8734.8
2010-11-15,3.33,3.37,3.33,3.33,15880,52880.4
2010-11-16,3.19,3.19,3.17,3.19,15480,49381.2
2010-11-17,3.04,3.28,3.04,3.04,22960,69798.4
2010-11-18,3.04,3.17,3.04,3.13,36380,113869.4
2010-11-19,3.19,3.24,3.13,3.19,1470,4689.3
2010-11-22,3.13,3.19,3.04,3.13,6450,20188.5
2010-11-23,3.13,3.15,3.13,3.13,2140,6698.2
2010-11-24,3.13,3.13,2.97,3.13,8020,25102.6
2010-11-25,3.19,3.24,3.02,3.19,22060,70371.4
2010-11-26,3.15,3.19,3.15,3.15,2050,6457.5
2010-11-29,3.15,3.15,3.15,3.15,1300,4095.0
2010-11-30,3.15,3.28,3.15,3.15,10270,32350.5
2010-12-01,3.17,3.24,3.15,3.17,8060,25550.2
2010-12-02,3.19,3.19,3.19,3.19,6030,19235.7
2010-12-03,3.35,3.35,3.22,3.24,28290,91659.6
2010-12-06,3.31,3.31,3.19,3.31,36890,122105.90000000001
2010-12-07,3.31,3.31,3.26,3.26,10120,32991.2
2010-12-08,3.17,3.24,3.11,3.17,7280,23077.6
2010-12-09,3.24,3.24,3.17,3.24,9170,29710.800000000003
2010-12-10,3.31,3.33,3.28,3.31,16620,55012.200000000004
2010-12-13,3.44,3.46,3.37,3.46,130820,452637.2
2010-12-14,3.37,3.59,3.37,3.44,21000,72240.0
2010-12-15,3.44,3.48,3.42,3.44,15870,54592.799999999996
2010-12-16,3.44,3.44,3.35,3.44,6050,20812.0
2010-12-17,3.46,3.46,3.42,3.46,1550,5363.0
2010-12-20,3.46,3.53,3.42,3.53,12020,42430.6
2010-12-21,3.37,3.5,3.37,3.37,93180,314016.60000000003
2010-12-22,3.39,3.42,3.37,3.39,11240,38103.6
2010-12-23,3.28,3.31,3.28,3.28,7950,26076.0
2010-12-24,3.26,3.39,3.24,3.26,39790,129715.4
2010-12-27,3.26,3.37,3.26,3.37,2400,8088.0
2010-12-28,3.37,3.48,3.26,3.35,58180,194903.0
2010-12-29,3.35,3.46,3.37,3.37,25960,87485.2
2010-12-30,3.37,3.44,3.35,3.35,39120,131052.0
2010-12-31,3.35,3.33,3.31,3.33,21810,72627.3
2011-01-04,3.33,3.44,3.24,3.42,3860,13201.199999999999
2011-01-05,3.42,3.37,3.28,3.33,23160,77122.8
2011-01-06,3.33,3.33,3.33,3.33,2520,8391.6
2011-01-07,3.33,3.37,3.33,3.33,13240,44089.200000000004
2011-01-10,3.33,3.33,3.33,3.33,0,0.0
2011-01-11,3.31,3.31,3.24,3.24,13820,44776.8
2011-01-12,3.37,3.37,3.37,3.37,6510,21938.7
2011-01-13,3.42,3.42,3.37,3.37,2470,8323.9
2011-01-14,3.37,3.46,3.37,3.46,5740,19860.4
2011-01-17,3.46,3.46,3.37,3.46,1600,5536.0
2011-01-18,3.46,3.62,3.46,3.62,1000,3620.0
2011-01-19,3.6,3.62,3.55,3.55,20070,71248.5
2011-01-20,3.55,3.55,3.51,3.55,1300,4615.0
2011-01-21,3.71,3.71,3.6,3.6,6200,22320.0
2011-01-24,3.78,3.78,3.6,3.73,8560,31928.8
2011-01-25,3.78,3.82,3.76,3.76,30,112.8
2011-01-26,3.73,3.76,3.64,3.64,3600,13104.0
2011-01-27,3.71,3.73,3.6,3.73,4380,16337.4
2011-01-28,3.87,3.87,3.8,3.8,20010,76038.0
2011-02-08,3.64,3.87,3.64,3.8,6950,26410.0
2011-02-09,3.87,3.87,3.78,3.78,8340,31525.199999999997
2011-02-10,3.76,3.76,3.73,3.73,3640,13577.2
2011-02-11,3.73,3.73,3.64,3.67,13840,50792.799999999996
2011-02-14,3.67,3.73,3.67,3.73,810,3021.3
2011-02-15,3.6,3.69,3.6,3.6,1740,6264.0
2011-02-16,3.69,3.69,3.6,3.6,12610,45396.0
2011-02-17,3.71,3.71,3.71,3.71,2260,8384.6
2011-02-18,3.71,3.71,3.71,3.71,0,0.0
2011-02-21,3.53,3.53,3.53,3.53,1080,3812.3999999999996
2011-02-22,3.37,3.37,3.37,3.37,10,33.7
2011-02-23,3.22,3.51,3.22,3.33,5710,19014.3
2011-02-24,3.19,3.33,3.17,3.33,20310,67632.3
2011-02-25,3.17,3.33,3.17,3.19,2120,6762.8
2011-02-28,3.35,3.35,3.33,3.35,2440,8174.0
2011-03-01,3.33,3.35,3.19,3.33,1810,6027.3
2011-03-02,3.17,3.17,3.17,3.17,720,2282.4
2011-03-03,3.15,3.17,3.15,3.15,4570,14395.5
2011-03-04,3.17,3.17,3.17,3.17,2060,6530.2
2011-03-07,3.17,3.19,3.17,3.19,12620,40257.8
2011-03-08,3.24,3.28,3.24,3.28,5090,16695.2
2011-03-09,3.13,3.31,3.13,3.28,3950,12956.0
2011-03-10,3.28,3.28,3.15,3.26,1080,3520.7999999999997
2011-03-11,3.35,3.37,3.35,3.37,3590,12098.300000000001
2011-03-14,3.37,3.37,3.22,3.33,2110,7026.3
2011-03-15,3.28,3.28,3.26,3.28,860,2820.7999999999997
2011-03-16,3.15,3.28,3.15,3.28,10810,35456.799999999996
2011-03-17,3.28,3.28,3.28,3.28,0,0.0
2011-03-18,3.15,3.19,3.15,3.17,2450,7766.5
2011-03-21,3.22,3.24,3.15,3.24,8650,28026.000000000004
2011-03-22,3.24,3.28,3.22,3.28,14030,46018.399999999994
2011-03-23,3.28,3.28,3.28,3.28,10,32.8
2011-03-24,3.15,3.24,3.15,3.24,60,194.4
2011-03-25,3.15,3.19,3.13,3.19,7760,24754.399999999998
2011-03-28,3.19,3.19,3.19,3.19,0,0.0
2011-03-29,3.08,3.22,3.08,3.22,8100,26082.0
2011-03-30,3.08,3.19,3.08,3.19,710,2264.9
2011-03-31,3.1,3.17,3.1,3.17,1810,5737.7
2011-04-01,3.17,3.17,3.17,3.17,160,507.2
2011-04-04,3.15,3.15,3.15,3.15,300,945.0
2011-04-05,3.1,3.15,3.1,3.15,880,2772.0
2011-04-06,3.13,3.17,3.1,3.17,780,2472.6
2011-04-07,3.1,3.15,3.1,3.15,350,1102.5
2011-04-08,3.13,3.13,3.1,3.1,450,1395.0
2011-04-13,3.08,3.15,3.06,3.15,3360,10584.0
2011-04-14,3.08,3.15,3.08,3.15,1510,4756.5
2011-04-15,3.06,3.06,2.99,2.99,400,1196.0
2011-04-18,3.1,3.13,3.1,3.1,50,155.0
2011-04-19,3.22,3.22,3.15,3.19,6010,19171.9
2011-04-20,3.24,3.24,3.06,3.19,3670,11707.3
2011-04-21,3.13,3.13,3.08,3.08,2000,6160.0
2011-04-22,3.08,3.08,3.08,3.08,0,0.0
2011-04-25,3.1,3.15,3.04,3.08,2950,9086.0
2011-04-26,3.13,3.13,2.99,2.99,2010,6009.900000000001
2011-04-27,3.14,3.14,2.94,3.13,6160,19280.8
2011-04-28,3.16,3.16,3.16,3.16,70,221.20000000000002
2011-04-29,3.01,3.12,3.01,3.02,810,2446.2
2011-05-04,3.13,3.13,2.91,3.08,1530,4712.400000000001
2011-05-05,2.99,3.07,2.93,2.94,17950,52773.0
2011-05-06,3.08,3.08,2.79,2.79,10120,28234.8
2011-05-09,2.86,2.93,2.86,2.93,2080,6094.400000000001
2011-05-10,2.81,3.06,2.81,3.06,2600,7956.0
2011-05-11,3.07,3.07,3.06,3.06,60,183.6
2011-05-12,3.06,3.06,2.97,3.03,7300,22119.0
2011-05-13,3.13,3.13,3.13,3.13,10,31.299999999999997
2011-05-16,2.97,2.99,2.97,2.97,700,2079.0
2011-05-17,2.83,2.89,2.83,2.88,4630,13334.4
2011-05-18,2.88,3.02,2.88,3.02,8900,26878.0
2011-05-19,2.98,2.98,2.87,2.87,3540,10159.800000000001
2011-05-20,2.99,2.99,2.74,2.9,6340,18386.0
2011-05-23,3.01,3.01,2.76,3.01,7320,22033.199999999997
2011-05-24,3.12,3.12,2.86,2.86,16700,47762.0
2011-05-25,2.73,2.99,2.73,2.73,1060,2893.8
2011-05-26,2.59,2.72,2.59,2.72,7110,19339.2
2011-05-27,2.71,2.71,2.58,2.71,8010,21707.1
2011-05-30,2.83,2.83,2.71,2.76,4020,11095.199999999999
2011-05-31,2.87,2.87,2.87,2.87,10,28.700000000000003
2011-06-01,2.87,2.87,2.86,2.87,2150,6170.5
2011-06-02,2.95,2.95,2.74,2.74,19030,52142.200000000004
2011-06-03,2.86,2.86,2.86,2.86,2000,5720.0
2011-06-06,2.86,2.86,2.86,2.86,1000,2860.0
2011-06-07,2.86,2.9,2.76,2.77,12650,35040.5
2011-06-08,2.64,2.85,2.64,2.8,13220,37016.0
2011-06-09,2.79,2.79,2.79,2.79,120,334.8
2011-06-10,2.89,2.89,2.66,2.72,8150,22168.0
2011-06-13,2.81,2.81,2.58,2.8,2830,7923.999999999999
2011-06-14,2.81,2.81,2.67,2.67,4500,12015.0
2011-06-15,2.71,2.71,2.54,2.66,22590,60089.4
2011-06-16,2.53,2.69,2.53,2.69,20,53.8
2011-06-17,2.69,2.69,2.69,2.69,0,0.0
2011-06-20,2.71,2.71,2.71,2.71,10,27.1
2011-06-21,2.76,2.76,2.58,2.58,50,129.0
2011-06-22,2.58,2.67,2.58,2.58,2090,5392.2
2011-06-23,2.46,2.46,2.46,2.46,30760,75669.6
2011-06-24,2.34,2.53,2.34,2.49,54790,136427.1
2011-06-27,2.61,2.61,2.57,2.57,130,334.09999999999997
2011-06-28,2.62,2.62,2.44,2.44,240,585.6
2011-06-29,2.33,2.56,2.32,2.56,11310,28953.600000000002
2011-06-30,2.43,2.54,2.43,2.49,780,1942.2000000000003
2011-07-01,2.53,2.53,2.38,2.38,180,428.4
2011-07-04,2.44,2.44,2.26,2.26,6170,13944.199999999999
2011-07-05,2.3,2.3,2.3,2.3,680,1563.9999999999998
2011-07-06,2.35,2.35,2.35,2.35,10,23.5
2011-07-07,2.24,2.24,2.24,2.24,1030,2307.2000000000003
2011-07-08,2.13,2.22,2.13,2.13,13130,27966.899999999998
2011-07-11,2.03,2.03,2.03,2.03,25440,51643.2
2011-07-12,1.93,1.93,1.93,1.93,1130,2180.9
2011-07-13,1.86,2.01,1.86,1.92,2370,4550.4
2011-07-14,1.84,2.0,1.84,1.96,3100,6076.0
2011-07-15,1.9,1.9,1.89,1.89,10030,18956.7
2011-07-18,1.81,1.85,1.79,1.81,27310,49431.1
2011-07-19,1.74,1.8,1.72,1.8,8860,15948.0
2011-07-20,1.8,1.8,1.74,1.8,820,1476.0
2011-07-21,1.78,1.78,1.77,1.77,10360,18337.2
2011-07-22,1.85,1.85,1.72,1.72,32030,55091.6
2011-07-25,1.72,1.72,1.71,1.71,280,478.8
2011-07-26,1.64,1.67,1.63,1.63,26490,43178.7
2011-07-27,1.7,1.7,1.55,1.55,26430,40966.5
2011-07-28,1.5,1.56,1.49,1.55,18690,28969.5
2011-07-29,1.52,1.57,1.52,1.55,49350,76492.5
2011-08-01,1.56,1.56,1.54,1.55,3620,5611.0
2011-08-02,1.54,1.55,1.53,1.53,31440,48103.200000000004
2011-08-03,1.53,1.53,1.46,1.46,49640,72474.4
2011-08-04,1.49,1.49,1.46,1.47,49710,73073.7
2011-08-05,1.47,1.48,1.47,1.47,24150,35500.5
2011-08-08,1.52,1.52,1.46,1.46,34310,50092.6
2011-08-09,1.48,1.48,1.39,1.39,76270,106015.29999999999
2011-08-10,1.41,1.41,1.39,1.39,12730,17694.699999999997
2011-08-11,1.34,1.44,1.32,1.34,90720,121564.8
2011-08-12,1.34,1.34,1.3,1.34,32610,43697.4
2011-08-15,1.34,1.34,1.34,1.34,71860,96292.40000000001
2011-08-16,1.34,1.41,1.34,1.41,87420,123262.2
2011-08-17,1.44,1.47,1.44,1.47,21610,31766.7
2011-08-18,1.53,1.54,1.53,1.54,43790,67436.6
2011-08-19,1.47,1.54,1.47,1.5,32260,48390.0
2011-08-22,1.5,1.58,1.5,1.58,13160,20792.8
2011-08-23,1.63,1.65,1.58,1.63,42260,68883.79999999999
2011-08-24,1.7,1.7,1.58,1.59,26570,42246.3
2011-08-25,1.62,1.63,1.56,1.59,7710,12258.900000000001
2011-08-26,1.62,1.62,1.54,1.57,9600,15072.0
2011-08-29,1.59,1.63,1.59,1.61,27820,44790.200000000004
2011-08-30,1.63,1.69,1.63,1.69,55910,94487.9
2011-08-31,1.76,1.77,1.69,1.69,50410,85192.9
2011-09-01,1.71,1.76,1.65,1.69,52650,88978.5
2011-09-05,1.69,1.69,1.63,1.63,68830,112192.9
2011-09-06,1.62,1.62,1.59,1.59,15930,25328.7
2011-09-07,1.65,1.66,1.59,1.66,15960,26493.6
2011-09-08,1.67,1.71,1.61,1.61,25640,41280.4
2011-09-09,1.61,1.62,1.55,1.62,55880,90525.6
2011-09-12,1.63,1.7,1.62,1.62,38510,62386.200000000004
2011-09-13,1.68,1.7,1.63,1.7,213580,363086.0
2011-09-14,1.78,1.78,1.78,1.78,258460,460058.8
2011-09-15,1.85,1.86,1.78,1.86,207920,386731.2
2011-09-16,1.95,1.95,1.9,1.95,227160,442962.0
2011-09-19,1.86,2.02,1.86,2.02,122680,247813.6
2011-09-20,1.92,1.95,1.92,1.92,106050,203616.0
2011-09-21,1.84,1.95,1.83,1.83,114410,209370.30000000002
2011-09-22,1.76,1.85,1.74,1.81,113340,205145.4
2011-09-23,1.74,1.8,1.72,1.72,101830,175147.6
2011-09-26,1.72,1.72,1.64,1.65,196550,324307.5
2011-09-27,1.6,1.65,1.59,1.59,61220,97339.8
2011-09-28,1.66,1.66,1.65,1.66,130450,216547.0
2011-09-29,1.66,1.68,1.58,1.68,85310,143320.8
2011-09-30,1.63,1.68,1.63,1.65,79640,131406.0
2011-10-03,1.67,1.67,1.6,1.6,181380,290208.0
2011-10-04,1.59,1.6,1.53,1.58,162300,256434.0
2011-10-05,1.58,1.58,1.55,1.55,37980,58869.0
2011-10-06,1.54,1.59,1.53,1.53,104830,160389.9
2011-10-07,1.59,1.59,1.51,1.52,92950,141284.0
2011-10-10,1.55,1.56,1.51,1.54,70600,108724.0
2011-10-11,1.55,1.55,1.5,1.5,33850,50775.0
2011-10-12,1.48,1.51,1.43,1.44,77950,112248.0
2011-10-13,1.44,1.44,1.42,1.44,93450,134568.0
2011-10-14,1.44,1.45,1.44,1.45,92290,133820.5
2011-10-17,1.43,1.43,1.41,1.41,30930,43611.299999999996
2011-10-18,1.41,1.41,1.37,1.37,92400,126588.00000000001
2011-10-19,1.4,1.4,1.37,1.4,117460,164444.0
2011-10-20,1.4,1.41,1.39,1.41,68500,96585.0
2011-10-21,1.41,1.45,1.41,1.44,31120,44812.799999999996
2011-10-24,1.44,1.44,1.41,1.43,59500,85085.0
2011-10-25,1.43,1.44,1.41,1.43,44590,63763.7
2011-10-26,1.43,1.43,1.4,1.41,45480,64126.799999999996
2011-10-27,1.41,1.42,1.41,1.42,45060,63985.2
2011-10-28,1.42,1.49,1.42,1.49,165840,247101.6
2011-10-31,1.5,1.5,1.47,1.48,35940,53191.2
