time,open,high,low,close,volume,amounts
2010-01-04,1.47,1.49,1.47,1.49,603120,898648.8
2010-01-05,1.56,1.56,1.49,1.56,1203080,1876804.8
2010-01-06,1.55,1.61,1.54,1.61,1771660,2852372.6
2010-01-07,1.64,1.68,1.61,1.66,1535800,2549428.0
2010-01-08,1.7,1.7,1.59,1.59,909010,1445325.9000000001
2010-01-11,1.59,1.61,1.55,1.56,732580,1142824.8
2010-01-12,1.54,1.57,1.5,1.5,885660,1328490.0
2010-01-13,1.5,1.54,1.44,1.54,958420,1475966.8
2010-01-14,1.56,1.56,1.51,1.51,402680,608046.8
2010-01-15,1.51,1.54,1.49,1.49,437400,651726.0
2010-01-18,1.48,1.48,1.44,1.44,497510,716414.4
2010-01-19,1.45,1.5,1.45,1.48,479060,709008.8
2010-01-20,1.5,1.5,1.47,1.47,474300,697221.0
2010-01-21,1.44,1.48,1.43,1.43,425450,608393.5
2010-01-22,1.42,1.44,1.4,1.43,586550,838766.5
2010-01-25,1.42,1.45,1.42,1.45,199710,289579.5
2010-01-26,1.49,1.51,1.49,1.51,536240,809722.4
2010-01-27,1.51,1.53,1.47,1.47,271340,398869.8
2010-01-28,1.45,1.48,1.44,1.44,245300,353232.0
2010-01-29,1.48,1.49,1.44,1.47,393890,579018.3
2010-02-01,1.49,1.53,1.49,1.53,484240,740887.2000000001
2010-02-02,1.57,1.57,1.53,1.56,1018050,1588158.0
2010-02-03,1.57,1.57,1.55,1.57,864930,1357940.1
2010-02-04,1.56,1.6,1.55,1.57,912150,1432075.5
2010-02-05,1.54,1.56,1.53,1.54,537270,827395.8
2010-02-08,1.53,1.55,1.53,1.54,472190,727172.6
2010-02-09,1.53,1.54,1.51,1.54,328950,506583.0
2010-02-10,1.54,1.56,1.53,1.56,278940,435146.4
2010-02-11,1.56,1.57,1.55,1.56,203140,316898.4
2010-02-12,1.56,1.57,1.56,1.57,253950,398701.5
2010-02-22,1.57,1.57,1.55,1.56,184990,288584.4
2010-02-23,1.53,1.54,1.5,1.51,356540,538375.4
2010-02-24,1.51,1.51,1.48,1.51,371930,561614.3
2010-02-25,1.51,1.54,1.5,1.5,407930,611895.0
2010-02-26,1.5,1.51,1.48,1.48,451710,668530.8
2010-03-01,1.49,1.51,1.49,1.5,284110,426165.0
2010-03-02,1.5,1.56,1.5,1.54,549860,846784.4
2010-03-03,1.56,1.56,1.54,1.56,499740,779594.4
2010-03-04,1.59,1.6,1.56,1.56,694000,1082640.0
2010-03-05,1.57,1.59,1.56,1.57,480790,754840.3
2010-03-08,1.6,1.61,1.57,1.61,450120,724693.2000000001
2010-03-09,1.61,1.62,1.59,1.61,843010,1357246.1
2010-03-10,1.61,1.64,1.6,1.64,556790,913135.6
2010-03-11,1.68,1.71,1.67,1.68,1672180,2809262.4
2010-03-12,1.7,1.7,1.67,1.68,623150,1046892.0
2010-03-15,1.68,1.7,1.67,1.67,497550,830908.5
2010-03-16,1.66,1.66,1.62,1.62,585500,948510.0000000001
2010-03-17,1.64,1.64,1.59,1.59,682260,1084793.4000000001
2010-03-18,1.62,1.62,1.57,1.62,372020,602672.4
2010-03-19,1.62,1.64,1.6,1.61,371440,598018.4
2010-03-22,1.6,1.61,1.57,1.59,367360,584102.4
2010-03-23,1.59,1.59,1.56,1.57,442100,694097.0
2010-03-24,1.61,1.61,1.56,1.59,406220,645889.8
2010-03-25,1.57,1.57,1.54,1.55,419770,650643.5
2010-03-26,1.55,1.57,1.55,1.56,248330,387394.8
2010-03-29,1.57,1.59,1.55,1.56,188700,294372.0
2010-03-30,1.56,1.57,1.55,1.55,305370,473323.5
2010-03-31,1.55,1.55,1.53,1.53,580860,888715.8
2010-04-01,1.55,1.56,1.53,1.56,474730,740578.8
2010-04-02,1.57,1.59,1.55,1.59,442760,703988.4
2010-04-05,1.61,1.64,1.6,1.64,642470,1053650.8
2010-04-06,1.66,1.67,1.64,1.64,896310,1469948.4
2010-04-07,1.65,1.66,1.62,1.65,484850,800002.5
2010-04-08,1.65,1.66,1.64,1.65,420120,693198.0
2010-04-09,1.65,1.67,1.64,1.65,501430,827359.5
2010-04-12,1.66,1.66,1.64,1.65,395000,651750.0
2010-04-13,1.64,1.65,1.64,1.64,606100,994003.9999999999
2010-04-14,1.65,1.65,1.62,1.64,410790,673695.6
2010-04-15,1.65,1.66,1.64,1.66,572700,950682.0
2010-04-16,1.66,1.66,1.65,1.65,296860,489819.0
2010-04-19,1.66,1.67,1.65,1.65,327330,540094.5
2010-04-20,1.66,1.66,1.64,1.65,267520,441408.0
2010-04-21,1.66,1.66,1.64,1.65,579670,956455.5
2010-04-22,1.65,1.68,1.64,1.67,746300,1246321.0
2010-04-26,1.68,1.7,1.67,1.68,923660,1551748.8
2010-04-27,1.77,1.77,1.76,1.77,2002680,3544743.6
2010-04-28,1.77,1.79,1.77,1.77,1065180,1885368.6
2010-04-29,1.77,1.77,1.75,1.75,488110,854192.5
2010-05-04,1.75,1.76,1.74,1.74,361080,628279.2
2010-05-05,1.72,1.73,1.7,1.7,624960,1062432.0
2010-05-06,1.69,1.71,1.69,1.7,499330,848861.0
2010-05-07,1.68,1.68,1.65,1.66,565930,939443.7999999999
2010-05-10,1.66,1.66,1.64,1.64,656620,1076856.8
2010-05-11,1.65,1.67,1.64,1.64,307330,504021.19999999995
2010-05-12,1.61,1.62,1.6,1.61,361210,581548.1000000001
2010-05-13,1.61,1.63,1.6,1.61,228970,368641.7
2010-05-14,1.63,1.64,1.61,1.61,166660,268322.60000000003
2010-05-17,1.61,1.61,1.56,1.56,252040,393182.4
2010-05-18,1.54,1.56,1.54,1.54,223530,344236.2
2010-05-19,1.51,1.52,1.49,1.49,458670,683418.3
2010-05-20,1.48,1.56,1.48,1.56,256780,400576.8
2010-05-21,1.48,1.54,1.48,1.48,377000,557960.0
2010-05-24,1.52,1.52,1.48,1.48,338810,501438.8
2010-05-25,1.47,1.49,1.45,1.45,490640,711428.0
2010-05-26,1.48,1.49,1.46,1.49,205260,305837.4
2010-05-27,1.49,1.5,1.48,1.49,300120,447178.8
2010-05-28,1.56,1.56,1.47,1.54,288170,443781.8
2010-05-31,1.54,1.55,1.53,1.53,270000,413100.0
2010-06-01,1.51,1.55,1.51,1.54,145940,224747.6
2010-06-02,1.54,1.54,1.53,1.54,278700,429198.0
2010-06-03,1.57,1.57,1.54,1.54,331490,510494.60000000003
2010-06-04,1.52,1.55,1.52,1.54,165550,254947.0
2010-06-07,1.48,1.53,1.48,1.53,341410,522357.3
2010-06-08,1.52,1.52,1.5,1.51,267800,404378.0
2010-06-09,1.51,1.53,1.51,1.51,285370,430908.7
2010-06-10,1.48,1.52,1.48,1.52,122590,186336.8
2010-06-11,1.54,1.54,1.52,1.52,88710,134839.2
2010-06-14,1.52,1.53,1.52,1.52,161540,245540.8
2010-06-15,1.53,1.53,1.52,1.53,279590,427772.7
2010-06-16,1.53,1.53,1.52,1.52,233890,355512.8
2010-06-17,1.52,1.52,1.51,1.52,249480,379209.6
2010-06-18,1.52,1.52,1.5,1.52,546880,831257.6
2010-06-21,1.52,1.52,1.51,1.51,253020,382060.2
2010-06-22,1.51,1.52,1.51,1.52,262430,398893.6
2010-06-23,1.52,1.52,1.51,1.52,91440,138988.8
2010-06-24,1.52,1.52,1.51,1.52,242340,368356.8
2010-06-25,1.52,1.52,1.51,1.51,247430,373619.3
2010-06-28,1.5,1.51,1.5,1.5,186510,279765.0
2010-06-29,1.52,1.52,1.51,1.51,285000,430350.0
2010-06-30,1.49,1.52,1.49,1.52,196340,298436.8
2010-07-01,1.52,1.52,1.49,1.49,71850,107056.5
2010-07-02,1.5,1.5,1.48,1.48,378360,559972.8
2010-07-05,1.48,1.5,1.48,1.5,274180,411270.0
2010-07-06,1.5,1.5,1.46,1.46,213890,312279.39999999997
2010-07-07,1.46,1.47,1.44,1.44,120370,173332.8
2010-07-08,1.45,1.45,1.42,1.42,161800,229756.0
2010-07-09,1.43,1.43,1.41,1.42,264450,375519.0
2010-07-12,1.42,1.42,1.41,1.42,271470,385487.39999999997
2010-07-13,1.43,1.48,1.42,1.46,358710,523716.6
2010-07-14,1.46,1.46,1.44,1.44,273770,394228.8
2010-07-15,1.43,1.45,1.43,1.43,177430,253724.9
2010-07-16,1.44,1.44,1.43,1.43,176920,252995.59999999998
2010-07-19,1.41,1.43,1.41,1.43,229210,327770.3
2010-07-20,1.43,1.43,1.42,1.42,166700,236714.0
2010-07-21,1.4,1.41,1.4,1.41,193420,272722.2
2010-07-22,1.41,1.41,1.4,1.4,114970,160958.0
2010-07-23,1.4,1.4,1.39,1.39,260170,361636.3
2010-07-26,1.37,1.39,1.37,1.39,166160,230962.4
2010-07-27,1.39,1.39,1.37,1.37,476650,653010.5
2010-07-28,1.37,1.37,1.34,1.34,318900,427326.0
2010-07-29,1.3,1.34,1.3,1.3,472220,613886.0
2010-07-30,1.33,1.33,1.3,1.31,438740,574749.4
2010-08-02,1.31,1.31,1.3,1.31,266850,349573.5
2010-08-03,1.32,1.36,1.32,1.33,504480,670958.4
2010-08-04,1.33,1.35,1.33,1.35,432320,583632.0
2010-08-05,1.34,1.36,1.33,1.33,145120,193009.6
2010-08-06,1.33,1.36,1.31,1.36,317880,432316.80000000005
2010-08-09,1.35,1.35,1.31,1.33,386720,514337.60000000003
2010-08-10,1.31,1.31,1.26,1.29,509940,657822.6
2010-08-11,1.31,1.31,1.27,1.27,487330,618909.1
2010-08-12,1.26,1.26,1.22,1.22,617570,753435.4
2010-08-13,1.22,1.25,1.18,1.25,544240,680300.0
2010-08-16,1.25,1.31,1.25,1.31,382810,501481.10000000003
2010-08-17,1.31,1.31,1.28,1.29,241000,310890.0
2010-08-18,1.29,1.29,1.28,1.28,378740,484787.2
2010-08-19,1.27,1.29,1.26,1.28,189520,242585.6
2010-08-20,1.28,1.32,1.26,1.32,179980,237573.6
2010-08-23,1.32,1.32,1.3,1.32,311410,411061.2
2010-08-24,1.3,1.31,1.28,1.29,441830,569960.7000000001
2010-08-25,1.27,1.28,1.25,1.25,340680,425850.0
2010-08-26,1.28,1.28,1.25,1.28,396840,507955.2
2010-08-27,1.25,1.32,1.25,1.28,378340,484275.2
2010-08-30,1.33,1.34,1.32,1.34,508820,681818.8
2010-08-31,1.38,1.41,1.36,1.41,832260,1173486.5999999999
2010-09-01,1.43,1.47,1.41,1.46,676620,987865.2
2010-09-06,1.47,1.53,1.46,1.47,503290,739836.2999999999
2010-09-07,1.44,1.46,1.41,1.41,386300,544683.0
2010-09-08,1.38,1.42,1.38,1.42,262380,372579.6
2010-09-09,1.46,1.46,1.41,1.43,286720,410009.6
2010-09-10,1.43,1.43,1.38,1.38,232810,321277.8
2010-09-13,1.34,1.4,1.34,1.38,147400,203411.99999999997
2010-09-14,1.38,1.41,1.38,1.38,300230,414317.39999999997
2010-09-15,1.38,1.39,1.37,1.39,221800,308302.0
2010-09-16,1.37,1.4,1.37,1.4,166060,232483.99999999997
2010-09-17,1.39,1.46,1.38,1.46,563560,822797.6
2010-09-20,1.48,1.48,1.45,1.46,266770,389484.2
2010-09-21,1.43,1.45,1.4,1.4,384400,538160.0
2010-09-22,1.4,1.42,1.4,1.41,239780,338089.8
2010-09-23,1.4,1.42,1.4,1.41,480450,677434.5
2010-09-24,1.43,1.43,1.41,1.41,297550,419545.5
2010-09-27,1.42,1.42,1.41,1.41,147930,208581.3
2010-09-28,1.41,1.42,1.41,1.41,387940,546995.4
2010-09-29,1.42,1.42,1.41,1.41,328700,463467.0
2010-09-30,1.41,1.41,1.41,1.41,271740,383153.39999999997
2010-10-01,1.39,1.42,1.39,1.41,76010,107174.09999999999
2010-10-04,1.42,1.42,1.39,1.42,409420,581376.4
2010-10-05,1.42,1.45,1.37,1.45,523530,759118.5
2010-10-06,1.45,1.46,1.45,1.46,523900,764894.0
2010-10-07,1.43,1.46,1.43,1.45,287370,416686.5
2010-10-08,1.45,1.46,1.45,1.45,240870,349261.5
2010-10-11,1.43,1.46,1.43,1.46,210340,307096.39999999997
2010-10-12,1.43,1.44,1.42,1.43,292300,417989.0
2010-10-13,1.43,1.43,1.42,1.43,346590,495623.69999999995
2010-10-14,1.45,1.46,1.42,1.42,446740,634370.7999999999
2010-10-15,1.4,1.43,1.4,1.43,558900,799227.0
2010-10-18,1.43,1.44,1.42,1.43,353990,506205.69999999995
2010-10-19,1.44,1.44,1.41,1.42,323010,458674.19999999995
2010-10-20,1.4,1.41,1.4,1.4,332130,464981.99999999994
2010-10-21,1.41,1.42,1.4,1.41,202500,285525.0
2010-10-22,1.43,1.43,1.4,1.43,206510,295309.3
2010-10-25,1.44,1.44,1.42,1.44,153500,221040.0
2010-10-26,1.43,1.46,1.43,1.44,161840,233049.6
2010-10-27,1.42,1.45,1.42,1.43,218730,312783.89999999997
2010-10-28,1.43,1.44,1.42,1.43,142410,203646.3
2010-10-29,1.44,1.44,1.43,1.44,183050,263592.0
2010-11-01,1.44,1.44,1.41,1.44,118870,171172.8
2010-11-02,1.42,1.44,1.42,1.44,90530,130363.2
2010-11-03,1.44,1.45,1.42,1.44,176280,253843.19999999998
2010-11-04,1.45,1.45,1.43,1.44,62510,90014.4
2010-11-05,1.46,1.46,1.43,1.46,379310,553792.6
2010-11-08,1.46,1.46,1.45,1.45,172650,250342.5
2010-11-09,1.43,1.43,1.41,1.42,150690,213979.8
2010-11-10,1.42,1.43,1.41,1.42,201000,285420.0
2010-11-11,1.42,1.42,1.39,1.39,196980,273802.19999999995
2010-11-12,1.39,1.39,1.34,1.39,241100,335129.0
2010-11-15,1.36,1.39,1.36,1.38,200200,276276.0
2010-11-16,1.4,1.4,1.36,1.37,150000,205500.00000000003
2010-11-17,1.37,1.37,1.34,1.34,211010,282753.4
2010-11-18,1.3,1.37,1.3,1.36,240230,326712.80000000005
2010-11-19,1.39,1.39,1.34,1.36,237120,322483.2
2010-11-22,1.39,1.39,1.35,1.37,257890,353309.30000000005
2010-11-23,1.38,1.4,1.37,1.4,340780,477091.99999999994
2010-11-24,1.4,1.41,1.37,1.41,197070,277868.7
2010-11-25,1.42,1.42,1.41,1.41,192180,270973.8
2010-11-26,1.42,1.42,1.4,1.41,124780,175939.8
2010-11-29,1.38,1.46,1.38,1.46,351870,513730.2
2010-11-30,1.46,1.48,1.46,1.46,456870,667030.2
2010-12-01,1.48,1.48,1.48,1.48,266280,394094.4
2010-12-02,1.45,1.49,1.45,1.49,355830,530186.7
2010-12-03,1.49,1.5,1.48,1.48,292290,432589.2
2010-12-06,1.49,1.49,1.47,1.47,293700,431739.0
