time,open,high,low,close,volume,amounts
2010-01-04,3.79,3.87,3.76,3.87,1420060,5495632.2
2010-01-05,4.05,4.05,3.9,3.94,850480,3350891.2
2010-01-06,3.94,4.13,3.94,4.13,1497290,6183807.7
2010-01-07,4.24,4.28,4.09,4.09,968590,3961533.1
2010-01-08,4.16,4.24,3.9,3.9,826260,3222414.0
2010-01-11,3.98,3.98,3.79,3.83,858250,3287097.5
2010-01-12,3.87,3.9,3.65,3.67,929460,3411118.1999999997
2010-01-13,3.67,3.83,3.5,3.79,1078940,4089182.6
2010-01-14,3.87,3.94,3.79,3.87,663720,2568596.4
2010-01-15,3.83,3.87,3.7,3.72,448070,1666820.4000000001
2010-01-18,3.65,3.66,3.53,3.53,616560,2176456.8
2010-01-19,3.57,3.63,3.53,3.57,412840,1473838.8
2010-01-20,3.57,3.61,3.41,3.41,256870,875926.7000000001
2010-01-21,3.43,3.46,3.25,3.35,587040,1966584.0
2010-01-22,3.31,3.4,3.27,3.36,315720,1060819.2
2010-01-25,3.36,3.44,3.35,3.44,232720,800556.7999999999
2010-01-26,3.58,3.61,3.57,3.61,448500,1619085.0
2010-01-27,3.63,3.71,3.52,3.57,499050,1781608.5
2010-01-28,3.48,3.57,3.42,3.46,197430,683107.8
2010-01-29,3.43,3.5,3.36,3.46,253640,877594.4
2010-02-01,3.43,3.5,3.41,3.5,213520,747320.0
2010-02-02,3.5,3.54,3.47,3.51,396730,1392522.2999999998
2010-02-03,3.53,3.63,3.52,3.57,261760,934483.2
2010-02-04,3.61,3.7,3.58,3.67,396530,1455265.0999999999
2010-02-05,3.58,3.71,3.52,3.52,500450,1761584.0
2010-02-08,3.57,3.57,3.5,3.55,205840,730732.0
2010-02-09,3.55,3.55,3.5,3.5,225560,789460.0
2010-02-10,3.5,3.6,3.5,3.54,97730,345964.2
2010-02-11,3.54,3.63,3.54,3.62,200100,724362.0
2010-02-12,3.7,3.72,3.64,3.7,316920,1172604.0
2010-02-22,3.7,3.7,3.64,3.64,244500,889980.0
2010-02-23,3.55,3.61,3.55,3.58,277280,992662.4
2010-02-24,3.55,3.61,3.55,3.61,232150,838061.5
2010-02-25,3.63,3.64,3.6,3.6,188230,677628.0
2010-02-26,3.6,3.76,3.59,3.72,616340,2292784.8000000003
2010-03-01,3.76,3.79,3.69,3.72,174830,650367.6
2010-03-02,3.72,3.9,3.68,3.76,567660,2134401.6
2010-03-03,3.83,3.87,3.79,3.87,641090,2481018.3000000003
2010-03-04,3.98,4.02,3.9,3.9,604590,2357901.0
2010-03-05,3.87,3.94,3.87,3.9,515130,2009007.0
2010-03-08,3.98,3.98,3.9,3.94,820710,3233597.4
2010-03-09,3.94,4.13,3.9,4.13,1299440,5366687.2
2010-03-10,4.09,4.24,4.05,4.16,722260,3004601.6
2010-03-11,4.16,4.2,4.09,4.09,629820,2575963.8
2010-03-12,4.09,4.13,4.05,4.09,505960,2069376.4
2010-03-15,4.16,4.16,4.05,4.09,578650,2366678.5
2010-03-16,4.05,4.09,3.9,3.9,732240,2855736.0
