time,open,high,low,close,volume,amounts
2010-01-04,6.78,7.23,6.78,7.23,57350,414640.5
2010-01-05,7.46,7.59,7.0,7.0,80970,566790.0
2010-01-06,7.0,7.19,6.96,7.0,82380,576660.0
2010-01-07,6.91,7.32,6.87,7.32,166840,1221268.8
2010-01-08,7.41,7.46,7.23,7.32,154200,1128744.0
2010-01-11,7.0,7.32,7.0,7.0,52830,369810.0
2010-01-12,7.0,7.32,7.0,7.0,43800,306600.0
2010-01-13,7.0,7.0,6.91,6.91,15720,108625.2
2010-01-14,6.87,7.19,6.87,7.19,35820,257545.80000000002
2010-01-15,6.96,7.0,6.91,7.0,29520,206640.0
2010-01-18,6.87,6.91,6.82,6.82,14750,100595.0
2010-01-19,7.14,7.14,6.82,7.14,18140,129519.59999999999
2010-01-20,6.82,7.1,6.82,6.82,27170,185299.4
2010-01-21,6.69,6.82,6.6,6.6,52920,349272.0
2010-01-22,6.51,6.73,6.51,6.73,37710,253788.30000000002
2010-01-25,6.6,6.78,6.6,6.78,31880,216146.4
2010-01-26,7.0,7.0,6.64,6.64,5280,35059.2
2010-01-27,6.64,6.91,6.64,6.69,73370,490845.30000000005
2010-01-28,6.69,6.78,6.69,6.78,7780,52748.4
2010-01-29,6.73,6.82,6.69,6.78,19050,129159.0
2010-02-01,6.78,6.78,6.73,6.78,24310,164821.80000000002
2010-02-02,6.91,6.91,6.69,6.69,19610,131190.9
2010-02-03,6.6,6.82,6.6,6.69,31340,209664.6
2010-02-04,6.78,6.87,6.78,6.78,65410,443479.8
2010-02-05,6.78,6.78,6.64,6.78,5380,36476.4
2010-02-08,6.6,6.82,6.6,6.78,84560,573316.8
2010-02-09,6.78,6.82,6.78,6.78,33870,229638.6
2010-02-10,6.91,6.91,6.73,6.87,6050,41563.5
2010-02-11,6.73,6.96,6.73,6.87,1530,10511.1
2010-02-12,6.82,6.91,6.82,6.91,7840,54174.4
2010-02-22,6.82,6.82,6.6,6.6,88800,586080.0
2010-02-23,6.46,6.78,6.46,6.55,29850,195517.5
2010-02-24,6.6,6.78,6.6,6.78,17920,121497.6
2010-02-25,6.87,6.87,6.78,6.82,9520,64926.4
2010-02-26,6.82,6.87,6.55,6.69,38400,256896.00000000003
2010-03-01,6.78,6.78,6.73,6.78,31390,212824.2
2010-03-02,6.64,6.78,6.64,6.78,33620,227943.6
2010-03-03,6.82,6.82,6.78,6.82,13240,90296.8
2010-03-04,6.87,6.87,6.78,6.78,14920,101157.6
2010-03-05,6.6,6.82,6.6,6.82,26040,177592.80000000002
2010-03-08,6.82,6.87,6.69,6.69,18400,123096.0
2010-03-09,6.78,6.82,6.69,6.78,34310,232621.80000000002
2010-03-10,6.78,6.78,6.69,6.78,41590,281980.2
2010-03-11,6.78,6.87,6.78,6.78,37950,257301.0
2010-03-12,6.78,6.82,6.73,6.78,52910,358729.8
2010-03-15,6.87,6.87,6.73,6.78,73270,496770.60000000003
2010-03-16,6.78,6.87,6.78,6.78,92790,629116.2000000001
2010-03-17,6.78,6.82,6.78,6.78,9250,62715.0
2010-03-18,6.78,6.78,6.78,6.78,120180,814820.4
2010-03-19,6.78,6.82,6.69,6.69,213260,1426709.4000000001
2010-03-22,6.64,6.64,6.55,6.55,16850,110367.5
2010-03-23,6.55,6.73,6.55,6.6,25700,169620.0
2010-03-24,6.69,6.91,6.69,6.78,82640,560299.2000000001
2010-03-25,6.78,6.78,6.6,6.64,9770,64872.799999999996
2010-03-26,6.78,6.78,6.69,6.78,66700,452226.0
2010-03-29,6.69,6.78,6.69,6.69,14420,96469.8
2010-03-30,6.6,6.73,6.6,6.6,28670,189222.0
2010-03-31,6.73,6.73,6.51,6.51,31140,202721.4
2010-04-01,6.73,6.82,6.69,6.78,104270,706950.6
2010-04-02,6.78,6.78,6.69,6.78,25290,171466.2
2010-04-05,6.87,6.87,6.78,6.78,37500,254250.0
2010-04-06,6.82,6.87,6.78,6.78,41380,280556.4
2010-04-07,6.78,6.82,6.78,6.82,36910,251726.2
2010-04-08,6.82,7.14,6.82,7.14,90000,642600.0
2010-04-09,7.28,7.28,7.14,7.14,33450,238833.0
2010-04-12,7.14,7.19,7.1,7.1,103070,731797.0
2010-04-13,7.1,7.24,6.9,7.1,78670,558557.0
2010-04-14,7.14,7.14,6.95,7.0,89590,627130.0
2010-04-15,7.14,7.24,7.1,7.19,59450,427445.5
2010-04-16,7.19,7.24,7.0,7.14,69060,493088.39999999997
2010-04-19,7.14,7.19,7.0,7.05,70010,493570.5
2010-04-20,7.1,7.14,7.0,7.1,71280,506088.0
2010-04-21,7.14,7.14,7.1,7.14,78140,557919.6
2010-04-22,7.1,7.19,7.1,7.19,60100,432119.0
2010-04-26,7.24,7.24,7.1,7.24,14150,102446.0
2010-04-27,7.14,7.24,7.14,7.19,36760,264304.4
2010-04-28,7.1,7.19,7.1,7.19,24130,173494.7
2010-04-29,7.19,7.24,7.1,7.14,77370,552421.7999999999
2010-05-04,7.19,7.24,7.1,7.14,121030,864154.2
2010-05-05,7.14,7.19,7.1,7.1,43110,306081.0
2010-05-06,7.14,7.24,7.14,7.24,113540,822029.6
2010-05-07,7.1,7.19,7.1,7.14,48600,347004.0
2010-05-10,7.14,7.29,7.14,7.19,55340,397894.60000000003
2010-05-11,7.24,7.24,7.14,7.19,20730,149048.7
2010-05-12,7.1,7.19,7.05,7.05,17470,123163.5
2010-05-13,6.95,7.19,6.95,7.19,17930,128916.70000000001
2010-05-14,7.1,7.19,7.05,7.05,38600,272130.0
2010-05-17,7.19,7.24,7.0,7.14,79090,564702.6
2010-05-18,7.14,7.14,7.05,7.14,24500,174930.0
2010-05-19,7.1,7.14,6.81,6.81,29240,199124.4
2010-05-20,6.81,6.9,6.76,6.9,37930,261717.0
2010-05-21,6.76,6.76,6.56,6.71,87530,587326.3
2010-05-24,6.81,7.0,6.76,7.0,131530,920710.0
2010-05-25,7.0,7.05,7.0,7.05,15020,105891.0
2010-05-26,7.05,7.05,7.0,7.05,87690,618214.5
2010-05-27,7.1,7.14,7.05,7.1,70120,497852.0
2010-05-28,7.14,7.14,7.05,7.05,37860,266913.0
2010-05-31,6.95,7.0,6.76,7.0,48810,341670.0
2010-06-01,7.0,7.0,6.9,6.95,57670,400806.5
2010-06-02,6.95,6.95,6.76,6.85,81470,558069.5
2010-06-03,6.9,6.9,6.76,6.81,76520,521101.19999999995
2010-06-04,6.76,6.81,6.66,6.71,99740,669255.4
2010-06-07,6.47,6.61,6.47,6.52,83360,543507.2
2010-06-08,6.42,6.52,6.42,6.47,100450,649911.5
2010-06-09,6.52,6.52,6.42,6.42,63650,408633.0
2010-06-10,6.52,6.52,6.42,6.52,91500,596580.0
2010-06-11,6.66,6.76,6.61,6.76,143380,969248.7999999999
2010-06-14,6.76,6.76,6.56,6.61,12820,84740.2
2010-06-15,6.52,6.66,6.52,6.66,100640,670262.4
2010-06-16,6.66,6.71,6.52,6.56,57130,374772.8
2010-06-17,6.52,6.56,6.47,6.52,66280,432145.6
2010-06-18,6.52,6.56,6.42,6.52,63580,414541.6
2010-06-21,6.52,6.61,6.52,6.52,83690,545658.7999999999
2010-06-22,6.56,6.56,6.23,6.27,199480,1250739.5999999999
2010-06-23,6.47,6.56,6.42,6.56,250950,1646232.0
2010-06-24,6.61,6.71,6.56,6.71,135070,906319.7
2010-06-25,6.71,6.71,6.52,6.71,79150,531096.5
2010-06-28,6.71,6.71,6.56,6.61,59260,391708.60000000003
2010-06-29,6.61,6.9,6.52,6.9,359100,2477790.0
2010-06-30,6.76,7.0,6.61,7.0,357140,2499980.0
2010-07-01,6.81,6.85,6.66,6.66,52570,350116.2
2010-07-02,6.76,6.76,6.47,6.61,33810,223484.1
2010-07-05,6.52,6.66,6.52,6.66,88830,591607.8
2010-07-06,6.66,6.71,6.66,6.71,186060,1248462.6
2010-07-07,6.66,6.71,6.56,6.56,113170,742395.2
2010-07-08,6.52,6.61,6.52,6.61,113150,747921.5
2010-07-09,6.52,6.61,6.52,6.56,42770,280571.2
2010-07-12,6.47,6.61,6.47,6.56,20200,132512.0
