time,open,high,low,close,volume,amounts
2010-01-04,6.96,6.96,6.84,6.84,6260,42818.4
2010-01-05,6.59,6.8,6.59,6.59,2930,19308.7
2010-01-06,6.72,6.72,6.35,6.35,2780,17653.0
2010-01-07,6.55,6.55,6.23,6.23,1110,6915.3
2010-01-08,6.23,6.27,6.23,6.23,12010,74822.3
2010-01-11,6.47,6.47,6.27,6.27,420,2633.3999999999996
2010-01-12,6.27,6.27,6.11,6.11,4190,25600.9
2010-01-13,6.11,6.19,6.11,6.11,7800,47658.0
2010-01-14,6.11,6.27,6.11,6.27,1380,8652.599999999999
2010-01-15,6.23,6.23,6.23,6.23,1200,7476.000000000001
2010-01-18,6.11,6.11,6.11,6.11,2490,15213.900000000001
2010-01-19,5.94,6.11,5.86,5.86,31170,182656.2
2010-01-20,5.82,5.94,5.58,5.58,32340,180457.2
2010-01-21,5.58,5.58,5.37,5.37,15380,82590.6
2010-01-22,5.33,5.37,5.21,5.21,13180,68667.8
2010-01-25,5.45,5.45,5.29,5.29,3850,20366.5
2010-01-26,5.29,5.54,5.29,5.45,38460,209607.0
2010-01-27,5.45,5.54,5.37,5.37,4810,25829.7
2010-01-28,5.29,5.54,5.29,5.37,6040,32434.8
2010-01-29,5.21,5.54,5.21,5.29,12640,66865.6
2010-02-01,5.21,5.29,5.21,5.21,7660,39908.6
2010-02-02,5.21,5.45,5.21,5.29,9190,48615.1
2010-02-03,5.29,5.54,5.29,5.54,19790,109636.6
2010-02-04,5.74,5.74,5.62,5.62,43490,244413.80000000002
2010-02-05,5.62,5.74,5.62,5.62,21900,123078.0
2010-02-08,5.66,5.66,5.37,5.37,16090,86403.3
2010-02-09,5.21,5.33,5.21,5.21,32850,171148.5
2010-02-10,5.25,5.45,5.25,5.45,40310,219689.5
2010-02-11,5.29,5.54,5.29,5.54,21400,118556.0
2010-02-12,5.45,5.66,5.45,5.54,21390,118500.6
2010-02-22,5.54,5.66,5.54,5.62,25120,141174.4
2010-02-23,5.62,5.66,5.62,5.62,65620,368784.4
2010-02-24,5.62,5.66,5.62,5.62,24620,138364.4
2010-02-25,5.62,5.62,5.58,5.62,52400,294488.0
2010-02-26,5.7,5.7,5.7,5.7,150,855.0
2010-03-01,5.78,5.78,5.7,5.7,2920,16644.0
2010-03-02,5.66,5.7,5.54,5.66,1570,8886.2
2010-03-03,5.7,5.7,5.54,5.7,360,2052.0
2010-03-04,5.7,5.74,5.7,5.74,10620,60958.8
2010-03-05,5.7,5.74,5.7,5.7,8150,46455.0
2010-03-08,5.78,5.78,5.74,5.74,2380,13661.2
2010-03-09,5.78,5.9,5.74,5.9,27900,164610.0
2010-03-10,5.98,5.98,5.7,5.7,6670,38019.0
2010-03-11,5.9,5.9,5.54,5.86,40110,235044.6
2010-03-12,5.86,5.86,5.86,5.86,1300,7618.0
2010-03-15,5.78,5.78,5.78,5.78,1690,9768.2
2010-03-16,5.86,5.86,5.7,5.7,1390,7923.0
2010-03-17,5.78,5.78,5.78,5.78,8800,50864.0
2010-03-18,5.7,5.78,5.7,5.78,11880,68666.40000000001
2010-03-19,5.78,5.78,5.78,5.78,11000,63580.0
2010-03-22,5.82,5.82,5.78,5.82,2890,16819.8
2010-03-23,5.82,6.11,5.82,6.11,22990,140468.9
2010-03-24,6.11,6.11,6.06,6.11,3130,19124.3
2010-03-25,5.9,6.11,5.9,6.11,250,1527.5
2010-03-26,5.98,5.98,5.94,5.98,920,5501.6
2010-03-29,5.98,5.98,5.86,5.86,3670,21506.2
2010-03-30,5.86,5.86,5.86,5.86,700,4102.0
2010-03-31,5.82,5.82,5.82,5.82,2100,12222.0
2010-04-01,5.86,5.98,5.82,5.98,40100,239798.00000000003
2010-04-02,6.06,6.06,5.98,6.02,19370,116607.4
2010-04-05,6.02,6.02,5.98,5.98,12390,74092.20000000001
2010-04-06,5.98,6.02,5.86,5.86,11450,67097.0
2010-04-07,5.86,5.86,5.86,5.86,1560,9141.6
2010-04-08,6.11,6.11,5.9,5.9,610,3599.0
2010-04-09,5.82,5.9,5.74,5.74,2580,14809.2
2010-04-12,5.78,5.78,5.74,5.78,1660,9594.800000000001
2010-04-13,5.7,5.74,5.58,5.62,20030,112568.6
2010-04-14,5.7,5.7,5.66,5.7,3250,18525.0
2010-04-15,5.7,5.74,5.66,5.7,21200,120840.0
2010-04-16,5.7,5.7,5.62,5.62,16580,93179.6
2010-04-19,5.62,5.87,5.62,5.66,5010,28356.600000000002
2010-04-20,5.74,5.74,5.66,5.74,2020,11594.800000000001
2010-04-21,5.74,5.74,5.66,5.66,5800,32828.0
2010-04-22,5.7,5.7,5.66,5.66,5730,32431.8
2010-04-26,5.7,5.7,5.66,5.66,6310,35714.6
2010-04-27,5.66,5.7,5.66,5.7,8220,46854.0
2010-04-28,5.74,5.74,5.66,5.74,2610,14981.400000000001
2010-04-29,5.74,5.74,5.7,5.74,7330,42074.200000000004
