time,open,high,low,close,volume,amounts
2010-01-04,27.85,28.31,27.61,28.31,1664690,47127373.9
2010-01-05,29.72,29.72,29.72,29.72,1213840,36075324.8
2010-01-06,31.12,31.12,30.42,31.12,2114970,65817866.4
2010-01-07,32.53,32.53,32.29,32.53,2359090,76741197.7
2010-01-08,33.46,33.46,31.12,31.12,3513400,109337008.0
2010-01-11,31.59,31.59,29.95,30.42,2133620,64904720.400000006
2010-01-12,30.19,30.89,29.02,29.02,1989720,57741674.4
2010-01-13,29.25,30.42,27.61,30.42,2001550,60887151.0
2010-01-14,30.89,31.12,29.95,29.95,1312880,39320756.0
2010-01-15,29.48,29.95,28.78,29.02,1319190,38282893.8
2010-01-18,28.31,28.55,27.61,27.61,1253320,34604165.2
2010-01-19,27.85,28.78,27.85,28.31,1256450,35570099.5
2010-01-20,28.55,28.55,27.61,27.61,843710,23294833.099999998
2010-01-21,27.14,27.85,26.44,26.44,1484540,39251237.6
2010-01-22,26.21,26.91,25.97,26.44,1089270,28800298.8
2010-01-25,26.68,26.91,26.21,26.68,686340,18311551.2
2010-01-26,27.61,27.85,27.38,27.85,800150,22284177.5
2010-01-27,27.85,28.31,26.91,26.91,919590,24746166.9
2010-01-28,26.68,27.14,26.21,26.68,689180,18387322.4
2010-01-29,26.68,27.61,26.21,27.14,1295210,35151999.4
2010-02-01,27.14,27.61,26.91,27.14,665080,18050271.2
2010-02-02,27.38,27.38,26.68,26.68,516530,13781020.4
2010-02-03,26.68,27.14,26.68,26.91,397820,10705336.2
2010-02-04,26.91,27.85,26.91,27.61,1359500,37535795.0
2010-02-05,27.14,27.61,26.68,26.68,1014060,27055120.8
2010-02-08,26.68,26.91,26.44,26.68,432980,11551906.4
2010-02-09,26.68,26.68,26.21,26.21,391160,10252303.6
2010-02-10,26.68,26.91,26.44,26.68,555670,14825275.6
2010-02-11,26.68,27.14,26.44,27.14,391390,10622324.6
2010-02-12,27.38,27.38,27.14,27.38,553430,15152913.4
2010-02-22,27.38,27.61,27.14,27.14,405760,11012326.4
2010-02-23,26.91,26.91,26.21,26.21,617860,16194110.6
2010-02-24,25.97,26.44,25.97,26.44,622990,16471855.600000001
2010-02-25,26.68,26.91,26.21,26.44,374590,9904159.6
2010-02-26,26.44,26.91,26.21,26.91,789670,21250019.7
2010-03-01,27.14,27.38,26.91,26.91,650530,17505762.3
2010-03-02,27.14,27.14,26.68,26.91,682040,18353696.4
2010-03-03,27.14,28.08,26.68,28.08,1218340,34210987.199999996
2010-03-04,28.55,28.78,28.08,28.08,1405980,39479918.4
2010-03-05,28.08,28.55,27.85,28.31,1043290,29535539.9
2010-03-08,28.78,29.72,28.55,29.25,1310820,38341485.0
2010-03-09,29.02,29.48,28.78,29.02,1057950,30701709.0
2010-03-10,29.02,29.25,28.55,28.78,880210,25332443.8
2010-03-11,28.78,29.25,28.55,28.78,903210,25994383.8
2010-03-12,29.02,29.48,28.78,29.48,1330460,39221960.8
2010-03-15,29.72,29.95,29.25,29.25,972630,28449427.5
2010-03-16,28.78,29.02,28.08,28.08,1304080,36618566.4
2010-03-17,28.31,28.55,27.38,27.38,755660,20689970.8
2010-03-18,27.85,28.55,27.61,28.55,1941430,55427826.5
2010-03-19,28.55,29.95,28.55,29.95,3790540,113526673.0
2010-03-22,29.48,29.72,28.78,28.78,823580,23702632.400000002
2010-03-23,28.78,29.02,28.31,28.31,845290,23930159.9
2010-03-24,28.55,28.78,28.08,28.31,644460,18244662.599999998
2010-03-25,27.85,28.08,27.14,27.38,1561500,42753870.0
2010-03-26,27.61,27.61,27.14,27.61,589760,16283273.6
