time,open,high,low,close,volume,amounts
2010-01-04,11.57,11.85,11.47,11.85,658010,7797418.5
2010-01-05,12.41,12.41,12.41,12.41,1518590,18845701.9
2010-01-06,12.87,12.97,12.69,12.97,1248130,16188246.100000001
2010-01-07,13.53,13.53,13.25,13.53,930520,12589935.6
2010-01-08,13.81,13.81,12.87,12.87,883520,11370902.399999999
2010-01-11,12.87,12.87,12.31,12.59,514190,6473652.1
2010-01-12,12.31,12.41,12.03,12.03,924630,11123298.899999999
2010-01-13,11.94,12.22,11.47,12.22,501090,6123319.800000001
2010-01-14,12.59,12.59,12.13,12.41,194680,2415978.8
2010-01-15,12.41,12.41,11.94,12.22,203380,2485303.6
2010-01-18,12.13,12.13,11.66,12.13,266100,3227793.0
2010-01-19,12.13,12.41,12.13,12.13,278300,3375779.0
2010-01-20,12.31,12.31,11.75,11.75,164850,1936987.5
2010-01-21,11.57,11.75,11.19,11.66,242970,2833030.2
2010-01-22,11.66,11.75,11.29,11.38,153000,1741140.0000000002
2010-01-25,11.38,11.75,11.38,11.75,122500,1439375.0
2010-01-26,12.13,12.31,12.03,12.13,311610,3779829.3000000003
2010-01-27,12.03,12.03,11.57,11.94,177320,2117200.8
2010-01-28,11.94,11.94,11.47,11.47,61480,705175.6000000001
2010-01-29,11.38,11.66,11.29,11.38,86460,983914.8
2010-02-01,11.57,11.94,11.38,11.94,146120,1744672.7999999998
2010-02-02,12.03,12.22,11.94,12.03,337820,4063974.5999999996
2010-02-03,12.31,12.31,12.03,12.31,175300,2157943.0
2010-02-04,12.41,12.5,12.22,12.41,300350,3727343.5
2010-02-05,12.13,12.31,12.03,12.13,240600,2918478.0
2010-02-08,12.13,12.13,11.94,12.03,120300,1447209.0
2010-02-09,12.13,12.13,11.85,11.94,112250,1340265.0
2010-02-10,11.75,12.03,11.75,11.94,124400,1485336.0
2010-02-11,12.13,12.13,11.94,12.03,72210,868686.2999999999
2010-02-12,12.22,12.22,12.03,12.22,98160,1199515.2
2010-02-22,12.22,12.31,11.94,12.22,170830,2087542.6
2010-02-23,12.22,12.22,11.85,11.94,114890,1371786.5999999999
2010-02-24,11.66,11.85,11.66,11.85,114590,1357891.5
2010-02-25,12.13,12.13,11.66,11.66,176720,2060555.2
2010-02-26,11.66,11.66,11.47,11.57,156930,1815680.1
2010-03-01,11.75,11.85,11.57,11.85,172470,2043769.5
2010-03-02,11.94,12.03,11.75,11.94,176420,2106454.8
2010-03-03,12.03,12.13,11.94,12.13,208980,2534927.4000000004
2010-03-04,12.31,12.69,12.31,12.69,1045520,13267648.799999999
2010-03-05,12.69,13.25,12.69,13.25,1284750,17022937.5
2010-03-08,13.71,13.71,13.06,13.25,362390,4801667.5
2010-03-09,13.62,13.62,13.25,13.34,481360,6421342.4
2010-03-10,13.25,13.25,12.97,13.06,486330,6351469.8
2010-03-11,13.06,13.15,12.78,12.87,384250,4945297.5
2010-03-12,12.97,12.97,12.69,12.87,415430,5346584.1
2010-03-15,13.06,13.06,12.87,12.97,342260,4439112.2
2010-03-16,12.78,12.78,12.5,12.5,305360,3817000.0
2010-03-17,12.59,12.59,12.13,12.13,348970,4233006.100000001
2010-03-18,12.13,12.59,12.03,12.59,261530,3292662.7
2010-03-19,12.59,12.59,12.31,12.5,117140,1464250.0
2010-03-22,12.5,12.5,12.22,12.22,274630,3355978.6
2010-03-23,12.13,12.22,11.94,12.13,185870,2254603.1
2010-03-24,12.31,12.31,11.94,12.22,163580,1998947.6
2010-03-25,12.13,12.13,11.75,11.75,280380,3294465.0
2010-03-26,11.75,11.85,11.57,11.57,365240,4225826.8
2010-03-29,11.66,12.13,11.66,12.13,207890,2521705.7
2010-03-30,12.03,12.13,11.66,11.66,238060,2775779.6
2010-03-31,11.75,11.75,11.66,11.75,197470,2320272.5
2010-04-01,11.85,11.94,11.66,11.94,255760,3053774.4
2010-04-02,11.94,12.03,11.75,11.94,143760,1716494.4
2010-04-05,12.13,12.13,11.94,11.94,194490,2322210.6
2010-04-06,12.03,12.31,11.94,12.13,374300,4540259.0
2010-04-07,12.31,12.31,11.94,12.13,250300,3036139.0
2010-04-08,12.22,12.31,12.03,12.03,213220,2565036.6
2010-04-09,12.22,12.31,12.03,12.31,190240,2341854.4
2010-04-12,12.41,12.41,12.13,12.31,162770,2003698.7000000002
2010-04-13,12.31,12.31,12.13,12.13,147050,1783716.5
2010-04-14,12.13,12.13,11.75,12.13,216820,2630026.6
2010-04-15,12.13,12.22,12.03,12.22,192990,2358337.8000000003
2010-04-16,12.22,12.31,12.03,12.22,210560,2573043.2
2010-04-19,12.22,12.22,12.03,12.13,106780,1295241.4000000001
2010-04-20,11.94,12.13,11.85,11.94,215150,2568891.0
2010-04-21,12.03,12.13,11.94,12.13,168060,2038567.8
2010-04-22,12.31,12.69,12.22,12.41,293800,3646058.0
2010-04-26,12.41,12.5,12.22,12.22,199140,2433490.8000000003
2010-04-27,12.31,12.41,12.22,12.22,152390,1862205.8
2010-04-28,12.59,12.59,12.41,12.59,866470,10908857.3
2010-04-29,12.78,12.78,12.41,12.41,242900,3014389.0
2010-05-04,12.59,12.78,12.5,12.69,338000,4289220.0
2010-05-05,12.69,12.69,12.31,12.69,296670,3764742.3
2010-05-06,12.59,12.69,12.5,12.5,252460,3155750.0
2010-05-07,12.24,12.59,12.01,12.36,382040,4722014.399999999
2010-05-10,12.36,12.36,11.78,11.89,180140,2141864.6
2010-05-11,12.13,12.24,11.89,12.13,160670,1948927.1
2010-05-12,12.01,12.01,11.78,12.01,146740,1762347.4
2010-05-13,12.01,12.24,11.89,11.89,134950,1604555.5
2010-05-14,12.13,12.36,12.01,12.36,468590,5791772.399999999
2010-05-17,12.48,12.48,12.13,12.13,232150,2815979.5
2010-05-18,12.13,12.13,11.66,12.13,251010,3044751.3000000003
2010-05-19,12.01,12.01,11.66,11.89,181880,2162553.2
2010-05-20,11.43,12.13,11.43,12.13,193860,2351521.8000000003
2010-05-21,12.13,12.13,11.57,11.57,360650,4172720.5
2010-05-24,11.78,11.89,11.66,11.89,201250,2392862.5
2010-05-25,12.01,12.01,11.89,11.89,117450,1396480.5
2010-05-26,11.89,12.01,11.78,12.01,200500,2408005.0
2010-05-27,12.01,12.13,11.89,12.13,244310,2963480.3000000003
2010-05-28,12.48,12.59,12.36,12.59,311230,3918385.7
2010-05-31,12.48,12.48,12.24,12.48,233660,2916076.8000000003
2010-06-01,12.48,12.59,12.36,12.48,165050,2059824.0
2010-06-02,12.48,12.59,12.24,12.48,202780,2530694.4
2010-06-03,12.59,12.59,12.48,12.59,147770,1860424.3
2010-06-04,12.59,12.71,12.59,12.59,227930,2869638.7
2010-06-07,12.13,12.59,12.13,12.36,311420,3849151.1999999997
2010-06-08,12.36,12.48,12.36,12.48,157300,1963104.0
2010-06-09,12.71,12.71,12.48,12.48,243370,3037257.6
2010-06-10,12.59,12.59,12.36,12.59,86960,1094826.4
2010-06-11,12.59,12.71,12.48,12.71,156690,1991529.9000000001
2010-06-14,12.59,12.59,12.36,12.48,161880,2020262.4000000001
2010-06-15,12.59,12.59,12.36,12.59,283520,3569516.8
2010-06-16,12.59,12.71,12.48,12.59,191470,2410607.3
2010-06-17,12.71,12.71,12.36,12.59,153610,1933949.9
2010-06-18,12.59,12.71,12.36,12.48,130100,1623648.0
2010-06-21,12.59,12.59,12.36,12.59,149540,1882708.6
2010-06-22,12.36,12.59,12.24,12.48,170340,2125843.2
2010-06-23,12.48,12.48,12.24,12.48,177630,2216822.4
2010-06-24,12.59,12.59,12.36,12.36,177350,2192046.0
2010-06-25,12.24,12.36,12.13,12.13,116870,1417633.1
2010-06-28,12.13,12.13,11.78,12.13,248730,3017094.9000000004
2010-06-29,12.13,12.24,11.89,12.24,91800,1123632.0
2010-06-30,11.78,12.24,11.78,12.24,141950,1737468.0
2010-07-01,12.13,12.24,12.01,12.13,185680,2252298.4000000004
2010-07-02,12.13,12.13,11.78,12.13,128870,1563193.1
2010-07-05,12.24,12.24,12.13,12.24,188230,2303935.2
2010-07-06,12.36,12.36,11.89,12.13,124610,1511519.3
2010-07-07,12.24,12.36,11.89,11.89,97280,1156659.2
2010-07-08,11.89,12.13,11.78,12.13,128390,1557370.7000000002
2010-07-09,12.13,12.13,11.89,12.13,95800,1162054.0
2010-07-12,12.13,12.13,11.89,12.13,101960,1236774.8
