time,open,high,low,close,volume,amounts
2017-12-08,11.52,11.52,11.52,11.52,36200,417024.0
2017-12-11,13.2,13.2,13.2,13.2,13600,179520.0
2017-12-12,15.17,15.17,15.17,15.17,200,3034.0
2017-12-13,17.43,17.43,15.32,15.39,8600,132354.0
2017-12-14,16.04,16.04,15.53,15.53,14700,228291.0
2017-12-15,13.42,15.97,13.42,15.83,56300,891229.0
2017-12-18,16.19,16.77,16.12,16.34,42900,700986.0
2017-12-19,16.41,16.63,16.41,16.48,35500,585040.0
2017-12-20,16.63,16.63,16.04,16.19,36200,586078.0
2017-12-21,16.26,16.7,16.12,16.26,35300,573978.0
2017-12-22,16.04,16.77,15.32,16.77,21800,365586.0
2017-12-25,16.63,16.92,16.56,16.77,33500,561795.0
2017-12-26,16.04,17.5,16.04,17.14,21800,373652.0
2017-12-27,17.21,19.11,17.21,17.65,41900,739534.9999999999
2017-12-28,17.87,18.31,17.87,18.23,36500,665395.0
2017-12-29,18.31,18.6,18.31,18.38,30300,556914.0
2018-01-02,18.38,18.38,17.65,17.65,35100,619515.0
2018-01-03,17.79,18.16,17.65,17.94,36000,645840.0
2018-01-04,18.01,18.38,17.94,18.23,31900,581537.0
2018-01-05,18.38,18.38,17.58,17.65,34200,603630.0
2018-01-08,17.14,18.23,16.92,16.99,42000,713579.9999999999
2018-01-09,16.92,17.21,16.77,16.77,41900,702663.0
2018-01-10,16.77,17.43,16.77,16.85,40300,679055.0
2018-01-11,16.92,16.92,16.41,16.48,35000,576800.0
2018-01-12,16.56,17.14,16.41,16.7,33100,552770.0
2018-01-15,16.63,16.63,16.04,16.04,47400,760296.0
2018-01-16,17.14,17.14,15.97,15.97,58700,937439.0
2018-01-17,16.12,16.19,15.83,15.83,63600,1006788.0
2018-01-18,16.77,16.77,14.66,14.66,63900,936774.0
2018-01-19,14.8,16.56,14.59,14.59,58900,859351.0
2018-01-22,16.41,16.41,14.59,14.66,74100,1086306.0
2018-01-23,16.26,16.26,14.73,14.73,69500,1023735.0
2018-01-24,14.8,14.88,14.59,14.8,75400,1115920.0
2018-01-25,14.8,15.02,14.59,14.88,82300,1224624.0
2018-01-26,14.88,14.88,14.59,14.59,62100,906039.0
2018-01-29,14.59,14.59,14.44,14.44,68900,994916.0
2018-01-30,14.44,14.44,14.22,14.22,66300,942786.0
2018-01-31,14.29,14.73,14.29,14.29,69800,997441.9999999999
2018-02-01,14.59,14.59,13.86,13.86,62300,863478.0
2018-02-02,14.08,14.66,14.08,14.59,54500,795155.0
2018-02-05,14.59,14.59,13.86,13.86,72800,1009008.0
2018-02-06,13.93,13.93,13.05,13.2,65900,869880.0
2018-02-07,13.27,13.64,13.27,13.56,56600,767496.0
2018-02-08,13.49,13.56,13.2,13.35,58600,782310.0
2018-02-09,13.27,13.35,12.91,13.35,68100,909135.0
2018-02-12,13.27,13.56,13.13,13.56,47100,638676.0
2018-02-13,13.42,13.56,13.42,13.56,31000,420360.0
2018-02-21,13.64,13.93,13.64,13.86,44900,622314.0
2018-02-22,13.93,14.08,13.86,13.93,46100,642173.0
2018-02-23,14.0,14.08,13.93,14.08,59000,830720.0
2018-02-26,14.08,14.29,13.86,14.29,57800,825962.0
2018-02-27,14.29,14.59,13.86,14.29,38100,544449.0
2018-02-28,14.37,14.37,13.86,13.86,20100,278586.0
2018-03-01,14.0,14.0,13.71,13.93,37600,523768.0
2018-03-02,14.0,14.08,14.0,14.0,40800,571200.0
2018-03-05,14.0,14.08,13.86,14.08,56200,791296.0
2018-03-06,14.08,14.22,14.08,14.22,64400,915768.0
2018-03-07,14.29,14.66,14.22,14.59,50500,736795.0
2018-03-08,14.66,15.02,14.66,14.95,67800,1013610.0
2018-03-09,14.95,15.39,14.88,15.32,64400,986608.0
