time,open,high,low,close,volume,amounts
2017-10-05,4.47,4.77,4.08,4.29,7293500,31289115.0
2017-10-06,4.29,4.29,4.11,4.17,1196846,4990847.82
2017-10-09,4.17,4.23,4.14,4.2,1018740,4278708.0
2017-10-10,4.2,4.23,4.11,4.14,1369264,5668752.96
2017-10-11,4.17,4.17,3.9,3.96,1929895,7642384.2
2017-10-12,3.96,3.96,3.78,3.84,1503890,5774937.6
2017-10-13,3.78,3.87,3.66,3.69,1998290,7373690.1
2017-10-16,3.66,3.99,3.63,3.81,2078341,7918479.21
2017-10-17,3.84,4.05,3.84,4.05,2352646,9528216.299999999
2017-10-18,4.02,4.14,4.02,4.02,1921054,7722637.079999999
2017-10-19,4.02,4.02,3.9,3.93,1665342,6544794.0600000005
2017-10-20,3.96,3.96,3.87,3.93,716310,2815098.3000000003
2017-10-23,3.93,3.93,3.81,3.81,989690,3770718.9
2017-10-24,3.81,3.99,3.78,3.93,2296792,9026392.56
2017-10-25,3.93,4.14,3.93,4.11,4451160,18294267.6
2017-10-26,4.08,4.14,4.05,4.11,4783279,19659276.69
2017-10-27,4.08,4.11,4.05,4.08,917448,3743187.84
2017-10-30,4.08,4.08,3.99,4.02,1155892,4646685.84
2017-10-31,3.99,3.99,3.93,3.93,998097,3922521.21
2017-11-01,3.96,3.96,3.9,3.96,1832620,7257175.2
2017-11-02,3.96,3.96,3.9,3.93,1436565,5645700.45
2017-11-03,3.93,3.93,3.84,3.87,1311510,5075543.7
2017-11-06,3.81,3.9,3.78,3.84,1721340,6609945.6
2017-11-07,3.87,3.87,3.75,3.78,3472406,13125694.68
2017-11-08,3.81,3.93,3.78,3.9,3419190,13334841.0
2017-11-09,3.9,4.05,3.9,3.99,2027331,8089050.69
2017-11-10,3.96,4.02,3.93,3.93,2162571,8498904.030000001
2017-11-13,3.96,3.96,3.87,3.93,1658710,6518730.3
2017-11-14,4.1,4.17,3.97,4.07,1417790,5770405.300000001
2017-11-15,3.97,4.13,3.97,4.13,1199023,4951964.99
2017-11-16,4.1,4.36,4.1,4.3,3654576,15714676.799999999
2017-11-17,4.3,4.33,4.17,4.2,1427771,5996638.2
2017-11-20,4.23,4.23,4.13,4.17,1377090,5742465.3
2017-11-21,4.2,4.23,4.13,4.2,1436020,6031284.0
2017-11-22,4.1,4.26,4.1,4.23,2574539,10890299.97
2017-11-23,4.3,4.33,4.23,4.26,2175399,9267199.74
2017-11-24,4.26,4.3,4.2,4.3,2075370,8924091.0
2017-11-27,4.3,4.52,4.26,4.49,5381683,24163756.67
2017-11-28,4.46,4.55,4.39,4.39,7626825,33481761.749999996
2017-11-29,4.42,4.42,4.3,4.3,1841038,7916463.399999999
2017-11-30,4.33,4.39,4.3,4.33,1149710,4978244.3
2017-12-01,4.33,4.33,4.17,4.2,2499176,10496539.200000001
2017-12-04,4.2,4.3,4.2,4.23,1390615,5882301.45
2017-12-05,4.26,4.26,4.2,4.2,897567,3769781.4000000004
2017-12-06,4.2,4.23,4.17,4.17,1710500,7132785.0
2017-12-07,4.2,4.23,4.13,4.17,1185503,4943547.51
2017-12-08,4.2,4.26,4.17,4.23,1693255,7162468.65
2017-12-11,4.26,4.39,4.23,4.33,2580503,11173577.99
2017-12-12,4.36,4.36,4.17,4.3,1312330,5643019.0
2017-12-13,4.3,4.3,4.2,4.23,988680,4182116.4000000004
2017-12-14,4.2,4.26,4.2,4.26,658072,2803386.7199999997
2017-12-15,4.23,4.23,4.17,4.2,1906195,8006019.0
2017-12-18,4.2,4.23,4.2,4.23,1339219,5664896.37
2017-12-19,4.23,4.26,4.2,4.23,1979610,8373750.300000001
2017-12-20,4.23,4.3,4.2,4.26,2450673,10439866.979999999
2017-12-21,4.26,4.3,4.2,4.23,2301950,9737248.500000002
2017-12-22,4.23,4.26,4.2,4.23,1060600,4486338.0
2017-12-25,4.23,4.23,4.2,4.2,1010390,4243638.0
2017-12-26,4.2,4.2,4.17,4.2,1016770,4270434.0
2017-12-27,4.17,4.2,4.1,4.13,1719140,7100048.2
2017-12-28,4.13,4.2,4.07,4.17,1262498,5264616.66
2017-12-29,4.2,4.2,4.13,4.17,878068,3661543.56
2018-01-02,4.2,4.23,4.13,4.2,1559161,6548476.2
2018-01-03,4.26,4.39,4.23,4.36,4890664,21323295.040000003
2018-01-04,4.36,4.39,4.33,4.39,3527807,15487072.729999999
2018-01-05,4.42,4.42,4.33,4.36,2182052,9513746.72
2018-01-08,4.33,4.59,4.3,4.55,6398502,29113184.099999998
2018-01-09,4.59,4.84,4.52,4.75,5009071,23793087.25
2018-01-10,4.84,4.84,4.68,4.72,2912489,13746948.08
2018-01-11,4.72,5.33,4.68,5.14,7513965,38621780.099999994
2018-01-12,5.17,5.46,4.94,5.1,4824173,24603282.299999997
2018-01-15,5.23,5.23,5.01,5.14,2193796,11276111.44
2018-01-16,5.07,5.1,4.94,4.97,2940402,14613797.94
2018-01-17,5.01,5.17,4.91,4.94,2504400,12371736.000000002
2018-01-18,4.94,5.1,4.88,5.07,1568960,7954627.2
2018-01-19,4.97,5.14,4.97,5.07,1846108,9359767.56
2018-01-22,5.07,5.14,5.01,5.04,2724530,13731631.2
2018-01-23,5.1,5.49,5.07,5.49,5634151,30931488.990000002
2018-01-24,5.43,5.78,5.43,5.62,2824150,15871723.0
2018-01-25,5.65,5.78,5.52,5.62,4467291,25106175.42
2018-01-26,5.62,5.75,5.49,5.56,4122527,22921250.119999997
2018-01-29,5.62,5.81,5.56,5.68,3551146,20170509.279999997
2018-01-30,5.72,5.78,5.56,5.72,3804870,21763856.4
2018-01-31,5.68,5.81,5.62,5.68,3503008,19897085.439999998
2018-02-01,5.82,5.82,5.41,5.48,1771451,9707551.48
2018-02-02,5.48,5.55,5.31,5.41,1503073,8131624.930000001
2018-02-05,5.48,5.99,4.83,4.96,2730927,13545397.92
2018-02-06,4.86,5.07,4.38,4.76,5100513,24278441.88
2018-02-07,4.79,5.14,4.76,5.1,1809793,9229944.299999999
2018-02-08,5.1,5.1,4.86,4.9,1016920,4982908.0
2018-02-09,4.66,5.03,4.55,5.0,2091362,10456810.0
2018-02-12,5.03,5.14,5.0,5.14,2186850,11240409.0
2018-02-13,5.27,5.38,5.14,5.34,1433291,7653773.9399999995
2018-02-21,5.34,5.51,5.34,5.38,1978111,10642237.18
2018-02-22,5.38,5.41,5.24,5.31,2080421,11047035.51
2018-02-23,5.31,5.41,5.27,5.38,2122192,11417392.959999999
2018-02-26,5.38,5.55,5.34,5.34,3486519,18618011.46
2018-02-27,5.44,5.55,5.31,5.34,1419985,7582719.899999999
2018-02-28,5.38,5.38,5.24,5.31,2781413,14769303.03
2018-03-01,5.24,5.27,4.96,5.14,3507531,18028709.34
2018-03-02,5.14,5.14,5.0,5.1,1836772,9367537.2
