time,open,high,low,close,volume,amounts
2020-12-23,6.83,6.83,6.43,6.45,30431340,196282143.0
2020-12-24,6.64,6.64,6.41,6.56,7683250,50402120.0
2020-12-25,6.56,7.02,6.56,7.02,9311200,65364623.99999999
2020-12-28,7.21,7.21,7.02,7.11,8600300,61148133.0
2020-12-29,7.15,7.21,7.02,7.21,9680050,69793160.5
2020-12-30,7.21,7.21,7.05,7.17,6435250,46140742.5
2020-12-31,7.13,7.17,7.03,7.13,8721150,62181799.5
2021-01-04,7.13,7.17,6.98,7.13,10019300,71437609.0
2021-01-05,7.13,7.13,7.0,7.13,6425700,45815241.0
2021-01-06,7.13,7.38,7.13,7.36,13781900,101434784.0
2021-01-07,7.36,7.58,7.32,7.58,10025000,75989500.0
2021-01-08,7.58,7.85,7.58,7.81,9146300,71432603.0
2021-01-11,7.81,7.87,7.77,7.85,8229200,64599220.0
2021-01-12,7.85,7.85,7.74,7.77,5232000,40652640.0
2021-01-13,7.72,7.72,7.49,7.55,6368000,48078400.0
2021-01-14,7.55,7.55,7.21,7.55,5747400,43392870.0
2021-01-15,7.55,7.6,7.45,7.6,6096800,46335680.0
2021-01-18,7.6,7.6,7.43,7.43,3836200,28502966.0
2021-01-19,7.45,7.47,6.92,7.02,2760800,19380816.0
2021-01-20,7.03,7.05,6.62,7.02,2122300,14898546.0
2021-01-21,7.03,7.05,6.92,7.02,5980900,41985918.0
2021-01-22,7.03,7.11,6.96,7.05,6146500,43332825.0
2021-01-25,7.05,7.05,6.94,6.98,2317700,16177546.000000002
2021-01-26,6.98,6.98,6.64,6.9,2076500,14327850.0
2021-01-27,6.79,6.81,6.45,6.6,2240000,14784000.0
2021-01-28,6.14,6.41,6.14,6.14,1906300,11704682.0
2021-01-29,5.73,6.45,5.73,6.41,3033900,19447299.0
2021-02-01,6.37,6.37,6.03,6.3,1864400,11745720.0
2021-02-02,6.07,6.37,6.07,6.28,1491900,9369132.0
2021-02-03,6.22,6.64,6.22,6.64,3625100,24070664.0
2021-02-04,6.64,6.64,6.49,6.56,1112200,7296032.0
2021-02-05,6.56,6.6,6.41,6.6,2465500,16272300.0
2021-02-08,6.56,6.58,6.35,6.45,1467300,9464085.0
2021-02-09,6.45,6.62,6.41,6.6,1715400,11321640.0
2021-02-17,6.62,6.83,6.6,6.83,2077100,14186593.0
2021-02-18,6.79,6.83,6.69,6.75,1880300,12692025.0
2021-02-19,6.71,7.02,6.66,7.02,4718300,33122465.999999996
2021-02-22,7.02,7.15,7.0,7.13,5623500,40095555.0
2021-02-23,7.13,7.21,7.0,7.21,5946800,42876428.0
2021-02-24,7.22,7.24,6.98,7.19,2317700,16664263.0
2021-02-25,7.17,7.17,7.0,7.09,1531300,10856917.0
2021-02-26,6.98,7.11,6.86,7.11,2349300,16703523.0
2021-03-01,7.11,7.19,7.07,7.19,3239900,23294881.0
2021-03-02,7.21,7.22,7.07,7.19,2391700,17196323.0
2021-03-03,7.19,7.66,7.07,7.66,5598100,42881446.0
2021-03-04,7.7,7.7,7.34,7.43,3571700,26537731.0
2021-03-05,7.45,7.51,7.3,7.51,1846600,13867966.0
2021-03-08,7.53,7.55,7.4,7.51,2667300,20031423.0
2021-03-09,7.43,7.51,7.4,7.51,2822800,21199228.0
2021-03-10,7.51,7.57,7.43,7.57,2986000,22604020.0
2021-03-11,7.58,7.96,7.55,7.96,8762500,69749500.0
2021-03-12,7.96,7.98,7.81,7.89,4610100,36373689.0
2021-03-15,7.95,8.15,7.91,8.15,11402000,92926300.0
2021-03-16,8.15,8.31,7.96,8.31,6608200,54914142.0
2021-03-17,8.27,8.57,8.23,8.42,11731200,98776704.0
2021-03-18,8.42,8.53,7.96,8.53,11309900,96473447.0
2021-03-19,8.46,8.51,8.27,8.51,6436100,54771211.0
2021-03-22,8.48,8.48,8.19,8.34,5063200,42227088.0
2021-03-23,8.31,8.31,8.06,8.15,6249400,50932610.0
2021-03-24,8.15,8.53,8.04,8.34,6169500,51453630.0
2021-03-25,8.31,8.34,8.13,8.25,5718400,47176800.0
2021-03-26,8.25,8.27,7.93,8.25,4614500,38069625.0
2021-03-29,8.19,8.23,8.08,8.21,6127400,50305954.00000001
2021-03-30,8.21,8.23,8.08,8.21,3757300,30847433.000000004
2021-03-31,8.21,8.36,8.08,8.29,6208800,51470951.99999999
2021-04-01,8.29,8.4,8.29,8.4,5410400,45447360.0
2021-04-02,8.46,8.57,8.27,8.57,8235700,70579949.0
2021-04-05,8.59,8.65,8.53,8.65,6408700,55435255.0
2021-04-06,8.65,8.67,8.55,8.63,6024100,51987983.00000001
2021-04-07,8.61,8.61,8.5,8.61,4460400,38404044.0
2021-04-08,8.61,8.63,8.34,8.36,4592700,38394972.0
2021-04-09,8.36,8.36,8.25,8.36,6552600,54779736.0
2021-04-12,8.38,8.84,8.29,8.84,10339600,91402064.0
