time,open,high,low,close,volume,amounts
2014-07-14,4.25,4.28,4.25,4.28,10660,45624.8
2014-07-15,4.57,4.57,4.57,4.57,13480,61603.600000000006
2014-07-16,4.88,4.88,4.88,4.88,17290,84375.2
2014-07-17,5.22,5.22,5.22,5.22,95120,496526.39999999997
2014-07-18,5.56,5.56,5.56,5.56,134460,747597.6
2014-07-21,5.93,5.93,5.3,5.56,311030,1729326.7999999998
2014-07-22,5.46,5.72,5.46,5.72,568890,3254050.8
2014-07-23,5.77,5.77,5.67,5.72,23330,133447.6
2014-07-24,5.67,5.72,5.67,5.67,33590,190455.3
2014-07-25,5.67,5.72,5.67,5.67,79630,451502.1
2014-07-28,5.67,5.72,5.67,5.67,93810,531902.7
2014-07-29,5.67,5.67,5.51,5.56,25300,140668.0
2014-07-30,5.62,5.62,5.51,5.56,16160,89849.59999999999
2014-07-31,5.51,5.51,5.3,5.41,37400,202334.0
2014-08-01,5.51,5.51,5.35,5.41,28290,153048.9
2014-08-04,5.41,5.41,5.41,5.41,13350,72223.5
2014-08-05,5.46,5.51,5.46,5.46,21340,116516.4
2014-08-06,5.46,5.62,5.46,5.62,20800,116896.0
2014-08-07,5.62,5.62,5.56,5.62,17250,96945.0
2014-08-08,5.56,5.62,5.56,5.62,9190,51647.8
2014-08-11,5.98,5.98,5.83,5.98,179250,1071915.0
2014-08-12,6.04,6.19,6.04,6.19,64140,397026.60000000003
2014-08-13,6.25,6.56,6.14,6.51,147010,957035.1
2014-08-14,6.51,6.93,6.51,6.93,149800,1038114.0
2014-08-15,7.35,7.4,7.14,7.4,100130,740962.0
2014-08-18,7.66,7.82,7.56,7.82,29910,233896.2
2014-08-19,7.61,7.77,7.3,7.3,39150,285795.0
2014-08-20,6.88,7.35,6.88,7.3,46550,339815.0
2014-08-21,7.19,7.3,7.09,7.09,58570,415261.3
2014-08-22,7.09,7.4,7.09,7.4,45860,339364.0
2014-08-25,7.61,7.66,7.4,7.56,61190,462596.39999999997
2014-08-26,7.56,7.56,7.03,7.03,29880,210056.4
2014-08-27,7.24,7.35,7.09,7.19,11450,82325.5
2014-08-28,7.19,7.19,7.09,7.19,5070,36453.3
2014-08-29,7.19,7.19,6.82,7.09,15750,111667.5
2014-09-03,7.14,7.14,6.98,7.09,25120,178100.8
2014-09-04,7.03,7.03,6.82,6.93,37750,261607.5
2014-09-05,6.98,7.14,6.98,7.14,44760,319586.39999999997
2014-09-08,7.24,7.61,7.14,7.61,171700,1306637.0
2014-09-09,8.14,8.14,7.72,7.82,88810,694494.2000000001
2014-09-10,8.03,8.03,7.66,7.98,23640,188647.2
2014-09-11,7.93,8.08,7.87,7.98,25860,206362.80000000002
2014-09-12,7.98,8.03,7.82,7.93,44670,354233.1
2014-09-15,7.93,8.03,7.93,7.98,14500,115710.0
2014-09-16,7.93,7.98,7.87,7.98,65900,525882.0
2014-09-17,8.08,8.08,7.87,7.98,6430,51311.4
2014-09-18,7.87,8.08,7.87,8.08,13030,105282.4
2014-09-19,8.24,8.61,8.24,8.61,20120,173233.19999999998
2014-09-22,9.18,9.18,8.82,9.18,28590,262456.2
2014-09-23,9.45,9.6,9.13,9.13,13620,124350.6
2014-09-24,9.34,9.34,9.08,9.08,5790,52573.2
2014-09-25,8.92,8.92,8.45,8.45,30100,254344.99999999997
2014-09-26,8.92,8.92,8.55,8.76,26080,228460.8
2014-09-29,8.92,8.92,8.82,8.82,11420,100724.40000000001
2014-09-30,8.66,8.87,8.66,8.87,12510,110963.7
2014-10-01,8.87,9.03,8.87,8.92,24590,219342.8
2014-10-02,8.87,9.08,8.87,9.03,51070,461162.1
2014-10-03,9.18,9.29,9.13,9.18,22400,205632.0
2014-10-06,9.24,9.24,9.13,9.18,19250,176715.0
2014-10-07,9.13,9.24,9.13,9.18,37960,348472.8
2014-10-08,9.82,9.82,9.64,9.82,138900,1363998.0
2014-10-09,10.35,10.44,10.35,10.44,271340,2832789.6
2014-10-10,10.35,10.53,10.26,10.44,63600,663984.0
2014-10-13,10.26,10.26,9.9,9.99,17150,171328.5
2014-10-14,10.08,10.08,9.9,9.99,34880,348451.2
2014-10-15,9.99,10.08,9.9,10.08,94190,949435.2
2014-10-16,9.99,10.08,9.46,9.55,37680,359844.0
2014-10-17,9.82,9.82,9.46,9.73,59410,578059.3
2014-10-20,9.9,9.9,9.64,9.64,7760,74806.40000000001
2014-10-21,9.64,9.73,9.46,9.64,14260,137466.4
2014-10-22,9.73,9.73,9.55,9.55,15150,144682.5
2014-10-23,9.55,9.55,9.28,9.37,21100,197706.99999999997
2014-10-24,9.37,9.64,9.37,9.64,17040,164265.6
2014-10-27,9.82,10.08,9.73,9.73,26890,261639.7
2014-10-28,9.64,9.73,9.46,9.46,28140,266204.4
2014-10-29,9.55,9.55,9.37,9.37,21320,199768.4
2014-10-30,9.37,9.55,9.37,9.55,65350,624092.5
2014-10-31,9.55,9.55,9.37,9.46,26930,254757.80000000002
2014-11-03,9.37,9.37,9.01,9.19,51330,471722.69999999995
2014-11-04,8.92,9.28,8.92,9.19,84960,780782.3999999999
2014-11-05,9.19,9.19,8.92,8.92,33320,297214.4
2014-11-06,8.83,9.19,8.57,8.66,176730,1530481.8
2014-11-07,8.66,9.19,8.66,9.19,161420,1483449.7999999998
2014-11-10,9.19,9.19,9.01,9.1,67980,618618.0
2014-11-11,9.01,9.1,8.92,9.1,78920,718172.0
2014-11-12,9.01,9.1,9.01,9.01,64490,581054.9
2014-11-13,9.01,9.1,9.01,9.01,48060,433020.6
2014-11-14,9.01,9.19,9.01,9.1,95160,865956.0
2014-11-17,9.01,9.01,8.88,9.01,18180,163801.8
2014-11-18,8.92,8.92,8.83,8.83,21310,188167.3
2014-11-19,8.83,8.83,8.7,8.74,15200,132848.0
2014-11-20,8.83,8.83,8.61,8.74,25260,220772.4
2014-11-21,8.83,8.83,8.61,8.74,14000,122360.0
2014-11-24,8.61,8.66,8.48,8.48,57490,487515.2
2014-11-25,8.48,8.57,8.3,8.3,48550,402965.00000000006
2014-11-26,8.39,8.39,8.16,8.21,39470,324048.7
2014-11-27,8.21,8.21,8.03,8.12,22250,180669.99999999997
2014-11-28,8.21,8.21,7.94,7.94,38090,302434.60000000003
2014-12-01,7.94,7.94,7.41,7.58,61960,469656.8
2014-12-02,7.58,8.08,7.58,8.08,39090,315847.2
2014-12-03,8.57,8.61,8.52,8.61,142170,1224083.7
2014-12-04,9.19,9.19,8.92,8.92,257870,2300200.4
2014-12-05,8.92,8.92,8.66,8.88,64980,577022.4
2014-12-08,8.74,8.92,8.74,8.88,132160,1173580.8
2014-12-09,8.88,8.92,8.83,8.83,180930,1597611.9
2014-12-10,8.39,8.79,8.39,8.79,16940,148902.59999999998
2014-12-11,8.57,8.88,8.57,8.88,173360,1539436.8
2014-12-12,8.88,9.01,8.83,8.92,162660,1450927.2
2014-12-15,8.88,9.1,8.88,8.92,155470,1386792.4
2014-12-16,9.01,9.01,8.92,8.92,35520,316838.4
2014-12-17,8.92,9.01,8.92,8.92,61200,545904.0
2014-12-18,8.83,8.83,8.74,8.83,20140,177836.2
2014-12-19,8.83,9.1,8.83,9.1,105970,964327.0
2014-12-22,9.1,9.19,9.01,9.1,45070,410137.0
2014-12-23,9.1,9.28,9.1,9.28,88810,824156.7999999999
2014-12-24,9.28,9.9,9.28,9.73,372830,3627635.9000000004
2014-12-25,9.46,9.46,9.37,9.37,14960,140175.19999999998
2014-12-26,9.37,9.55,9.37,9.46,36810,348222.60000000003
2014-12-29,9.46,9.46,9.37,9.46,27440,259582.40000000002
2014-12-30,9.46,9.64,9.37,9.64,42760,412206.4
2014-12-31,9.64,9.82,9.64,9.73,57150,556069.5
2015-01-05,9.82,9.82,9.55,9.64,18030,173809.2
2015-01-06,9.64,9.64,9.46,9.64,37970,366030.80000000005
2015-01-07,9.55,9.64,9.46,9.46,10590,100181.40000000001
2015-01-08,9.55,9.64,9.46,9.55,47040,449232.00000000006
2015-01-09,9.46,9.73,9.46,9.73,46170,449234.10000000003
2015-01-12,9.64,9.9,9.64,9.82,104230,1023538.6
2015-01-13,9.82,10.26,9.82,10.26,290500,2980530.0
2015-01-14,10.17,10.62,10.17,10.62,244240,2593828.8
2015-01-15,10.71,10.8,10.62,10.71,76470,818993.7000000001
2015-01-16,10.71,10.71,10.35,10.35,116950,1210432.5
2015-01-19,10.53,10.53,10.26,10.53,155000,1632150.0
2015-01-20,10.53,10.8,10.53,10.71,170300,1823913.0000000002
2015-01-21,10.71,10.8,10.62,10.71,132190,1415754.9000000001
2015-01-22,10.71,10.71,10.62,10.62,48110,510928.19999999995
2015-01-23,10.53,10.71,10.53,10.71,83030,889251.3
2015-01-26,10.71,10.71,10.53,10.53,69470,731519.1
2015-01-27,10.53,10.71,10.53,10.62,74430,790446.6
2015-01-28,10.62,10.89,10.53,10.89,153520,1671832.8
2015-01-29,10.89,11.15,10.8,11.15,189640,2114486.0
2015-01-30,11.15,11.24,10.98,11.06,106070,1173134.2
2015-02-02,11.06,11.06,10.71,10.71,63650,681691.5
2015-02-03,10.62,10.8,10.62,10.71,24450,261859.50000000003
2015-02-04,10.62,11.06,10.62,10.98,95510,1048699.8
2015-02-05,10.98,11.24,10.98,11.24,157180,1766703.2
2015-02-06,11.24,11.42,11.24,11.33,90910,1030010.3
2015-02-09,11.42,11.6,11.42,11.51,153370,1765288.7
