time,open,high,low,close,volume,amounts
2020-10-09,6.67,6.67,4.77,5.65,2932700,16569755.000000002
2020-10-12,5.93,5.93,5.54,5.58,535100,2985858.0
2020-10-13,5.54,5.65,5.51,5.65,545000,3079250.0
2020-10-14,4.73,5.33,4.73,5.29,810900,4289661.0
2020-10-15,4.84,5.29,4.59,5.29,560900,2967161.0
2020-10-16,5.22,5.4,5.12,5.37,303900,1631943.0
2020-10-19,5.26,5.33,5.22,5.29,421400,2229206.0
2020-10-20,5.29,5.29,5.22,5.22,196100,1023642.0
2020-10-21,5.22,5.65,5.22,5.65,1277700,7219005.0
2020-10-22,5.47,5.61,5.4,5.51,117900,649629.0
2020-10-23,5.51,5.51,5.37,5.37,174600,937602.0
2020-10-26,5.37,5.37,5.29,5.37,204700,1099239.0
2020-10-27,5.33,5.51,5.29,5.29,141900,750651.0
2020-10-28,5.26,5.33,5.12,5.19,293100,1521189.0
2020-10-29,5.26,5.26,5.19,5.22,106900,558018.0
2020-10-30,5.26,5.26,4.62,5.26,75300,396078.0
2020-11-02,5.26,5.44,5.26,5.29,128100,677649.0
2020-11-03,5.29,5.29,5.05,5.29,50900,269261.0
2020-11-04,5.26,5.29,5.22,5.26,44000,231440.0
2020-11-05,5.26,5.26,5.22,5.22,52400,273528.0
2020-11-06,5.26,5.26,5.12,5.22,201900,1053918.0
2020-11-09,5.12,5.19,5.12,5.15,46500,239475.00000000003
2020-11-10,5.22,5.22,5.15,5.15,71400,367710.0
2020-11-11,5.12,5.19,5.12,5.15,60900,313635.0
2020-11-12,5.12,5.19,4.98,5.08,83900,426212.0
2020-11-13,5.12,5.19,5.01,5.05,142300,718615.0
2020-11-16,5.05,5.05,4.91,4.94,191900,947986.0000000001
2020-11-17,4.94,4.98,4.91,4.94,173700,858078.0000000001
2020-11-18,4.94,5.19,4.94,4.94,163500,807690.0000000001
2020-11-19,5.01,5.01,4.91,4.94,77700,383838.00000000006
2020-11-20,4.91,4.98,4.84,4.94,117200,578968.0
2020-11-23,4.94,4.94,4.91,4.94,137700,680238.0
2020-11-24,4.94,4.94,4.91,4.94,49100,242554.00000000003
2020-11-25,4.91,4.91,4.87,4.91,140800,691328.0
2020-11-26,4.91,4.91,4.87,4.91,59100,290181.0
2020-11-27,4.8,4.91,4.59,4.91,238000,1168580.0
2020-11-30,4.59,4.91,4.59,4.87,61500,299505.0
2020-12-01,4.87,4.87,4.73,4.84,102200,494648.0
2020-12-02,4.84,4.87,4.73,4.8,77200,370560.0
2020-12-03,4.84,4.84,4.8,4.8,151300,726240.0
2020-12-04,4.8,4.84,4.77,4.8,95200,456960.0
2020-12-07,4.77,4.91,4.69,4.91,358300,1759253.0
2020-12-08,4.87,5.05,4.8,5.01,212500,1064625.0
2020-12-09,5.12,5.44,5.12,5.4,416000,2246400.0
2020-12-10,5.4,5.44,5.29,5.29,179000,946910.0
2020-12-11,5.26,5.26,5.08,5.19,171801,891647.1900000001
2020-12-14,5.22,5.26,5.15,5.19,119127,618269.13
2020-12-15,5.22,5.22,5.15,5.19,71472,370939.68000000005
2020-12-16,5.19,5.26,5.15,5.19,149416,775469.04
