time,open,high,low,close,volume,amounts
2011-01-14,4.36,4.36,3.64,4.35,954580,4152422.9999999995
2011-01-17,4.16,4.55,4.16,4.55,1282900,5837195.0
2011-01-18,4.55,4.77,4.36,4.77,1244920,5938268.399999999
2011-01-19,4.58,5.0,4.58,5.0,1070570,5352850.0
2011-01-20,4.77,5.25,4.77,5.21,1150840,5995876.4
2011-01-21,4.99,5.21,4.96,4.96,907920,4503283.2
2011-01-24,4.73,4.76,4.71,4.71,155800,733818.0
2011-01-25,4.48,4.51,4.48,4.48,633610,2838572.8000000003
2011-01-26,4.48,4.48,4.28,4.31,403060,1737188.5999999999
2011-01-27,4.31,4.36,4.16,4.36,525180,2289784.8000000003
2011-01-28,4.23,4.38,4.22,4.26,313890,1337171.4
2011-02-08,4.26,4.36,4.26,4.28,130100,556828.0
2011-02-09,4.22,4.29,4.16,4.16,250030,1040124.8
2011-02-10,4.16,4.18,4.1,4.18,235720,985309.6
2011-02-11,4.16,4.18,4.0,4.0,309650,1238600.0
2011-02-14,3.99,4.04,3.99,3.99,151730,605402.7000000001
2011-02-15,3.94,4.0,3.88,3.94,146650,577801.0
2011-02-16,3.9,3.94,3.9,3.93,74800,293964.0
2011-02-17,3.88,3.88,3.75,3.84,46720,179404.8
2011-02-18,3.87,3.87,3.78,3.78,207480,784274.3999999999
2011-02-21,3.65,3.65,3.59,3.59,345160,1239124.4
2011-02-22,3.45,3.77,3.45,3.59,166260,596873.4
2011-02-23,3.74,3.77,3.64,3.64,75210,273764.4
2011-02-24,3.56,3.71,3.52,3.71,82130,304702.3
2011-02-25,3.61,3.75,3.61,3.75,73270,274762.5
2011-02-28,3.83,3.83,3.61,3.64,142270,517862.80000000005
2011-03-01,3.59,3.64,3.56,3.64,31410,114332.40000000001
2011-03-02,3.64,3.64,3.46,3.48,151410,526906.8
2011-03-03,3.33,3.48,3.33,3.4,186200,633080.0
2011-03-04,3.42,3.42,3.33,3.33,52020,173226.6
2011-03-07,3.22,3.49,3.22,3.49,34800,121452.00000000001
2011-03-08,3.49,3.56,3.4,3.4,39460,134164.0
2011-03-09,3.4,3.4,3.32,3.32,59020,195946.4
2011-03-10,3.35,3.42,3.35,3.35,142370,476939.5
2011-03-11,3.49,3.51,3.49,3.51,315760,1108317.5999999999
2011-03-14,3.59,3.59,3.49,3.52,399140,1404972.8
2011-03-15,3.52,3.56,3.51,3.51,233050,818005.5
2011-03-16,3.51,3.52,3.35,3.35,43510,145758.5
2011-03-17,3.35,3.46,3.35,3.36,222500,747600.0
2011-03-18,3.36,3.43,3.35,3.35,163070,546284.5
2011-03-21,3.51,3.51,3.43,3.51,370300,1299753.0
2011-03-22,3.68,3.68,3.61,3.68,454400,1672192.0
2011-03-23,3.68,3.78,3.59,3.67,264520,970788.4
2011-03-24,3.7,3.71,3.64,3.68,213280,784870.4
2011-03-25,3.62,3.67,3.55,3.56,172720,614883.2
2011-03-28,3.64,3.68,3.58,3.65,220320,804168.0
2011-03-29,3.62,3.75,3.62,3.71,436650,1619971.5
2011-03-30,3.65,3.72,3.65,3.7,136990,506863.0
2011-03-31,3.7,3.72,3.67,3.67,240830,883846.1
2011-04-01,3.61,3.67,3.61,3.64,119120,433596.8
2011-04-04,3.62,3.65,3.52,3.62,352370,1275579.4000000001
2011-04-05,3.56,3.62,3.56,3.56,132930,473230.8
2011-04-06,3.62,3.74,3.54,3.74,402640,1505873.6
2011-04-07,3.74,3.86,3.64,3.81,318850,1214818.5
2011-04-08,3.78,3.91,3.71,3.91,379990,1485760.9000000001
2011-04-13,3.91,3.99,3.86,3.91,285080,1114662.8
2011-04-14,3.88,3.91,3.75,3.75,140800,528000.0
2011-04-15,3.78,3.78,3.71,3.74,130050,486387.0
2011-04-18,3.7,3.75,3.7,3.7,123670,457579.0
2011-04-19,3.64,3.74,3.62,3.68,90230,332046.4
2011-04-20,3.67,3.72,3.67,3.68,44000,161920.0
2011-04-21,3.68,3.68,3.62,3.62,46480,168257.6
2011-04-22,3.61,3.61,3.45,3.45,108660,374877.0
2011-04-25,3.48,3.61,3.45,3.61,220080,794488.7999999999
2011-04-26,3.56,3.65,3.56,3.61,68170,246093.69999999998
2011-04-27,3.61,3.64,3.61,3.64,63300,230412.0
2011-04-28,3.61,3.71,3.61,3.71,94870,351967.7
2011-04-29,3.58,3.7,3.58,3.64,132640,482809.60000000003
2011-05-04,3.58,3.67,3.58,3.58,100500,359790.0
2011-05-05,3.55,3.58,3.52,3.52,22100,77792.0
2011-05-06,3.48,3.58,3.48,3.52,90800,319616.0
2011-05-09,3.56,3.7,3.52,3.56,103490,368424.4
2011-05-10,3.55,3.74,3.55,3.59,66420,238447.8
2011-05-11,3.56,3.61,3.54,3.54,28940,102447.6
2011-05-12,3.49,3.52,3.46,3.46,19800,68508.0
2011-05-13,3.48,3.54,3.46,3.46,34890,120719.4
2011-05-16,3.43,3.48,3.42,3.48,25200,87696.0
2011-05-17,3.43,3.43,3.42,3.43,33700,115591.0
2011-05-18,3.42,3.46,3.39,3.46,22700,78542.0
2011-05-19,3.46,3.46,3.43,3.43,10280,35260.4
2011-05-20,3.43,3.43,3.39,3.39,22920,77698.8
2011-05-23,3.39,3.42,3.32,3.42,54700,187074.0
2011-05-24,3.42,3.42,3.33,3.33,19540,65068.200000000004
2011-05-25,3.32,3.32,3.3,3.3,15760,52008.0
2011-05-26,3.29,3.46,3.27,3.46,34100,117986.0
2011-05-27,3.4,3.49,3.4,3.49,14500,50605.0
2011-05-30,3.45,3.48,3.38,3.38,23940,80917.2
2011-05-31,3.38,3.4,3.38,3.4,5400,18360.0
2011-06-01,3.4,3.56,3.4,3.56,20130,71662.8
2011-06-02,3.54,3.74,3.54,3.74,29340,109731.6
2011-06-03,3.74,3.74,3.56,3.59,101300,363667.0
2011-06-06,3.56,3.59,3.49,3.49,116000,404840.0
2011-06-07,3.51,3.67,3.49,3.67,104630,383992.1
2011-06-08,3.71,3.84,3.61,3.7,75100,277870.0
2011-06-09,3.7,3.74,3.61,3.74,62900,235246.0
2011-06-10,3.71,3.91,3.71,3.91,99050,387285.5
2011-06-13,3.91,4.1,3.84,4.04,88100,355924.0
2011-06-14,4.03,4.15,3.88,3.88,92930,360568.39999999997
2011-06-15,3.88,3.88,3.7,3.72,49470,184028.40000000002
2011-06-16,3.62,3.64,3.59,3.64,36320,132204.80000000002
2011-06-17,3.49,3.51,3.46,3.46,27300,94458.0
2011-06-20,3.36,3.36,3.35,3.35,16000,53600.0
2011-06-21,3.27,3.51,3.27,3.51,31340,110003.4
2011-06-22,3.45,3.55,3.43,3.46,28200,97572.0
2011-06-23,3.42,3.49,3.42,3.46,11000,38060.0
2011-06-24,3.46,3.46,3.4,3.42,18400,62928.0
2011-06-27,3.42,3.46,3.35,3.46,109810,379942.6
2011-06-28,3.42,3.52,3.42,3.52,85400,300608.0
2011-06-29,3.52,3.52,3.38,3.46,59900,207254.0
2011-06-30,3.45,3.46,3.36,3.36,55410,186177.6
2011-07-01,3.35,3.35,3.29,3.29,24010,78992.9
2011-07-04,3.26,3.26,3.22,3.22,29700,95634.0
2011-07-05,3.22,3.38,3.22,3.38,70000,236600.0
2011-07-06,3.3,3.35,3.26,3.26,55000,179300.0
2011-07-07,3.2,3.29,3.2,3.26,48890,159381.4
2011-07-08,3.2,3.26,3.2,3.2,58500,187200.0
2011-07-11,3.19,3.2,3.17,3.17,23500,74495.0
2011-07-12,3.13,3.16,3.13,3.16,52000,164320.0
2011-07-13,3.14,3.17,3.14,3.17,22660,71832.2
2011-07-14,3.11,3.19,3.11,3.16,25500,80580.0
2011-07-15,3.13,3.16,3.11,3.16,30900,97644.0
2011-07-18,3.13,3.16,3.13,3.16,19690,62220.4
2011-07-19,3.04,3.13,3.04,3.1,26260,81406.0
2011-07-20,3.01,3.14,3.01,3.14,30950,97183.0
2011-07-21,3.1,3.1,3.0,3.0,39900,119700.0
2011-07-22,3.0,3.0,2.95,3.0,14000,42000.0
2011-07-25,3.04,3.04,3.0,3.01,38620,116246.2
2011-07-26,3.01,3.01,2.87,2.87,83240,238898.80000000002
2011-07-27,2.84,2.94,2.79,2.94,47140,138591.6
2011-07-28,2.94,2.97,2.84,2.84,76600,217544.0
2011-07-29,2.87,2.97,2.87,2.97,24330,72260.1
2011-08-01,2.97,2.97,2.9,2.95,53140,156763.0
2011-08-02,2.95,2.95,2.91,2.95,41100,121245.00000000001
2011-08-03,2.94,2.94,2.9,2.94,5300,15582.0
2011-08-04,2.9,3.0,2.9,3.0,24800,74400.0
2011-08-05,2.94,2.97,2.91,2.94,21400,62916.0
2011-08-08,2.95,2.95,2.9,2.9,4000,11600.0
2011-08-09,2.88,2.88,2.84,2.87,18920,54300.4
2011-08-10,2.87,2.9,2.87,2.9,38700,112230.0
2011-08-11,2.87,2.9,2.85,2.9,37900,109910.0
2011-08-12,2.9,2.91,2.88,2.91,11900,34629.0
2011-08-15,2.9,2.91,2.88,2.91,60860,177102.6
2011-08-16,2.91,2.92,2.88,2.91,45900,133569.0
2011-08-17,2.91,2.94,2.91,2.94,29620,87082.8
2011-08-18,2.94,2.95,2.88,2.88,46510,133948.8
2011-08-19,2.87,2.9,2.87,2.88,26500,76320.0
2011-08-22,2.88,2.9,2.87,2.9,30810,89349.0
2011-08-23,2.88,2.9,2.85,2.88,22420,64569.6
2011-08-24,2.87,2.9,2.85,2.88,20160,58060.799999999996
2011-08-25,2.88,2.9,2.85,2.87,52850,151679.5
2011-08-26,2.87,2.88,2.85,2.88,53250,153360.0
2011-08-29,2.87,2.9,2.87,2.9,24570,71253.0
2011-08-30,2.88,2.91,2.87,2.9,42810,124149.0
2011-08-31,2.87,2.91,2.87,2.91,31630,92043.3
2011-09-01,2.9,2.94,2.9,2.94,37000,108780.0
2011-09-05,2.92,2.94,2.87,2.94,30020,88258.8
2011-09-06,2.92,2.92,2.91,2.92,19500,56940.0
2011-09-07,2.92,2.94,2.9,2.94,15910,46775.4
2011-09-08,2.94,2.95,2.94,2.94,22450,66003.0
2011-09-09,2.91,2.94,2.91,2.94,15500,45570.0
2011-09-12,2.94,2.97,2.91,2.94,48820,143530.8
2011-09-13,2.95,3.05,2.95,3.05,59510,181505.5
