time,open,high,low,close,volume,amounts
2013-04-08,9.55,9.55,9.55,9.55,370500,3538275.0000000005
2013-04-09,8.89,8.89,8.89,8.89,13300,118237.00000000001
2013-04-10,8.27,8.27,8.27,8.27,17070,141168.9
2013-04-11,7.69,7.69,7.69,7.69,22910,176177.90000000002
2013-04-12,7.16,7.3,7.16,7.16,762940,5462650.4
2013-04-15,7.3,7.65,7.25,7.39,263240,1945343.5999999999
2013-04-16,7.61,7.61,7.39,7.52,22850,171832.0
2013-04-17,7.3,7.47,7.3,7.47,284820,2127605.4
2013-04-18,7.47,7.47,7.34,7.43,195130,1449815.9
2013-04-22,7.21,7.47,7.21,7.43,128400,954012.0
2013-04-23,7.47,7.56,7.43,7.56,100870,762577.2
2013-04-24,7.34,7.56,7.34,7.56,88650,670194.0
2013-04-25,7.52,7.74,7.47,7.69,150870,1160190.3
2013-04-26,7.56,7.74,7.47,7.69,67520,519228.80000000005
2013-05-02,7.69,7.69,7.61,7.69,30870,237390.30000000002
2013-05-03,7.69,7.69,7.16,7.16,34690,248380.4
2013-05-06,7.3,7.43,7.08,7.43,81340,604356.2
2013-05-07,7.34,7.39,7.21,7.21,58700,423227.0
2013-05-08,7.47,7.52,7.43,7.43,9530,70807.9
2013-05-09,7.43,7.43,7.3,7.34,16680,122431.2
2013-05-10,7.34,7.39,7.3,7.34,29210,214401.4
2013-05-13,7.52,7.78,7.52,7.78,96580,751392.4
2013-05-14,7.74,7.87,7.65,7.74,136890,1059528.6
2013-05-15,7.74,8.27,7.74,8.27,219010,1811212.7
2013-05-16,8.36,8.62,8.36,8.58,84720,726897.6
2013-05-17,8.58,8.58,8.27,8.58,129090,1107592.2
2013-05-20,8.58,9.07,8.58,8.84,152770,1350486.8
2013-05-21,8.71,9.02,8.71,8.89,81760,726846.4
2013-05-22,9.02,9.38,8.98,9.38,83330,781635.4
2013-05-23,9.38,9.73,8.84,8.84,108870,962410.7999999999
2013-05-24,8.89,9.46,8.89,9.46,106080,1003516.8
2013-05-27,9.73,9.77,9.6,9.77,108000,1055160.0
2013-05-28,9.95,9.95,9.51,9.95,73670,733016.5
2013-05-29,9.95,10.61,9.95,10.61,85700,909277.0
2013-05-30,11.19,11.32,11.14,11.32,123560,1398699.2
2013-05-31,12.07,12.07,11.5,11.76,143720,1690147.2
2013-06-03,11.1,11.76,10.97,11.01,14160,155901.6
2013-06-04,10.57,11.76,10.52,11.76,75560,888585.6
2013-06-05,11.67,11.67,10.97,10.97,47580,521952.60000000003
2013-06-06,10.26,11.06,10.22,10.22,102390,1046425.8
2013-06-07,10.39,10.88,9.77,10.83,11670,126386.1
2013-06-10,10.83,10.83,10.17,10.17,6890,70071.3
2013-06-11,10.75,10.75,10.17,10.17,2730,27764.1
2013-06-12,10.04,10.61,10.04,10.57,9890,104537.3
2013-06-13,10.61,10.7,10.48,10.57,12200,128954.0
2013-06-14,10.61,10.61,10.48,10.61,7600,80636.0
2013-06-17,10.52,10.61,10.39,10.57,5100,53907.0
2013-06-18,10.39,10.61,9.91,10.61,7030,74588.3
2013-06-19,10.61,10.61,10.61,10.61,10000,106100.0
2013-06-20,9.95,10.61,9.95,10.61,6210,65888.09999999999
2013-06-21,10.52,10.57,10.52,10.57,11010,116375.7
2013-06-24,9.95,10.52,9.95,10.52,1510,15885.199999999999
2013-06-25,10.17,10.52,9.82,9.82,52430,514862.60000000003
2013-06-26,9.82,10.39,9.82,10.39,5260,54651.4
2013-06-27,9.77,10.17,9.73,10.17,7110,72308.7
2013-06-28,9.55,10.17,9.55,10.17,120,1220.4
2013-07-01,10.08,10.08,10.08,10.08,4010,40420.8
2013-07-02,10.08,10.08,9.64,9.77,53530,522988.1
2013-07-03,10.17,10.17,9.42,9.73,49230,479007.9
2013-07-04,9.33,10.17,9.33,9.95,24280,241585.99999999997
2013-07-05,9.77,9.95,9.77,9.95,19450,193527.5
2013-07-08,10.08,10.08,9.64,9.64,12980,125127.20000000001
2013-07-09,9.95,9.95,9.95,9.95,6500,64674.99999999999
2013-07-10,9.91,9.95,9.68,9.86,16520,162887.19999999998
2013-07-11,9.86,9.86,9.73,9.73,24550,238871.5
2013-07-12,9.82,9.86,9.73,9.82,29300,287726.0
2013-07-15,9.86,9.86,9.73,9.73,42060,409243.80000000005
2013-07-16,9.73,9.73,9.68,9.73,27360,266212.8
2013-07-17,9.73,9.82,9.68,9.82,18890,185499.80000000002
2013-07-18,9.68,9.82,9.55,9.82,30820,302652.4
2013-07-19,9.82,9.86,9.82,9.86,23700,233682.0
2013-07-22,9.86,9.86,9.82,9.86,13000,128179.99999999999
2013-07-23,9.86,9.86,9.86,9.86,1200,11832.0
2013-07-24,9.73,9.77,9.64,9.64,8540,82325.6
2013-07-25,9.73,9.73,9.73,9.73,10,97.30000000000001
2013-07-26,9.73,9.73,9.73,9.73,0,0.0
2013-07-29,9.73,9.73,9.73,9.73,0,0.0
2013-07-30,9.73,9.73,9.73,9.73,450,4378.5
2013-07-31,9.51,9.73,9.51,9.73,510,4962.3
2013-08-01,9.73,9.73,9.73,9.73,0,0.0
2013-08-02,9.73,9.73,9.2,9.2,74800,688160.0
2013-08-05,9.68,9.68,9.68,9.68,10,96.8
2013-08-06,9.68,9.68,9.64,9.68,11500,111320.0
2013-08-07,9.68,9.68,9.68,9.68,10,96.8
2013-08-08,9.42,9.95,9.24,9.95,25900,257704.99999999997
2013-08-09,9.33,10.04,9.33,10.04,21320,214052.8
2013-08-12,9.51,10.04,9.51,9.99,30330,302996.7
2013-08-13,9.91,9.99,9.86,9.99,27200,271728.0
2013-08-14,9.99,10.61,9.51,10.61,35160,373047.6
2013-08-15,10.52,10.57,10.17,10.48,29100,304968.0
2013-08-16,10.39,10.52,10.17,10.52,28010,294665.2
2013-08-19,10.57,10.57,10.39,10.52,21000,220920.0
2013-08-20,10.35,10.44,10.17,10.44,32270,336898.8
2013-08-21,10.35,10.39,9.86,10.39,30340,315232.60000000003
2013-08-22,10.35,10.35,10.3,10.3,21000,216300.00000000003
2013-08-23,10.26,10.3,10.26,10.3,10010,103103.0
2013-08-26,10.13,10.13,9.95,10.13,29010,293871.30000000005
2013-08-27,10.13,10.26,9.55,10.17,23180,235740.6
2013-08-28,10.17,10.17,10.17,10.17,0,0.0
2013-08-29,10.04,10.08,10.04,10.04,20010,200900.4
2013-08-30,9.51,10.17,9.38,10.17,25960,264013.2
2013-09-03,10.04,10.39,9.95,10.22,24020,245484.40000000002
2013-09-04,10.08,10.13,9.99,10.13,25280,256086.40000000002
2013-09-05,10.13,10.13,10.13,10.13,0,0.0
2013-09-06,9.95,10.26,9.55,10.26,27560,282765.6
2013-09-09,10.17,10.22,9.55,9.95,30130,299793.5
2013-09-10,9.73,10.13,9.73,10.13,26440,267837.2
2013-09-11,9.95,10.17,9.91,10.17,28120,285980.4
2013-09-12,9.95,10.17,9.95,10.17,22040,224146.8
2013-09-13,9.46,10.08,9.46,10.08,27110,273268.8
2013-09-16,9.86,10.04,9.73,10.04,37440,375897.6
2013-09-17,10.08,10.08,9.99,10.04,37640,377905.6
2013-09-18,9.73,10.04,9.38,9.99,14090,140759.1
2013-09-19,9.33,9.33,9.33,9.33,10,93.3
2013-09-20,9.86,9.95,9.73,9.95,39000,388050.0
2013-09-23,9.91,9.91,9.6,9.6,3020,28992.0
2013-09-24,10.13,10.17,10.13,10.17,37800,384426.0
2013-09-25,9.95,9.95,9.86,9.91,39030,386787.3
2013-09-26,9.91,10.17,9.29,9.86,43850,432361.0
2013-09-27,9.95,10.04,9.2,9.86,68320,673635.2
2013-09-30,9.86,9.86,9.2,9.2,26190,240947.99999999997
2013-10-01,9.51,9.51,9.42,9.46,27520,260339.2
2013-10-02,9.38,9.42,8.84,9.29,34820,323477.8
2013-10-03,8.67,9.29,8.67,9.15,36630,335164.5
2013-10-04,9.15,9.15,8.84,9.15,6140,56181.0
2013-10-07,9.11,9.15,9.11,9.15,130,1189.5
2013-10-08,8.84,8.84,8.53,8.84,17660,156114.4
2013-10-09,8.23,8.8,8.23,8.71,6240,54350.40000000001
2013-10-10,8.14,8.18,8.14,8.14,11820,96214.8
2013-10-11,8.58,8.58,7.87,8.4,6750,56700.0
2013-10-14,7.96,7.96,7.96,7.96,7070,56277.2
2013-10-15,7.74,8.36,7.74,8.36,2130,17806.8
2013-10-16,8.36,8.36,8.27,8.27,1020,8435.4
2013-10-17,8.27,8.27,8.27,8.27,110,909.6999999999999
2013-10-18,8.18,8.23,8.18,8.23,1400,11522.0
2013-10-21,7.96,8.09,7.78,8.09,1580,12782.199999999999
2013-10-22,8.36,8.36,8.36,8.36,1500,12540.0
2013-10-23,7.96,8.18,7.96,8.18,600,4908.0
