time,open,high,low,close,volume,amounts
2021-01-28,7.16,8.16,7.16,7.16,7273800,52080408.0
2021-01-29,7.65,7.65,7.26,7.65,6203000,47452950.0
2021-02-01,8.12,8.12,7.65,7.69,6397000,49192930.0
2021-02-02,7.81,7.94,7.65,7.94,4126000,32760440.0
2021-02-03,8.04,8.35,7.96,8.35,5828400,48667140.0
2021-02-04,8.37,8.39,8.14,8.2,4028300,33032059.999999996
2021-02-05,8.24,8.35,8.14,8.14,3432700,27942178.000000004
2021-02-08,8.2,8.2,7.69,7.81,3452100,26960901.0
2021-02-09,7.83,8.16,7.77,8.16,2879100,23493456.0
2021-02-17,8.35,8.37,8.2,8.24,2533500,20876040.0
2021-02-18,8.27,8.29,8.2,8.2,2655700,21776739.999999996
2021-02-19,8.2,8.29,8.14,8.22,2430800,19981176.0
2021-02-22,8.24,8.51,8.24,8.33,5151400,42911162.0
2021-02-23,8.35,8.41,8.29,8.37,2263100,18942147.0
2021-02-24,8.39,8.39,8.08,8.16,3060000,24969600.0
2021-02-25,8.2,8.24,8.12,8.16,2291600,18699456.0
2021-02-26,8.0,8.16,7.98,8.16,2371800,19353888.0
2021-03-01,8.2,8.39,8.16,8.31,3508600,29156466.0
2021-03-02,8.37,8.37,8.2,8.24,3241400,26709136.0
2021-03-03,8.26,8.26,8.16,8.2,2344300,19223260.0
2021-03-04,8.2,8.22,8.04,8.06,2509400,20225764.0
2021-03-05,8.0,8.26,8.0,8.26,3108500,25676210.0
2021-03-08,8.35,8.39,8.29,8.37,4842400,40530887.99999999
2021-03-09,8.37,8.96,8.27,8.96,15494500,138830720.0
2021-03-10,9.17,9.48,9.13,9.43,8341400,78659402.0
2021-03-11,9.43,9.52,9.29,9.48,6384900,60528852.0
2021-03-12,9.41,9.64,9.33,9.64,7448700,71805468.0
2021-03-15,9.72,9.78,9.56,9.68,6493900,62860952.0
2021-03-16,9.66,9.66,9.45,9.64,3542700,34151628.0
2021-03-17,9.62,9.64,9.47,9.64,5211500,50238860.0
2021-03-18,9.76,9.86,9.64,9.68,4715700,45647976.0
2021-03-19,9.7,9.8,9.64,9.72,3745800,36409176.0
2021-03-22,9.76,9.91,9.72,9.84,4116600,40507344.0
2021-03-23,9.76,9.84,9.47,9.6,4736400,45469440.0
2021-03-24,9.45,9.6,9.27,9.31,3882000,36141420.0
2021-03-25,9.45,9.45,9.19,9.19,3602200,33104218.0
2021-03-26,9.17,9.25,8.78,9.19,6985600,64197664.0
2021-03-29,9.19,9.41,9.19,9.35,3597100,33632885.0
2021-03-30,9.39,9.43,9.31,9.41,3200900,30120469.0
2021-03-31,9.45,9.48,9.39,9.43,2303700,21723891.0
2021-04-01,9.43,9.58,9.43,9.56,4940400,47230224.0
2021-04-02,9.6,9.74,9.6,9.64,3447300,33231972.000000004
2021-04-05,9.72,9.76,9.54,9.6,3062000,29395200.0
2021-04-06,9.56,9.7,9.54,9.56,3630600,34708536.0
2021-04-07,9.56,9.62,9.48,9.58,2848300,27286714.0
2021-04-08,9.76,9.76,9.56,9.66,3409600,32936736.0
2021-04-09,9.68,9.72,9.62,9.64,2413600,23267104.0
2021-04-12,9.64,9.7,9.58,9.66,4041300,39038958.0
2021-04-13,9.7,10.07,9.7,9.78,9139600,89385288.0
2021-04-14,9.78,9.93,9.76,9.89,3874400,38317816.0
2021-04-15,9.95,10.01,9.72,9.72,4195500,40780260.0
2021-04-16,9.64,9.66,9.29,9.37,5066100,47469356.99999999
2021-04-19,9.37,9.48,9.29,9.48,3059800,29006904.0
2021-04-20,9.45,9.48,9.21,9.25,5138300,47529275.0
2021-04-22,9.19,9.21,8.61,8.61,3721500,32042114.999999996
2021-04-23,8.67,8.98,8.63,8.98,3546200,31844876.0
2021-04-26,8.98,8.98,8.78,8.78,1941000,17041980.0
2021-04-27,8.82,8.96,8.7,8.9,1635700,14557730.0
2021-04-28,8.9,9.27,8.86,9.11,2861500,26068265.0
2021-04-29,9.27,9.27,9.15,9.17,2112700,19373459.0
2021-05-04,8.94,9.15,8.88,9.07,2745200,24898964.0
2021-05-05,9.09,9.43,9.09,9.31,3138700,29221297.0
2021-05-06,9.33,9.39,9.21,9.23,2905700,26819611.0
2021-05-07,9.17,9.33,9.06,9.13,4145900,37852067.0
2021-05-10,9.13,9.48,9.0,9.43,5194900,48987907.0
2021-05-11,9.5,9.52,9.33,9.33,3290000,30695700.0
2021-05-12,9.31,9.41,9.27,9.41,2419400,22766554.0
2021-05-13,9.35,9.5,9.33,9.37,3822000,35812140.0
2021-05-14,9.37,9.48,9.37,9.43,3001800,28306974.0
2021-05-17,9.45,9.76,9.43,9.68,5978700,57873816.0
2021-05-18,9.72,9.74,9.5,9.58,3424600,32807668.0
2021-05-19,9.58,9.64,9.45,9.6,3057200,29349120.0
2021-05-20,9.64,10.23,9.5,10.11,11601200,117288132.0
2021-05-21,10.15,10.54,10.15,10.25,8395800,86056950.0
2021-05-24,10.28,10.32,10.17,10.23,4084100,41780343.0
2021-05-25,10.19,10.44,10.09,10.34,6739100,69682294.0
2021-05-26,10.38,10.62,10.38,10.54,8073500,85094690.0
2021-05-27,10.54,10.93,10.54,10.62,8960900,95164758.0
2021-05-28,10.73,11.05,10.6,11.01,7134000,78545340.0
2021-05-31,11.1,11.26,10.62,11.26,7093000,79867180.0
2021-06-01,11.36,11.48,11.28,11.32,4759200,53874144.0
2021-06-02,11.09,11.32,11.05,11.24,6563700,73775988.0
2021-06-03,11.32,12.02,11.32,12.02,12317900,148061158.0
2021-06-04,12.06,12.82,12.04,12.61,9274600,116952706.0
2021-06-07,12.49,12.8,11.9,12.39,9794300,121351377.0
2021-06-08,12.3,12.49,11.55,11.55,9945500,114870525.0
2021-06-09,11.51,12.14,11.32,11.96,9249700,110626412.00000001
2021-06-10,11.71,12.1,11.61,11.65,4065400,47361910.0
2021-06-11,11.79,12.45,11.61,12.31,9748200,120000342.0
2021-06-14,12.37,12.47,11.94,12.04,6209800,74765992.0
2021-06-15,12.04,12.08,11.75,11.75,4939000,58033250.0
2021-06-16,11.75,11.75,11.36,11.46,5633500,64559910.00000001
2021-06-17,11.24,11.71,11.24,11.69,3905100,45650619.0
2021-06-18,11.98,11.98,11.67,11.69,3327100,38893799.0
