time,open,high,low,close,volume,amounts
2010-12-15,4.64,4.64,4.64,4.64,178440,827961.6
2010-12-16,4.85,4.85,4.81,4.85,1016620,4930607.0
2010-12-17,4.95,4.95,4.64,4.85,173430,841135.4999999999
2010-12-20,4.83,4.85,4.67,4.67,77090,360010.3
2010-12-21,4.5,4.67,4.48,4.55,98360,447538.0
2010-12-22,4.67,4.67,4.34,4.34,147980,642233.2
2010-12-23,4.34,4.36,4.2,4.2,97920,411264.0
2010-12-24,4.2,4.27,4.13,4.2,34490,144858.0
2010-12-27,4.2,4.2,4.13,4.18,34360,143624.8
2010-12-28,4.13,4.36,4.13,4.22,127990,540117.7999999999
2010-12-29,4.22,4.25,4.11,4.11,42070,172907.7
2010-12-30,4.11,4.15,4.08,4.08,38220,155937.6
2010-12-31,4.08,4.18,4.08,4.18,29130,121763.4
2011-01-04,4.32,4.32,4.13,4.13,32750,135257.5
2011-01-05,4.13,4.25,4.08,4.08,42310,172624.80000000002
2011-01-06,4.04,4.27,4.01,4.27,181410,774620.7
2011-01-07,4.43,4.48,4.43,4.48,278070,1245753.6
2011-01-10,4.69,4.69,4.64,4.69,599100,2809779.0000000005
2011-01-11,4.69,4.69,4.5,4.53,157490,713429.7000000001
2011-01-12,4.6,4.67,4.55,4.6,192750,886649.9999999999
2011-01-13,4.6,4.64,4.55,4.6,100190,460873.99999999994
2011-01-14,4.57,4.67,4.57,4.64,108870,505156.8
2011-01-17,4.57,4.71,4.57,4.67,109210,510010.7
2011-01-18,4.64,4.69,4.62,4.64,64750,300440.0
2011-01-19,4.69,4.69,4.62,4.64,54280,251859.19999999998
2011-01-20,4.64,4.67,4.6,4.62,147930,683436.6
2011-01-21,4.64,4.67,4.62,4.64,346380,1607203.2
2011-01-24,4.6,4.62,4.57,4.6,96620,444451.99999999994
2011-01-25,4.6,4.6,4.55,4.6,43580,200467.99999999997
2011-01-26,4.53,4.6,4.53,4.6,25430,116977.99999999999
2011-01-27,4.6,4.64,4.55,4.6,35090,161414.0
2011-01-28,4.6,4.67,4.57,4.64,74040,343545.6
2011-02-08,4.64,4.71,4.62,4.67,61830,288746.1
2011-02-09,4.76,4.78,4.57,4.64,9150,42456.0
2011-02-10,4.62,4.64,4.62,4.62,36380,168075.6
2011-02-11,4.6,4.62,4.55,4.62,20570,95033.40000000001
2011-02-14,4.57,4.69,4.57,4.62,182160,841579.2000000001
2011-02-15,4.62,4.62,4.55,4.62,69710,322060.2
2011-02-16,4.62,4.62,4.5,4.53,28970,131234.1
2011-02-17,4.62,4.62,4.48,4.48,49420,221401.60000000003
2011-02-18,4.48,4.48,4.36,4.46,71460,318711.6
2011-02-21,4.43,4.43,4.25,4.25,198550,843837.5
2011-02-22,4.08,4.22,4.08,4.22,33780,142551.6
2011-02-23,4.29,4.43,4.2,4.43,37740,167188.19999999998
2011-02-24,4.43,4.43,4.22,4.43,105830,468826.89999999997
2011-02-25,4.43,4.46,4.43,4.43,11930,52849.899999999994
2011-02-28,4.34,4.53,4.25,4.41,16210,71486.1
2011-03-01,4.39,4.41,4.39,4.41,25100,110691.0
2011-03-02,4.2,4.32,4.2,4.27,46720,199494.4
2011-03-03,4.08,4.2,4.08,4.11,9460,38880.600000000006
2011-03-04,4.06,4.06,4.01,4.01,18850,75588.5
2011-03-07,4.08,4.08,4.01,4.01,84650,339446.5
2011-03-08,4.08,4.13,4.01,4.08,25660,104692.8
2011-03-09,3.92,4.08,3.92,3.92,8120,31830.399999999998
2011-03-10,3.97,4.08,3.97,4.08,31910,130192.8
2011-03-11,4.15,4.2,4.08,4.15,159800,663170.0
2011-03-14,4.2,4.2,3.99,3.99,13290,53027.100000000006
2011-03-15,4.17,4.17,3.94,3.94,44280,174463.2
2011-03-16,4.02,4.02,3.99,4.02,13770,55355.399999999994
2011-03-17,4.09,4.09,4.02,4.07,13030,53032.100000000006
2011-03-18,3.91,4.07,3.89,4.07,14800,60236.00000000001
2011-03-21,3.97,4.14,3.97,4.14,7220,29890.8
2011-03-22,4.22,4.22,4.02,4.09,11930,48793.7
2011-03-23,4.07,4.09,4.07,4.09,5090,20818.1
2011-03-24,3.99,4.07,3.91,3.99,16270,64917.3
2011-03-25,4.04,4.04,4.04,4.04,5000,20200.0
2011-03-28,4.04,4.04,4.02,4.04,20350,82214.0
2011-03-29,4.04,4.04,4.02,4.04,6270,25330.8
2011-03-30,4.02,4.04,4.02,4.04,5800,23432.0
2011-03-31,4.04,4.04,4.04,4.04,10100,40804.0
2011-04-01,4.04,4.04,4.04,4.04,1500,6060.0
2011-04-04,4.04,4.04,3.91,4.04,5400,21816.0
2011-04-05,3.91,3.91,3.91,3.91,400,1564.0
2011-04-06,3.91,4.02,3.91,4.02,2760,11095.199999999999
2011-04-07,4.02,4.07,4.02,4.07,2050,8343.5
2011-04-08,3.94,4.04,3.94,4.04,5240,21169.6
2011-04-13,3.91,3.91,3.91,3.91,5240,20488.4
2011-04-14,3.81,3.91,3.81,3.91,4480,17516.8
2011-04-15,3.79,3.94,3.79,3.81,5620,21412.2
2011-04-18,3.71,3.94,3.66,3.71,5360,19885.6
2011-04-19,3.56,3.71,3.53,3.53,13650,48184.5
2011-04-20,3.58,3.58,3.38,3.56,7920,28195.2
