time,open,high,low,close,volume,amounts
2016-11-16,9.56,9.56,9.19,9.52,862130,8207477.6
2016-11-17,9.74,10.18,9.69,10.18,873160,8888768.799999999
2016-11-18,10.89,10.89,10.82,10.86,1068000,11598480.0
2016-11-21,10.85,10.85,10.1,10.1,607680,6137568.0
2016-11-22,9.74,10.2,9.54,9.63,465470,4482476.100000001
2016-11-23,9.52,9.63,8.96,8.96,2309890,20696614.400000002
2016-11-24,8.45,8.63,8.34,8.34,913610,7619507.399999999
2016-11-25,7.92,8.19,7.77,8.19,1011670,8285577.3
2016-11-28,8.19,8.41,7.66,7.97,238470,1900605.9
2016-11-29,7.97,8.23,7.97,7.99,179150,1431408.5
2016-11-30,7.97,8.11,7.97,8.08,325960,2633756.8
2016-12-01,8.07,8.37,8.07,8.23,255910,2106139.3000000003
2016-12-02,8.23,8.32,8.17,8.19,279530,2289350.6999999997
2016-12-05,8.19,8.21,8.06,8.1,386860,3133566.0
2016-12-06,8.06,8.14,7.99,8.14,275940,2246151.6
2016-12-07,8.01,8.23,8.01,8.19,204120,1671742.7999999998
2016-12-08,8.21,8.29,8.1,8.1,83490,676269.0
2016-12-09,8.1,8.19,8.06,8.1,149510,1211031.0
2016-12-12,8.03,8.08,8.01,8.03,328030,2634080.9
2016-12-13,8.01,8.1,8.01,8.05,227040,1827672.0000000002
2016-12-14,8.06,8.45,8.05,8.33,289320,2410035.6
2016-12-15,8.39,8.39,8.19,8.3,121460,1008118.0000000001
2016-12-16,8.3,8.3,8.14,8.19,273060,2236361.4
2016-12-19,8.27,8.27,8.13,8.2,366210,3002921.9999999995
2016-12-20,8.29,8.29,8.18,8.19,178430,1461341.7
2016-12-21,8.19,8.23,8.17,8.18,127890,1046140.2
2016-12-22,8.17,8.2,8.16,8.18,214740,1756573.2
2016-12-23,8.16,8.19,8.08,8.18,185720,1519189.5999999999
2016-12-26,8.18,8.18,8.09,8.17,166100,1357037.0
2016-12-27,8.1,8.17,8.1,8.17,132930,1086038.1
2016-12-28,8.17,8.17,8.06,8.16,280890,2292062.4
2016-12-29,8.08,8.14,8.01,8.06,117820,949629.2000000001
2016-12-30,8.08,8.12,7.97,7.97,92090,733957.2999999999
2017-01-03,8.03,8.03,7.75,7.97,136180,1085354.5999999999
2017-01-04,7.97,8.14,7.86,8.12,98230,797627.6
2017-01-05,8.03,8.12,7.99,8.08,24630,199010.4
2017-01-06,7.99,8.08,7.97,8.06,44520,358831.2
2017-01-09,8.06,8.06,7.95,7.95,49080,390186.0
2017-01-10,7.92,8.01,7.86,7.92,150940,1195444.8
2017-01-11,7.92,8.06,7.92,7.99,274730,2195092.7
2017-01-12,8.01,8.05,7.97,8.05,111900,900795.0000000001
2017-01-13,7.97,8.05,7.95,8.01,160790,1287927.9
2017-01-16,8.01,8.01,7.75,7.75,91380,708195.0
2017-01-17,7.77,7.9,7.75,7.86,59720,469399.2
2017-01-18,7.97,7.97,7.75,7.77,62300,484071.0
2017-01-19,7.88,7.9,7.74,7.88,130150,1025582.0
2017-01-20,7.86,7.97,7.79,7.97,160040,1275518.8
2017-01-23,7.92,7.99,7.86,7.97,60460,481866.2
2017-01-24,7.86,7.97,7.79,7.79,23470,182831.3
2017-01-25,7.79,7.92,7.77,7.9,10780,85162.0
2017-02-02,7.88,7.99,7.88,7.97,59260,472302.2
2017-02-03,7.97,8.01,7.95,8.01,136920,1096729.2
2017-02-06,8.01,8.01,7.9,7.97,43430,346137.1
2017-02-07,7.97,7.97,7.92,7.97,107220,854543.4
2017-02-08,7.97,7.97,7.86,7.96,74850,595806.0
2017-02-09,7.9,7.92,7.84,7.9,16720,132088.0
2017-02-10,7.9,7.92,7.75,7.79,88090,686221.1
2017-02-13,7.86,7.98,7.75,7.97,186900,1489593.0
2017-02-14,7.92,7.92,7.86,7.86,9420,74041.2
2017-02-15,7.84,7.95,7.81,7.88,40470,318903.6
2017-02-16,7.81,7.88,7.8,7.8,48850,381030.0
2017-02-17,7.85,7.97,7.75,7.9,180280,1424212.0
2017-02-20,7.84,7.95,7.82,7.9,20890,165031.0
2017-02-21,7.86,8.08,7.77,8.02,233940,1876198.7999999998
2017-02-22,8.08,8.08,7.84,7.97,157790,1257586.3
2017-02-23,7.88,7.99,7.88,7.92,116850,925452.0
2017-02-24,7.92,7.92,7.84,7.86,104280,819640.8
2017-02-27,7.84,7.86,7.8,7.84,103270,809636.7999999999
2017-02-28,7.84,8.19,7.84,8.14,315860,2571100.4000000004
2017-03-01,8.06,8.63,8.06,8.41,406210,3416226.1
2017-03-02,8.5,8.52,8.3,8.32,192790,1604012.8
2017-03-03,8.32,8.34,8.23,8.32,156670,1303494.4000000001
2017-03-06,8.28,8.61,8.23,8.37,349680,2926821.5999999996
2017-03-07,8.37,8.81,8.37,8.74,476330,4163124.2
2017-03-08,8.74,9.05,8.7,8.73,260880,2277482.4
2017-03-09,8.74,8.76,8.54,8.73,102190,892118.7000000001
2017-03-10,8.73,8.73,8.57,8.57,177600,1522032.0
2017-03-13,8.5,8.7,8.5,8.68,170050,1476034.0
2017-03-14,8.57,8.68,8.57,8.63,202310,1745935.3
2017-03-15,8.68,8.81,8.61,8.74,429050,3749897.0
2017-03-16,8.76,9.19,8.74,9.16,729720,6684235.2
2017-03-17,9.19,9.35,9.09,9.16,706310,6469799.600000001
2017-03-20,9.03,9.19,9.03,9.19,274500,2522655.0
2017-03-21,9.19,9.36,9.07,9.22,639220,5893608.4
2017-03-22,9.3,9.32,8.96,8.96,310870,2785395.2
2017-03-23,8.96,9.25,8.94,8.99,290880,2615011.2
2017-03-24,8.9,8.99,8.63,8.74,269730,2357440.2
2017-03-27,8.74,8.74,8.63,8.65,216720,1874628.0
2017-03-28,8.65,8.96,8.65,8.83,209750,1852092.5
2017-03-29,8.85,8.85,8.63,8.68,234780,2037890.4
2017-03-30,8.63,8.81,8.63,8.81,141270,1244588.7000000002
2017-03-31,8.81,8.81,8.45,8.48,327900,2780592.0
