time,open,high,low,close,volume,amounts
2010-01-04,7.46,7.65,7.46,7.65,144370,1104430.5
2010-01-05,8.0,8.02,7.65,7.65,122260,935289.0
2010-01-06,7.65,7.72,7.46,7.65,202590,1549813.5
2010-01-07,7.65,7.74,7.56,7.57,83610,632927.7000000001
2010-01-08,7.74,7.74,7.28,7.28,128200,933296.0
2010-01-11,7.28,7.43,7.15,7.43,56780,421875.39999999997
2010-01-12,7.28,7.46,7.09,7.28,75660,550804.8
2010-01-13,7.13,7.37,7.03,7.15,141410,1011081.5
2010-01-14,7.28,7.29,7.15,7.26,154620,1122541.2
2010-01-15,7.15,7.46,7.15,7.28,102360,745180.8
2010-01-18,7.2,7.2,7.09,7.18,63360,454924.8
2010-01-19,7.37,7.37,7.13,7.28,191550,1394484.0
2010-01-20,7.2,7.28,7.15,7.16,59490,425948.4
2010-01-21,7.16,7.16,6.9,7.0,77260,540820.0
2010-01-22,6.72,6.9,6.72,6.73,63920,430181.60000000003
2010-01-25,6.81,6.9,6.75,6.81,26550,180805.5
2010-01-26,7.03,7.13,6.98,7.09,111310,789187.9
2010-01-27,7.09,7.09,6.87,7.0,68230,477610.0
2010-01-28,6.77,6.81,6.77,6.81,37700,256736.99999999997
2010-01-29,6.81,6.9,6.72,6.81,38730,263751.3
2010-02-01,6.75,6.79,6.75,6.79,31520,214020.8
2010-02-02,6.79,6.9,6.68,6.68,71430,477152.39999999997
2010-02-03,6.68,6.88,6.68,6.88,33540,230755.19999999998
2010-02-04,7.03,7.03,6.87,7.03,28520,200495.6
2010-02-05,6.83,7.0,6.81,6.81,30030,204504.3
2010-02-08,6.64,6.88,6.64,6.87,12960,89035.2
2010-02-09,6.87,6.87,6.7,6.72,42550,285936.0
2010-02-10,6.98,6.98,6.73,6.98,25140,175477.2
2010-02-11,7.05,7.05,6.87,7.0,19130,133910.0
2010-02-12,7.09,7.11,7.0,7.05,26550,187177.5
2010-02-22,7.09,7.15,7.05,7.11,15160,107787.6
2010-02-23,7.0,7.07,6.87,6.87,34220,235091.4
