time,open,high,low,close,volume,amounts
2010-01-04,5.42,5.56,5.33,5.51,114520,631005.2
2010-01-05,5.78,5.78,5.69,5.78,498720,2882601.6
2010-01-06,5.65,5.96,5.65,5.83,112030,653134.9
2010-01-07,5.69,5.83,5.69,5.69,84210,479154.9
2010-01-08,5.74,5.74,5.42,5.42,216560,1173755.2
2010-01-11,5.56,5.56,5.38,5.42,141830,768718.6
2010-01-12,5.38,5.47,5.19,5.19,187220,971671.8
2010-01-13,5.29,5.33,5.06,5.19,144410,749487.9
2010-01-14,5.38,5.38,5.29,5.29,82900,438541.0
2010-01-15,5.33,5.33,5.19,5.24,45490,238367.6
2010-01-18,5.24,5.24,5.06,5.06,53650,271469.0
2010-01-19,5.19,5.29,5.06,5.29,131950,698015.5
2010-01-20,5.29,5.29,5.15,5.15,31180,160577.0
2010-01-21,5.1,5.24,4.97,4.97,98870,491383.89999999997
2010-01-22,5.06,5.1,4.83,4.92,99740,490720.8
2010-01-25,5.1,5.1,4.92,5.1,62040,316404.0
2010-01-26,5.15,5.29,5.15,5.29,58340,308618.6
2010-01-27,5.19,5.19,5.1,5.1,50960,259895.99999999997
2010-01-28,5.06,5.1,5.01,5.01,29870,149648.69999999998
2010-01-29,4.92,5.1,4.92,4.97,51740,257147.8
2010-02-01,5.01,5.01,4.92,4.92,56220,276602.4
2010-02-02,5.01,5.01,4.97,4.97,40850,203024.5
2010-02-03,5.06,5.15,5.01,5.15,34150,175872.5
2010-02-04,5.1,5.19,5.1,5.15,43580,224437.00000000003
2010-02-05,5.01,5.06,4.97,5.01,78500,393285.0
2010-02-08,4.97,5.1,4.97,5.06,27330,138289.8
2010-02-09,5.06,5.06,4.97,4.97,50380,250388.59999999998
2010-02-10,5.06,5.1,5.01,5.06,11170,56520.2
2010-02-11,4.97,5.1,4.97,5.1,18210,92871.0
2010-02-12,5.19,5.19,5.15,5.15,17850,91927.5
2010-02-22,5.15,5.19,5.15,5.15,21940,112991.00000000001
2010-02-23,5.1,5.1,4.97,4.97,36860,183194.19999999998
2010-02-24,4.88,4.97,4.83,4.83,78440,378865.2
2010-02-25,4.83,4.92,4.83,4.88,46560,227212.8
2010-02-26,4.88,4.92,4.79,4.79,76240,365189.6
2010-03-01,4.79,4.97,4.79,4.97,50000,248500.0
2010-03-02,5.01,5.01,4.88,4.88,33140,161723.19999999998
2010-03-03,4.88,4.92,4.88,4.92,41050,201966.0
2010-03-04,4.92,5.1,4.92,4.92,122200,601224.0
2010-03-05,4.97,4.97,4.92,4.97,73590,365742.3
2010-03-08,5.01,5.06,4.97,5.01,68060,340980.6
2010-03-09,5.06,5.15,5.01,5.15,183740,946261.0000000001
2010-03-10,5.1,5.15,5.06,5.1,55930,285243.0
2010-03-11,5.1,5.1,5.06,5.06,53730,271873.8
2010-03-12,5.1,5.15,5.06,5.15,123540,636231.0
2010-03-15,5.24,5.24,5.15,5.15,89890,462933.50000000006
2010-03-16,5.15,5.15,4.97,5.06,64200,324852.0
2010-03-17,5.06,5.06,4.92,4.92,85800,422136.0
2010-03-18,4.92,5.01,4.92,4.97,59700,296709.0
2010-03-19,5.01,5.01,4.88,4.88,161150,786412.0
2010-03-22,5.1,5.1,5.1,5.1,103830,529533.0
2010-03-23,5.24,5.33,5.15,5.33,623330,3322348.9
2010-03-24,5.38,5.38,5.15,5.24,184340,965941.6000000001
2010-03-25,5.19,5.24,5.06,5.19,117710,610914.9
2010-03-26,5.1,5.19,5.01,5.19,173340,899634.6000000001
2010-03-29,5.15,5.29,5.1,5.24,254430,1333213.2
2010-03-30,5.15,5.29,5.15,5.19,163560,848876.4
2010-03-31,5.19,5.29,5.15,5.24,124280,651227.2000000001
2010-04-01,5.24,5.33,5.19,5.29,95420,504771.8
2010-04-02,5.33,5.33,5.24,5.29,91810,485674.9
2010-04-05,5.33,5.51,5.29,5.51,329860,1817528.5999999999
2010-04-06,5.69,5.78,5.6,5.6,463200,2593920.0
2010-04-07,5.6,5.69,5.51,5.65,187120,1057228.0
2010-04-08,5.65,5.69,5.47,5.47,128320,701910.4
2010-04-09,5.51,5.51,5.47,5.51,109390,602738.9
2010-04-12,5.51,5.6,5.47,5.51,256740,1414637.4
2010-04-13,5.51,5.56,5.51,5.51,65530,361070.3
2010-04-14,5.51,5.51,5.47,5.47,72670,397504.89999999997
2010-04-15,5.47,5.56,5.47,5.56,73450,408382.0
2010-04-16,5.56,5.56,5.47,5.47,70510,385689.69999999995
2010-04-19,5.42,5.47,5.38,5.38,111930,602183.4
2010-04-20,5.38,5.42,5.33,5.33,68980,367663.4
2010-04-21,5.42,5.56,5.42,5.56,264130,1468562.7999999998
2010-04-22,5.83,5.83,5.6,5.6,195570,1095192.0
2010-04-26,5.56,5.6,5.46,5.6,131480,736288.0
2010-04-27,5.6,5.6,5.51,5.56,62710,348667.6
2010-04-28,5.51,5.56,5.46,5.51,64250,354017.5
2010-04-29,5.51,5.56,5.46,5.51,48270,265967.7
2010-05-04,5.51,5.56,5.51,5.56,42660,237189.59999999998
2010-05-05,5.51,5.51,5.46,5.46,161520,881899.2
2010-05-06,5.46,5.69,5.46,5.6,221790,1242024.0
2010-05-07,5.51,5.6,5.46,5.46,153640,838874.4
2010-05-10,5.42,5.46,5.37,5.42,77280,418857.6
2010-05-11,5.42,5.46,5.37,5.46,103840,566966.4
2010-05-12,5.37,5.37,5.33,5.37,116500,625605.0
2010-05-13,5.33,5.46,5.33,5.37,110730,594620.1
2010-05-14,5.46,5.46,5.33,5.33,50660,270017.8
2010-05-17,5.33,5.33,5.24,5.24,52790,276619.60000000003
2010-05-18,5.19,5.24,5.19,5.24,49410,258908.40000000002
2010-05-19,5.15,5.19,5.05,5.05,84280,425614.0
2010-05-20,5.01,5.28,5.01,5.28,51460,271708.8
2010-05-21,5.05,5.19,5.05,5.05,248310,1253965.5
2010-05-24,5.15,5.15,5.01,5.15,25110,129316.50000000001
2010-05-25,5.15,5.24,5.15,5.15,77980,401597.0
2010-05-26,5.19,5.24,5.15,5.19,150280,779953.2000000001
2010-05-27,5.05,5.28,5.05,5.28,124320,656409.6
2010-05-28,5.37,5.42,5.33,5.37,116680,626571.6
2010-05-31,5.42,5.42,5.28,5.28,9900,52272.0
2010-06-01,5.19,5.33,5.19,5.33,21150,112729.5
2010-06-02,5.28,5.28,5.24,5.24,33830,177269.2
2010-06-03,5.24,5.28,5.24,5.24,142680,747643.2000000001
2010-06-04,5.37,5.46,5.37,5.37,349190,1875150.3
2010-06-07,5.37,5.37,5.28,5.33,30300,161499.0
2010-06-08,5.24,5.37,5.24,5.33,35560,189534.8
2010-06-09,5.37,5.42,5.33,5.37,63070,338685.9
2010-06-10,5.37,5.37,5.33,5.37,251470,1350393.9000000001
2010-06-11,5.42,5.42,5.37,5.37,181460,974440.2000000001
2010-06-14,5.37,5.37,5.28,5.28,57720,304761.60000000003
2010-06-15,5.33,5.37,5.28,5.37,72430,388949.10000000003
2010-06-16,5.37,5.42,5.33,5.37,221590,1189938.3
2010-06-17,5.33,5.37,5.33,5.37,138390,743154.3
2010-06-18,5.37,5.42,5.37,5.37,134640,723016.8
2010-06-21,5.33,5.37,5.33,5.37,143830,772367.1
2010-06-22,5.37,5.37,5.33,5.37,203240,1091398.8
2010-06-23,5.26,5.53,5.26,5.45,104180,567781.0
2010-06-24,5.46,5.46,5.26,5.26,89740,472032.39999999997
2010-06-25,5.23,5.33,5.19,5.19,74000,384060.0
2010-06-28,5.19,5.4,5.16,5.4,87200,470880.00000000006
2010-06-29,5.46,5.46,5.33,5.46,173630,948019.8
2010-06-30,5.27,5.3,5.22,5.22,101720,530978.4
2010-07-01,5.2,5.26,5.19,5.25,177140,929985.0
2010-07-02,5.31,5.4,5.2,5.4,202530,1093662.0
2010-07-05,5.33,5.44,5.31,5.44,107250,583440.0
2010-07-06,5.37,5.38,5.31,5.38,41050,220849.0
2010-07-07,5.33,5.33,5.2,5.2,64290,334308.0
2010-07-08,5.31,5.31,5.16,5.16,81210,419043.60000000003
2010-07-09,5.3,5.3,5.22,5.23,47760,249784.80000000002
2010-07-12,5.25,5.25,5.19,5.25,77390,406297.5
2010-07-13,5.26,5.31,5.25,5.31,93900,498608.99999999994
2010-07-14,5.3,5.33,5.26,5.26,27180,142966.8
2010-07-15,5.26,5.3,5.26,5.26,57360,301713.6
2010-07-16,5.3,5.3,5.26,5.3,79350,420555.0
2010-07-19,5.3,5.3,5.29,5.3,35820,189846.0
2010-07-20,5.25,5.26,5.22,5.22,34970,182543.4
2010-07-21,5.2,5.25,5.19,5.19,18610,96585.90000000001
2010-07-22,5.19,5.19,5.14,5.14,26430,135850.19999999998
2010-07-23,5.14,5.19,5.11,5.12,30650,156928.0
2010-07-26,5.1,5.12,5.1,5.1,17300,88230.0
2010-07-27,5.1,5.12,4.99,4.99,23580,117664.20000000001
2010-07-28,5.05,5.05,4.92,4.92,10760,52939.2
