time,open,high,low,close,volume,amounts
2018-03-06,16.69,17.46,16.03,16.98,14922100,253377258.0
2018-03-07,17.36,17.36,15.74,16.03,7174392,115005503.76
2018-03-08,16.41,16.69,15.93,16.41,6824944,111997331.04
2018-03-09,16.31,16.79,16.31,16.69,5309486,88615321.34
2018-03-12,16.88,16.88,16.41,16.5,4343745,71671792.5
2018-03-13,16.5,16.6,16.31,16.41,4454169,73092913.29
2018-03-14,16.41,16.5,16.12,16.22,4455422,72266944.83999999
2018-03-15,16.31,16.31,15.83,15.93,3704865,59018499.449999996
2018-03-16,15.93,16.41,15.93,16.31,3923430,63991143.3
2018-03-19,16.41,16.5,16.03,16.22,2652660,43026145.199999996
2018-03-20,16.22,16.22,15.93,15.93,2469883,39345236.19
2018-03-21,16.22,16.22,15.93,15.93,1929052,30729798.36
2018-03-22,16.03,16.03,15.26,15.55,3131060,48687983.0
2018-03-23,15.26,15.45,14.88,15.36,3356387,51554104.32
2018-03-26,15.26,15.26,14.88,14.98,1932826,28953733.48
2018-03-27,14.98,15.07,14.88,14.88,1055477,15705497.760000002
2018-03-28,14.88,14.98,14.79,14.88,1694196,25209636.48
2018-03-29,14.98,15.83,14.88,15.45,2103906,32505347.7
2018-03-30,15.55,15.93,15.45,15.83,2354364,37269582.12
2018-04-02,15.83,16.03,15.64,15.83,2577643,40804088.69
2018-04-03,15.83,15.83,15.26,15.45,2257070,34871731.5
2018-04-04,15.74,16.12,15.45,15.64,2402101,37568859.64
2018-04-05,15.74,15.83,15.36,15.45,1725227,26654757.15
2018-04-06,15.45,15.55,15.17,15.36,1731257,26592107.52
2018-04-09,15.36,15.36,14.98,15.26,1733995,26460763.7
2018-04-10,15.17,15.36,14.98,15.17,1485078,22528633.26
2018-04-11,15.17,15.26,14.59,14.88,2053300,30553104.0
2018-04-12,14.88,14.98,14.79,14.98,977010,14635609.8
2018-04-13,14.88,14.98,14.59,14.88,1503780,22376246.400000002
2018-04-16,14.98,15.17,14.59,14.79,1698800,25125252.0
2018-04-17,14.79,14.88,14.59,14.88,742496,11048340.48
2018-04-18,14.88,14.88,14.31,14.4,1683810,24246864.0
2018-04-19,14.5,14.5,13.83,13.93,2236680,31156952.4
2018-04-20,13.83,14.02,13.55,13.93,1461117,20353359.81
2018-04-23,14.02,14.12,12.78,13.55,859630,11647986.5
2018-04-24,13.55,13.64,13.07,13.16,1109190,14596940.4
2018-04-26,13.74,13.83,12.88,12.97,2116175,27446789.75
2018-04-27,13.16,13.16,12.78,12.97,1100812,14277531.64
2018-05-02,12.97,13.55,12.78,12.88,1171176,15084746.88
