time,open,high,low,close,volume,amounts
2010-01-04,4.43,4.62,4.43,4.62,904220,4177496.4
2010-01-05,4.83,4.83,4.76,4.83,2064790,9972935.7
2010-01-06,4.69,4.97,4.69,4.97,2577450,12809926.5
2010-01-07,4.97,4.99,4.76,4.76,728750,3468850.0
2010-01-08,4.9,4.97,4.76,4.76,958470,4562317.2
2010-01-11,4.78,4.88,4.71,4.78,834630,3989531.4000000004
2010-01-12,4.85,4.99,4.78,4.78,1764530,8434453.4
2010-01-13,4.78,4.9,4.57,4.81,832960,4006537.5999999996
2010-01-14,4.9,4.9,4.81,4.81,321680,1547280.7999999998
2010-01-15,4.81,4.81,4.67,4.67,729430,3406438.1
2010-01-18,4.55,4.57,4.43,4.43,1568830,6949916.899999999
2010-01-19,4.39,4.48,4.39,4.41,823570,3631943.7
2010-01-20,4.39,4.43,4.36,4.36,382170,1666261.2000000002
2010-01-21,4.32,4.41,4.32,4.32,814500,3518640.0
2010-01-22,4.27,4.34,4.22,4.29,275850,1183396.5
2010-01-25,4.29,4.34,4.27,4.32,262490,1133956.8
2010-01-26,4.43,4.53,4.43,4.53,711230,3221871.9000000004
2010-01-27,4.53,4.55,4.36,4.36,491610,2143419.6
2010-01-28,4.53,4.53,4.34,4.34,428370,1859125.8
2010-01-29,4.39,4.41,4.34,4.36,322970,1408149.2000000002
2010-02-01,4.51,4.56,4.49,4.56,437210,1993677.5999999999
2010-02-02,4.59,4.59,4.51,4.51,455070,2052365.7
2010-02-03,4.59,4.66,4.56,4.66,608630,2836215.8000000003
2010-02-04,4.66,4.71,4.61,4.66,390410,1819310.6
2010-02-05,4.56,4.61,4.51,4.51,423470,1909849.7
2010-02-08,4.51,4.54,4.46,4.49,304910,1369045.9000000001
2010-02-09,4.44,4.46,4.36,4.39,469700,2061982.9999999998
2010-02-10,4.49,4.49,4.41,4.44,221590,983859.6000000001
2010-02-11,4.49,4.49,4.41,4.49,294690,1323158.1
2010-02-12,4.51,4.56,4.51,4.54,214520,973920.8
2010-02-22,4.69,4.69,4.61,4.61,287760,1326573.6
2010-02-23,4.59,4.59,4.44,4.44,482130,2140657.2
2010-02-24,4.36,4.41,4.31,4.34,896540,3890983.6
2010-02-25,4.49,4.49,4.29,4.29,808340,3467778.6
2010-02-26,4.29,4.49,4.26,4.49,2134870,9585566.3
2010-03-01,4.59,4.59,4.44,4.44,928470,4122406.8000000003
2010-03-02,4.44,4.46,4.39,4.39,446880,1961803.2
2010-03-03,4.44,4.44,4.36,4.44,523120,2322652.8000000003
2010-03-04,4.46,4.49,4.39,4.39,906370,3978964.3
2010-03-05,4.39,4.44,4.36,4.41,675060,2977014.6
2010-03-08,4.44,4.49,4.41,4.49,961000,4314890.0
2010-03-09,4.49,4.54,4.49,4.49,546370,2453201.3000000003
2010-03-10,4.49,4.49,4.41,4.41,534360,2356527.6
2010-03-11,4.44,4.46,4.39,4.39,467130,2050700.7
2010-03-12,4.46,4.46,4.39,4.41,257410,1135178.1
2010-03-15,4.44,4.46,4.39,4.39,541340,2376482.5999999996
2010-03-16,4.36,4.39,4.29,4.31,617270,2660433.6999999997
2010-03-17,4.31,4.34,4.24,4.26,399860,1703403.5999999999
2010-03-18,4.34,4.34,4.26,4.29,470910,2020203.9
2010-03-19,4.29,4.31,4.24,4.24,393300,1667592.0
2010-03-22,4.26,4.26,4.19,4.21,349570,1471689.7
2010-03-23,4.24,4.24,4.19,4.21,303070,1275924.7
2010-03-24,4.26,4.29,4.21,4.24,293720,1245372.8
2010-03-25,4.26,4.26,4.14,4.16,306020,1273043.2
2010-03-26,4.16,4.21,4.11,4.11,585580,2406733.8000000003
2010-03-29,4.14,4.21,4.14,4.14,241890,1001424.6
2010-03-30,4.14,4.16,4.06,4.06,447760,1817905.5999999999
2010-03-31,4.09,4.14,4.06,4.06,338830,1375649.7999999998
2010-04-01,4.11,4.26,4.09,4.26,853070,3634078.1999999997
2010-04-02,4.29,4.34,4.24,4.26,718170,3059404.1999999997
2010-04-05,4.31,4.34,4.29,4.31,362400,1561943.9999999998
2010-04-06,4.31,4.36,4.24,4.24,557060,2361934.4
2010-04-07,4.24,4.26,4.21,4.26,300500,1280130.0
2010-04-08,4.24,4.26,4.19,4.19,571510,2394626.9000000004
2010-04-09,4.24,4.39,4.21,4.36,1530210,6671715.600000001
2010-04-12,4.44,4.44,4.36,4.36,986850,4302666.0
2010-04-13,4.41,4.49,4.39,4.39,1669840,7330597.6
2010-04-14,4.39,4.41,4.34,4.41,513350,2263873.5
2010-04-15,4.44,4.44,4.36,4.41,647250,2854372.5
2010-04-16,4.41,4.44,4.34,4.34,464150,2014411.0
2010-04-19,4.31,4.36,4.24,4.24,553010,2344762.4
2010-04-20,4.29,4.31,4.26,4.31,424700,1830456.9999999998
2010-04-21,4.34,4.34,4.26,4.31,235820,1016384.2
2010-04-22,4.31,4.41,4.31,4.34,659870,2863835.8
2010-04-26,4.54,4.54,4.49,4.54,2676590,12151718.6
2010-04-27,4.56,4.71,4.49,4.66,1755290,8179651.4
2010-04-28,4.74,4.89,4.74,4.89,1671840,8175297.6
2010-04-29,5.04,5.11,4.99,5.01,1981850,9929068.5
2010-05-04,5.18,5.18,4.96,4.96,981200,4866752.0
2010-05-05,4.81,4.86,4.74,4.74,1998640,9473553.6
2010-05-06,4.76,4.84,4.74,4.81,913380,4393357.8
2010-05-07,4.66,4.74,4.59,4.66,1313620,6121469.2
2010-05-10,4.64,4.64,4.46,4.46,723700,3227702.0
2010-05-11,4.59,4.66,4.46,4.66,665420,3100857.2
2010-05-12,4.54,4.61,4.49,4.49,534360,2399276.4
2010-05-13,4.49,4.56,4.46,4.46,569530,2540103.8
2010-05-14,4.51,4.51,4.41,4.44,330710,1468352.4000000001
2010-05-17,4.44,4.44,4.26,4.26,532330,2267725.8
2010-05-18,4.24,4.31,4.19,4.24,684460,2902110.4000000004
2010-05-19,4.16,4.21,4.04,4.06,887750,3604264.9999999995
2010-05-20,4.04,4.16,4.01,4.16,684190,2846230.4
2010-05-21,3.99,4.11,3.96,3.96,898240,3557030.4
2010-05-24,4.06,4.09,3.96,4.04,430690,1739987.6
2010-05-25,4.04,4.09,4.01,4.06,610760,2479685.5999999996
2010-05-26,4.11,4.14,4.09,4.11,548210,2253143.1
