time,open,high,low,close,volume,amounts
2011-07-22,1.24,1.24,1.24,1.24,44620,55328.8
2011-07-25,1.18,1.18,1.18,1.18,5050,5959.0
2011-07-26,1.12,1.12,1.12,1.12,94030,105313.6
2011-07-27,1.07,1.12,1.07,1.12,119560,133907.2
2011-07-28,1.12,1.16,1.12,1.14,51380,58573.2
2011-07-29,1.12,1.14,1.11,1.14,7500,8550.0
2011-08-01,1.13,1.13,1.08,1.08,79830,86216.40000000001
2011-08-02,1.05,1.05,1.03,1.03,55710,57381.3
2011-08-03,1.08,1.08,1.08,1.08,410,442.8
2011-08-04,1.12,1.12,1.08,1.12,9540,10684.800000000001
2011-08-05,1.1,1.16,1.1,1.13,7880,8904.4
2011-08-08,1.08,1.12,1.08,1.08,38540,41623.200000000004
2011-08-09,1.05,1.1,1.05,1.1,4030,4433.0
2011-08-10,1.05,1.1,1.05,1.1,5430,5973.000000000001
2011-08-11,1.1,1.1,1.1,1.1,14370,15807.000000000002
2011-08-12,1.15,1.15,1.1,1.12,160,179.20000000000002
2011-08-15,1.12,1.15,1.1,1.15,16010,18411.5
2011-08-16,1.15,1.15,1.09,1.09,1760,1918.4
2011-08-17,1.12,1.13,1.09,1.13,6030,6813.9
2011-08-18,1.13,1.15,1.11,1.15,1620,1862.9999999999998
2011-08-19,1.15,1.15,1.12,1.12,14960,16755.2
2011-08-22,1.17,1.17,1.1,1.14,10330,11776.199999999999
2011-08-23,1.12,1.12,1.12,1.12,4050,4536.0
2011-08-24,1.18,1.18,1.1,1.12,10010,11211.2
2011-08-25,1.12,1.14,1.12,1.14,3070,3499.7999999999997
2011-08-26,1.12,1.12,1.11,1.12,9670,10830.400000000001
2011-08-29,1.14,1.14,1.12,1.12,40,44.800000000000004
2011-08-30,1.12,1.12,1.12,1.12,760,851.2
2011-08-31,1.12,1.12,1.08,1.08,5860,6328.8
2011-09-01,1.14,1.14,1.04,1.05,2730,2866.5
2011-09-05,1.08,1.08,1.05,1.08,2530,2732.4
2011-09-06,1.12,1.12,1.03,1.11,2880,3196.8
2011-09-07,1.08,1.1,1.08,1.1,2020,2222.0
2011-09-08,1.08,1.09,1.08,1.08,10320,11145.6
2011-09-09,1.09,1.14,1.09,1.14,24630,28078.199999999997
2011-09-12,1.15,1.15,1.15,1.15,5400,6209.999999999999
2011-09-13,1.16,1.19,1.16,1.19,26080,31035.199999999997
2011-09-14,1.22,1.24,1.21,1.22,10750,13115.0
2011-09-15,1.19,1.19,1.16,1.16,12020,13943.199999999999
2011-09-16,1.16,1.16,1.12,1.12,7500,8400.0
2011-09-19,1.16,1.17,1.09,1.17,9310,10892.699999999999
2011-09-20,1.12,1.16,1.12,1.16,20,23.2
2011-09-21,1.12,1.12,1.12,1.12,6960,7795.200000000001
2011-09-22,1.15,1.15,1.14,1.14,70,79.8
2011-09-23,1.14,1.16,1.14,1.15,3960,4554.0
2011-09-26,1.12,1.16,1.12,1.16,5500,6380.0
2011-09-27,1.12,1.12,1.12,1.12,10,11.200000000000001
2011-09-28,1.12,1.15,1.12,1.12,10500,11760.000000000002
2011-09-29,1.13,1.13,1.12,1.12,15000,16800.0
2011-09-30,1.1,1.12,1.1,1.12,3300,3696.0000000000005
2011-10-03,1.12,1.12,1.12,1.12,200,224.00000000000003
2011-10-04,1.1,1.12,1.1,1.12,1670,1870.4
2011-10-05,1.15,1.15,1.12,1.12,960,1075.2
2011-10-06,1.12,1.13,1.12,1.13,14790,16712.699999999997
2011-10-07,1.13,1.13,1.12,1.12,8740,9788.800000000001
2011-10-10,1.11,1.11,1.11,1.11,20,22.200000000000003
2011-10-11,1.11,1.11,1.11,1.11,10000,11100.000000000002
2011-10-12,1.12,1.15,1.11,1.11,57010,63281.100000000006
2011-10-13,1.12,1.12,1.12,1.12,4000,4480.0
2011-10-14,1.12,1.12,1.12,1.12,13000,14560.000000000002
2011-10-17,1.12,1.12,1.12,1.12,52820,59158.40000000001
2011-10-18,1.12,1.12,1.12,1.12,11300,12656.000000000002
2011-10-19,1.12,1.12,1.12,1.12,0,0.0
2011-10-20,1.12,1.12,1.12,1.12,8480,9497.6
2011-10-21,1.12,1.13,1.12,1.12,13590,15220.800000000001
2011-10-24,1.12,1.13,1.12,1.13,21000,23729.999999999996
2011-10-25,1.12,1.12,1.09,1.09,6630,7226.700000000001
2011-10-26,1.11,1.11,1.04,1.04,1110,1154.4
2011-10-27,1.01,1.08,1.01,1.08,3020,3261.6000000000004
2011-10-28,1.05,1.12,1.05,1.1,1030,1133.0
2011-10-31,1.12,1.12,1.11,1.11,5500,6105.000000000001
2011-11-01,1.11,1.11,1.11,1.11,6000,6660.000000000001
2011-11-02,1.11,1.11,1.11,1.11,0,0.0
2011-11-03,1.09,1.1,1.09,1.1,6010,6611.000000000001
2011-11-04,1.1,1.1,1.08,1.08,6020,6501.6
2011-11-07,1.08,1.08,1.08,1.08,1000,1080.0
2011-11-08,1.08,1.08,1.08,1.08,0,0.0
2011-11-09,1.05,1.08,1.05,1.08,1030,1112.4
2011-11-10,1.07,1.08,1.07,1.08,1160,1252.8000000000002
2011-11-11,1.08,1.08,1.08,1.08,0,0.0
2011-11-14,1.08,1.08,1.08,1.08,200,216.0
2011-11-15,1.08,1.08,1.08,1.08,0,0.0
2011-11-16,1.07,1.08,1.07,1.08,1430,1544.4
2011-11-17,1.07,1.07,1.07,1.07,2000,2140.0
2011-11-18,1.07,1.07,1.05,1.07,2120,2268.4
2011-11-21,1.04,1.04,1.04,1.04,390,405.6
2011-11-22,1.05,1.05,1.05,1.05,10000,10500.0
2011-11-23,1.05,1.05,1.05,1.05,19000,19950.0
2011-11-24,1.05,1.05,1.05,1.05,3000,3150.0
2011-11-25,1.05,1.05,1.05,1.05,10,10.5
2011-11-28,1.05,1.05,1.05,1.05,10,10.5
2011-11-29,1.05,1.05,1.05,1.05,0,0.0
