time,open,high,low,close,volume,amounts
2010-01-04,25.73,26.87,25.73,26.87,617810,16600554.700000001
2010-01-05,28.2,28.2,25.92,26.68,422770,11279503.6
2010-01-06,26.49,26.87,25.92,26.3,235780,6201014.0
2010-01-07,26.49,26.49,25.92,26.3,226570,5958791.0
2010-01-08,26.49,26.68,25.92,25.92,364810,9455875.200000001
2010-01-11,25.92,26.11,25.15,25.34,124180,3146721.2
2010-01-12,24.96,25.53,24.58,24.58,218830,5378841.399999999
2010-01-13,24.58,24.96,24.01,24.77,215090,5327779.3
2010-01-14,24.96,25.15,24.77,24.77,76820,1902831.4
2010-01-15,24.77,24.77,24.2,24.2,155100,3753420.0
2010-01-18,24.2,24.2,23.06,23.06,194500,4485170.0
2010-01-19,24.01,24.2,23.82,24.2,190540,4611068.0
2010-01-20,23.44,24.2,23.06,23.06,255340,5888140.399999999
2010-01-21,22.87,23.44,22.87,22.87,215190,4921395.3
2010-01-22,22.87,23.25,22.3,22.49,200130,4500923.699999999
2010-01-25,22.49,22.87,22.49,22.49,209700,4716153.0
2010-01-26,22.87,23.25,22.87,23.06,412170,9504640.2
2010-01-27,22.87,22.87,22.1,22.1,293710,6490991.0
2010-01-28,22.1,22.49,21.91,21.91,189310,4147782.1
2010-01-29,21.91,22.49,21.91,22.1,166940,3689374.0000000005
2010-02-01,22.1,22.3,21.91,22.3,84880,1892824.0
2010-02-02,22.49,22.49,22.1,22.3,92600,2064980.0
2010-02-03,22.49,22.68,22.3,22.49,200910,4518465.899999999
2010-02-04,22.49,22.87,22.49,22.68,372570,8449887.6
2010-02-05,22.3,22.68,22.1,22.1,180450,3987945.0000000005
2010-02-08,21.72,22.1,21.53,21.53,105880,2279596.4
2010-02-09,20.96,21.72,20.77,20.77,232940,4838163.8
2010-02-10,21.53,21.53,21.15,21.34,167710,3578931.4
2010-02-11,21.34,22.3,21.34,22.3,211940,4726262.0
2010-02-12,22.49,22.87,22.49,22.68,181550,4117554.0
2010-02-22,23.25,23.25,22.49,22.68,127270,2886483.6
2010-02-23,22.1,22.3,21.91,21.91,138450,3033439.5
2010-02-24,21.91,22.1,21.72,22.1,198700,4391270.0
2010-02-25,21.91,22.1,21.53,21.53,324110,6978088.300000001
2010-02-26,21.34,21.91,21.15,21.53,496070,10680387.100000001
2010-03-01,21.53,22.1,21.53,21.72,204830,4448907.6
2010-03-02,21.53,21.91,21.53,21.53,145210,3126371.3000000003
2010-03-03,21.72,22.49,21.72,22.3,298100,6647630.0
2010-03-04,22.49,23.06,22.49,23.06,419540,9674592.4
2010-03-05,22.87,23.25,22.87,23.25,338550,7871287.5
2010-03-08,23.25,23.63,23.25,23.44,155290,3639997.6
2010-03-09,23.44,23.63,23.44,23.63,291250,6882237.5
2010-03-10,23.82,24.01,23.44,24.01,498640,11972346.4
2010-03-11,24.01,24.01,23.82,23.82,190140,4529134.8
2010-03-12,23.82,24.01,23.44,23.82,326750,7783185.0
2010-03-15,23.82,24.01,23.44,23.44,209830,4918415.2
2010-03-16,22.87,23.44,22.68,22.68,300680,6819422.4
2010-03-17,22.87,22.87,22.49,22.49,193160,4344168.399999999
2010-03-18,22.68,22.68,22.3,22.68,135450,3072006.0
2010-03-19,22.68,22.87,22.49,22.87,103310,2362699.7
2010-03-22,22.49,22.87,22.49,22.49,186960,4204730.399999999
2010-03-23,22.87,22.87,22.1,22.1,179610,3969381.0000000005
2010-03-24,22.68,22.68,22.1,22.1,160260,3541746.0
2010-03-25,21.91,22.1,21.72,21.91,150070,3288033.7
2010-03-26,21.72,22.1,21.72,22.1,146580,3239418.0
2010-03-29,21.72,22.1,21.72,21.91,88630,1941883.3
2010-03-30,21.53,21.72,21.34,21.34,308780,6589365.2
2010-03-31,21.34,21.72,21.34,21.34,107400,2291916.0
2010-04-01,21.53,22.1,21.15,22.1,283790,6271759.0
2010-04-02,22.1,22.3,21.91,22.1,157640,3483844.0
2010-04-05,22.1,22.3,22.1,22.1,139770,3088917.0
2010-04-06,22.1,22.3,21.91,21.91,293520,6431023.2
2010-04-07,21.72,21.72,21.53,21.72,119360,2592499.1999999997
2010-04-08,21.72,22.49,21.72,21.91,391650,8581051.5
2010-04-09,21.91,22.3,21.91,22.3,265740,5926002.0
2010-04-12,22.1,22.3,21.72,21.72,141940,3082936.8
2010-04-13,21.72,21.72,21.34,21.53,296490,6383429.7
2010-04-14,21.53,21.72,21.15,21.53,643760,13860152.8
2010-04-15,21.72,21.72,21.34,21.34,368280,7859095.2
2010-04-16,21.53,21.72,20.96,21.15,506180,10705707.0
2010-04-19,21.15,21.15,20.58,20.96,266890,5594014.4
2010-04-20,20.96,21.15,20.39,20.58,290420,5976843.6
2010-04-21,20.96,21.53,20.77,21.53,803400,17297202.0
2010-04-22,22.49,22.49,22.1,22.1,916030,20244263.0
2010-04-26,22.1,22.3,21.72,22.1,554850,12262185.0
2010-04-27,21.91,22.1,21.72,21.72,262640,5704540.8
2010-04-28,21.53,21.72,21.34,21.34,374960,8001646.4
2010-04-29,21.34,21.53,21.15,21.15,334660,7078058.999999999
2010-05-04,21.53,21.72,21.15,21.34,236730,5051818.2
2010-05-05,21.15,21.34,20.96,21.15,168570,3565255.4999999995
2010-05-06,21.34,21.34,20.96,20.96,190640,3995814.4000000004
2010-05-07,20.77,20.96,20.2,20.77,517010,10738297.7
2010-05-10,20.58,20.77,20.39,20.58,357650,7360436.999999999
2010-05-11,20.77,20.77,20.39,20.58,190680,3924194.4
2010-05-12,20.39,20.58,20.2,20.39,384220,7834245.8
2010-05-13,20.77,20.96,20.39,20.96,373540,7829398.4
2010-05-14,20.96,20.96,20.58,20.58,319700,6579425.999999999
2010-05-17,20.01,20.2,19.82,20.01,452490,9054324.9
2010-05-18,19.82,19.82,19.44,19.44,298850,5809644.0
2010-05-19,19.25,19.44,18.67,18.67,376190,7023467.300000001
2010-05-20,17.99,19.06,17.99,18.87,224420,4234805.4
2010-05-21,17.99,18.67,17.95,17.95,432710,7767144.5
2010-05-24,17.95,18.71,17.95,18.67,406980,7598316.600000001
2010-05-25,18.67,19.06,18.52,18.87,288530,5444561.100000001
2010-05-26,18.79,19.02,18.79,18.94,268500,5085390.0
2010-05-27,18.79,18.94,18.75,18.94,329650,6243571.0
2010-05-28,19.63,19.82,19.44,19.63,250690,4921044.7
2010-05-31,19.44,19.63,19.06,19.44,159800,3106512.0
2010-06-01,19.06,19.25,19.06,19.25,150000,2887500.0
2010-06-02,19.25,19.25,18.98,19.02,229720,4369274.399999999
2010-06-03,19.06,19.06,18.87,18.98,162680,3087666.4
2010-06-04,18.87,18.98,18.67,18.71,213900,4002069.0
2010-06-07,18.18,18.67,18.18,18.18,385400,7006572.0
2010-06-08,17.99,18.56,17.99,18.56,230700,4281792.0
2010-06-09,18.56,18.83,18.33,18.33,147040,2695243.1999999997
2010-06-10,18.29,18.45,18.26,18.41,126530,2329417.3
2010-06-11,18.94,19.02,18.67,18.75,203960,3824250.0
2010-06-14,18.75,18.83,18.67,18.67,214080,3996873.6000000006
2010-06-15,18.56,18.64,18.48,18.52,160710,2976349.1999999997
2010-06-16,18.52,18.79,18.52,18.56,148180,2750220.8
2010-06-17,18.56,18.79,18.56,18.79,336760,6327720.399999999
2010-06-18,18.98,19.02,18.9,19.02,416330,7918596.6
2010-06-21,19.25,19.25,18.75,18.75,137070,2570062.5
2010-06-22,18.67,18.79,18.56,18.79,132400,2487796.0
2010-06-23,18.79,18.87,18.67,18.87,113480,2141367.6
2010-06-24,18.87,18.9,18.79,18.9,108500,2050649.9999999998
2010-06-25,18.67,18.71,18.6,18.6,218580,4065588.0000000005
2010-06-28,18.52,18.67,18.48,18.67,208000,3883360.0000000005
2010-06-29,18.67,18.98,18.67,18.98,393580,7470148.4
2010-06-30,18.6,19.44,18.6,19.44,479170,9315064.8
2010-07-01,19.06,19.25,18.94,18.94,308480,5842611.2
2010-07-02,18.98,18.98,18.75,18.75,134760,2526750.0
2010-07-05,18.98,18.98,18.79,18.9,245540,4640706.0
2010-07-06,18.64,18.75,18.64,18.67,183660,3428932.2
2010-07-07,18.67,18.71,17.8,17.8,224590,3997702.0
2010-07-08,18.1,18.37,18.1,18.29,139550,2552369.5
2010-07-09,18.22,18.29,18.18,18.18,153710,2794447.8
2010-07-12,18.18,18.22,18.1,18.1,33780,611418.0
2010-07-13,18.45,18.45,18.26,18.37,172380,3166620.6
2010-07-14,18.45,18.48,18.22,18.22,81770,1489849.4
2010-07-15,18.18,18.45,18.18,18.29,106300,1944227.0
2010-07-16,18.37,18.41,18.22,18.37,178370,3276656.9000000004
2010-07-19,18.37,18.37,18.18,18.29,144470,2642356.3
2010-07-20,18.14,18.37,18.14,18.26,158960,2902609.6
2010-07-21,18.29,18.29,17.95,17.99,106000,1906939.9999999998
2010-07-22,17.91,18.03,17.91,17.91,134880,2415700.8
2010-07-23,17.87,17.99,17.84,17.91,75340,1349339.4
2010-07-26,17.91,18.03,17.87,17.91,45920,822427.2
2010-07-27,17.99,17.99,17.87,17.87,197040,3521104.8000000003
2010-07-28,17.84,17.84,17.68,17.72,78180,1385349.5999999999
2010-07-29,17.84,17.95,17.72,17.8,266110,4736758.0
2010-07-30,17.61,17.76,17.53,17.53,122080,2140062.4
2010-08-02,17.53,17.53,17.23,17.23,98400,1695432.0
2010-08-03,17.23,17.26,17.11,17.11,147070,2516367.6999999997
2010-08-04,17.11,17.11,16.58,16.77,81560,1367761.2
2010-08-05,16.77,16.77,16.65,16.65,171700,2858804.9999999995
2010-08-06,16.65,16.69,16.58,16.69,86750,1447857.5
2010-08-09,16.77,16.81,16.46,16.65,118540,1973690.9999999998
2010-08-10,16.01,16.2,15.89,16.01,252610,4044286.1000000006
2010-08-11,16.01,16.39,16.01,16.31,221580,3613969.8
2010-08-12,16.05,16.16,15.82,15.82,429030,6787254.600000001
2010-08-13,16.01,16.39,15.85,16.16,291040,4703206.4
2010-08-16,16.16,16.88,16.16,16.39,114640,1878949.6
2010-08-17,16.54,16.65,16.2,16.65,211110,3514981.4999999995
2010-08-18,16.39,16.43,16.31,16.31,71870,1172199.7
2010-08-19,16.16,16.39,16.08,16.08,114420,1839873.5999999999
2010-08-20,16.05,16.58,16.01,16.58,245280,4066742.3999999994
2010-08-23,16.58,16.58,16.05,16.05,19290,309604.5
2010-08-24,15.93,16.01,15.24,15.24,261130,3979621.2
2010-08-25,14.86,15.44,14.67,15.44,359220,5546356.8
2010-08-26,15.63,16.2,15.63,16.2,348570,5646834.0
2010-08-27,16.01,16.24,15.82,16.2,237640,3849768.0
2010-08-30,16.77,16.96,16.77,16.77,330950,5550031.5
2010-08-31,17.04,17.61,16.77,17.61,343360,6046569.6
2010-09-01,17.61,17.84,17.34,17.61,153400,2701374.0
2010-09-06,17.26,17.53,16.77,16.77,310480,5206749.6
2010-09-07,16.73,16.96,16.69,16.73,178050,2978776.5
2010-09-08,16.77,16.85,16.73,16.81,290210,4878430.1
2010-09-09,16.96,17.15,16.88,16.96,131280,2226508.8000000003
2010-09-10,16.96,17.15,16.12,16.12,195840,3156940.8000000003
2010-09-13,16.73,16.73,16.12,16.39,208120,3411086.8000000003
2010-09-14,16.39,16.39,16.2,16.39,113560,1861248.4000000001
2010-09-15,16.39,16.58,16.35,16.58,160180,2655784.4
2010-09-16,16.58,16.69,16.58,16.69,102690,1713896.1
2010-09-17,16.69,16.96,16.69,16.96,103710,1758921.6
2010-09-20,16.96,17.53,16.88,17.15,97710,1675726.4999999998
2010-09-21,17.15,17.23,16.39,16.39,361700,5928263.0
2010-09-22,16.39,16.77,16.39,16.5,145020,2392830.0
2010-09-23,16.5,16.65,16.35,16.5,163610,2699565.0
2010-09-24,16.43,16.5,16.35,16.43,70330,1155521.9
2010-09-27,16.96,16.96,16.39,16.39,43670,715751.3
2010-09-28,16.39,16.43,16.35,16.39,120600,1976634.0
2010-09-29,16.39,16.43,16.31,16.39,69950,1146480.5
2010-09-30,16.01,16.58,16.01,16.54,160610,2656489.4
2010-10-01,16.43,16.5,16.35,16.39,76010,1245803.9000000001
2010-10-04,16.39,16.43,16.31,16.39,246560,4041118.4000000004
2010-10-05,16.31,16.39,16.08,16.39,198900,3259971.0
2010-10-06,16.39,16.69,16.39,16.69,305700,5102133.0
2010-10-07,16.69,16.77,16.58,16.69,113690,1897486.1
2010-10-08,16.69,16.69,16.58,16.65,111780,1861136.9999999998
2010-10-11,16.39,16.65,16.39,16.62,111320,1850138.4000000001
2010-10-12,16.39,16.62,16.39,16.39,46240,757873.6
2010-10-13,16.24,16.43,16.24,16.43,105300,1730079.0
2010-10-14,16.73,16.73,16.54,16.54,46570,770267.7999999999
2010-10-15,16.54,16.54,16.39,16.5,145710,2404215.0
2010-10-18,16.5,16.85,16.5,16.73,152440,2550321.2
2010-10-19,16.73,16.73,16.58,16.73,132440,2215721.2
2010-10-20,16.69,16.69,16.43,16.46,189340,3116536.4000000004
2010-10-21,16.24,16.77,16.24,16.77,164720,2762354.4
2010-10-22,16.77,16.96,16.43,16.96,266120,4513395.2
2010-10-25,16.96,17.11,16.73,17.11,160880,2752656.8
2010-10-26,16.77,17.19,16.77,17.15,241700,4145154.9999999995
2010-10-27,17.15,17.15,16.96,17.15,162290,2783273.5
2010-10-28,17.15,17.19,17.07,17.15,89020,1526692.9999999998
2010-10-29,17.15,17.19,17.11,17.19,80700,1387233.0
2010-11-01,16.88,17.46,16.88,17.46,83890,1464719.4000000001
2010-11-02,17.15,17.34,17.15,17.19,146130,2511974.7
2010-11-03,17.34,17.34,17.19,17.34,144440,2504589.6
2010-11-04,17.34,17.84,17.23,17.84,295370,5269400.8
2010-11-05,17.84,18.71,17.84,18.71,310680,5812822.8
2010-11-08,18.79,19.63,18.67,19.63,589170,11565407.1
2010-11-09,19.82,19.82,19.02,19.06,327120,6234907.199999999
2010-11-10,19.06,19.25,18.67,19.06,199440,3801326.4
2010-11-11,19.06,20.01,18.98,19.82,530500,10514510.0
2010-11-12,19.82,19.82,19.06,19.63,407970,8008451.1
2010-11-15,19.44,19.63,19.06,19.06,325020,6194881.199999999
2010-11-16,19.06,19.25,18.56,18.56,178680,3316300.8
2010-11-17,18.33,18.6,17.65,17.65,328440,5796965.999999999
2010-11-18,18.22,18.22,17.65,17.65,135850,2397752.5
2010-11-19,17.65,18.14,17.57,17.65,331330,5847974.499999999
2010-11-22,17.53,17.91,17.15,17.91,298370,5343806.7
2010-11-23,18.41,18.79,17.95,18.79,347370,6527082.3
2010-11-24,18.67,19.06,18.33,19.06,334850,6382241.0
2010-11-25,18.75,19.25,18.75,18.75,260710,4888312.5
2010-11-26,18.87,19.06,18.67,18.75,221350,4150312.5
2010-11-29,18.67,19.06,17.84,19.06,291900,5563614.0
2010-11-30,19.25,19.63,19.02,19.06,357070,6805754.199999999
2010-12-01,19.06,19.25,18.87,19.25,309750,5962687.5
2010-12-02,19.25,19.44,19.02,19.25,186620,3592435.0
2010-12-03,19.06,19.63,19.06,19.44,583550,11344212.0
2010-12-06,19.63,19.63,19.06,19.44,432520,8408188.8
2010-12-07,19.06,19.25,19.06,19.06,258260,4922435.6
2010-12-08,19.25,19.25,18.75,18.87,107540,2029279.8
2010-12-09,19.06,19.06,18.67,19.06,85040,1620862.4
2010-12-10,19.06,19.44,18.98,19.44,221310,4302266.4
