time,open,high,low,close,volume,amounts
2010-01-04,5.54,5.72,5.54,5.72,536210,3067121.1999999997
2010-01-05,5.9,6.0,5.65,5.65,613380,3465597.0
2010-01-06,5.5,5.72,5.5,5.65,388960,2197624.0
2010-01-07,5.68,5.72,5.54,5.65,447970,2531030.5
2010-01-08,5.72,5.9,5.65,5.65,817170,4617010.5
2010-01-11,5.61,5.72,5.54,5.65,314260,1775569.0
2010-01-12,5.5,5.72,5.43,5.43,403270,2189756.1
2010-01-13,5.32,5.47,5.18,5.43,347540,1887142.2
2010-01-14,5.47,5.5,5.32,5.32,274140,1458424.8
2010-01-15,5.25,5.36,5.18,5.18,224260,1161666.8
2010-01-18,5.04,5.18,5.0,5.0,285960,1429800.0
2010-01-19,5.0,5.11,4.86,4.86,499310,2426646.6
2010-01-20,4.97,5.0,4.65,4.65,837350,3893677.5000000005
2010-01-21,4.65,4.82,4.65,4.68,623310,2917090.8
2010-01-22,4.68,4.72,4.61,4.61,475960,2194175.6
2010-01-25,4.57,4.65,4.57,4.61,306010,1410706.1
2010-01-26,4.75,4.82,4.75,4.82,195710,943322.2000000001
2010-01-27,4.82,4.97,4.72,4.79,250910,1201858.9
2010-01-28,4.68,4.79,4.65,4.65,202860,943299.0000000001
2010-01-29,4.65,4.68,4.57,4.65,216100,1004865.0000000001
2010-02-01,4.65,4.72,4.61,4.72,196470,927338.3999999999
2010-02-02,4.72,4.72,4.57,4.57,287520,1313966.4000000001
2010-02-03,4.57,4.61,4.5,4.57,416400,1902948.0000000002
2010-02-04,4.54,4.61,4.54,4.57,397010,1814335.7000000002
2010-02-05,4.54,4.68,4.54,4.61,399170,1840173.7000000002
2010-02-08,4.43,4.54,4.43,4.47,356470,1593420.9
2010-02-09,4.4,4.47,4.36,4.4,199500,877800.0000000001
2010-02-10,4.4,4.5,4.4,4.47,118210,528398.7
2010-02-11,4.54,4.54,4.47,4.54,153320,696072.8
2010-02-12,4.61,4.61,4.54,4.54,137940,626247.6
2010-02-22,4.54,4.57,4.43,4.43,274080,1214174.4
2010-02-23,4.4,4.43,4.36,4.36,150170,654741.2000000001
2010-02-24,4.4,4.43,4.36,4.43,299510,1326829.2999999998
2010-02-25,4.54,4.54,4.4,4.4,310130,1364572.0
2010-02-26,4.4,4.5,4.36,4.43,380640,1686235.2
2010-03-01,4.5,4.5,4.4,4.5,190490,857205.0
2010-03-02,4.5,4.54,4.47,4.5,274840,1236780.0
2010-03-03,4.54,4.72,4.47,4.72,476980,2251345.6
2010-03-04,4.72,4.82,4.65,4.65,492460,2289939.0
2010-03-05,4.65,4.65,4.57,4.61,250690,1155680.9000000001
2010-03-08,4.61,4.79,4.57,4.75,571440,2714340.0
2010-03-09,4.79,4.86,4.65,4.86,514310,2499546.6
2010-03-10,4.75,4.86,4.75,4.82,402610,1940580.2000000002
2010-03-11,4.82,4.82,4.72,4.72,221520,1045574.3999999999
