time,open,high,low,close,volume,amounts
2010-01-04,5.2,5.29,5.11,5.29,1014070,5364430.3
2010-01-05,5.55,5.55,5.44,5.51,1741700,9596767.0
2010-01-06,5.44,5.61,5.43,5.44,1022600,5562944.0
2010-01-07,5.44,5.5,5.38,5.41,1116850,6042158.5
2010-01-08,5.6,5.61,5.27,5.27,1114880,5875417.6
2010-01-11,5.29,5.34,5.17,5.19,794260,4122209.4000000004
2010-01-12,5.16,5.24,4.94,4.94,780920,3857744.8000000003
2010-01-13,4.94,5.18,4.7,5.18,1011910,5241693.8
2010-01-14,5.33,5.33,5.16,5.17,437160,2260117.2
2010-01-15,5.1,5.17,4.99,5.0,530480,2652400.0
2010-01-18,4.93,4.93,4.76,4.76,824030,3922382.8
2010-01-19,4.81,4.97,4.76,4.9,572750,2806475.0
2010-01-20,4.91,4.92,4.76,4.76,399060,1899525.5999999999
2010-01-21,4.65,4.8,4.53,4.53,880170,3987170.1
2010-01-22,4.48,4.61,4.48,4.53,525170,2379020.1
2010-01-25,4.51,4.65,4.5,4.6,440230,2025057.9999999998
2010-01-26,4.7,4.83,4.7,4.83,436190,2106797.7
2010-01-27,4.99,5.04,4.87,4.92,1807750,8894130.0
2010-01-28,4.9,4.94,4.76,4.78,358780,1714968.4000000001
2010-01-29,4.72,4.87,4.7,4.8,326810,1568688.0
2010-02-01,4.82,4.9,4.77,4.9,315200,1544480.0
2010-02-02,4.93,4.94,4.86,4.89,510260,2495171.4
2010-02-03,4.93,4.98,4.89,4.95,506410,2506729.5
2010-02-04,4.99,5.19,4.99,5.19,1662690,8629361.100000001
2010-02-05,5.01,5.18,4.98,5.01,841470,4215764.7
2010-02-08,5.01,5.03,4.93,5.0,381870,1909350.0
2010-02-09,4.94,4.98,4.9,4.9,242760,1189524.0
2010-02-10,4.94,4.99,4.92,4.94,235320,1162480.8
2010-02-11,4.93,5.09,4.93,5.09,418110,2128179.9
2010-02-12,5.08,5.16,5.08,5.11,442270,2259999.7
2010-02-22,5.17,5.21,5.12,5.18,752360,3897224.8
2010-02-23,5.18,5.18,5.0,5.01,638510,3198935.1
2010-02-24,4.99,5.06,4.97,5.06,503970,2550088.1999999997
2010-02-25,5.14,5.17,5.04,5.06,573990,2904389.4
2010-02-26,5.06,5.1,5.03,5.08,296020,1503781.6
2010-03-01,5.12,5.19,5.1,5.11,378530,1934288.3
2010-03-02,5.11,5.15,5.04,5.04,400860,2020334.4
2010-03-03,5.08,5.19,5.07,5.17,671070,3469431.9
2010-03-04,5.25,5.31,5.2,5.2,976570,5078164.0
2010-03-05,5.21,5.45,5.18,5.45,2037560,11104702.0
2010-03-08,5.5,5.67,5.46,5.67,1440060,8165140.2
2010-03-09,5.55,5.67,5.54,5.61,821270,4607324.7
2010-03-10,5.55,5.61,5.5,5.53,1513670,8370595.100000001
2010-03-11,5.52,5.55,5.46,5.5,959050,5274775.0
2010-03-12,5.51,5.72,5.45,5.67,1477040,8374816.8
2010-03-15,5.67,5.78,5.61,5.61,997180,5594179.800000001
2010-03-16,5.58,5.6,5.36,5.44,1301830,7081955.2
2010-03-17,5.58,5.67,5.57,5.67,3530980,20020656.6
2010-03-18,5.95,5.95,5.95,5.95,414240,2464728.0
2010-03-19,6.18,6.23,6.06,6.18,6673050,41239449.0
2010-03-22,6.12,6.18,5.95,6.01,1739440,10454034.4
2010-03-23,5.95,6.06,5.84,5.89,1752290,10320988.1
2010-03-24,6.01,6.01,5.84,6.01,1467810,8821538.1
2010-03-25,5.95,5.95,5.78,5.84,1922820,11229268.799999999
2010-03-26,5.89,5.89,5.72,5.89,1303060,7675023.399999999
2010-03-29,5.89,5.89,5.72,5.78,1119110,6468455.8
2010-03-30,5.78,5.84,5.72,5.78,1294030,7479493.4
2010-03-31,5.78,5.84,5.67,5.67,863560,4896385.2
2010-04-01,5.67,5.78,5.62,5.78,972740,5622437.2
