time,open,high,low,close,volume,amounts
2016-12-06,49.34,49.34,49.34,49.34,3010,148513.40000000002
2016-12-07,52.78,52.78,52.78,52.78,30,1583.4
2016-12-08,56.44,56.44,56.44,56.44,1000,56440.0
2016-12-09,56.44,60.37,56.44,60.37,3010,181713.69999999998
2016-12-12,64.59,64.59,64.59,64.59,35690,2305217.1
2016-12-13,69.08,69.08,69.08,69.08,96830,6689016.399999999
2016-12-14,73.9,73.9,73.9,73.9,154380,11408682.0
2016-12-15,79.06,79.06,78.5,79.06,380050,30046753.0
2016-12-16,84.59,84.59,74.76,84.1,387520,32590431.999999996
2016-12-19,79.24,84.1,79.24,79.24,168190,13327375.6
2016-12-20,78.87,79.06,73.71,73.71,399710,29462624.099999998
2016-12-21,73.71,76.07,69.15,75.06,241750,18145755.0
2016-12-22,78.46,78.46,75.88,75.88,52460,3980664.8
2016-12-23,75.88,75.88,73.68,74.76,54810,4097595.6
2016-12-26,75.14,75.14,72.1,74.76,169870,12699481.200000001
2016-12-27,74.76,75.82,73.28,75.14,69880,5250783.2
2016-12-28,75.82,75.82,74.8,75.48,28530,2153444.4
2016-12-29,75.14,75.14,73.24,74.76,98560,7368345.600000001
2016-12-30,75.14,75.14,74.19,75.02,96740,7257434.8
2017-01-03,75.02,75.02,74.34,74.76,63170,4722589.2
2017-01-04,74.76,75.37,74.0,74.76,87490,6540752.4
2017-01-05,74.76,75.14,74.38,74.8,27170,2032316.0
2017-01-06,75.1,79.65,74.83,78.17,212390,16602526.3
2017-01-09,78.17,78.93,77.79,77.79,31390,2441828.1
2017-01-10,78.52,78.52,76.47,77.61,44540,3456749.4
2017-01-11,77.42,79.69,76.66,79.69,228480,18207571.2
2017-01-12,80.83,80.83,79.69,79.92,55290,4418776.8
2017-01-13,79.96,80.53,79.92,80.38,37670,3027914.5999999996
2017-01-16,80.07,80.07,78.93,79.31,33890,2687815.9
2017-01-17,79.12,82.5,78.97,82.16,113760,9346521.6
2017-01-18,81.7,85.38,81.7,84.93,103480,8788556.4
2017-01-19,85.38,85.38,83.49,84.93,40040,3400597.2
2017-01-20,84.63,85.42,84.63,84.93,77940,6619444.2
2017-01-23,84.93,84.93,83.68,84.25,44360,3737330.0
2017-01-24,83.49,85.01,83.49,84.25,137100,11550675.0
2017-01-25,84.25,84.93,83.49,84.93,18800,1596684.0000000002
2017-02-02,84.97,84.97,83.11,83.11,18560,1542521.6
2017-02-03,82.5,84.59,82.12,82.35,51700,4257495.0
2017-02-06,83.3,83.3,80.26,81.59,50070,4085211.3000000003
2017-02-07,81.59,83.49,80.83,81.97,76580,6277262.6
2017-02-08,81.97,82.35,81.59,81.7,36350,2969795.0
2017-02-09,81.7,81.7,78.93,80.07,150070,12016104.899999999
2017-02-10,80.07,81.21,80.07,80.91,35880,2903050.8
2017-02-13,80.91,81.48,79.69,80.98,25240,2043935.2000000002
2017-02-14,80.98,82.31,80.87,81.97,72220,5919873.4
2017-02-15,81.97,81.97,80.75,81.17,84300,6842631.0
2017-02-16,81.21,81.97,81.21,81.74,44230,3615360.1999999997
2017-02-17,81.59,81.59,81.21,81.48,34430,2805356.4
2017-02-20,80.94,82.73,80.91,82.73,103930,8598128.9
2017-02-21,82.58,83.49,82.58,83.34,34930,2911066.2
2017-02-22,83.3,85.19,83.3,85.12,100360,8542643.200000001
2017-02-23,85.35,86.14,85.01,86.14,130020,11199922.8
2017-02-24,86.52,87.28,85.76,86.14,107840,9289337.6
2017-02-27,85.19,86.49,85.01,85.42,61270,5233683.4
2017-02-28,85.57,85.84,85.42,85.42,50720,4332502.4
2017-03-01,85.76,85.76,85.38,85.73,69440,5953091.2
2017-03-02,86.14,86.14,83.18,85.35,30250,2581837.5
2017-03-03,84.63,85.54,83.87,85.54,20670,1768111.8
2017-03-06,85.38,85.57,84.25,85.19,32990,2810418.1
2017-03-07,85.35,85.38,84.47,84.47,35720,3017268.4
2017-03-08,84.47,84.47,82.88,83.07,14120,1172948.4
2017-03-09,82.01,83.87,80.45,81.97,56450,4627206.5
2017-03-10,81.97,81.97,80.07,80.07,17550,1405228.4999999998
2017-03-13,80.07,80.07,78.33,78.55,30560,2400488.0
2017-03-14,78.55,82.35,77.11,81.21,54260,4406454.6
2017-03-15,81.21,81.59,80.07,80.3,13250,1063975.0
