time,open,high,low,close,volume,amounts
2010-01-04,3.03,3.06,3.03,3.06,334580,1023814.8
2010-01-05,3.19,3.19,3.08,3.16,481360,1521097.6
2010-01-06,3.13,3.24,3.11,3.21,565670,1815800.7
2010-01-07,3.19,3.37,3.19,3.37,1136690,3830645.3000000003
2010-01-08,3.53,3.53,3.45,3.53,2056630,7259903.899999999
2010-01-11,3.53,3.55,3.37,3.37,773670,2607267.9
2010-01-12,3.29,3.37,3.21,3.21,742390,2383071.9
2010-01-13,3.16,3.26,3.06,3.21,503010,1614662.1
2010-01-14,3.32,3.32,3.19,3.24,377950,1224558.0
2010-01-15,3.21,3.24,3.13,3.16,344260,1087861.6
2010-01-18,3.16,3.16,3.03,3.03,277350,840370.5
2010-01-19,3.03,3.13,3.03,3.08,206610,636358.8
2010-01-20,3.08,3.13,3.03,3.03,160450,486163.49999999994
2010-01-21,2.95,3.08,2.9,2.92,447870,1307780.4
2010-01-22,2.92,2.98,2.87,2.92,162530,474587.6
2010-01-25,2.92,3.06,2.92,3.06,275870,844162.2000000001
2010-01-26,3.13,3.19,3.13,3.19,687490,2193093.1
2010-01-27,3.03,3.21,3.03,3.03,283390,858671.7
2010-01-28,3.03,3.06,2.95,2.98,120580,359328.4
2010-01-29,2.98,3.0,2.92,3.0,221090,663270.0
2010-02-01,3.06,3.06,3.0,3.03,135050,409201.5
2010-02-02,3.06,3.06,2.98,2.98,245020,730159.6
2010-02-03,3.0,3.0,2.95,3.0,313850,941550.0
2010-02-04,3.03,3.11,3.0,3.11,439200,1365912.0
2010-02-05,3.03,3.11,3.0,3.11,371720,1156049.2
2010-02-08,3.06,3.08,3.0,3.03,128510,389385.3
2010-02-09,3.06,3.06,2.95,2.95,212870,627966.5
2010-02-10,2.95,3.03,2.95,2.98,99020,295079.6
2010-02-11,3.06,3.06,2.95,3.06,77940,238496.4
2010-02-12,3.08,3.11,3.03,3.08,207990,640609.2000000001
2010-02-22,3.11,3.11,3.06,3.06,194270,594466.2
2010-02-23,3.03,3.06,2.98,2.98,137270,409064.6
2010-02-24,2.95,3.0,2.95,2.98,137060,408438.8
2010-02-25,3.03,3.03,2.98,2.98,168970,503530.6
2010-02-26,3.0,3.0,2.95,2.98,122320,364513.6
2010-03-01,3.0,3.11,2.98,3.11,665600,2070016.0
2010-03-02,3.08,3.21,3.08,3.13,537620,1682750.5999999999
2010-03-03,3.16,3.24,3.13,3.24,429980,1393135.2000000002
2010-03-04,3.32,3.32,3.19,3.19,612530,1953970.7
2010-03-05,3.19,3.24,3.19,3.21,426170,1368005.7
2010-03-08,3.24,3.37,3.21,3.37,902380,3041020.6
2010-03-09,3.39,3.5,3.32,3.5,1519330,5317655.0
2010-03-10,3.39,3.47,3.37,3.39,653650,2215873.5
2010-03-11,3.37,3.47,3.34,3.39,585520,1984912.8
2010-03-12,3.39,3.39,3.29,3.32,553940,1839080.7999999998
2010-03-15,3.45,3.45,3.32,3.37,851750,2870397.5
2010-03-16,3.32,3.37,3.24,3.24,534970,1733302.8
2010-03-17,3.26,3.29,3.21,3.21,392610,1260278.1
2010-03-18,3.21,3.29,3.19,3.24,617970,2002222.8
2010-03-19,3.34,3.37,3.26,3.29,1063130,3497697.7
2010-03-22,3.32,3.37,3.29,3.34,619970,2070699.7999999998
2010-03-23,3.32,3.39,3.29,3.29,496040,1631971.6
2010-03-24,3.32,3.32,3.26,3.29,358960,1180978.4
2010-03-25,3.21,3.26,3.16,3.19,668480,2132451.2
2010-03-26,3.16,3.19,3.11,3.16,441300,1394508.0
2010-03-29,3.19,3.32,3.16,3.32,843890,2801714.8
2010-03-30,3.47,3.47,3.32,3.32,1935390,6425494.8
2010-03-31,3.29,3.34,3.29,3.29,533130,1753997.7
2010-04-01,3.29,3.42,3.24,3.32,699340,2321808.8
2010-04-02,3.34,3.37,3.32,3.32,961230,3191283.5999999996
2010-04-05,3.34,3.39,3.29,3.32,638850,2120982.0
2010-04-06,3.34,3.39,3.32,3.37,1095860,3693048.2
2010-04-07,3.39,3.39,3.32,3.37,599740,2021123.8
2010-04-08,3.42,3.53,3.42,3.53,3451240,12182877.2
2010-04-09,3.63,3.63,3.53,3.55,1293020,4590221.0
2010-04-12,3.6,3.6,3.47,3.47,614550,2132488.5
2010-04-13,3.47,3.47,3.39,3.45,780350,2692207.5
2010-04-14,3.47,3.5,3.39,3.42,957930,3276120.6
2010-04-15,3.42,3.58,3.42,3.58,2155240,7715759.2
2010-04-16,3.6,3.6,3.53,3.53,1004710,3546626.3
2010-04-19,3.55,3.55,3.42,3.42,776970,2657237.4
2010-04-20,3.47,3.5,3.42,3.42,969900,3317058.0
2010-04-21,3.47,3.5,3.42,3.45,777320,2681754.0
2010-04-22,3.47,3.5,3.42,3.45,968800,3342360.0
2010-04-26,3.45,3.47,3.42,3.42,773530,2645472.6
2010-04-27,3.45,3.45,3.39,3.39,733440,2486361.6
2010-04-28,3.39,3.55,3.37,3.5,1178050,4123175.0
2010-04-29,3.53,3.53,3.47,3.5,559860,1959510.0
2010-05-04,3.55,3.58,3.5,3.53,1284720,4535061.6
2010-05-05,3.45,3.5,3.45,3.45,523050,1804522.5
2010-05-06,3.47,3.58,3.47,3.55,1587970,5637293.5
2010-05-07,3.5,3.71,3.45,3.63,1606600,5831958.0
2010-05-10,3.79,3.79,3.71,3.79,2875620,10898599.8
2010-05-11,3.89,3.89,3.73,3.76,1303650,4901724.0
2010-05-12,3.66,3.73,3.63,3.63,1202380,4364639.399999999
2010-05-13,3.66,3.76,3.63,3.71,1193170,4426660.7
2010-05-14,3.73,3.73,3.66,3.71,1042230,3866673.3
2010-05-17,3.74,3.74,3.54,3.54,1334580,4724413.2
2010-05-18,3.48,3.54,3.45,3.45,821400,2833830.0
2010-05-19,3.39,3.39,3.31,3.31,912320,3019779.2
2010-05-20,3.25,3.33,3.22,3.33,911150,3034129.5
2010-05-21,3.22,3.33,3.19,3.19,1070380,3414512.1999999997
2010-05-24,3.22,3.28,3.19,3.22,526360,1694879.2000000002
2010-05-25,3.22,3.31,3.16,3.25,579740,1884155.0
2010-05-26,3.31,3.31,3.25,3.31,648800,2147528.0
2010-05-27,3.28,3.31,3.25,3.28,186730,612474.3999999999
2010-05-28,3.36,3.42,3.33,3.42,903220,3089012.4
2010-05-31,3.39,3.51,3.36,3.42,609910,2085892.2
2010-06-01,3.39,3.48,3.36,3.39,569920,1932028.8
2010-06-02,3.36,3.42,3.36,3.42,336860,1152061.2
2010-06-03,3.45,3.45,3.39,3.39,317500,1076325.0
2010-06-04,3.42,3.42,3.33,3.36,351080,1179628.8
2010-06-07,3.25,3.31,3.22,3.22,1941130,6250438.600000001
2010-06-08,3.22,3.28,3.19,3.28,451160,1479804.7999999998
2010-06-09,3.31,3.33,3.28,3.28,257670,845157.6
2010-06-10,3.28,3.31,3.25,3.28,173490,569047.2
2010-06-11,3.31,3.33,3.28,3.28,362460,1188868.7999999998
2010-06-14,3.28,3.31,3.28,3.31,498670,1650597.7
2010-06-15,3.28,3.31,3.25,3.28,350520,1149705.5999999999
2010-06-16,3.31,3.31,3.28,3.31,307770,1018718.7000000001
2010-06-17,3.28,3.31,3.28,3.31,214860,711186.6
2010-06-18,3.31,3.33,3.28,3.28,501320,1644329.5999999999
2010-06-21,3.31,3.42,3.28,3.39,742190,2516024.1
2010-06-22,3.36,3.39,3.33,3.33,513700,1710621.0
2010-06-23,3.33,3.42,3.31,3.36,463980,1558972.8
2010-06-24,3.36,3.39,3.33,3.33,228550,761071.5
2010-06-25,3.31,3.33,3.28,3.31,378960,1254357.6
2010-06-28,3.31,3.33,3.28,3.28,436970,1433261.5999999999
2010-06-29,3.31,3.33,3.28,3.31,285370,944574.7000000001
2010-06-30,3.25,3.28,3.25,3.25,390180,1268085.0
2010-07-01,3.25,3.28,3.22,3.25,329020,1069315.0
2010-07-02,3.28,3.28,3.22,3.25,326940,1062555.0
2010-07-05,3.25,3.25,3.22,3.25,263090,855042.5
2010-07-06,3.25,3.25,3.19,3.22,394720,1270998.4000000001
2010-07-07,3.28,3.36,3.25,3.36,1826220,6136099.2
2010-07-08,3.51,3.51,3.45,3.51,1979070,6946535.699999999
2010-07-09,3.51,3.51,3.39,3.39,938990,3183176.1
2010-07-12,3.45,3.54,3.39,3.54,1182530,4186156.2
2010-07-13,3.51,3.56,3.45,3.51,810470,2844749.6999999997
2010-07-14,3.54,3.54,3.36,3.42,1116300,3817746.0
2010-07-15,3.42,3.45,3.36,3.39,409740,1389018.6
2010-07-16,3.36,3.42,3.36,3.36,660690,2219918.4
