time,open,high,low,close,volume,amounts
2017-07-12,25.51,25.51,25.51,25.51,200,5102.0
2017-07-13,29.33,29.33,29.33,29.33,100,2933.0
2017-07-14,33.71,33.71,33.71,33.71,4470,150683.7
2017-07-17,38.76,38.76,35.04,38.76,134340,5207018.399999999
2017-07-18,38.55,38.69,36.79,37.32,59890,2235094.8
2017-07-19,37.32,37.32,33.64,34.69,37590,1303997.0999999999
2017-07-20,35.04,35.04,31.92,32.24,27920,900140.8
2017-07-21,32.59,32.59,31.19,31.19,38810,1210483.9000000001
2017-07-24,31.19,31.54,31.01,31.01,17320,537093.2000000001
2017-07-25,30.14,30.56,27.33,28.03,60040,1682921.2
2017-07-26,28.38,31.54,28.38,31.36,32800,1028608.0
2017-07-27,30.21,31.54,30.21,30.49,18022,549490.78
2017-07-28,30.7,30.7,29.96,29.96,19000,569240.0
2017-07-31,31.54,31.54,30.21,30.21,54530,1647351.3
2017-08-01,30.49,31.05,30.24,30.42,35900,1092078.0
2017-08-02,29.82,31.01,29.82,30.98,18500,573130.0
2017-08-03,30.84,31.54,30.7,31.5,25090,790335.0
2017-08-04,31.54,31.71,31.5,31.57,48960,1545667.2
2017-08-07,31.61,31.82,31.61,31.75,27600,876300.0
2017-08-08,31.75,33.64,31.75,32.06,53166,1704501.9600000002
2017-08-09,32.59,33.29,32.59,33.15,27910,925216.5
2017-08-10,33.29,33.47,32.94,33.11,30410,1006875.1
2017-08-11,33.29,33.29,32.1,32.13,16900,542997.0
2017-08-14,32.1,32.1,31.54,31.54,9410,296791.39999999997
2017-08-15,31.54,31.54,31.19,31.19,15060,469721.4
2017-08-16,31.89,31.89,31.64,31.64,17600,556864.0
2017-08-17,31.75,31.78,31.54,31.64,25400,803656.0
2017-08-18,31.54,31.68,31.47,31.64,8900,281596.0
2017-08-21,31.54,31.57,31.33,31.4,21600,678240.0
2017-08-22,31.43,31.64,31.43,31.57,3200,101024.0
2017-08-23,31.5,32.06,31.5,31.54,16810,530187.4
2017-08-24,31.61,31.71,31.57,31.64,17200,544208.0
2017-08-25,32.06,32.06,31.71,31.96,30240,966470.4
2017-08-28,32.24,32.24,31.85,31.92,27500,877800.0
2017-08-29,31.89,31.89,31.61,31.71,32020,1015354.2000000001
2017-08-30,31.75,31.75,31.47,31.47,18200,572754.0
2017-08-31,31.57,31.57,31.5,31.54,19910,627961.4
2017-09-01,31.36,31.36,31.08,31.15,6400,199360.0
2017-09-05,31.54,31.54,31.47,31.5,4000,126000.0
2017-09-06,31.43,31.43,31.29,31.29,1050,32854.5
2017-09-07,31.36,31.36,31.29,31.36,3700,116032.0
2017-09-08,31.26,31.26,31.19,31.19,9370,292250.3
2017-09-11,31.54,31.54,31.19,31.19,21900,683061.0
2017-09-12,31.47,31.54,31.47,31.5,11500,362250.0
2017-09-13,31.85,31.89,31.54,31.64,14270,451502.8
2017-09-14,31.71,31.71,31.19,31.54,16100,507794.0
2017-09-15,31.19,31.71,30.84,31.61,28630,904994.2999999999
2017-09-18,31.96,31.96,31.64,31.89,37500,1195875.0
2017-09-19,31.71,31.78,31.71,31.75,11610,368617.5
2017-09-20,31.71,31.78,31.71,31.78,31160,990264.8
2017-09-21,31.78,31.78,31.71,31.75,20520,651510.0
2017-09-22,31.75,31.75,31.75,31.75,15670,497522.5
2017-09-25,31.75,32.27,31.75,31.89,59930,1911167.7
2017-09-26,31.92,31.92,31.71,31.71,50000,1585500.0
2017-09-27,31.75,31.75,31.71,31.75,740,23495.0
2017-09-28,31.71,31.82,31.71,31.82,80570,2563737.4
2017-09-29,31.75,31.89,31.71,31.89,22601,720745.89
2017-10-02,31.82,35.04,31.82,32.76,44370,1453561.2
2017-10-03,32.73,32.76,32.59,32.73,11700,382940.99999999994
2017-10-04,32.62,32.62,32.55,32.55,10140,330057.0
2017-10-05,32.45,32.45,31.99,31.99,11070,354129.3
2017-10-06,31.99,32.06,31.64,31.92,7740,247060.80000000002
2017-10-09,31.75,31.82,31.64,31.82,2020,64276.4
2017-10-10,31.64,32.24,31.64,32.24,6950,224068.0
2017-10-11,32.06,32.76,32.06,32.76,217529,7126250.039999999
2017-10-12,32.76,34.69,32.76,33.99,83581,2840918.19
2017-10-13,34.34,34.34,32.94,34.17,45810,1565327.7000000002
2017-10-16,34.13,36.09,34.13,35.57,71160,2531161.2
2017-10-17,36.44,37.14,35.57,35.57,27640,983154.8
2017-10-18,35.04,35.74,35.04,35.04,28611,1002529.44
2017-10-19,35.04,35.78,35.04,35.57,21330,758708.1
2017-10-20,35.57,36.06,35.57,35.6,69440,2472064.0
2017-10-23,35.74,36.44,35.74,36.09,34250,1236082.5000000002
2017-10-24,36.27,36.3,35.99,36.16,10220,369555.19999999995
2017-10-25,36.27,36.62,36.09,36.55,21580,788748.9999999999
2017-10-26,36.62,37.5,36.62,36.93,47890,1768577.7
