time,open,high,low,close,volume,amounts
2010-01-04,3.33,3.55,3.27,3.55,930000,3301500.0
2010-01-05,3.63,3.74,3.63,3.74,1685500,6303770.0
2010-01-06,3.75,3.93,3.66,3.78,1843700,6969186.0
2010-01-07,3.78,3.87,3.72,3.77,1047000,3947190.0
2010-01-08,3.78,4.04,3.71,3.81,1086400,4139184.0
2010-01-11,3.92,4.01,3.71,3.71,646900,2399999.0
2010-01-12,3.77,3.77,3.49,3.52,723300,2546016.0
2010-01-13,3.48,3.77,3.45,3.68,854200,3143456.0
2010-01-14,3.33,3.63,3.33,3.6,1040200,3744720.0
2010-01-15,3.48,3.48,3.42,3.42,224000,766080.0
2010-01-18,3.42,3.42,3.27,3.31,677200,2241532.0
2010-01-19,3.3,3.36,3.3,3.33,366100,1219113.0
2010-01-20,3.34,3.39,3.25,3.33,425100,1415583.0
2010-01-21,3.33,3.33,3.1,3.16,317900,1004564.0
2010-01-22,3.16,3.25,3.12,3.21,458800,1472748.0
2010-01-25,3.22,3.22,3.15,3.21,364900,1171329.0
2010-01-26,3.22,3.39,3.22,3.39,677600,2297064.0
2010-01-27,3.51,3.51,3.18,3.22,385900,1242598.0
2010-01-28,3.25,3.27,3.22,3.25,676900,2199925.0
2010-01-29,3.25,3.28,3.22,3.27,347600,1136652.0
2010-02-01,3.25,3.27,3.24,3.25,274100,890825.0
2010-02-02,3.25,3.27,3.22,3.25,401900,1306175.0
2010-02-03,3.25,3.27,3.22,3.25,435500,1415375.0
2010-02-04,3.25,3.27,3.24,3.27,315100,1030377.0
2010-02-05,3.25,3.27,3.22,3.24,695600,2253744.0
2010-02-08,3.18,3.27,3.18,3.27,502300,1642521.0
2010-02-09,3.25,3.27,3.22,3.25,454000,1475500.0
2010-02-10,3.25,3.33,3.24,3.25,117000,380250.0
2010-02-11,3.3,3.39,3.25,3.36,370300,1244208.0
2010-02-12,3.33,3.45,3.31,3.34,177400,592516.0
2010-02-22,3.48,3.48,3.36,3.4,171500,583100.0
2010-02-23,3.4,3.42,3.25,3.27,136600,446682.0
2010-02-24,3.25,3.33,3.21,3.3,492100,1623930.0
2010-02-25,3.39,3.39,3.22,3.27,651000,2128770.0
2010-02-26,3.33,3.33,3.25,3.31,824400,2728764.0
2010-03-01,3.33,3.36,3.3,3.31,463300,1533523.0
2010-03-02,3.28,3.33,3.28,3.28,526800,1727904.0
2010-03-03,3.31,3.34,3.28,3.34,601400,2008676.0
2010-03-04,3.33,3.4,3.3,3.3,341100,1125630.0
2010-03-05,3.33,3.36,3.3,3.33,622500,2072925.0
