time,open,high,low,close,volume,amounts
2019-06-06,4.19,4.19,4.19,4.19,0,0.0
2019-06-07,4.19,4.19,4.19,4.19,0,0.0
2019-06-10,4.19,4.19,4.19,4.19,0,0.0
2019-06-11,4.19,4.19,4.19,4.19,0,0.0
2019-06-12,4.19,4.19,4.19,4.19,0,0.0
2019-06-13,5.85,5.85,5.85,5.85,100,585.0
2019-06-14,6.72,6.72,6.72,6.72,100,672.0
2019-06-17,7.72,7.72,7.72,7.72,100,772.0
2019-06-18,8.87,8.87,8.87,8.87,100,886.9999999999999
2019-06-19,10.18,10.18,10.18,10.18,200,2036.0
2019-06-20,11.69,11.69,11.69,11.69,110,1285.8999999999999
2019-06-21,13.45,13.45,13.45,13.45,25377,341320.64999999997
2019-06-24,15.45,15.45,15.45,15.45,5200,80340.0
2019-06-25,17.76,17.76,17.54,17.76,78444,1393165.4400000002
2019-06-26,20.22,20.22,17.05,17.54,26330,461828.19999999995
2019-06-27,17.54,17.66,17.42,17.49,247500,4328775.0
2019-06-28,16.69,16.69,16.23,16.23,330300,5360769.0
2019-07-01,16.08,16.08,15.11,15.59,23436,365367.24
2019-07-02,16.57,17.54,16.32,16.81,61599,1035479.19
2019-07-03,16.98,17.54,16.96,17.3,98859,1710260.7000000002
2019-07-04,17.3,19.0,17.3,17.2,110219,1895766.7999999998
2019-07-05,18.98,20.81,18.98,20.32,44964,913668.48
2019-07-08,20.22,20.59,19.49,20.05,65908,1321455.4000000001
2019-07-09,19.78,21.29,19.78,21.27,95410,2029370.7
2019-07-10,20.83,23.34,20.71,23.1,303850,7018935.0
2019-07-11,22.41,24.1,19.17,21.93,218461,4790849.7299999995
2019-07-12,21.68,22.63,21.56,21.88,77760,1701388.7999999998
2019-07-15,21.93,22.17,21.44,21.93,33795,741124.35
2019-07-16,21.25,21.68,21.25,21.44,66600,1427904.0
2019-07-17,21.56,21.56,20.05,20.47,104502,2139155.94
2019-07-18,20.83,22.17,19.98,21.9,62700,1373130.0
2019-07-19,22.05,23.39,22.05,22.41,104370,2338931.7
2019-07-22,22.41,22.73,22.2,22.54,54055,1218399.7
2019-07-23,22.54,23.34,22.49,22.78,119577,2723964.06
2019-07-24,22.9,22.9,22.41,22.41,32103,719428.23
2019-07-25,22.2,22.41,21.93,22.17,56420,1250831.4000000001
2019-07-26,21.95,22.05,21.49,21.68,119352,2587551.36
2019-07-29,21.68,21.81,21.39,21.68,33341,722832.88
2019-07-30,21.56,22.51,21.56,22.41,34455,772136.55
2019-07-31,22.9,25.61,22.9,25.61,259373,6642542.53
2019-08-01,26.8,28.68,26.19,28.68,184092,5279758.56
2019-08-02,29.24,32.38,29.24,30.7,131781,4045676.6999999997
2019-08-05,30.7,32.4,28.75,32.01,91230,2920272.3
2019-08-06,31.67,32.14,30.46,31.43,120906,3800075.58
2019-08-07,31.55,32.16,29.72,30.04,96931,2911807.2399999998
2019-08-08,26.09,30.7,26.09,28.75,154297,4436038.75
2019-08-09,28.04,30.46,26.92,28.75,168497,4844288.75
2019-08-12,29.24,30.46,29.24,30.38,36742,1116221.96
2019-08-13,30.7,30.7,28.99,29.72,34480,1024745.6
2019-08-14,29.48,29.97,28.99,29.24,44930,1313753.2
2019-08-15,30.46,32.16,28.02,32.16,135269,4350251.039999999
2019-08-16,32.16,33.74,32.16,32.16,67206,2161344.96
2019-08-19,32.18,34.11,32.18,33.38,53336,1780355.6800000002
2019-08-20,33.38,34.11,33.38,33.87,53152,1800258.2399999998
2019-08-21,33.87,34.11,33.04,33.14,77451,2566726.14
2019-08-22,33.35,33.7,33.14,33.57,46212,1551336.84
2019-08-23,33.35,34.11,33.16,33.23,32506,1080174.38
2019-08-26,33.62,33.62,33.35,33.48,25030,838004.3999999999
2019-08-27,33.26,33.4,33.01,33.14,38961,1291167.54
2019-08-28,33.38,33.38,32.4,32.53,240279,7816275.87
2019-08-29,32.4,32.65,31.19,31.92,67861,2166123.12
2019-08-30,31.67,31.67,28.75,29.97,158595,4753092.149999999
2019-09-03,30.26,30.26,28.02,28.51,60317,1719637.6700000002
2019-09-04,27.29,28.99,26.09,28.21,101685,2868533.85
2019-09-05,28.02,29.7,28.02,28.51,40802,1163265.02
2019-09-06,28.38,28.87,28.36,28.51,15499,441876.49000000005
2019-09-09,28.51,28.58,25.83,27.02,48507,1310659.14
2019-09-10,26.31,26.31,23.88,24.85,100336,2493349.6
2019-09-11,24.36,26.56,24.36,26.56,31720,842483.2
2019-09-12,26.56,27.17,26.43,26.7,32180,859206.0
2019-09-13,26.8,28.02,26.02,27.29,44790,1222319.0999999999
2019-09-16,27.29,27.29,26.46,26.75,21846,584380.5
2019-09-17,26.34,26.78,26.24,26.56,24799,658661.44
2019-09-18,26.56,26.8,26.31,26.31,19132,503362.92
2019-09-19,26.31,26.31,24.36,24.85,67130,1668180.5
2019-09-20,24.97,24.97,24.36,24.75,28136,696366.0
2019-09-23,24.85,25.19,23.63,23.93,24921,596359.53
2019-09-24,23.9,23.93,22.41,22.8,78470,1789116.0
2019-09-25,22.76,22.85,22.17,22.78,42909,977467.02
2019-09-26,22.66,23.88,22.66,23.68,46785,1107868.8
2019-09-27,23.68,23.83,22.88,23.15,35560,823214.0
2019-09-30,22.95,23.15,22.46,22.49,27600,620724.0
2019-10-01,22.8,23.39,22.78,23.1,41200,951720.0000000001
2019-10-02,22.8,24.36,22.8,23.95,60751,1454986.45
2019-10-03,23.39,24.29,23.15,24.12,57704,1391820.48
2019-10-04,24.46,24.46,23.83,23.88,21668,517431.83999999997
2019-10-07,24.32,24.36,23.34,23.39,27860,651645.4
2019-10-08,23.66,23.66,23.27,23.27,110200,2564354.0
2019-10-09,23.27,24.36,23.15,23.68,290950,6889696.0
2019-10-10,23.75,25.02,23.75,24.49,58071,1422158.7899999998
2019-10-11,24.49,24.49,24.12,24.24,20732,502543.68
2019-10-14,24.36,24.36,23.29,23.32,71077,1657515.6400000001
2019-10-15,23.15,23.39,22.66,23.15,45030,1042444.4999999999
2019-10-16,23.15,23.39,22.66,22.9,30350,695015.0
2019-10-17,22.41,23.75,22.41,23.27,34675,806887.25
2019-10-18,23.39,24.34,23.39,23.88,39525,943857.0
2019-10-21,24.34,25.09,23.88,24.41,76060,1856624.6
2019-10-22,24.85,24.85,24.29,24.58,26695,656163.1
2019-10-23,23.88,25.41,23.88,25.12,72184,1813262.08
2019-10-24,25.34,26.68,25.34,26.41,65286,1724203.26
2019-10-25,26.56,27.29,26.56,26.75,44521,1190936.75
2019-10-28,26.8,27.04,26.09,26.56,52348,1390362.88
2019-10-29,26.22,26.43,25.97,26.43,24750,654142.5
2019-10-30,26.31,27.12,23.63,23.63,193549,4573562.87
2019-10-31,25.58,27.17,24.61,23.63,141456,3342605.28
2019-11-01,26.02,26.07,24.95,25.39,23396,594024.4400000001
2019-11-04,25.39,25.83,24.66,25.22,54370,1371211.4
2019-11-05,25.34,25.34,24.61,25.09,55730,1398265.7
2019-11-06,25.09,25.83,25.09,25.46,35850,912741.0
2019-11-07,25.34,25.34,25.0,25.22,47107,1188038.54
2019-11-08,25.22,25.22,24.97,25.05,22280,558114.0
2019-11-11,25.56,25.58,24.85,24.88,39293,977609.84
2019-11-12,24.97,25.09,24.85,25.07,25887,648987.09
2019-11-13,24.85,25.07,24.83,25.07,27094,679246.58
2019-11-14,24.9,24.92,24.61,24.73,22200,549006.0
2019-11-15,24.61,24.85,24.61,24.61,12670,311808.7
2019-11-18,24.53,24.85,24.53,24.78,20200,500556.0
2019-11-19,24.61,25.22,24.61,25.09,17592,441383.27999999997
2019-11-20,25.02,25.83,25.02,25.58,33619,859974.0199999999
2019-11-21,25.58,25.7,25.34,25.46,9100,231686.0
2019-11-22,25.46,25.48,21.68,25.12,38320,962598.4
2019-11-25,24.88,24.88,23.63,24.41,17660,431080.6
2019-11-26,25.09,25.09,24.51,24.75,9760,241560.0
2019-11-27,25.17,25.17,24.61,24.8,3610,89528.0
2019-11-28,24.63,24.83,24.44,24.83,14823,368055.08999999997
2019-11-29,24.61,24.73,24.12,24.29,24400,592676.0
2019-12-02,24.36,24.73,23.32,24.36,37392,910869.12
2019-12-03,23.63,23.88,23.44,23.51,23763,558668.13
2019-12-04,23.75,23.85,23.39,23.66,14567,344655.22000000003
2019-12-05,23.63,24.0,23.63,23.88,8561,204436.68
2019-12-06,24.12,24.12,23.63,23.88,18600,444168.0
2019-12-09,23.63,23.88,23.54,23.75,8605,204368.75
2019-12-10,23.75,23.83,23.71,23.73,16863,400158.99
2019-12-11,23.83,24.36,23.83,24.34,10400,253136.0
