time,open,high,low,close,volume,amounts
2010-01-04,24.4,24.7,24.11,24.7,597820,14766154.0
2010-01-05,25.87,25.87,24.99,25.87,1085380,28078780.6
2010-01-06,25.58,26.31,25.14,25.43,1340200,34081286.0
2010-01-07,25.28,25.87,24.7,24.7,1366130,33743411.0
2010-01-08,25.14,25.28,23.52,23.52,1438590,33835636.8
2010-01-11,23.96,24.25,22.78,23.37,643940,15048877.8
2010-01-12,23.37,23.81,22.64,22.64,876140,19835809.6
2010-01-13,22.64,23.52,21.76,23.52,879060,20675491.2
2010-01-14,24.11,24.25,23.23,23.96,642630,15397414.8
2010-01-15,23.52,23.96,23.08,23.23,473090,10989880.700000001
2010-01-18,22.64,22.78,22.2,22.2,800290,17766438.0
2010-01-19,22.2,23.08,22.05,22.78,653260,14881262.8
2010-01-20,22.78,22.78,22.05,22.05,657800,14504490.0
2010-01-21,21.9,22.05,21.02,21.17,783030,16576745.100000001
2010-01-22,21.02,21.46,20.58,21.31,502310,10704226.1
2010-01-25,21.31,21.9,21.17,21.61,341090,7370954.899999999
2010-01-26,22.34,22.64,22.2,22.64,546310,12368458.4
2010-01-27,23.23,23.23,22.34,22.49,881260,19819537.4
2010-01-28,22.34,22.49,21.9,22.05,342660,7555653.0
2010-01-29,21.9,22.34,21.76,22.05,401260,8847783.0
2010-02-01,22.34,22.49,22.05,22.49,260470,5857970.3
2010-02-02,22.64,22.78,22.34,22.49,363900,8184110.999999999
2010-02-03,22.64,22.93,22.49,22.93,442840,10154321.2
2010-02-04,22.78,23.52,22.64,23.37,670090,15660003.3
2010-02-05,22.78,23.37,22.49,22.64,561380,12709643.200000001
2010-02-08,22.34,22.49,22.2,22.34,327660,7319924.4
2010-02-09,21.9,22.34,21.76,21.9,392990,8606481.0
2010-02-10,22.34,22.49,22.2,22.34,124370,2778425.8
2010-02-11,22.34,22.64,22.2,22.64,184580,4178891.2
2010-02-12,22.78,23.08,22.64,22.78,305740,6964757.2
2010-02-22,22.93,23.08,22.64,22.78,256650,5846487.0
2010-02-23,22.34,22.34,21.9,22.05,237630,5239741.5
2010-02-24,21.76,22.34,21.76,22.34,284120,6347240.8
2010-02-25,22.2,22.49,21.9,21.9,424650,9299835.0
2010-02-26,21.76,22.2,21.76,21.9,656680,14381291.999999998
2010-03-01,22.2,22.2,21.9,22.05,168040,3705282.0
2010-03-02,22.05,22.2,21.9,22.05,206840,4560822.0
2010-03-03,22.2,22.34,21.9,22.34,521600,11652544.0
2010-03-04,22.78,23.37,22.78,22.93,1570800,36018444.0
2010-03-05,23.08,23.23,22.78,23.08,534880,12345030.399999999
2010-03-08,23.23,23.96,23.08,23.67,709060,16783450.200000003
2010-03-09,23.37,23.67,23.23,23.52,776480,18262809.6
2010-03-10,23.52,23.81,23.23,23.37,1000970,23392668.900000002
2010-03-11,23.37,24.4,23.37,23.81,1566450,37297174.5
2010-03-12,23.96,24.11,23.67,23.96,825870,19787845.2
2010-03-15,24.4,24.4,23.96,23.96,705260,16898029.6
