time,open,high,low,close,volume,amounts
2010-01-04,8.14,8.23,8.14,8.23,460760,3792054.8000000003
2010-01-05,8.6,8.6,8.56,8.6,1914560,16465216.0
2010-01-06,8.6,9.02,8.6,8.83,3619690,31961862.7
2010-01-07,8.88,8.93,8.6,8.6,3156860,27148996.0
2010-01-08,8.83,8.88,8.46,8.46,3232490,27346865.400000002
2010-01-11,8.56,8.56,8.32,8.42,1781590,15000987.8
2010-01-12,8.37,8.46,8.0,8.0,2337510,18700080.0
2010-01-13,8.0,8.37,7.67,8.37,2511590,21022008.299999997
2010-01-14,8.6,8.6,8.32,8.37,1631360,13654483.2
2010-01-15,8.23,8.42,8.09,8.18,1380140,11289545.2
2010-01-18,8.04,8.09,7.81,7.81,2603960,20336927.599999998
2010-01-19,7.86,8.09,7.81,8.0,1616640,12933120.0
2010-01-20,8.09,8.09,7.76,7.81,1469170,11474217.7
2010-01-21,7.67,7.86,7.49,7.63,1999820,15258626.6
2010-01-22,7.58,7.72,7.44,7.72,1103440,8518556.799999999
2010-01-25,7.72,7.76,7.63,7.67,1042410,7995284.7
2010-01-26,7.9,8.04,7.86,8.04,1644920,13225156.799999999
2010-01-27,7.95,8.09,7.76,7.76,1129600,8765696.0
2010-01-28,7.72,7.76,7.63,7.63,911950,6958178.5
2010-01-29,7.63,7.72,7.49,7.67,1011600,7758972.0
2010-02-01,7.72,7.76,7.63,7.76,613090,4757578.399999999
2010-02-02,7.86,7.86,7.72,7.72,829790,6405978.8
2010-02-03,7.76,7.81,7.72,7.81,866360,6766271.6
2010-02-04,7.81,8.18,7.81,8.09,1533090,12402698.1
2010-02-05,7.9,8.09,7.86,7.86,1631350,12822411.0
2010-02-08,7.86,7.9,7.76,7.9,699220,5523838.0
2010-02-09,7.81,7.86,7.72,7.81,703140,5491523.399999999
2010-02-10,7.9,7.9,7.81,7.86,808550,6355203.0
2010-02-11,7.9,7.95,7.81,7.95,634970,5048011.5
2010-02-12,8.0,8.04,7.95,8.0,903460,7227680.0
2010-02-22,8.04,8.09,8.0,8.0,519030,4152240.0
2010-02-23,7.86,7.9,7.76,7.76,766590,5948738.399999999
2010-02-24,7.76,7.9,7.72,7.9,1198160,9465464.0
2010-02-25,7.95,8.04,7.9,7.95,1432010,11384479.5
2010-02-26,7.9,8.0,7.9,8.0,840610,6724880.0
2010-03-01,8.04,8.04,7.95,7.95,1195710,9505894.5
2010-03-02,7.95,8.09,7.9,7.95,2009080,15972186.0
2010-03-03,8.0,8.09,7.95,8.09,2502130,20242231.7
2010-03-04,8.18,8.32,8.14,8.18,2336870,19115596.599999998
2010-03-05,8.23,8.28,8.14,8.28,1625920,13462617.6
2010-03-08,8.42,8.6,8.42,8.56,3012020,25782891.200000003
2010-03-09,8.56,8.65,8.51,8.6,1841030,15832858.0
2010-03-10,8.56,8.6,8.51,8.51,1982730,16873032.3
2010-03-11,8.56,8.6,8.42,8.46,1901090,16083221.400000002
2010-03-12,8.51,8.51,8.42,8.51,1512500,12871375.0
2010-03-15,8.56,8.6,8.42,8.46,1482010,12537804.600000001
2010-03-16,8.51,8.51,8.18,8.28,3235630,26791016.4
2010-03-17,8.37,8.37,8.18,8.18,1911440,15635579.2
2010-03-18,8.37,8.46,8.23,8.42,3935800,33139436.0
2010-03-19,8.42,8.42,8.28,8.28,1838980,15226754.399999999
2010-03-22,8.28,8.28,8.14,8.14,2276240,18528593.6
2010-03-23,8.09,8.18,8.09,8.09,1807050,14619034.5
2010-03-24,8.14,8.18,8.09,8.14,3590690,29228216.6
2010-03-25,8.54,8.54,8.54,8.54,606350,5178228.999999999
2010-03-26,8.85,8.87,8.56,8.61,7116360,61271859.599999994
2010-03-29,8.61,8.61,8.37,8.37,2370310,19839494.7
2010-03-30,8.29,8.35,8.09,8.09,1728000,13979520.0
2010-03-31,8.03,8.18,8.03,8.03,1577570,12667887.1
2010-04-01,8.0,8.18,7.94,8.13,1745340,14189614.200000001
2010-04-02,8.16,8.28,8.09,8.16,1563440,12757670.4
2010-04-05,8.24,8.31,8.2,8.22,1016450,8355219.000000001
2010-04-06,8.22,8.28,8.11,8.11,1396030,11321803.299999999
2010-04-07,8.11,8.15,8.03,8.07,1024560,8268199.2
2010-04-08,8.11,8.16,8.05,8.05,1423720,11460946.000000002
2010-04-09,8.09,8.16,8.03,8.03,1148570,9223017.1
2010-04-12,8.13,8.16,8.03,8.05,1205620,9705241.0
2010-04-13,8.09,8.16,8.07,8.07,1090250,8798317.5
2010-04-14,8.07,8.09,8.02,8.03,943970,7580079.1
2010-04-15,8.09,8.09,8.03,8.03,1163180,9340335.399999999
2010-04-16,8.07,8.09,8.02,8.03,1040730,8357061.899999999
2010-04-19,8.0,8.03,7.94,7.94,1370450,10881373.0
2010-04-20,7.9,7.96,7.85,7.85,1580420,12406297.0
2010-04-21,7.87,7.92,7.81,7.83,1092260,8552395.8
2010-04-22,7.92,8.22,7.9,8.22,3548070,29165135.400000002
2010-04-26,8.28,8.57,8.24,8.39,3776230,31682569.700000003
2010-04-27,8.33,8.35,8.22,8.28,1518230,12570944.399999999
2010-04-28,8.24,8.26,8.18,8.24,1220450,10056508.0
2010-04-29,8.28,8.33,8.11,8.11,1627280,13197240.799999999
2010-05-04,8.2,8.31,8.13,8.22,1956040,16078648.8
2010-05-05,8.16,8.22,8.11,8.13,1425620,11590290.600000001
2010-05-06,8.13,8.16,8.02,8.02,1817870,14579317.399999999
2010-05-07,7.9,7.98,7.81,7.9,1727410,13646539.0
2010-05-10,7.81,7.85,7.66,7.66,3457840,26487054.400000002
2010-05-11,7.72,7.74,7.59,7.63,3641020,27780982.599999998
2010-05-12,7.51,7.53,7.35,7.35,3237140,23792979.0
2010-05-13,7.44,7.5,7.27,7.33,2886420,21157458.6
2010-05-14,7.27,7.42,7.27,7.27,2337300,16992171.0
2010-05-17,7.25,7.25,6.97,6.97,2938340,20480229.8
2010-05-18,6.97,7.03,6.86,6.92,2375470,16438252.4
2010-05-19,6.92,6.94,6.69,6.69,2953440,19758513.6
2010-05-20,6.48,7.01,6.48,7.01,3582750,25115077.5
2010-05-21,6.79,6.94,6.67,6.67,4898770,32674795.9
2010-05-24,6.88,6.99,6.73,6.99,2928080,20467279.2
2010-05-25,6.97,7.07,6.86,6.96,2246230,15633760.8
2010-05-26,7.01,7.01,6.92,6.94,1764840,12247989.600000001
2010-05-27,6.88,6.97,6.81,6.97,1694300,11809271.0
2010-05-28,7.09,7.26,7.01,7.18,3060440,21973959.2
2010-05-31,7.13,7.14,6.97,7.07,1932690,13664118.3
2010-06-01,7.03,7.07,6.96,7.03,1377340,9682700.200000001
2010-06-02,6.96,7.01,6.9,6.97,1479310,10310790.7
2010-06-03,7.07,7.09,6.97,6.97,1276600,8897902.0
2010-06-04,6.97,7.01,6.92,6.94,926700,6431298.0
2010-06-07,6.73,6.82,6.71,6.77,2781740,18832379.799999997
2010-06-08,6.73,6.77,6.69,6.73,1495900,10067407.0
2010-06-09,6.79,6.82,6.71,6.71,906580,6083151.8
2010-06-10,6.71,6.75,6.69,6.73,713980,4805085.4
