time,open,high,low,close,volume,amounts
2010-01-04,11.77,12.36,11.77,12.36,3915650,48397434.0
2010-01-05,12.9,12.94,12.5,12.7,6943660,88184482.0
2010-01-06,12.65,12.7,12.41,12.41,2858960,35479693.6
2010-01-07,12.41,12.5,12.16,12.16,3161900,38448704.0
2010-01-08,12.75,12.75,12.21,12.21,5310660,64843158.6
2010-01-11,12.21,12.36,11.97,12.02,2797600,33627152.0
2010-01-12,11.97,12.16,11.63,11.63,2662780,30968131.400000002
2010-01-13,11.48,11.77,11.23,11.72,2823860,33095639.200000003
2010-01-14,11.92,11.92,11.63,11.63,2343700,27257231.0
2010-01-15,11.53,11.63,11.33,11.43,2607150,29799724.5
2010-01-18,11.43,11.43,11.09,11.09,2519720,27943694.8
2010-01-19,11.23,11.38,11.14,11.23,2099690,23579518.7
2010-01-20,11.38,11.38,11.09,11.09,1481840,16433605.6
2010-01-21,11.04,11.23,10.79,10.94,2123590,23232074.599999998
2010-01-22,10.89,11.04,10.84,10.94,1326430,14511144.2
2010-01-25,10.94,10.99,10.84,10.89,1117050,12164674.5
2010-01-26,11.09,11.43,11.09,11.43,1818090,20780768.7
2010-01-27,11.23,11.38,11.04,11.04,1068880,11800435.2
2010-01-28,11.04,11.09,10.89,10.89,1020840,11116947.600000001
2010-01-29,10.75,10.99,10.75,10.84,1292140,14006797.6
2010-02-01,10.94,10.99,10.84,10.89,848600,9241254.0
2010-02-02,10.94,10.94,10.84,10.89,1037620,11299681.8
2010-02-03,10.89,10.94,10.84,10.89,925380,10077388.200000001
2010-02-04,10.94,11.09,10.89,11.04,1389870,15344164.799999999
2010-02-05,10.89,11.04,10.84,10.89,1341270,14606430.3
2010-02-08,10.84,11.19,10.79,11.19,1742690,19500701.099999998
2010-02-09,11.04,11.09,10.89,10.89,1048730,11420669.700000001
2010-02-10,10.89,11.04,10.89,10.99,577290,6344417.100000001
2010-02-11,11.04,11.53,10.99,11.53,2848220,32839976.599999998
2010-02-12,11.67,11.97,11.53,11.67,2496910,29138939.7
2010-02-22,11.72,11.92,11.67,11.67,1840790,21482019.3
2010-02-23,11.58,11.63,11.33,11.43,1071070,12242330.1
2010-02-24,11.33,11.53,11.23,11.48,1265070,14523003.6
2010-02-25,11.48,11.53,11.23,11.33,2264710,25659164.3
2010-02-26,11.33,11.48,11.28,11.48,1131380,12988242.4
2010-03-01,11.63,11.82,11.58,11.72,3460920,40561982.4
2010-03-02,11.77,11.77,11.58,11.58,1844690,21361510.2
2010-03-03,11.72,11.87,11.67,11.77,2867170,33746590.9
2010-03-04,11.82,11.87,11.63,11.63,1858600,21615518.0
2010-03-05,11.63,11.67,11.58,11.63,1651560,19207642.8
2010-03-08,11.72,11.82,11.63,11.67,2246200,26213154.0
2010-03-09,11.67,11.77,11.63,11.72,2643980,30987445.6
2010-03-10,11.72,11.82,11.63,11.67,2476050,28895503.5
2010-03-11,11.72,11.77,11.58,11.58,2568640,29744851.2
2010-03-12,11.67,11.67,11.58,11.67,2251590,26276055.3
2010-03-15,11.77,11.82,11.63,11.63,2836720,32991053.6
2010-03-16,11.53,11.58,11.28,11.28,3329710,37559128.8
2010-03-17,11.28,11.33,11.14,11.19,2660440,29770323.599999998
2010-03-18,11.19,11.23,11.09,11.19,2026360,22674968.4
2010-03-19,11.19,11.19,11.04,11.04,2427150,26795735.999999996
2010-03-22,11.04,11.14,10.99,11.04,1941960,21439238.4
2010-03-23,11.04,11.19,10.94,10.99,2242520,24645294.8
2010-03-24,11.04,11.14,10.99,11.09,1224340,13577930.6
2010-03-25,11.04,11.09,10.94,10.94,2814130,30786582.2
2010-03-26,10.89,10.94,10.84,10.84,1734150,18798186.0
2010-03-29,10.84,10.94,10.79,10.79,1978560,21348662.4
2010-03-30,10.79,10.84,10.65,10.65,2430140,25880991.0
2010-03-31,10.65,10.75,10.6,10.6,1612840,17096104.0
2010-04-01,10.6,10.99,10.55,10.84,2471370,26789650.8
2010-04-02,10.84,10.89,10.75,10.75,1621940,17435855.0
2010-04-05,10.89,10.89,10.75,10.75,1544520,16603590.0
2010-04-06,10.79,10.84,10.75,10.84,2191010,23750548.4
2010-04-07,10.89,10.89,10.79,10.89,1775930,19339877.7
2010-04-08,10.84,10.89,10.75,10.75,1339300,14397475.0
2010-04-09,10.84,10.89,10.75,10.79,1988810,21459259.9
2010-04-12,10.84,10.84,10.75,10.75,1971210,21190507.5
2010-04-13,10.75,10.79,10.65,10.7,1493600,15981519.999999998
2010-04-14,10.7,10.75,10.6,10.7,1798760,19246732.0
2010-04-15,10.75,10.75,10.6,10.65,1775920,18913548.0
2010-04-16,10.75,10.75,10.6,10.6,1208320,12808192.0
2010-04-19,10.6,10.6,10.5,10.5,1252790,13154295.0
2010-04-20,10.45,10.6,10.36,10.36,1883700,19515132.0
2010-04-21,10.4,10.5,10.31,10.45,1817830,18996323.5
2010-04-22,10.6,10.94,10.55,10.79,2043620,22050659.799999997
2010-04-26,10.89,10.89,10.75,10.84,2516290,27276583.6
2010-04-27,10.75,10.84,10.7,10.84,1635530,17729145.2
2010-04-28,10.75,10.79,10.65,10.75,2049490,22032017.5
2010-04-29,10.75,10.75,10.65,10.65,2067460,22018449.0
2010-05-04,10.84,11.14,10.84,11.14,7553940,84150891.60000001
2010-05-05,11.09,11.48,11.04,11.04,4056450,44783208.0
2010-05-06,11.14,11.19,11.04,11.09,1859050,20616864.5
2010-05-07,10.99,11.04,10.84,10.94,3256180,35622609.199999996
2010-05-10,10.84,10.89,10.65,10.65,2914530,31039744.5
2010-05-11,10.79,10.84,10.7,10.79,2192010,23651787.9
2010-05-12,10.7,10.75,10.6,10.6,2448900,25958340.0
2010-05-13,10.65,10.75,10.6,10.65,2976180,31696317.0
2010-05-14,10.65,10.7,10.6,10.6,1935740,20518844.0
2010-05-17,10.55,10.6,10.36,10.4,2395660,24914864.0
2010-05-18,10.31,10.36,10.26,10.31,2100890,21660175.900000002
2010-05-19,10.26,10.26,9.96,9.96,2383930,23743942.8
2010-05-20,10.01,10.45,10.01,10.45,4276520,44689634.0
2010-05-21,10.45,10.45,10.06,10.11,2392360,24186759.599999998
2010-05-24,10.16,10.26,10.11,10.26,1356590,13918613.4
2010-05-25,10.11,10.21,10.11,10.16,776330,7887512.8
